装备显示类型	模型	贴图
魁梧男越南部装	m1_YNnanbushoe.Mesh	m1_YNnanbushoe.Mtl
魁梧男越南装	m1_YNzhongbushoe.Mesh	m1_YNzhongbushoe.Mtl
魁梧男白金装	m1_wz_le_modjinjia.mesh	m1_wz_le_modbaijinjia.mtl
魁梧男资料片白装	m1_yn_le_bai01.Mesh	m1_yn_le_bai01.Mtl
魁梧男资料片红装	m1_yn_le_hong01.Mesh	m1_yn_le_hong01.Mtl
魁梧男资料片黄装	m1_yn_le_huang01.Mesh	m1_yn_le_huang01.Mtl
魁梧男圣诞装	m2_le_005.Mesh	m2_le_005a.Mtl
魁梧男炙云装	m1_VIPhuangjinshoe.Mesh	m1_VIPhuangjinshoe.Mtl
魁梧男南非装	m1_nanfeiduishoe.Mesh	m1_nanfeiduishoe.Mtl
魁梧男中国装	m1_zhongguoduishoe.Mesh	m1_zhongguoduishoe.Mtl
魁梧男武林盟装	m1_wlmshoe.Mesh	m1_wlmshoe.Mtl
魁梧男玫瑰装	m1_meiguizhuangshoe.Mesh	m1_meiguizhuangshoe.Mtl
魁梧男玫瑰装2	m1_meiguizhuangshoe.Mesh	m1_meiguizhuangshoe2.Mtl
魁梧男玫瑰装3	m1_meiguizhuangshoe.Mesh	m1_meiguizhuangshoe3.Mtl
魁梧男华丽装	m1_VIPjinmishoe.Mesh	m1_VIPjinmishoe.Mtl
魁梧男欢喜装	m1_2010newyearshoe.Mesh	m1_2010newyearshoe.Mtl
魁梧男玫装	m1_juezhanjiuzhou1shoe.Mesh	m1_juezhanjiuzhou1shoe.Mtl
魁梧男子龙装	m1_juezhanjiuzhou2shoe.Mesh	m1_juezhanjiuzhou2shoe.Mtl
魁梧男关胜装	m1_wz_le_mod904.Mesh	m1_wz_le_mod904.Mtl
魁梧男秦明装	m1_wz_le_mod905.Mesh	m1_wz_le_mod905.Mtl
魁梧男七夕装	m1_yn_qx_le_hong01.Mesh	m1_yn_qx_le_hong01.Mtl
魁梧男火云乌夜装	m2_TY_feihong_shoe.Mesh	m2_TY_feihong_shoe.Mtl
魁梧男黯魂鎏金装	m2_TY_huanghuo_shoe.Mesh	m2_TY_huanghuo_shoe.Mtl
魁梧男天波破阵装	m2_TY_yangzhong_shoe.Mesh	m2_TY_yangzhong_shoe.Mtl
魁梧男唐门高级外装裤	m1_mp_le_mod008.Mesh	m1_mp_le_mod008.Mtl
魁梧男丐帮高级外装裤	m1_mp_le_mod006.Mesh	m1_mp_le_mod006.Mtl
魁梧男武当高级外装裤	m1_mp_le_mod004.Mesh	m1_mp_le_mod004.Mtl
魁梧男少林高级外装裤	m1_mp_le_mod002.Mesh	m1_mp_le_mod002.Mtl
魁梧男杨门高级外装裤	m1_mp_le_mod014.Mesh	m1_mp_le_mod014.Mtl
魁梧男五毒高级外装裤	m1_mp_le_mod018.Mesh	m1_mp_le_mod018.Mtl
魁梧男明教高级外装裤	m1_mp_le_mod010.Mesh	m1_mp_le_mod010.Mtl
魁梧男昆仑高级外装裤	m1_mp_le_mod016.Mesh	m1_mp_le_mod016.Mtl
魁梧男2012声望下装01	m2_le_001.Mesh	m2_le_001a.Mtl
魁梧男2012声望下装02	m2_le_001.Mesh	m2_le_001b.Mtl
魁梧男2012声望下装03	m2_le_001.Mesh	m2_le_001c.Mtl
魁梧男飞絮青冥袍	m2_le_002.Mesh	m2_le_002a.Mtl
魁梧男铁意凌风袍	m2_le_002.Mesh	m2_le_002b.Mtl
魁梧男红绡金麟袍	m2_le_002.Mesh	m2_le_002c.Mtl
魁梧男天羽袈裟裤	m2_YY_shaluo_le.Mesh	m2_YY_shaluo_le.Mtl
魁梧男辰蛇在岁装	m2_le_006.Mesh	m2_le_006a.Mtl
魁梧男新低少林装	m1_mp_le_001.Mesh	m1_mp_le_001.Mtl
魁梧男新低道士装	m1_mp_le_003.Mesh	m1_mp_le_003.Mtl
魁梧男新低丐帮装	m1_mp_le_005.Mesh	m1_mp_le_005.Mtl
魁梧男新低唐门装	m1_mp_le_007.Mesh	m1_mp_le_007.Mtl
魁梧男新低杨门装	m1_mp_le_013.Mesh	m1_mp_le_013.Mtl
魁梧男新低五毒装	m1_mp_le_017.Mesh	m1_mp_le_017.Mtl
魁梧男新低昆仑装	m1_mp_le_015.Mesh	m1_mp_le_015.Mtl
魁梧男新低明教装	m1_mp_le_009.Mesh	m1_mp_le_009.Mtl
魁梧男新高少林装	m1_mp_le_mod002.Mesh	m1_mp_le_mod002.Mtl
魁梧男新高道士装	m1_mp_le_mod004.Mesh	m1_mp_le_mod004.Mtl
魁梧男新高丐帮装	m1_mp_le_mod006.Mesh	m1_mp_le_mod006.Mtl
魁梧男新高唐门装	m1_mp_le_mod008.Mesh	m1_mp_le_mod008.Mtl
魁梧男新高杨门装	m1_mp_le_mod014.Mesh	m1_mp_le_mod014.Mtl
魁梧男新高五毒装	m1_mp_le_mod018.Mesh	m1_mp_le_mod018.Mtl
魁梧男新高昆仑装	m1_mp_le_mod016.Mesh	m1_mp_le_mod016.Mtl
魁梧男新高明教装	m1_mp_le_mod010.Mesh	m1_mp_le_mod010.Mtl
魁梧男相见欢（下装）	m2_le_007.Mesh	m2_le_007a.Mtl
魁梧男少年游（下装）	m2_le_008.Mesh	m2_le_008a.Mtl
魁梧男自在唯我装	m2_le_004.Mesh	m2_le_004a.Mtl
魁梧男倾国风流装	m2_le_009.Mesh	m2_le_009a.Mtl
魁梧男策马天下装	m2_le_020a.Mesh	m2_le_020a.Mtl
魁梧男雷虎元帅装	m2_le_021.Mesh	m2_le_021.Mtl
魁梧男雷虎将军装	m2_le_021b.Mesh	m2_le_021b.Mtl
魁梧男灵徒装	m2_le_025.Mesh	m2_le_025a.Mtl
魁梧男豪侠装	m2_le_026.Mesh	m2_le_026a.Mtl
魁梧男火凤将军装	m2_le_014.Mesh	m2_le_014b.Mtl
魁梧男火凤元帅装	m2_le_024.Mesh	m2_le_024a.Mtl
魁梧男2012声望下装01	m2_le_001.Mesh	m2_le_001a.Mtl
魁梧男2012声望下装02	m2_le_001.Mesh	m2_le_001b.Mtl
魁梧男2012声望下装03	m2_le_001.Mesh	m2_le_001c.Mtl
魁梧男逍遥装紫3	m1_wz_le_modxiaoyao02.Mesh	m1_wz_le_modxiaoyao02a.Mtl
魁梧男逍遥装蓝3	m1_wz_le_modxiaoyao02.Mesh	m1_wz_le_modxiaoyao02b.Mtl
魁梧男逍遥装浅绿3	m1_wz_le_modxiaoyao02.Mesh	m1_wz_le_modxiaoyao02c.Mtl
魁梧男逍遥装黑3	m1_wz_le_modxiaoyao02.Mesh	m1_wz_le_modxiaoyao02d.Mtl
魁梧男逍遥装绿3	m1_wz_le_modxiaoyao02.Mesh	m1_wz_le_modxiaoyao02e.Mtl
魁梧男子夜装	m2_le_022a.Mesh	m2_le_022a.Mtl
魁梧男金缕装	m2_le_022a.Mesh	m2_le_022b.Mtl
魁梧男新门派装峨眉	m2_le_010.Mesh	m2_le_010.Mtl
魁梧男新门派装丐帮	m2_le_011.Mesh	m2_le_011.Mtl
魁梧男新门派装武当	m2_le_012.Mesh	m2_le_012.Mtl
魁梧男新门派装翠烟	m2_le_013.Mesh	m2_le_013.Mtl
魁梧男新门派装杨门	m2_le_014.Mesh	m2_le_014.Mtl
魁梧男新门派装少林	m2_le_015.Mesh	m2_le_015.Mtl
魁梧男新门派装明教	m2_le_016.Mesh	m2_le_016.Mtl
魁梧男新门派装五毒	m2_le_017.Mesh	m2_le_017.Mtl
魁梧男新门派装唐门	m2_le_018.Mesh	m2_le_018.Mtl
魁梧男新门派装昆仑	m2_le_019.Mesh	m2_le_019.Mtl
魁梧男蕙兰装	m2_le_028.Mesh	m2_le_028a.Mtl
魁梧男长空装	m1_other_mod004_le.Mesh	m1_other_mod004_le.Mtl
魁梧男藤紫兰装	m2_le_023.Mesh	m2_le_023a.Mtl
魁梧男流火装	m2_le_024.Mesh	m2_le_024a.Mtl
魁梧男姬灵装白	m2_le_029.Mesh	m2_le_029a.Mtl
魁梧男姬灵装橙	m2_le_029.Mesh	m2_le_029b.Mtl
魁梧男绛云装a	m2_le_032.Mesh	m2_le_032a.Mtl
魁梧男绛云装b	m2_le_032.Mesh	m2_le_032b.Mtl
魁梧男鹤归装	m2_le_031.Mesh	m2_le_031a.Mtl
魁梧男青羽装	m2_le_021.Mesh	m2_le_021a.Mtl
魁梧男红影装	m2_le_025.Mesh	m2_le_025a.Mtl
魁梧男雁丘装	m2_le_026.Mesh	m2_le_026a.Mtl
魁梧男简清装	m2_le_027.Mesh	m2_le_027a.Mtl
魁梧男孔雀明王装	m2_le_030.Mesh	m2_le_030a.Mtl
魁梧男桃夭装	m2_le_033.Mesh	m2_le_033a.Mtl
魁梧男宫商装	m2_le_034.Mesh	m2_le_034a.Mtl
魁梧男卫国装	m1_wz_le_mod001g.Mesh	m1_wz_le_tex001ag.Mtl
魁梧男宋军装	m1_wz_le_mod004g.Mesh	m1_wz_le_tex004ag.Mtl
魁梧男辽军装	m1_wz_le_mod005g.Mesh	m1_wz_le_tex005ag.Mtl
魁梧男叶上秋风装	m2_le_035.Mesh	m2_le_035a.Mtl
魁梧男摇铃听歌装	m2_le_036.Mesh	m2_le_036a.Mtl
魁梧男白露装	m2_le_038.Mesh	m2_le_038a.Mtl
魁梧男太守郡主装	m1_le_mod太守.Mesh	m1_le_mod太守.Mtl
魁梧男鸿影轻烟裤	m2_le_037.Mesh	m2_le_037a.Mtl
魁梧男唯我独尊装	m2_le_039.Mesh	m2_le_039a.Mtl
魁梧男霜叶红花装	m2_le_040.Mesh	m2_le_040a.Mtl
魁梧男猴年装	m2_le_041.Mesh	m2_le_041a.Mtl
魁梧男国士无双装	m2_le_042.Mesh	m2_le_042a.Mtl
魁梧男千岩月落装	m2_le_044.Mesh	m2_le_044a.Mtl
魁梧男扁舟夜泛装	m2_le_045.Mesh	m2_le_045a.Mtl
魁梧男看朱成碧装	m2_le_043.Mesh	m2_le_043a.Mtl
魁梧男春意盎然装	m2_le_057.Mesh	m2_le_057.Mtl
魁梧男问情装	m2_le_059.Mesh	m2_le_059.Mtl
魁梧男长乐未央装	m2_le_058.Mesh	m2_le_058.Mtl
魁梧男烁玉流金装	m2_le_060.Mesh	m2_le_060.Mtl
魁梧男金风玉露装	m2_le_061.Mesh	m2_le_061.Mtl
魁梧男傲雪凌霜装	m2_le_062.Mesh	m2_le_062.Mtl
魁梧男白雨跳珠装	m2_le_063.Mesh	m2_le_063.Mtl
魁梧男碧海秋夕装	m2_le_064.Mesh	m2_le_064.Mtl
魁梧男傲睨装	m2_le_065.Mesh	m2_le_065.Mtl
魁梧男暖日和风装	m2_le_066.Mesh	m2_le_066.Mtl
魁梧男碧城烟雨装	m2_le_067.Mesh	m2_le_067.Mtl
魁梧男荷风竹露装	m2_le_068.Mesh	m2_le_068.Mtl
魁梧男乞巧如意装	m2_le_069.Mesh	m2_le_069.Mtl
魁梧男晴绮照烟装	m2_le_070.Mesh	m2_le_070.Mtl
魁梧男暗香盈袖装	m2_le_071.Mesh	m2_le_071.Mtl
魁梧男飞鸿残霞装	m2_le_072.Mesh	m2_le_072.Mtl
魁梧男浮云暮寒装	m2_le_073.Mesh	m2_le_073.Mtl
魁梧男汀上白沙装	m2_le_074.Mesh	m2_le_074.Mtl
魁梧男熏梅染柳装	m2_le_075.Mesh	m2_le_075.Mtl
魁梧男烟笼寒江装	m2_le_076.Mesh	m2_le_076.Mtl
魁梧男涧影潭香装	m2_le_077.Mesh	m2_le_077.Mtl
魁梧男碧山晚云装	m2_le_078.Mesh	m2_le_078.Mtl
魁梧男晴空碧霄装	m2_le_080.Mesh	m2_le_080.Mtl
魁梧男落日孤城装	m2_le_082.Mesh	m2_le_082.Mtl
魁梧男秋风暮雨装	m2_le_079.Mesh	m2_le_079.Mtl
