装备显示类型	模型	贴图
标准男少年游（衣服）	m1_bd_008.Mesh	m1_bd_008a.Mtl
标准男相见欢（衣服）	m1_bd_007.Mesh	m1_bd_007a.Mtl
标准男圣诞衣	m1_bd_005.Mesh	m1_bd_005a.Mtl
标准男白金甲	m2_wz_bd_modjinjia.Mesh	m2_wz_bd_modbaijinjia.Mtl
标准男雷虎元帅衣	m1_bd_021.Mesh	m1_bd_021.Mtl
标准男雷虎将军衣	m1_bd_021b.Mesh	m1_bd_021b.Mtl
标准男灵徒衣	m1_bd_025.Mesh	m1_bd_025a.Mtl
标准男豪侠袍	m1_bd_026.Mesh	m1_bd_026a.Mtl
标准男火凤将军袍	m1_bd_014.Mesh	m1_bd_014b.Mtl
标准男火凤元帅袍	m1_bd_024.Mesh	m1_bd_024a.Mtl
标准男2012声望上衣01	m1_bd_001.Mesh	m1_bd_001a.Mtl
标准男2012声望上衣02	m1_bd_001.Mesh	m1_bd_001b.Mtl
标准男2012声望上衣03	m1_bd_001.Mesh	m1_bd_001c.Mtl
标准男自在唯我衣	m1_bd_004.Mesh	m1_bd_004a.Mtl
标准男倾国风流衣	m1_bd_009.Mesh	m1_bd_009a.Mtl
标准男策马天下衣	m1_bd_020.Mesh	m1_bd_020.Mtl
标准男逍遥衣紫3	m2_wz_bd_modxiaoyao02_cf.Mesh	m2_wz_bd_modxiaoyao02a_cf.Mtl
标准男逍遥衣蓝3	m2_wz_bd_modxiaoyao02_cf.Mesh	m2_wz_bd_modxiaoyao02b.Mtl
标准男逍遥衣浅绿3	m2_wz_bd_modxiaoyao02_cf.Mesh	m2_wz_bd_modxiaoyao02c.Mtl
标准男逍遥衣黑3	m2_wz_bd_modxiaoyao02_cf.Mesh	m2_wz_bd_modxiaoyao02d.Mtl
标准男逍遥衣绿3	m2_wz_bd_modxiaoyao02_cf.Mesh	m2_wz_bd_modxiaoyao02e.Mtl
标准男子夜衣	m1_bd_022a.Mesh	m1_bd_022a.Mtl
标准男金缕衣	m1_bd_022a.Mesh	m1_bd_022b.Mtl
标准男新门派衣峨眉	m1_bd_010.Mesh	m1_bd_010.Mtl
标准男新门派衣丐帮	m1_bd_011.Mesh	m1_bd_011.Mtl
标准男新门派衣武当	m1_bd_012.Mesh	m1_bd_012.Mtl
标准男新门派衣翠烟	m1_bd_013.Mesh	m1_bd_013.Mtl
标准男新门派衣杨门	m1_bd_014.Mesh	m1_bd_014.Mtl
标准男新门派衣少林	m1_bd_015.Mesh	m1_bd_015.Mtl
标准男新门派衣明教	m1_bd_016.Mesh	m1_bd_016.Mtl
标准男新门派衣五毒	m1_bd_017.Mesh	m1_bd_017.Mtl
标准男新门派衣唐门	m1_bd_018.Mesh	m1_bd_018.Mtl
标准男新门派衣昆仑	m1_bd_019.Mesh	m1_bd_019.Mtl
标准男蕙兰衣	m1_bd_028.Mesh	m1_bd_028a.Mtl
标准男长空衣	m2_other_mod004_bd.Mesh	m2_other_mod004_bd.Mtl
标准男藤紫兰衣	m1_bd_023.Mesh	m1_bd_023a.Mtl
标准男流火衣	m1_bd_024.Mesh	m1_bd_024a.Mtl
标准男姬灵衣白	m1_bd_029.Mesh	m1_bd_029a.Mtl
标准男姬灵衣橙	m1_bd_029.Mesh	m1_bd_029b.Mtl
标准男绛云衣a	m1_bd_032.Mesh	m1_bd_032a.Mtl
标准男绛云衣b	m1_bd_032.Mesh	m1_bd_032b.Mtl
标准男鹤归衣	m1_bd_031.Mesh	m1_bd_031a.Mtl
标准男青羽衣	m1_bd_021.Mesh	m1_bd_021a.Mtl
标准男红影衣	m1_bd_025.Mesh	m1_bd_025a.Mtl
标准男雁丘衣	m1_bd_026.Mesh	m1_bd_026a.Mtl
标准男简清衣	m1_bd_027.Mesh	m1_bd_027a.Mtl
标准男孔雀明王衣	m1_bd_030.Mesh	m1_bd_030a.Mtl
标准男桃夭衣	m1_bd_033.Mesh	m1_bd_033a.Mtl
标准男宫商衣	m1_bd_034.Mesh	m1_bd_034a.Mtl
标准男卫国衣	m2_wz_bd_mod001g.Mesh	m2_wz_bd_tex001ag.Mtl
标准男宋军衣	m2_wz_bd_mod004g.Mesh	m2_wz_bd_tex004ag.Mtl
标准男辽军衣	m2_wz_bd_mod005g.Mesh	m2_wz_bd_tex005ag.Mtl
标准男叶上秋风衣	m1_bd_035.Mesh	m1_bd_035a.Mtl
标准男摇铃听歌衣	m1_bd_036.Mesh	m1_bd_036a.Mtl
标准男白露衣	m1_bd_038.Mesh	m1_bd_038a.Mtl
标准男太守郡主衣	m2_bd_mod太守.Mesh	m2_bd_mod太守.Mtl
标准男鸿影轻烟衣	m1_bd_037.Mesh	m1_bd_037a.Mtl
标准男唯我独尊衣	m1_bd_039.Mesh	m1_bd_039a.Mtl
标准男霜叶红花衣	m1_bd_040.Mesh	m1_bd_040a.Mtl
标准男猴年衣	m1_bd_041.Mesh	m1_bd_041a.Mtl
标准男国士无双衣	m1_bd_042.Mesh	m1_bd_042a.Mtl
标准男千岩月落衣	m1_bd_044.Mesh	m1_bd_044a.Mtl
标准男扁舟夜泛衣	m1_bd_045.Mesh	m1_bd_045a.Mtl
标准男看朱成碧衣	m1_bd_043.Mesh	m1_bd_043a.Mtl
标准男春意盎然衣	m1_bd_057.Mesh	m1_bd_057.Mtl
标准男问情衣	m1_bd_059.Mesh	m1_bd_059.Mtl
标准男长乐未央衣	m1_bd_058.Mesh	m1_bd_058.Mtl
标准男烁玉流金衣	m1_bd_060.Mesh	m1_bd_060.Mtl
标准男金风玉露衣	m1_bd_061.Mesh	m1_bd_061.Mtl
标准男傲雪凌霜衣	m1_bd_062.Mesh	m1_bd_062.Mtl
标准男白雨跳珠衣	m1_bd_063.Mesh	m1_bd_063.Mtl
标准男碧海秋夕衣	m1_bd_064.Mesh	m1_bd_064.Mtl
标准男傲睨衣	m1_bd_065.Mesh	m1_bd_065.Mtl
标准男暖日和风衣	m1_bd_066.Mesh	m1_bd_066.Mtl
标准男碧城烟雨衣	m1_bd_067.Mesh	m1_bd_067.Mtl
标准男荷风竹露衣	m1_bd_068.Mesh	m1_bd_068.Mtl
标准男乞巧如意衣	m1_bd_069.Mesh	m1_bd_069.Mtl
标准男晴绮照烟衣	m1_bd_070.Mesh	m1_bd_070.Mtl
标准男暗香盈袖衣	m1_bd_071.Mesh	m1_bd_071.Mtl
标准男飞鸿残霞衣	m1_bd_072.Mesh	m1_bd_072.Mtl
标准男浮云暮寒衣	m1_bd_073.Mesh	m1_bd_073.Mtl
标准男汀上白沙衣	m1_bd_074.Mesh	m1_bd_074.Mtl
标准男熏梅染柳衣	m1_bd_075.Mesh	m1_bd_075.Mtl
标准男烟笼寒江衣	m1_bd_076.Mesh	m1_bd_076.Mtl
标准男涧影潭香衣	m1_bd_077.Mesh	m1_bd_077.Mtl
标准男碧山晚云衣	m1_bd_078.Mesh	m1_bd_078.Mtl
标准男晴空碧霄衣	m1_bd_080.Mesh	m1_bd_080.Mtl
标准男落日孤城衣	m1_bd_082.Mesh	m1_bd_082.Mtl
标准男秋风暮雨衣	m1_bd_079.Mesh	m1_bd_079.Mtl
