装备显示类型	模型	贴图
紫玉长锋	ziyuchangfeng.Mesh	ziyuchangfeng.Mtl
玉麒麟	yiqiling.Mesh	yiqiling.Mtl
火麒麟	yiqiling.Mesh	huoqiling.Mtl
豹子	yezibao.Mesh	yezibao.Mtl
象	xiang.Mesh	xiang.Mtl
虎1	hu01.Mesh	hu01.Mtl
虎2	hu01.Mesh	hu02.Mtl
古阳兽	guyanghou.Mesh	guyanghou.Mtl
牦牛	maoniu.Mesh	maoniu.Mtl
牦牛2	maoniu.Mesh	maoniu_blue.Mtl
牦牛3	maoniu.Mesh	maoniu_gold.Mtl
虎3	hu01.Mesh	hu03.Mtl
豹子2	yezibao.Mesh	baozibai.Mtl
豹子3	yezibao.Mesh	baozijin.Mtl
金麒麟	yiqiling.Mesh	jinqiling.Mtl
水麒麟	yiqiling.Mesh	shuiqiling.Mtl
白兔子	tuzi.Mesh	baituzi.Mtl
黑兔子	tuzi.Mesh	heituzi.Mtl
花兔子	tuzi.Mesh	huatuzi.Mtl
飞天御鹿（红）	shengdanjiemache.Mesh	shengdanhong.Mtl
飞天御鹿（绿）	shengdanjiemache.Mesh	shengdanlv.Mtl
飞天御鹿（绿金）	shengdanjiemache.Mesh	shengdanlvjia.Mtl
白骆驼	luotuobai.Mesh	luotuobai.Mtl
灰骆驼	luotuohui.Mesh	luotuohui.Mtl
熊猫萌萌	xiongmao.Mesh	xiongmao.Mtl
白晓	ma034.Mesh	ma034a.Mtl
清晓	ma035.Mesh	ma035a.Mtl
拂晓	ma036.Mesh	ma036a.Mtl
破晓	ma037.Mesh	ma037a.Mtl
梅花鹿（黄）	lu.Mesh	deer_yellow.Mtl
神兽辟邪	ma_TY_bixie.Mesh	ma_TY_bixie_yu2.Mtl
三尾狐	jiuweihu03.Mesh	jiuweihu03.Mtl
火狐	jwh01.Mesh	jiuweihu01a.Mtl
舞狮	nianshou.mesh	mod148b.mtl
斑马	ma039.Mesh	ma039a.Mtl
五尾狐	jiuweihu05.Mesh	jiuweihu05.Mtl
萝卜白兔	tuzi2.Mesh	baituzi2.Mtl
青莲花	lianhuazuo.Mesh	lianhuazuolan.Mtl
始皇战车	shihuangzuojia.Mesh	shihuangzuojia.Mtl
飞鸢	feiyuan.Mesh	feiyuan.Mtl
金甲黑山	J2yang03.Mesh	J2yang03.Mtl
白羊小咩	J2yang01.Mesh	J2yang01.Mtl
独角兽	dujiaoshou.Mesh	dujiaoshou.Mtl
白莲花	lianhuazuo.Mesh	lianhuazuobai.Mtl
红莲花	lianhuazuo.Mesh	lianhuazuohong.Mtl
紫莲花	lianhuazuo.Mesh	lianhuazuozi.Mtl
梅花鹿（红）	lu.Mesh	deer_red.Mtl
梅花鹿（黑）	lu.Mesh	deer_black.Mtl
梅花鹿（白）	lu.Mesh	deer_white.Mtl
绛云赤霄剑	kunxuyuyaojian.Mesh	kunyuxiaojian_4.Mtl
白露霜华剑	kunxuyuyaojian.Mesh	kunyuxiaojian_5.Mtl
无妄无尘剑	kunxuyuyaojian.Mesh	kunyuxiaojian_6.Mtl
秦马戎车	shihuangzhanche.Mesh	shihuangzhanche.Mtl
吉祥仙鹤	xianhe1.Mesh	xianhe1.Mtl
祥瑞仙鹤	xianhe2.Mesh	xianhe2.Mtl
雪银祥瑞仙鹤	xianhe3.Mesh	xianhe3.Mtl
金玉祥瑞仙鹤	xianhe4.Mesh	xianhe4.Mtl
九尾狐	jiuweihu09.Mesh	jiuweihu09.Mtl
雪猊	shizi01.Mesh	shizi01.Mtl
风猊	shizi02.Mesh	shizi02.Mtl
灵猊	shizi03.Mesh	shizi03.Mtl
战猊	shizi04.Mesh	shizi04.Mtl
黄猊	shizi05.Mesh	shizi05.Mtl
白猊	shizi06.Mesh	shizi06.Mtl
白熊1	baizelinshou1.Mesh	baizelinshou1.Mtl
白熊2	baizelinshou2.Mesh	baizelinshou2.Mtl
白熊3	baizelinshou3.Mesh	baizelinshou3.Mtl
白熊4	baizelinshou4.Mesh	baizelinshou4.Mtl
