装备显示类型	模型	贴图
标准男新高明教头	m2_mp_hd_mod010.Mesh	m2_mp_hd_mod010.Mtl
标准男少年游（帽子）	m1_hd_008.Mesh	m1_hd_008a.Mtl
标准男相见欢（帽子）	m1_hd_007.Mesh	m1_hd_007a.Mtl
标准男自在唯我冠	m2_hd_004.Mesh	m2_hd_004a.Mtl
标准男倾国风流冠	m1_hd_009.Mesh	m1_hd_009a.Mtl
标准男策马天下头	m1_hd_020.Mesh	m1_hd_020.Mtl
标准男逍遥头紫3	m2_wz_hd_modxiaoyao02.Mesh	m2_wz_hd_modxiaoyao02a.Mtl
标准男逍遥头蓝3	m2_wz_hd_modxiaoyao02.Mesh	m2_wz_hd_modxiaoyao02a.Mtl
标准男逍遥头浅绿3	m2_wz_hd_modxiaoyao02.Mesh	m2_wz_hd_modxiaoyao02a.Mtl
标准男逍遥头黑3	m2_wz_hd_modxiaoyao02.Mesh	m2_wz_hd_modxiaoyao02a.Mtl
标准男逍遥头绿3	m2_wz_hd_modxiaoyao02.Mesh	m2_wz_hd_modxiaoyao02a.Mtl
标准男子夜头	m1_hd_022a.Mesh	m1_hd_022a.Mtl
标准男金缕头	m1_hd_022a.Mesh	m1_hd_022b.Mtl
标准男新门派头峨眉	m1_hd_010.Mesh	m1_hd_010.Mtl
标准男新门派头丐帮	m1_hd_011.Mesh	m1_hd_011.Mtl
标准男新门派头武当	m1_hd_012.Mesh	m1_hd_012.Mtl
标准男新门派头翠烟	m1_hd_013.Mesh	m1_hd_013.Mtl
标准男新门派头杨门	m1_hd_014.Mesh	m1_hd_014.Mtl
标准男新门派头少林	m1_hd_015.Mesh	m1_hd_015.Mtl
标准男新门派头明教	m1_hd_016.Mesh	m1_hd_016.Mtl
标准男新门派头五毒	m1_hd_017.Mesh	m1_hd_017.Mtl
标准男新门派头唐门	m1_hd_018.Mesh	m1_hd_018.Mtl
标准男新门派头昆仑	m1_hd_019.Mesh	m1_hd_019.Mtl
标准男蕙兰头	m1_hd_028.Mesh	m1_hd_028a.Mtl
标准男长空头	m2_other_mod004_hd.Mesh	m2_other_mod004_hd.Mtl
标准男藤紫兰头	m1_hd_023.Mesh	m1_hd_023a.Mtl
标准男流火头	m1_hd_024.Mesh	m1_hd_024a.Mtl
标准男姬灵头白	m1_hd_029.Mesh	m1_hd_029a.Mtl
标准男姬灵头橙	m1_hd_029.Mesh	m1_hd_029b.Mtl
标准男绛云头a	m1_hd_032.Mesh	m1_hd_032a.Mtl
标准男绛云头b	m1_hd_032.Mesh	m1_hd_032b.Mtl
标准男鹤归头	m1_hd_031.Mesh	m1_hd_031a.Mtl
标准男青羽头	m1_hd_021.Mesh	m1_hd_021a.Mtl
标准男红影头	m1_hd_025.Mesh	m1_hd_025a.Mtl
标准男雁丘头	m1_hd_026.Mesh	m1_hd_026a.Mtl
标准男简清头	m1_hd_027.Mesh	m1_hd_027a.Mtl
标准男孔雀明王头	m1_hd_030.Mesh	m1_hd_030a.Mtl
标准男桃夭头	m1_hd_033.Mesh	m1_hd_033a.Mtl
标准男宫商头	m1_hd_034.Mesh	m1_hd_034a.Mtl
标准男卫国头	m2_wz_hd_mod001g.Mesh	m2_wz_hd_tex001ag.Mtl
标准男宋军头	m2_wz_hd_mod004g.Mesh	m2_wz_hd_tex004ag.Mtl
标准男辽军头	m2_wz_hd_mod005g.Mesh	m2_wz_hd_tex005ag.Mtl
标准男叶上秋风头	m1_hd_035.Mesh	m1_hd_035a.Mtl
标准男摇铃听歌头	m1_hd_036.Mesh	m1_hd_036a.Mtl
标准男白露头	m1_hd_038.Mesh	m1_hd_038a.Mtl
标准男太守郡主头	m2_hd_mod太守.Mesh	m2_hd_mod太守.Mtl
标准男鸿影轻烟头	m1_hd_037.Mesh	m1_hd_037a.Mtl
标准男唯我独尊头	m1_hd_039.Mesh	m1_hd_039a.Mtl
标准男霜叶红花头	m1_hd_040.Mesh	m1_hd_040a.Mtl
标准男猴年头	m1_hd_041.Mesh	m1_hd_041a.Mtl
标准男国士无双头	m1_hd_042.Mesh	m1_hd_042a.Mtl
标准男千岩月落头	m1_hd_044.Mesh	m1_hd_044a.Mtl
标准男扁舟夜泛头	m1_hd_045.Mesh	m1_hd_045a.Mtl
标准男看朱成碧头	m1_hd_043.Mesh	m1_hd_043a.Mtl
标准男春意盎然头	m1_hd_057.Mesh	m1_hd_057.Mtl
标准男问情头	m1_hd_059.Mesh	m1_hd_059.Mtl
标准男长乐未央头	m1_hd_058.Mesh	m1_hd_058.Mtl
标准男烁玉流金头	m1_hd_060.Mesh	m1_hd_060.Mtl
标准男金风玉露头	m1_hd_061.Mesh	m1_hd_061.Mtl
标准男傲雪凌霜头	m1_hd_062.Mesh	m1_hd_062.Mtl
标准男白雨跳珠头	m1_hd_063.Mesh	m1_hd_063.Mtl
标准男碧海秋夕头	m1_hd_064.Mesh	m1_hd_064.Mtl
标准男傲睨头	m1_hd_065.Mesh	m1_hd_065.Mtl
标准男暖日和风头	m1_hd_066.Mesh	m1_hd_066.Mtl
标准男碧城烟雨头	m1_hd_067.Mesh	m1_hd_067.Mtl
标准男荷风竹露头	m1_hd_068.Mesh	m1_hd_068.Mtl
标准男乞巧如意头	m1_hd_069.Mesh	m1_hd_069.Mtl
标准男晴绮照烟头	m1_hd_070.Mesh	m1_hd_070.Mtl
标准男暗香盈袖头	m1_hd_071.Mesh	m1_hd_071.Mtl
标准男飞鸿残霞头	m1_hd_072.Mesh	m1_hd_072.Mtl
标准男浮云暮寒头	m1_hd_073.Mesh	m1_hd_073.Mtl
标准男汀上白沙头	m1_hd_074.Mesh	m1_hd_074.Mtl
标准男熏梅染柳头	m1_hd_075.Mesh	m1_hd_075.Mtl
标准男烟笼寒江头	m1_hd_076.Mesh	m1_hd_076.Mtl
标准男涧影潭香头	m1_hd_077.Mesh	m1_hd_077.Mtl
标准男碧山晚云头	m1_hd_078.Mesh	m1_hd_078.Mtl
标准男晴空碧霄头	m1_hd_080.Mesh	m1_hd_080.Mtl
标准男落日孤城头	m1_hd_082.Mesh	m1_hd_082.Mtl
标准男秋风暮雨头	m1_hd_079.Mesh	m1_hd_079.Mtl
标准男月满千重头	m1_hd_081.Mesh	m1_hd_081.Mtl
标准男霜轻萋萋头	m1_hd_083.Mesh	m1_hd_083.Mtl
标准男潇湘烟暝头	m1_hd_084.Mesh	m1_hd_084.Mtl
标准男霜华月明头	m1_hd_085.Mesh	m1_hd_085.Mtl
标准男琼树桂魄头	m1_hd_086.Mesh	m1_hd_086.Mtl
标准男胭脂雪落头	m1_hd_087.Mesh	m1_hd_087.Mtl
标准男刹那昙华头	m1_xz_hd_009.Mesh	m1_xz_hd_009.Mtl
标准男寒塘雁迟头	m1_xz_hd_011.Mesh	m1_xz_hd_011.Mtl
标准男碧海潮生头	m1_xz_hd_012.Mesh	m1_xz_hd_012.Mtl
标准男玉人金缕头	m1_xz_hd_014.Mesh	m1_xz_hd_014.Mtl
标准男柳梢云雾头	m1_hd_088.Mesh	m1_hd_088.Mtl
标准男绿芜清霜头	m1_hd_090.Mesh	m1_hd_090.Mtl
标准男微霭和风头	m1_hd_089.Mesh	m1_hd_089.Mtl
标准男香泽桃蹊头	m1_hd_091.Mesh	m1_hd_091.Mtl
标准男幽草晚晴头	m1_hd_092.Mesh	m1_hd_092.Mtl
标准男露华香雪头	m1_hd_093.Mesh	m1_hd_093.Mtl
标准男霜月素娥头	m1_hd_094.Mesh	m1_hd_094.Mtl
标准男落露为霜头	m1_hd_095.Mesh	m1_hd_095.Mtl
标准男浮云晚翠头	m1_hd_096.Mesh	m1_hd_096.Mtl
标准男寒磬空林头	m1_hd_097.Mesh	m1_hd_097.Mtl
标准男云阶月地头	m1_hd_098.Mesh	m1_hd_098.Mtl
标准男薄暮清秋头	m1_hd_099.Mesh	m1_hd_099.Mtl
标准男雪霁寒霄头	m1_hd_100.Mesh	m1_hd_100.Mtl
标准男冰池寒鹭头	m1_hd_101.Mesh	m1_hd_101.Mtl
标准男青竹琼枝头	m1_hd_102.Mesh	m1_hd_102.Mtl
标准男寒初清夜头	m1_hd_103.Mesh	m1_hd_103.Mtl
标准男彩旆明珰头	m1_hd_104.Mesh	m1_hd_104.Mtl
标准男飞香冻草头	m1_hd_105.Mesh	m1_hd_105.Mtl
标准男凌波翠袖头	m1_hd_106.Mesh	m1_hd_106.Mtl
标准男烛明清霜头	m1_hd_107.Mesh	m1_hd_107.Mtl
标准男春山揽月头	m1_hd_108.Mesh	m1_hd_108.Mtl
标准男青枫流霜头	m1_hd_109.Mesh	m1_hd_109.Mtl
标准男清和晨暮头	m1_hd_110.Mesh	m1_hd_110.Mtl
标准男夏意流莺头	m1_hd_111.Mesh	m1_hd_111.Mtl
标准男风清疏帘头	m1_hd_112.Mesh	m1_hd_112.Mtl
标准男苍翠暮蝉头	m1_hd_113.Mesh	m1_hd_113.Mtl
标准男青露汀草头	m1_hd_114.Mesh	m1_hd_114.Mtl
标准男碧影晚寒头	m1_hd_115.Mesh	m1_hd_115.Mtl
标准男雪睛云淡头	m1_hd_116.Mesh	m1_hd_116.Mtl
标准男揉香弄影头	m1_hd_118.Mesh	m1_hd_118.Mtl
标准男寒光云山头	m1_hd_119.Mesh	m1_hd_119.Mtl
标准男寒樱枝白头	m1_hd_120.Mesh	m1_hd_120.Mtl
标准男清景绿柳头	m1_hd_121.Mesh	m1_hd_121.Mtl
标准男轻风花影头	m1_hd_122.Mesh	m1_hd_122.Mtl
标准男如酥烟柳头	m1_hd_123.Mesh	m1_hd_123.Mtl
标准男三生三世头	m1_xz_hd_018.Mesh	m1_xz_hd_018.Mtl
标准男巧玲珑头	m1_xz_hd_020.Mesh	m1_xz_hd_020.Mtl
标准男杏雨薄纱头	m1_hd_124.Mesh	m1_hd_124.Mtl
标准男十里湖光头	m1_hd_125.Mesh	m1_hd_125.Mtl
标准男玄霜碧空头	m1_hd_126.Mesh	m1_hd_126.Mtl
标准男深雪梅见头	m1_hd_127.Mesh	m1_hd_127.Mtl
标准男湖光秋月头	m1_hd_128.Mesh	m1_hd_128.Mtl
标准男青嶂碧流头	m1_hd_129.Mesh	m1_hd_129.Mtl
标准男山青如画头	m1_hd_130.Mesh	m1_hd_130.Mtl
标准男烟波沉沉头	m1_hd_131.Mesh	m1_hd_131.Mtl
标准男淡烟疏雨头	m1_hd_132.Mesh	m1_hd_132.Mtl
标准男翠云千叠头	m1_hd_133.Mesh	m1_hd_133.Mtl
标准男玉雪玲珑头	m1_hd_134.Mesh	m1_hd_134.Mtl
标准男天纵惊鸿头	m1_xz_hd_013.Mesh	m1_xz_hd_013.Mtl
标准男琴瑟和鸣头	m1_xz_hd_017.Mesh	m1_xz_hd_017.Mtl
标准男仓央嘉措头	m1_xz_hd_015.Mesh	m1_xz_hd_015.Mtl
标准男龙门望鲤头	m1_xz_hd_016.Mesh	m1_xz_hd_016.Mtl
标准男暗夜流离头	m1_xz_hd_019.Mesh	m1_xz_hd_019.Mtl
标准男雪霁兰芽头	m1_xz_hd_021.Mesh	m1_xz_hd_021.Mtl
标准男百花流风头	m1_xz_hd_001.Mesh	m1_xz_hd_001.Mtl
标准男朱萼荧煌头	m1_hd_135.Mesh	m1_hd_135.Mtl
标准男纤云空月头	m1_hd_136.Mesh	m1_hd_136.Mtl
标准男江城橘柚头	m1_hd_137.Mesh	m1_hd_137.Mtl
标准男山楹松声头	m1_hd_138.Mesh	m1_hd_138.Mtl
标准男银屏微寒头	m1_hd_139.Mesh	m1_hd_139.Mtl
标准男枝露琴埃头	m1_hd_140.Mesh	m1_hd_140.Mtl
标准男遥山暮雨头	m1_hd_141.Mesh	m1_hd_141.Mtl
标准男繁霜霏霏头	m1_hd_142.Mesh	m1_hd_142.Mtl
标准男长留云阳头	m1_hd_143.Mesh	m1_hd_143.Mtl
标准男风暖花影头	m1_hd_144.Mesh	m1_hd_144.Mtl
标准男莞然沧浪头	m1_hd_145.Mesh	m1_hd_145.Mtl
标准男柳轻碎荷头	m1_hd_146.Mesh	m1_hd_146.Mtl
标准男杨花雪飞头	m1_hd_147.Mesh	m1_hd_147.Mtl
