装备显示类型	模型	贴图
娇小女越南部头	fm1_YNnanbuhead.Mesh	fm1_YNnanbuhead.Mtl
娇小女越南头	fm1_YNzhongbuhead.Mesh	fm1_YNzhongbuhead.Mtl
娇小女资料片白头	f1_yn_hd_bai01.Mesh	f1_yn_hd_bai01.Mtl
娇小女资料片红头	f1_yn_hd_hong01.Mesh	f1_yn_hd_hong01.Mtl
娇小女资料片黄头	f1_yn_hd_huang01.Mesh	f1_yn_hd_huang01.Mtl
娇小女七夕头	f1_yn_qx_hd_hong01.Mesh	f1_yn_qx_hd_hong01.Mtl
娇小女火云乌夜头	f1_TY_feihong_head.Mesh	f1_TY_feihong_head.Mtl
娇小女天波破阵头	f1_TY_yangzhong_head.Mesh	f1_TY_yangzhong_head.Mtl
娇小女黯魂鎏金头	f1_TY_huanghuo_head.Mesh	f1_TY_huanghuo_head.Mtl
娇小女唐门高级外装头	f1_mp_hd_mod008.Mesh	f1_mp_hd_mod008.Mtl
娇小女武当高级外装头	f1_mp_hd_mod004.Mesh	f1_mp_hd_mod004.Mtl
娇小女丐帮高级外装头	f1_mp_hd_mod006.Mesh	f1_mp_hd_mod006.Mtl
娇小女峨眉高级外装头	f1_mp_hd_mod002.Mesh	f1_mp_hd_mod002.Mtl
娇小女杨门高级外装头	f1_mp_hd_mod014.Mesh	f1_mp_hd_mod014.Mtl
娇小女五毒高级外装头	f1_mp_hd_mod018.Mesh	f1_mp_hd_mod018.Mtl
娇小女明教高级外装头	f1_mp_hd_mod010.Mesh	f1_mp_hd_mod010.Mtl
娇小女翠烟高级外装头	f1_mp_hd_mod012.Mesh	f1_mp_hd_mod012.Mtl
娇小女2012声望头部01	f1_hd_001.Mesh	f1_hd_001a.Mtl
娇小女2012声望头部02	f1_hd_001.Mesh	f1_hd_001b.Mtl
娇小女2012声望头部03	f1_hd_001.Mesh	f1_hd_001c.Mtl
娇小女飞絮青冥盔	f1_hd_002.Mesh	f1_hd_002a.Mtl
娇小女铁意凌风巾	f1_hd_002.Mesh	f1_hd_002b.Mtl
娇小女红绡金麟盔	f1_hd_002.Mesh	f1_hd_002c.Mtl
娇小女天羽袈裟头	f1_YY_shaluo_hd.Mesh	f1_YY_shaluo_hd.Mtl
娇小女辰蛇在岁簪	f1_hd_006.Mesh	f1_hd_006a.Mtl
娇小女新低道士头	f1_mp_hd_003.Mesh	f1_mp_hd_003.Mtl
娇小女新低峨嵋头	f1_mp_hd_001.Mesh	f1_mp_hd_001.Mtl
娇小女新低丐帮头	f1_mp_hd_005.Mesh	f1_mp_hd_005.Mtl
娇小女新低唐门头	f1_mp_hd_007.Mesh	f1_mp_hd_007.Mtl
娇小女新低杨门头	f1_mp_hd_013.Mesh	f1_mp_hd_013.Mtl
娇小女新低五毒头	f1_mp_hd_017.Mesh	f1_mp_hd_017.Mtl
娇小女新低翠烟头	f1_mp_hd_011.Mesh	f1_mp_hd_011.Mtl
娇小女新低明教头	f1_mp_hd_009.Mesh	f1_mp_hd_009.Mtl
娇小女新高道士头	f1_mp_hd_mod004.Mesh	f1_mp_hd_mod004.Mtl
娇小女新高峨嵋头	f1_mp_hd_mod002.Mesh	f1_mp_hd_mod002.Mtl
娇小女新高丐帮头	f1_mp_hd_mod006.Mesh	f1_mp_hd_mod006.Mtl
娇小女新高唐门头	f1_hd_mod003.mesh	f1_hd_mod003a.mtl
娇小女新高杨门头	f1_mp_hd_mod014.Mesh	f1_mp_hd_mod014.Mtl
娇小女新高五毒头	f1_mp_hd_mod018.Mesh	f1_mp_hd_mod018.Mtl
娇小女新高翠烟头	f1_mp_hd_mod012.Mesh	f1_mp_hd_mod012.Mtl
娇小女新高明教头	f1_hd_mod003.mesh	f1_hd_mod003a.mtl
娇小女相见欢（帽子）	f1_hd_007.Mesh	f1_hd_007a.Mtl
娇小女少年游（帽子）	f1_hd_008.Mesh	f1_hd_008a.Mtl
娇小女自在唯我簪	f1_hd_004.Mesh	f1_hd_004a.Mtl
娇小女倾国风流簪	f1_hd_009.Mesh	f1_hd_009a.Mtl
娇小女流风回雪簪	f1_hd_009.Mesh	f1_hd_009a.Mtl
娇小女策马天下头	f1_hd_020.Mesh	f1_hd_020.Mtl
娇小女子夜头	f1_hd_022a.Mesh	f1_hd_022a.Mtl
娇小女金缕头	f1_hd_022a.Mesh	f1_hd_022b.Mtl
娇小女新门派头峨眉	f1_hd_010.Mesh	f1_hd_010a.Mtl
娇小女新门派头丐帮	f1_hd_011.Mesh	f1_hd_011a.Mtl
娇小女新门派头武当	f1_hd_012.Mesh	f1_hd_012a.Mtl
娇小女新门派头翠烟	f1_hd_013.Mesh	f1_hd_013.Mtl
娇小女新门派头杨门	f1_hd_014.Mesh	f1_hd_014.Mtl
娇小女新门派头少林	f1_hd_015.Mesh	f1_hd_015.Mtl
娇小女新门派头明教	f1_hd_016.Mesh	f1_hd_016.Mtl
娇小女新门派头五毒	f1_hd_017.Mesh	f1_hd_017.Mtl
娇小女新门派头唐门	f1_hd_018.Mesh	f1_hd_018.Mtl
娇小女新门派头昆仑	f1_hd_019.Mesh	f1_hd_019.Mtl
娇小女蕙兰头	f1_hd_028a.Mesh	f1_hd_028a.Mtl
娇小女长空头	f1_other_mod004_hd.Mesh	f1_other_mod004_hd.Mtl
娇小女藤紫兰头	f1_hd_023.Mesh	f1_hd_023a.Mtl
娇小女流火头	f1_hd_024.Mesh	f1_hd_024a.Mtl
娇小女姬灵头白	f1_hd_029.Mesh	f1_hd_029a.Mtl
娇小女姬灵头橙	f1_hd_029.Mesh	f1_hd_029b.Mtl
娇小女绛云头a	f1_hd_032.Mesh	f1_hd_032a.Mtl
娇小女绛云头b	f1_hd_032.Mesh	f1_hd_032b.Mtl
娇小女鹤归头	f1_hd_031.Mesh	f1_hd_031a.Mtl
娇小女青羽头	f1_hd_021.Mesh	f1_hd_021a.Mtl
娇小女红影头	f1_hd_025.Mesh	f1_hd_025a.Mtl
娇小女雁丘头	f1_hd_026.Mesh	f1_hd_026a.Mtl
娇小女简清头	f1_hd_027.Mesh	f1_hd_027a.Mtl
娇小女孔雀明王头	f1_hd_030.Mesh	f1_hd_030a.Mtl
娇小女桃夭头	f1_hd_033.Mesh	f1_hd_033a.Mtl
娇小女宫商头	f1_hd_034.Mesh	f1_hd_034a.Mtl
娇小女卫国头	f1_wz_hd_mod001g.Mesh	f1_wz_hd_tex001ag.Mtl
娇小女宋军头	f1_wz_hd_mod004g.Mesh	f1_wz_hd_tex004ag.Mtl
娇小女辽军头	f1_wz_hd_mod005g.Mesh	f1_wz_hd_tex005ag.Mtl
娇小女叶上秋风头	f1_hd_035.Mesh	f1_hd_035a.Mtl
娇小女摇铃听歌头	f1_hd_036.Mesh	f1_hd_036a.Mtl
娇小女白露头	f1_hd_038.Mesh	f1_hd_038a.Mtl
娇小女太守郡主头	f1_hd_mod太守.Mesh	f1_hd_mod太守.Mtl
娇小女鸿影轻烟头	f1_hd_037.Mesh	f1_hd_037a.Mtl
娇小女唯我独尊头	f1_hd_039.Mesh	f1_hd_039a.Mtl
娇小女霜叶红花头	f1_hd_040.Mesh	f1_hd_040a.Mtl
娇小女猴年头	f1_hd_041.Mesh	f1_hd_041a.Mtl
娇小女国士无双头	f1_hd_042.Mesh	f1_hd_042a.Mtl
娇小女千岩月落头	f1_hd_044.Mesh	f1_hd_044a.Mtl
娇小女扁舟夜泛头	f1_hd_045.Mesh	f1_hd_045a.Mtl
娇小女看朱成碧头	f1_hd_043.Mesh	f1_hd_043a.Mtl
娇小女春意盎然头	f1_hd_057.Mesh	f1_hd_057.Mtl
娇小女问情头	f1_hd_059.Mesh	f1_hd_059.Mtl
娇小女长乐未央头	f1_hd_058.Mesh	f1_hd_058.Mtl
娇小女烁玉流金头	f1_hd_060.Mesh	f1_hd_060.Mtl
娇小女金风玉露头	f1_hd_061.Mesh	f1_hd_061.Mtl
娇小女傲雪凌霜头	f1_hd_062.Mesh	f1_hd_062.Mtl
娇小女白雨跳珠头	f1_hd_063.Mesh	f1_hd_063.Mtl
娇小女碧海秋夕头	f1_hd_064.Mesh	f1_hd_064.Mtl
娇小女傲睨头	f1_hd_065.Mesh	f1_hd_065.Mtl
娇小女暖日和风头	f1_hd_066.Mesh	f1_hd_066.Mtl
娇小女碧城烟雨头	f1_hd_067.Mesh	f1_hd_067.Mtl
娇小女荷风竹露头	f1_hd_068.Mesh	f1_hd_068.Mtl
娇小女乞巧如意头	f1_hd_069.mesh	f1_hd_069.mtl
娇小女晴绮照烟头	f1_hd_070.Mesh	f1_hd_070.Mtl
娇小女暗香盈袖头	f1_hd_071.Mesh	f1_hd_071.Mtl
娇小女飞鸿残霞头	f1_hd_072.Mesh	f1_hd_072.Mtl
娇小女浮云暮寒头	f1_hd_073.Mesh	f1_hd_073.Mtl
娇小女汀上白沙头	f1_hd_074.Mesh	f1_hd_074.Mtl
娇小女熏梅染柳头	f1_hd_075.Mesh	f1_hd_075.Mtl
娇小女烟笼寒江头	f1_hd_076.Mesh	f1_hd_076.Mtl
娇小女涧影潭香头	f1_hd_077.Mesh	f1_hd_077.Mtl
娇小女碧山晚云头	f1_hd_078.Mesh	f1_hd_078.Mtl
娇小女晴空碧霄头	f1_hd_080.Mesh	f1_hd_080.Mtl
娇小女落日孤城头	f1_hd_082.Mesh	f1_hd_082.Mtl
娇小女秋风暮雨头	f1_hd_079.Mesh	f1_hd_079.Mtl
娇小女月满千重头	f1_hd_081.Mesh	f1_hd_081.Mtl
娇小女霜轻萋萋头	f1_hd_083.Mesh	f1_hd_083.Mtl
娇小女潇湘烟暝头	f1_hd_084.Mesh	f1_hd_084.Mtl
娇小女霜华月明头	f1_hd_085.Mesh	f1_hd_085.Mtl
娇小女琼树桂魄头	f1_hd_086.Mesh	f1_hd_086.Mtl
娇小女胭脂雪落头	f1_hd_087.Mesh	f1_hd_087.Mtl
娇小女刹那昙华头	f1_xz_hd_009.Mesh	f1_xz_hd_009.Mtl
娇小女寒塘雁迟头	f1_xz_hd_011.Mesh	f1_xz_hd_011.Mtl
娇小女碧海潮生头	f1_xz_hd_012.Mesh	f1_xz_hd_012.Mtl
娇小女玉人金缕头	f1_xz_hd_014.Mesh	f1_xz_hd_014.Mtl
娇小女柳梢云雾头	f1_hd_088.Mesh	f1_hd_088.Mtl
娇小女绿芜清霜头	f1_hd_090.Mesh	f1_hd_090.Mtl
娇小女微霭和风头	f1_hd_089.Mesh	f1_hd_089.Mtl
娇小女香泽桃蹊头	f1_hd_091.Mesh	f1_hd_091.Mtl
娇小女幽草晚晴头	f1_hd_092.Mesh	f1_hd_092.Mtl
娇小女露华香雪头	f1_hd_093.Mesh	f1_hd_093.Mtl
娇小女霜月素娥头	f1_hd_094.Mesh	f1_hd_094.Mtl
娇小女落露为霜头	f1_hd_095.Mesh	f1_hd_095.Mtl
娇小女浮云晚翠头	f1_hd_096.Mesh	f1_hd_096.Mtl
娇小女寒磬空林头	f1_hd_097.Mesh	f1_hd_097.Mtl
娇小女云阶月地头	f1_hd_098.Mesh	f1_hd_098.Mtl
娇小女薄暮清秋头	f1_hd_099.Mesh	f1_hd_099.Mtl
娇小女雪霁寒霄头	f1_hd_100.Mesh	f1_hd_100.Mtl
娇小女冰池寒鹭头	f1_hd_101.Mesh	f1_hd_101.Mtl
娇小女青竹琼枝头	f1_hd_102.Mesh	f1_hd_102.Mtl
娇小女寒初清夜头	f1_hd_103.Mesh	f1_hd_103.Mtl
娇小女彩旆明珰头	f1_hd_104.Mesh	f1_hd_104.Mtl
娇小女飞香冻草头	f1_hd_105.Mesh	f1_hd_105.Mtl
娇小女凌波翠袖头	f1_hd_106.Mesh	f1_hd_106.Mtl
娇小女烛明清霜头	f1_hd_107.Mesh	f1_hd_107.Mtl
娇小女春山揽月头	f1_hd_108.Mesh	f1_hd_108.Mtl
娇小女青枫流霜头	f1_hd_109.Mesh	f1_hd_109.Mtl
娇小女清和晨暮头	f1_hd_110.Mesh	f1_hd_110.Mtl
娇小女夏意流莺头	f1_hd_111.Mesh	f1_hd_111.Mtl
娇小女风清疏帘头	f1_hd_112.Mesh	f1_hd_112.Mtl
娇小女苍翠暮蝉头	f1_hd_113.Mesh	f1_hd_113.Mtl
娇小女青露汀草头	f1_hd_114.Mesh	f1_hd_114.Mtl
娇小女碧影晚寒头	f1_hd_115.Mesh	f1_hd_115.Mtl
娇小女雪睛云淡头	f1_hd_116.Mesh	f1_hd_116.Mtl
娇小女揉香弄影头	f1_hd_118.Mesh	f1_hd_118.Mtl
娇小女雪峰芳晴头	f1_hd_117.Mesh	f1_hd_117.Mtl
娇小女寒光云山头	f1_hd_119.Mesh	f1_hd_119.Mtl
娇小女寒樱枝白头	f1_hd_120.Mesh	f1_hd_120.Mtl
娇小女清景绿柳头	f1_hd_121.Mesh	f1_hd_121.Mtl
娇小女轻风花影头	f1_hd_122.Mesh	f1_hd_122.Mtl
娇小女如酥烟柳头	f1_hd_123.Mesh	f1_hd_123.Mtl
娇小女三生三世头	f1_xz_hd_018.Mesh	f1_xz_hd_018.Mtl
娇小女巧玲珑头	f1_xz_hd_020.Mesh	f1_xz_hd_020.Mtl
娇小女杏雨薄纱头	f1_hd_124.Mesh	f1_hd_124.Mtl
娇小女十里湖光头	f1_hd_125.Mesh	f1_hd_125.Mtl
娇小女玄霜碧空头	f1_hd_126.Mesh	f1_hd_126.Mtl
娇小女深雪梅见头	f1_hd_127.Mesh	f1_hd_127.Mtl
娇小女湖光秋月头	f1_hd_128.Mesh	f1_hd_128.Mtl
娇小女青嶂碧流头	f1_hd_129.Mesh	f1_hd_129.Mtl
娇小女山青如画头	f1_hd_130.Mesh	f1_hd_130.Mtl
娇小女烟波沉沉头	f1_hd_131.Mesh	f1_hd_131.Mtl
娇小女淡烟疏雨头	f1_hd_132.Mesh	f1_hd_132.Mtl
娇小女翠云千叠头	f1_hd_133.Mesh	f1_hd_133.Mtl
娇小女玉雪玲珑头	f1_hd_134.Mesh	f1_hd_134.Mtl
娇小女天纵惊鸿头	f1_xz_hd_013.Mesh	f1_xz_hd_013.Mtl
娇小女琴瑟和鸣头	f1_xz_hd_017.Mesh	f1_xz_hd_017.Mtl
娇小女仓央嘉措头	f1_xz_hd_015.Mesh	f1_xz_hd_015.Mtl
娇小女龙门望鲤头	f1_xz_hd_016.Mesh	f1_xz_hd_016.Mtl
娇小女暗夜流离头	f1_xz_hd_019.Mesh	f1_xz_hd_019.Mtl
娇小女雪霁兰芽头	f1_xz_hd_021.Mesh	f1_xz_hd_021.Mtl
娇小女百花流风头	f1_xz_hd_001.Mesh	f1_xz_hd_001.Mtl
娇小女朱萼荧煌头	f1_hd_135.Mesh	f1_hd_135.Mtl
娇小女纤云空月头	f1_hd_136.Mesh	f1_hd_136.Mtl
娇小女江城橘柚头	f1_hd_137.Mesh	f1_hd_137.Mtl
娇小女山楹松声头	f1_hd_138.Mesh	f1_hd_138.Mtl
娇小女银屏微寒头	f1_hd_139.Mesh	f1_hd_139.Mtl
娇小女枝露琴埃头	f1_hd_140.Mesh	f1_hd_140.Mtl
娇小女遥山暮雨头	f1_hd_141.Mesh	f1_hd_141.Mtl
娇小女繁霜霏霏头	f1_hd_142.Mesh	f1_hd_142.Mtl
娇小女长留云阳头	f1_hd_143.Mesh	f1_hd_143.Mtl
娇小女风暖花影头	f1_hd_144.Mesh	f1_hd_144.Mtl
娇小女莞然沧浪头	f1_hd_145.Mesh	f1_hd_145.Mtl
娇小女柳轻碎荷头	f1_hd_146.Mesh	f1_hd_146.Mtl
娇小女杨花雪飞头	f1_hd_147.Mesh	f1_hd_147.Mtl
