NpcName	Level	Reputation	Exp	Money	TaskID1	TaskValue1	TaskID2	TaskValue2	TaskID3	TaskValue3	EventType	说明
张昀	15	0	0	0	1401	60	-1	-1	-1	-1	1	
张昀	15	0	0	0	1401	65	-1	-1	-1	-1	1	
韩智让	15	0	0	0	1401	70	-1	-1	-1	-1	1	
饶麟	15	0	0	0	1401	75	-1	-1	-1	-1	1	
部落守卫	15	0	0	0	1401	80	-1	-1	-1	-1	1	
饶麟	15	0	0	0	1401	85	-1	-1	-1	-1	1	
穆义	15	0	0	0	1401	90	-1	-1	-1	-1	1	
穆义	15	0	0	0	1401	95	-1	-1	-1	-1	1	
穆义	15	0	0	0	1401	100	-1	-1	-1	-1	1	
杨业	15	0	0	0	1401	105	-1	-1	-1	-1	1	
穆义	15	0	0	0	1401	110	-1	-1	-1	-1	1	
穆义	15	0	0	0	1401	115	-1	-1	-1	-1	1	
萧天佑	15	0	0	0	1401	120	-1	-1	-1	-1	1	
杨业	15	0	0	0	1401	130	-1	-1	-1	-1	1	
捕头	15	0	0	0	1401	25	1411	0	-1	-1	1	
难民	15	0	0	0	1402	0	-1	-1	-1	-1	0	
难民	15	0	0	0	1402	5	-1	-1	-1	-1	1	
张霆	15	0	0	0	1402	10	-1	-1	-1	-1	1	
张霆	15	0	0	0	1402	15	-1	-1	-1	-1	1	
阳月师太	15	0	0	0	1402	20	-1	-1	-1	-1	1	
阳月师太	15	0	0	0	1402	25	-1	-1	-1	-1	1	
阳月师太	15	0	0	0	1402	30	-1	-1	-1	-1	1	
蓝野鬼	15	0	0	0	1402	35	-1	-1	-1	-1	1	
阳月师太	15	0	0	0	1402	40	-1	-1	-1	-1	1	
阳月师太	15	0	0	0	1402	45	-1	-1	-1	-1	1	
玄灭尊者	15	0	0	0	1402	50	-1	-1	-1	-1	1	
玄灭尊者	15	0	0	0	1402	55	-1	-1	-1	-1	1	
集缘真人	15	0	0	0	1402	60	-1	-1	-1	-1	1	
集缘真人	15	0	0	0	1402	65	-1	-1	-1	-1	1	
阳月师太	15	0	0	0	1402	75	-1	-1	-1	-1	1	
王瑾	15	0	0	0	1402	80	-1	-1	-1	-1	1	
赵普	2	0	0	0	1503	0	-1	-1	-1	-1	0	
城门卫兵	2	0	0	0	1503	5	-1	-1	-1	-1	1	
赵普	2	0	0	0	1503	10	-1	-1	-1	-1	1	
城门守卫	8	0	0	0	1504	0	-1	-1	-1	-1	0	
城门守卫	8	0	0	0	1504	5	-1	-1	-1	-1	1	
林教头	5	0	0	0	1505	0	-1	-1	-1	-1	0	
秦亿	5	0	0	0	1505	5	-1	-1	-1	-1	1	
秦谦	5	0	0	0	1505	10	-1	-1	-1	-1	1	
秦亿	5	0	0	0	1505	15	-1	-1	-1	-1	1	
周善人	2	0	0	0	1506	0	-1	-1	-1	-1	0	
难民甲	2	0	0	0	1513	0	1506	5	-1	-1	1	
难民乙	2	0	0	0	1514	0	1506	5	-1	-1	1	
难民丙	2	0	0	0	1515	0	1506	5	-1	-1	1	
难民丁	2	0	0	0	1516	0	1506	5	-1	-1	1	
周善人	2	0	0	0	1506	9	-1	-1	-1	-1	1	
阿盛	5	0	0	0	1507	0	-1	-1	-1	-1	0	
阿盛	5	0	0	0	1507	5	-1	-1	-1	-1	1	
张影	20	0	0	0	1510	0	-1	-1	-1	-1	0	
张影	20	0	0	0	1510	5	-1	-1	-1	-1	1	
莫有为	23	0	0	0	1511	0	-1	-1	-1	-1	0	
莫有为	23	0	0	0	1511	5	-1	-1	-1	-1	1	
巫寅	30	0	0	0	1512	0	-1	-1	-1	-1	0	
巫寅	30	0	0	0	1512	5	-1	-1	-1	-1	1	
巫寅	35	0	0	0	1512	10	-1	-1	-1	-1	0	
巫寅	35	0	0	0	1512	15	-1	-1	-1	-1	1	
王业伟	10	0	0	0	130	1	-1	-1	-1	-1	1	
王业伟	10	0	0	0	104	0	-1	-1	-1	-1	0	
王业伟	10	0	0	0	104	1	-1	-1	-1	-1	1	
王业伟	10	0	0	0	104	2	-1	-1	-1	-1	1	
王业伟	10	0	0	0	104	3	-1	-1	-1	-1	1	
王业伟	10	0	0	0	105	5	-1	-1	-1	-1	1	
夏杰	10	0	0	0	105	100	-1	-1	-1	-1	0	
夏杰	10	0	0	0	105	1	-1	-1	-1	-1	1	
夏杰	10	0	0	0	105	2	-1	-1	-1	-1	1	
夏杰	10	0	0	0	105	4	-1	-1	-1	-1	1	
代志强	10	0	0	0	106	100	-1	-1	-1	-1	0	
周斌举	10	0	0	0	106	1	-1	-1	-1	-1	1	
周斌举	10	0	0	0	106	2	-1	-1	-1	-1	1	
刘管家	10	0	0	0	106	3	-1	-1	-1	-1	1	
钟放	10	0	0	0	106	4	-1	-1	-1	-1	1	
钟放	10	0	0	0	107	100	-1	-1	-1	-1	0	
钟放	10	0	0	0	107	2	-1	-1	-1	-1	1	
夏侯诗	0	0	0	0	117	1	-1	-1	-1	-1	0	
寇准	0	0	0	0	131	1	-1	-1	-1	-1	1	
佘太君	0	0	0	0	110	1	-1	-1	-1	-1	0	
佘太君	0	0	0	0	110	2	-1	-1	-1	-1	1	
佘太君	0	0	0	0	110	3	-1	-1	-1	-1	1	
佘太君	0	0	0	0	110	4	-1	-1	-1	-1	1	
佘太君	0	0	0	0	110	5	-1	-1	-1	-1	1	
佘太君	0	0	0	0	110	6	-1	-1	-1	-1	1	
柏翠萍	0	0	0	0	110	7	-1	-1	-1	-1	0	
柏翠萍	0	0	0	0	110	8	-1	-1	-1	-1	1	
柏翠萍	0	0	0	0	110	9	-1	-1	-1	-1	1	
柏翠萍	0	0	0	0	110	10	-1	-1	-1	-1	1	
萧寒	0	0	0	0	110	11	-1	-1	-1	-1	1	
百草翁	0	0	0	0	110	12	-1	-1	-1	-1	1	
寇准	0	0	0	0	110	13	-1	-1	-1	-1	1	
赵延年	0	0	0	0	111	101	-1	-1	-1	-1	1	
赵延年	0	0	0	0	127	1	-1	-1	-1	-1	1	
百晓生	0	0	0	0	112	1	-1	-1	-1	-1	1	
夏侯琴	0	0	0	0	124	1	-1	-1	-1	-1	1	
公孙书	0	0	0	0	125	1	-1	-1	-1	-1	1	
公孙书	0	0	0	0	129	1	-1	-1	-1	-1	1	
诸葛棋	0	0	0	0	126	1	-1	-1	-1	-1	1	
诸葛棋	0	0	0	0	128	1	-1	-1	-1	-1	1	
夏侯琴	0	0	0	0	117	1	-1	-1	-1	-1	1	
夏侯琴	0	0	0	0	118	1	-1	-1	-1	-1	0	
夏侯琴	0	0	0	0	118	3	-1	-1	-1	-1	1	
夏侯琴	0	0	0	0	119	1	-1	-1	-1	-1	0	
夏侯琴	0	0	0	0	119	5	-1	-1	-1	-1	1	
范仲淹	0	0	0	0	132	1	-1	-1	-1	-1	1	
唐忌	0	0	0	0	121	101	-1	-1	-1	-1	1	
唐忌	0	0	0	0	121	102	-1	-1	-1	-1	1	
唐忌	0	0	0	0	121	103	-1	-1	-1	-1	1	
范仲淹	0	0	0	0	122	1	-1	-1	-1	-1	1	
成都太守	0	0	0	0	122	2	-1	-1	-1	-1	1	
范仲淹	0	0	0	0	122	3	-1	-1	-1	-1	1	
洪七	0	0	0	0	123	1	-1	-1	-1	-1	1	
洪七	0	0	0	0	123	5	-1	-1	-1	-1	1	
洪七	0	0	0	0	123	6	-1	-1	-1	-1	1	
丐帮弟子	0	0	0	0	123	2	-1	-1	-1	-1	0	
丐帮弟子	0	0	0	0	123	3	-1	-1	-1	-1	1	
丐帮弟子	0	0	0	0	123	4	-1	-1	-1	-1	1	
范仲淹	0	0	0	0	123	6	-1	-1	-1	-1	1	
范仲淹	0	0	0	0	123	7	-1	-1	-1	-1	1	
公孙书	0	0	0	0	140	1	-1	-1	-1	-1	1	
紫鹤真人	0	0	0	0	140	2	-1	-1	-1	-1	1	
剑童	0	0	0	0	140	3	-1	-1	-1	-1	1	
紫鹤真人	0	0	0	0	140	4	-1	-1	-1	-1	1	
紫鹤真人	0	0	0	0	140	6	-1	-1	-1	-1	1	
剑童	0	0	0	0	140	7	-1	-1	-1	-1	1	
紫鹤真人	0	0	0	0	140	8	-1	-1	-1	-1	1	
公孙书	0	0	0	0	140	9	-1	-1	-1	-1	1	
公孙书	0	0	0	0	140	11	-1	-1	-1	-1	1	
公孙书	0	0	0	0	140	13	-1	-1	-1	-1	1	
紫鹤真人	0	0	0	0	140	14	-1	-1	-1	-1	1	
暮雪山庄家丁	0	0	0	0	140	16	-1	-1	-1	-1	1	
九头金凤	0	0	0	0	140	18	-1	-1	-1	-1	1	
紫鹤真人	0	0	0	0	140	19	-1	-1	-1	-1	1	
紫鹤真人	0	0	0	0	140	21	-1	-1	-1	-1	1	
公孙书	0	0	0	0	140	22	-1	-1	-1	-1	1	
九头金凤	0	0	0	0	140	23	-1	-1	-1	-1	1	
拓跋其	0	0	0	0	140	25	-1	-1	-1	-1	1	
公孙书	0	0	0	0	140	28	-1	-1	-1	-1	1	
公孙书	0	0	0	0	140	30	-1	-1	-1	-1	1	
公孙书	0	0	0	0	140	32	-1	-1	-1	-1	1	
公孙书	0	0	0	0	140	34	-1	-1	-1	-1	1	
拓跋其	0	0	0	0	140	35	-1	-1	-1	-1	1	
公孙书	0	0	0	0	140	37	-1	-1	-1	-1	1	
毒痴	0	0	0	0	140	38	-1	-1	-1	-1	1	
毒痴	0	0	0	0	140	40	-1	-1	-1	-1	1	
公孙书	0	0	0	0	140	42	-1	-1	-1	-1	1	
公孙书	0	0	0	0	140	44	-1	-1	-1	-1	1	
落魄的山贼	0	0	0	0	140	45	-1	-1	-1	-1	1	
落魄的山贼	0	0	0	0	140	49	-1	-1	-1	-1	1	
紫鹤真人	0	0	0	0	140	50	-1	-1	-1	-1	1	
紫鹤真人	0	0	0	0	140	52	-1	-1	-1	-1	1	
落魄的山贼	0	0	0	0	140	53	-1	-1	-1	-1	1	
公孙书	0	0	0	0	140	54	-1	-1	-1	-1	1	
襄阳郡守	0	0	0	0	141	1	-1	-1	-1	-1	1	
襄阳郡守	0	0	0	0	141	3	-1	-1	-1	-1	1	
紫鹤真人	0	0	0	0	144	1	-1	-1	-1	-1	1	
紫鹤真人	0	0	0	0	144	2	-1	-1	-1	-1	1	
公孙书	0	0	0	0	140	56	-1	-1	-1	-1	1	
落魄的山贼	0	0	0	0	140	57	-1	-1	-1	-1	1	
公孙书	0	0	0	0	140	59	-1	-1	-1	-1	1	
夏侯琴	0	0	0	0	119	6	-1	-1	-1	-1	0	
陈敏	0	0	0	0	119	7	-1	-1	-1	-1	1	
陈敏	0	0	0	0	119	9	-1	-1	-1	-1	1	
夏侯莲	0	0	0	0	119	10	-1	-1	-1	-1	1	
夏侯琴	0	0	0	0	119	11	-1	-1	-1	-1	1	
孟岩	0	0	0	0	119	13	-1	-1	-1	-1	1	
孟岩	0	0	0	0	119	14	-1	-1	-1	-1	1	
向丝青	0	0	0	0	119	15	-1	-1	-1	-1	1	
向丝青	0	0	0	0	119	16	-1	-1	-1	-1	1	
陈敏	0	0	0	0	119	17	-1	-1	-1	-1	1	
夏侯琴	0	0	0	0	119	18	-1	-1	-1	-1	1	
夏侯莲	0	0	0	0	119	19	-1	-1	-1	-1	1	
夏侯琴	0	0	0	0	119	20	-1	-1	-1	-1	1	
雷胜的尸体	0	0	0	0	119	21	-1	-1	-1	-1	1	
雷胜的尸体	0	0	0	0	119	23	-1	-1	-1	-1	1	
夏侯琴	0	0	0	0	119	24	-1	-1	-1	-1	1	
夏侯琴	0	0	0	0	119	26	-1	-1	-1	-1	1	
唐宁	0	0	0	0	119	27	-1	-1	-1	-1	1	
夏侯琴	0	0	0	0	119	28	-1	-1	-1	-1	1	
冯彤儿	0	0	0	0	146	1	-1	-1	-1	-1	1	
唐春	0	0	0	0	147	1	-1	-1	-1	-1	1	
唐春	0	0	0	0	147	2	-1	-1	-1	-1	1	
唐春	0	0	0	0	147	4	-1	-1	-1	-1	1	
唐宁	0	0	0	0	147	5	-1	-1	-1	-1	1	
夏侯琴	0	0	0	0	147	6	-1	-1	-1	-1	1	
张伯汉	0	0	0	0	148	1	-1	-1	-1	-1	0	
张伯汉	0	0	0	0	148	2	-1	-1	-1	-1	1	
李进勇	0	0	0	0	148	3	-1	-1	-1	-1	1	
李进勇	0	0	0	0	148	4	-1	-1	-1	-1	1	
李进勇	0	0	0	0	148	5	-1	-1	-1	-1	1	
刘玄清	0	0	0	0	148	6	-1	-1	-1	-1	1	
刘玄清	0	0	0	0	148	8	-1	-1	-1	-1	1	
刘玄清	0	0	0	0	148	9	-1	-1	-1	-1	1	
秋蓉	0	0	0	0	148	10	-1	-1	-1	-1	1	
蒋维	0	0	0	0	148	11	-1	-1	-1	-1	1	
蒋维	0	0	0	0	148	12	-1	-1	-1	-1	1	
秋蓉	0	0	0	0	148	13	-1	-1	-1	-1	1	
秋蓉	0	0	0	0	148	14	-1	-1	-1	-1	1	
秋蓉	0	0	0	0	148	16	-1	-1	-1	-1	1	
邬远晴	50	0	0	0	149	0	-1	-1	-1	-1	0	
邬远晴	0	0	0	0	149	2	-1	-1	-1	-1	1	
李进勇	0	0	0	0	149	3	-1	-1	-1	-1	1	
李进勇	0	0	0	0	149	4	-1	-1	-1	-1	1	
邬远晴	0	0	0	0	149	5	-1	-1	-1	-1	1	
诸葛棋	0	0	0	0	150	1	-1	-1	-1	-1	1	
难民甲	0	0	0	0	150	2	-1	-1	-1	-1	1	
难民甲	0	0	0	0	150	3	-1	-1	-1	-1	1	
难民乙	0	0	0	0	151	1	-1	-1	-1	-1	1	
难民丙	0	0	0	0	152	1	-1	-1	-1	-1	1	
难民丁	0	0	0	0	153	1	-1	-1	-1	-1	1	
难民甲	0	0	0	0	150	5	-1	-1	-1	-1	1	
陈飞扬	0	0	0	0	150	6	-1	-1	-1	-1	1	
陈飞扬	0	0	0	0	150	7	-1	-1	-1	-1	1	
诸葛棋	0	0	0	0	150	8	-1	-1	-1	-1	1	
诸葛棋	0	0	0	0	150	9	-1	-1	-1	-1	1	
张霆	0	0	0	0	150	9	-1	-1	-1	-1	1	
无名僧	0	0	0	0	150	10	-1	-1	-1	-1	1	
无名僧	0	0	0	0	150	11	-1	-1	-1	-1	1	
无名僧	0	0	0	0	150	12	-1	-1	-1	-1	0	
诸葛棋	0	0	0	0	150	13	-1	-1	-1	-1	1	
诸葛棋	0	0	0	0	150	14	-1	-1	-1	-1	1	
宋江	0	0	0	0	150	17	-1	-1	-1	-1	1	
宋江	0	0	0	0	150	19	-1	-1	-1	-1	1	
玄慈	0	0	0	0	150	20	-1	-1	-1	-1	1	
玄慈	0	0	0	0	150	21	-1	-1	-1	-1	1	
诸葛棋	0	0	0	0	150	22	-1	-1	-1	-1	1	
诸葛棋	0	0	0	0	150	23	-1	-1	-1	-1	1	
陈飞扬	0	0	0	0	150	24	-1	-1	-1	-1	1	
陈飞扬	0	0	0	0	150	27	-1	-1	-1	-1	1	
玄慈	0	0	0	0	150	30	-1	-1	-1	-1	1	
龙在天	0	0	0	0	150	31	-1	-1	-1	-1	1	
杨宗保	1	0	0	0	1031	1	-1	-1	-1	-1	0	
曹彬	1	0	0	0	1031	2	-1	-1	-1	-1	1	
汴京马贩	1	0	0	0	1031	3	-1	-1	-1	-1	1	
曹彬	1	0	0	0	1031	4	-1	-1	-1	-1	1	
杨宗保	1	0	0	0	1031	5	-1	-1	-1	-1	1	
佘太君	1	0	0	0	1031	7	-1	-1	-1	-1	1	
穆桂英	1	0	0	0	1032	1	-1	-1	-1	-1	0	
赵普	1	0	0	0	1032	2	-1	-1	-1	-1	1	
禁军	1	0	0	0	1032	3	-1	-1	-1	-1	1	
赵普	1	0	0	0	1032	4	-1	-1	-1	-1	1	
穆桂英	1	0	0	0	1032	5	-1	-1	-1	-1	1	
佘太君	1	0	0	0	1032	7	-1	-1	-1	-1	1	
郑贯之	10	0	0	0	1300	0	-1	-1	-1	-1	0	
郑贯之	10	0	0	0	1300	3	-1	-1	-1	-1	1	
高升泉	20	0	0	0	1300	4	-1	-1	-1	-1	0	
高升泉	20	0	0	0	1301	2	-1	-1	-1	-1	1	
高升泉	20	0	0	0	1301	4	-1	-1	-1	-1	1	
白莹莹	30	0	0	0	1302	1	-1	-1	-1	-1	0	
白莹莹	30	0	0	0	1302	4	-1	-1	-1	-1	1	
高升泉	30	0	0	0	1302	5	-1	-1	-1	-1	0	
高升泉	35	0	0	0	1302	6	-1	-1	-1	-1	0	
高升泉	35	0	0	0	1303	2	-1	-1	-1	-1	1	
高升泉	35	0	0	0	1305	2	-1	-1	-1	-1	1	
百晓生	40	0	0	0	1303	3	-1	-1	-1	-1	1	
赵延年	40	0	0	0	1306	1	-1	-1	-1	-1	1	
苗岭族长	40	0	0	0	1306	2	-1	-1	-1	-1	0	
苗岭族长	40	0	0	0	1306	4	-1	-1	-1	-1	1	
赵延年	40	0	0	0	1306	5	-1	-1	-1	-1	1	
郑贯之	45	0	0	0	1306	6	-1	-1	-1	-1	0	
郑贯之	45	0	0	0	1307	3	-1	-1	-1	-1	1	
郑贯之	50	0	0	0	1307	4	-1	-1	-1	-1	0	
陈立衡	50	0	0	0	1308	1	-1	-1	-1	-1	0	
苗岭族长	50	0	0	0	1308	3	-1	-1	-1	-1	0	
苗岭族长	50	0	0	0	1308	4	-1	-1	-1	-1	1	
苗岭族长	50	0	0	0	1308	5	-1	-1	-1	-1	1	
郑贯之	50	0	0	0	1308	6	-1	-1	-1	-1	0	
高升泉	55	0	0	0	1308	7	-1	-1	-1	-1	0	
莫三	55	0	0	0	1309	2	-1	-1	-1	-1	1	
高升泉	55	0	0	0	1309	4	-1	-1	-1	-1	1	
董迦罗	55	0	0	0	1309	5	-1	-1	-1	-1	0	
佘太君	55	0	0	0	1309	6	-1	-1	-1	-1	0	
董迦罗	55	0	0	0	1309	7	-1	-1	-1	-1	1	
董迦罗	60	0	0	0	1309	8	-1	-1	-1	-1	0	
董迦罗	60	0	0	0	1311	2	-1	-1	-1	-1	1	
董迦罗	60	0	0	0	1311	4	-1	-1	-1	-1	1	
董迦罗	60	0	0	0	1311	5	-1	-1	-1	-1	0	
董迦罗	60	0	0	0	1311	7	-1	-1	-1	-1	1	
郑贯之	60	0	0	0	1311	8	-1	-1	-1	-1	0	
舞娘	60	0	0	0	1312	1	-1	-1	-1	-1	0	
舞娘	60	0	0	0	1312	3	-1	-1	-1	-1	1	
舞娘	60	0	0	0	1313	1	-1	-1	-1	-1	0	
郑贯之	60	0	0	0	1314	1	-1	-1	-1	-1	1	
郑贯之	60	0	0	0	1314	2	-1	-1	-1	-1	0	
郑贯之	60	0	0	0	1315	2	-1	-1	-1	-1	1	
郑贯之	60	0	0	0	1315	4	-1	-1	-1	-1	1	
白莹莹	60	0	0	0	1315	5	-1	-1	-1	-1	0	
白莹莹	60	0	0	0	1316	2	-1	-1	-1	-1	1	
百晓生	60	0	0	0	1316	3	-1	-1	-1	-1	0	
刘典	60	0	0	0	1316	4	-1	-1	-1	-1	0	
郑贯之	60	0	0	0	1316	6	-1	-1	-1	-1	0	
郑贯之	60	0	0	0	1316	8	-1	-1	-1	-1	1	
高升泉	60	0	0	0	1314	2	-1	-1	-1	-1	0	
高升泉	60	0	0	0	1317	3	-1	-1	-1	-1	1	
董迦罗	80	0	0	0	1317	4	-1	-1	-1	-1	0	
二皇子段素顺	80	0	0	0	1318	2	-1	-1	-1	-1	1	
董迦罗	80	0	0	0	1318	3	-1	-1	-1	-1	1	
董迦罗	80	0	0	0	1318	4	-1	-1	-1	-1	0	
董迦罗	80	0	0	0	1318	5	-1	-1	-1	-1	1	
董迦罗	80	0	0	0	1318	7	-1	-1	-1	-1	1	
董迦罗	80	0	0	0	1318	9	-1	-1	-1	-1	1	
勾册	0	0	0	0	1033	1	-1	-1	-1	-1	1	
方猿	0	0	0	0	1033	2	-1	-1	-1	-1	1	
尤榕	0	0	0	0	1033	4	-1	-1	-1	-1	1	
西图	0	0	0	0	1033	5	-1	-1	-1	-1	1	
勾册	0	0	0	0	1033	6	-1	-1	-1	-1	1	
白莹莹	0	0	0	0	1033	7	-1	-1	-1	-1	1	
莫大	0	0	0	0	1600	1	-1	-1	-1	-1	0	
莫二	0	0	0	0	1600	1	-1	-1	-1	-1	0	
莫三	0	0	0	0	1600	1	-1	-1	-1	-1	0	
莫大	0	0	0	0	1600	3	-1	-1	-1	-1	1	
莫二	0	0	0	0	1600	3	-1	-1	-1	-1	1	
莫三	0	0	0	0	1600	3	-1	-1	-1	-1	1	
莫大	0	0	0	0	1600	4	-1	-1	-1	-1	1	
莫二	0	0	0	0	1600	4	-1	-1	-1	-1	1	
莫三	0	0	0	0	1600	4	-1	-1	-1	-1	1	
游方医生	0	0	0	0	1602	1	-1	-1	-1	-1	1	
代矿工	0	0	0	0	1602	2	-1	-1	-1	-1	1	
莫大	0	0	0	0	1602	3	-1	-1	-1	-1	1	
游方医生	0	0	0	0	1602	4	-1	-1	-1	-1	1	
御厨	0	0	0	0	1603	1	-1	-1	-1	-1	1	
刘一斧	0	0	0	0	1603	2	-1	-1	-1	-1	1	
刘一斧	0	0	0	0	1603	3	-1	-1	-1	-1	1	
御厨	0	0	0	0	1603	4	-1	-1	-1	-1	1	
女装店老板	0	0	0	0	1604	1	-1	-1	-1	-1	1	
女装店老板	0	0	0	0	1604	2	-1	-1	-1	-1	1	
锦娘	0	0	0	0	1604	3	-1	-1	-1	-1	1	
黄大婶	0	0	0	0	1604	4	-1	-1	-1	-1	1	
锦娘	0	0	0	0	1604	5	-1	-1	-1	-1	1	
云游道人	0	0	0	0	1605	2	-1	-1	-1	-1	1	
媒婆	15	0	0	0	2019	1	-1	-1	-1	-1	0	
媒婆	15	0	0	0	2019	2	-1	-1	-1	-1	1	
媒婆	15	0	0	0	2019	3	-1	-1	-1	-1	1	
媒婆	15	0	0	0	2019	4	-1	-1	-1	-1	1	
月老	15	0	0	0	2019	5	-1	-1	-1	-1	0	
寇准	70	0	0	0	2030	0	-1	-1	-1	-1	0	
百晓生	70	0	0	0	2030	1	-1	-1	-1	-1	1	
欧阳画	70	0	0	0	2030	2	-1	-1	-1	-1	1	
孙二琏	70	0	0	0	2030	5	-1	-1	-1	-1	0	
店小二	70	0	0	0	2030	6	-1	-1	-1	-1	0	
孙二琏	70	0	0	0	2030	8	-1	-1	-1	-1	1	
店小二	70	0	0	0	2030	9	-1	-1	-1	-1	1	
欧阳画	70	0	0	0	2030	10	-1	-1	-1	-1	0	
店小二	70	0	0	0	2030	11	-1	-1	-1	-1	1	
孙二琏	70	0	0	0	2030	13	-1	-1	-1	-1	1	
欧阳画	70	0	0	0	2030	15	-1	-1	-1	-1	1	
车轮霸王	80	0	0	0	2030	16	-1	-1	-1	-1	0	
欧阳画	80	0	0	0	2030	17	-1	-1	-1	-1	1	
百晓生	80	0	0	0	2030	18	-1	-1	-1	-1	1	
叶老	80	0	0	0	2030	20	-1	-1	-1	-1	0	
叶子秋	80	0	0	0	2030	21	-1	-1	-1	-1	1	
叶老	80	0	0	0	2030	22	-1	-1	-1	-1	1	
车轮霸王	80	0	0	0	2030	24	-1	-1	-1	-1	1	
车轮霸王	80	0	0	0	2030	25	-1	-1	-1	-1	0	
叶子秋	80	0	0	0	2030	26	-1	-1	-1	-1	1	
赵子平	80	0	0	0	2030	27	-1	-1	-1	-1	1	
车轮霸王	80	0	0	0	2030	30	-1	-1	-1	-1	1	
车轮霸王	80	0	0	0	2030	31	-1	-1	-1	-1	0	
车轮霸王	80	0	0	0	2030	33	-1	-1	-1	-1	1	
车轮霸王	80	0	0	0	2030	36	-1	-1	-1	-1	0	
拓拔弘	80	0	0	0	2030	37	-1	-1	-1	-1	1	
司马鸣风	80	0	0	0	2030	38	-1	-1	-1	-1	1	
拓拔弘	80	0	0	0	2030	39	-1	-1	-1	-1	1	
欧阳画	80	0	0	0	2030	39	-1	-1	-1	-1	1	
殷铭	80	0	0	0	2031	1	-1	-1	-1	-1	0	
波斯商人	80	0	0	0	2031	2	-1	-1	-1	-1	1	
殷铭	80	0	0	0	2031	3	-1	-1	-1	-1	1	
殷铭	80	0	0	0	2031	4	-1	-1	-1	-1	1	
殷铭	80	0	0	0	2031	6	-1	-1	-1	-1	1	
拓拔弘	80	0	0	0	2031	7	-1	-1	-1	-1	1	
车轮霸王	80	0	0	0	2031	8	-1	-1	-1	-1	0	
欧阳画	80	0	0	0	2031	9	-1	-1	-1	-1	0	
欧阳画	80	0	0	0	2031	11	-1	-1	-1	-1	1	
车轮霸王	80	0	0	0	2031	12	-1	-1	-1	-1	1	
车轮霸王	80	0	0	0	2031	14	-1	-1	-1	-1	1	
拓拔弘	80	0	0	0	2031	15	-1	-1	-1	-1	1	
司马鸣风	80	0	0	0	2031	16	-1	-1	-1	-1	1	
欧阳画	80	0	0	0	2031	17	-1	-1	-1	-1	1	
柳纵云	85	0	0	0	2031	18	-1	-1	-1	-1	0	
柳纵云	85	0	0	0	2031	20	-1	-1	-1	-1	1	
柳纵云	85	0	0	0	2031	21	-1	-1	-1	-1	1	
