Tªn ¸o Choµng	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Phßng ngù (Néi, ngo¹i)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi sö dông trang bŞ sÏ hiÓn thŞ tªn lo¹i h×nh	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm	
¸o Choµng Tèng T­íng Qu©n	0	152	11	0	0	0	100	35;35					31151	99		2		\image\item\banghui\½«¾üÅû·ç36.spr	\image\item\banghui\½«¾üÅû·ç120.spr	¸o Choµng Tèng T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	12	8	
¸o Choµng Tèng T­íng Qu©n	0	152	12	0	0	0	100	35;35					31152	99		3		\image\item\banghui\½«¾üÅû·ç36.spr	\image\item\banghui\½«¾üÅû·ç120.spr	¸o Choµng Tèng T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	12	8	
¸o Choµng Tèng T­íng Qu©n	0	152	13	0	0	0	100	35;35					31153	99		4		\image\item\banghui\½«¾üÅû·ç36.spr	\image\item\banghui\½«¾üÅû·ç120.spr	¸o Choµng Tèng T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	12	8	
¸o Choµng Tèng Nguyªn So¸i	0	152	14	0	0	0	100	35;35					31154	99		1		\image\item\banghui\ÔªË§Åû·ç36.spr	\image\item\banghui\ÔªË§Åû·ç120.spr	¸o Choµng Tèng Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	13	9	
¸o Choµng Tèng Nguyªn So¸i	0	152	15	0	0	0	100	35;35					31155	99		2		\image\item\banghui\ÔªË§Åû·ç36.spr	\image\item\banghui\ÔªË§Åû·ç120.spr	¸o Choµng Tèng Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	13	9	
¸o Choµng Tèng Nguyªn So¸i	0	152	16	0	0	0	100	35;35					31156	99		3		\image\item\banghui\ÔªË§Åû·ç36.spr	\image\item\banghui\ÔªË§Åû·ç120.spr	¸o Choµng Tèng Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	13	9	
¸o Choµng Tèng Nguyªn So¸i	0	152	17	0	0	0	100	35;35					31157	99		4		\image\item\banghui\ÔªË§Åû·ç36.spr	\image\item\banghui\ÔªË§Åû·ç120.spr	¸o Choµng Tèng Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	13	9	
¸o Choµng Liªu T­íng Qu©n	0	152	18	0	0	0	100	35;35					31158	99		1		\image\item\banghui\½«¾üÅû·ç36.spr	\image\item\banghui\½«¾üÅû·ç120.spr	¸o Choµng Liªu T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	12	8	
¸o Choµng Liªu T­íng Qu©n	0	152	19	0	0	0	100	35;35					31159	99		2		\image\item\banghui\½«¾üÅû·ç36.spr	\image\item\banghui\½«¾üÅû·ç120.spr	¸o Choµng Liªu T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	12	8	
¸o Choµng Liªu T­íng Qu©n	0	152	20	0	0	0	100	35;35					31160	99		3		\image\item\banghui\½«¾üÅû·ç36.spr	\image\item\banghui\½«¾üÅû·ç120.spr	¸o Choµng Liªu T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	12	8	
¸o Choµng Liªu T­íng Qu©n	0	152	21	0	0	0	100	35;35					31161	99		4		\image\item\banghui\½«¾üÅû·ç36.spr	\image\item\banghui\½«¾üÅû·ç120.spr	¸o Choµng Liªu T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	12	8	
¸o Choµng Liªu Nguyªn So¸i	0	152	22	0	0	0	100	35;35					31162	99		1		\image\item\banghui\ÔªË§Åû·ç36.spr	\image\item\banghui\ÔªË§Åû·ç120.spr	¸o Choµng Liªu Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	13	9	
¸o Choµng Liªu Nguyªn So¸i	0	152	23	0	0	0	100	35;35					31163	99		2		\image\item\banghui\ÔªË§Åû·ç36.spr	\image\item\banghui\ÔªË§Åû·ç120.spr	¸o Choµng Liªu Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	13	9	
¸o Choµng Liªu Nguyªn So¸i	0	152	24	0	0	0	100	35;35					31164	99		3		\image\item\banghui\ÔªË§Åû·ç36.spr	\image\item\banghui\ÔªË§Åû·ç120.spr	¸o Choµng Liªu Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	13	9	
¸o Choµng Liªu Nguyªn So¸i	0	152	25	0	0	0	100	35;35					31165	99		4		\image\item\banghui\ÔªË§Åû·ç36.spr	\image\item\banghui\ÔªË§Åû·ç120.spr	¸o Choµng Liªu Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	13	9	
¸o Choµng Du HiÖp	0	152	26	0	0	0	100	35;35					31234	99				\image\item\banghui\ÓÎÏÀÅû·ça1.spr	\image\item\banghui\ÓÎÏÀÅû·ça0.spr	R­îu thŞt ®i qua ruét, vÉn l­u trong lßng hiÖp nghÜa 		¸o Choµng		1;11	4	1		0		4	15	17	10	
¸o Choµng ThiÕt HuyÕt	0	152	27	0	0	0	100	40;30					31235	99				\image\item\banghui\ÌúÑªÅû·ça1.spr	\image\item\banghui\ÌúÑªÅû·ça0.spr	ThiÕt huyÕt ®¬n t©m, chÕt mµ v« hèi		¸o Choµng		1;11	4	1		0		4	16	18	10	
¸o Choµng V©n Du	0	152	28	0	0	0	100	30;40					31236	99				\image\item\banghui\ÔÆÓÎÅû·ça1.spr	\image\item\banghui\ÔÆÓÎÅû·ça0.spr	V©n du thiªn h¹, tiªu dao bèn ph­¬ng		¸o Choµng		1;11	4	1		0		4	17	19	10	
¸o kho¸c HiÖp Cèt	0	152	29	0	0	0	100	35;35					31974	99				\image\item\banghui\ÏÀ¹ÇÅû·ça1.spr	\image\item\banghui\ÏÀ¹ÇÅû·ça0.spr	HiÖp Cèt Nhu T×nh, Lo¹n ThÕ Hµo KiÖt		¸o Choµng		1;12	4	1		0		5	46	41	13	
¸o kho¸c Qñy Phï	0	152	30	0	0	0	100	40;30					31975	99				\image\item\banghui\¹í¸«Åû·ça1.spr	\image\item\banghui\¹í¸«Åû·ça0.spr	Qñy Phï ThÇn C«ng, ChiÕn V« BÊt Th¾ng		¸o Choµng		1;12	4	1		0		5	47	42	13	
¸o kho¸c §»ng V©n	0	152	31	0	0	0	100	30;40					31976	99				\image\item\banghui\ÌÚÔÆÅû·ça1.spr	\image\item\banghui\ÌÚÔÆÅû·ça0.spr	§»ng V©n Gi¸ Vô, Di ThÕ §éc LËp		¸o Choµng		1;12	4	1		0		5	48	43	13	
Hoan L¨ng Phi Phong	0	152	32	0	0	0	100	40;40					32067	590				\image\item\banghui\»ÃÁèÅû·ça1.spr	\image\item\banghui\»ÃÁèÅû·ça0.spr	ThÓ tÊn phi phï, phiªu hèt nh­îc thÇn		¸o Choµng		1;12	4	1		0		6	84	58	14	
§»ng Giao Phi Phong	0	152	33	0	0	0	100	45;35					32068	590				\image\item\banghui\ÌÚòÔÅû·ça1.spr	\image\item\banghui\ÌÚòÔÅû·ça0.spr	Tr­êng phong ph¸ l·ng héi h÷u thêi, trùc qu¸i v©n phµm tÕ th­¬ng h¶i		¸o Choµng		1;12	4	1		0		6	85	59	14	
Khëi Ph­îng Phi Phong	0	152	34	0	0	0	100	35;45					32069	590				\image\item\banghui\Æğ·ïÅû·ça1.spr	\image\item\banghui\Æğ·ïÅû·ça0.spr	H« nhi t­¬ng xuÊt ho¸n mü töu, d÷ nhÜ ®ång táa v¹n cæ sÇu		¸o Choµng		1;12	4	1		0		6	86	60	14	
Phi Phong S¸t Lang	0	152	35	0	0	0	100	40;40					32337	590				\image\item\other\¼²Ó°Åû·ça1.spr	\image\item\other\¼²Ó°Åû·ça0.spr	Giã v« h×nh, m©y kh«ng d¸ng		¸o Choµng		1;12	4	1		0		7	106	72	15	
Phi Phong NhuÖ Nha	0	152	36	0	0	0	100	45;35					32338	590				\image\item\other\ÈñÑÀÅû·ça1.spr	\image\item\other\ÈñÑÀÅû·ça0.spr	NhiÖt huyÕt kiªn trung, ngang tµng ng¹o nghÔ		¸o Choµng		1;12	4	1		0		7	107	73	15	
Phi Phong Méng S¸t	0	152	37	0	0	0	100	35;45					32339	590				\image\item\other\Ï¡ĞëÅû·ça1.spr	\image\item\other\Ï¡ĞëÅû·ça0.spr	KÌn hiÖu vµo m¬, s½n sµng tuèt kiÕm		¸o Choµng		1;12	4	1		0		7	108	74	15	
Phi Phong Tinh Huy	0	152	38	0	0	0	100	50;50					32342	898				\image\item\other\ĞÇÒ«Åû·ça1.spr	\image\item\other\ĞÇÒ«Åû·ça0.spr	Sao sa ®ång b»ng, tr¨ng s¸ng s«ng xanh.		¸o Choµng		1;12	4	1		0		8	126	89	16	
Phi Phong Háa S¸t	0	152	39	0	0	0	100	55;45					32343	898				\image\item\other\ÁÒÑôÅû·ça1.spr	\image\item\other\ÁÒÑôÅû·ça0.spr	Xu©n qua ®«ng tíi, sao l¹i kh«ng nhí giang hå.		¸o Choµng		1;12	4	1		0		8	127	90	16	
Phi Phong NguyÖt KhuyÕt	0	152	40	0	0	0	100	45;55					32344	898				\image\item\other\ÔÂãÚÅû·ça1.spr	\image\item\other\ÔÂãÚÅû·ça0.spr	§ªm dµi l¾m méng, mong ­íc tr¨ng th©u.		¸o Choµng		1;12	4	1		0		8	128	91	16	
Phi Phong C«n B»ng	0	152	41	0	0	0	100	50;50					2170492	898				\image\item\banghui\9¼¶½ğÉßÏÀÅû·ça1.spr	\image\item\banghui\9¼¶½ğÉßÏÀÅû·ça0.spr	B¾c Minh cã loµi c¸ tªn C«n, cã thÓ hãa thµnh chim gäi lµ B»ng.		¸o Choµng		1;12	4	1		0		9	148	103	17	
Phi Phong Toan Nghª	0	152	42	0	0	0	100	55;45					2170493	898				\image\item\banghui\9¼¶½ğÉßÊ¿Åû·ça1.spr	\image\item\banghui\9¼¶½ğÉßÊ¿Åû·ça0.spr	Kú thó thiªn cæ, võa gièng rång võa gièng s­ tö, cã thÓ bay l­în trêi cao.		¸o Choµng		1;12	4	1		0		9	149	104	17	
Phi Phong Chóc Long	0	152	43	0	0	0	100	45;55					2170494	898				\image\item\banghui\9¼¶½ğÉßÒşÅû·ça1.spr	\image\item\banghui\9¼¶½ğÉßÒşÅû·ça0.spr	Chóc Long sèng ë n¬i l¹nh gi¸, ¸nh m¾t s¸ng tùa mÆt trêi.		¸o Choµng		1;12	4	1		0		9	150	105	17	
