Tªn thùc vËt	Lo¹i h×nh chÝnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	§ãi	Tuæi thä	§éc	HuyÕt	Linh	Ma	§éc hiÖn t¹i	M¸u hiÖn t¹i	Linh hiÖn t¹i	Ma hiÖn t¹i	N¨ng lùc cao nhÊt cña Cæ mÉu
Da hæ	2	2	16	200		-3	1	-3	-3					
Da r¾n	2	2	18	200		-2	1	-2	-2					
Da c¸o	2	2	17	200		-2	1	-2	-2					
Da hæ tr¾ng	2	2	46	200		-1	1	-1	-1					
Da gÊu	2	2	20	200		-1	1	-1	-1					
Loan ®iÓu vò	2	10	7	200		-2	1	-2	-1					
Da S­ tö	2	2	47	200		-2	2	-2	-1					
Da V­în tr¾ng	2	2	48	200		-1	2	-1	-1					
Chu T­íc vò	2	2	49	200		-1	2	-1	0					
Da Linh ngao	2	2	50	200		-1	2	-1	0					
Phông Hoµng Vò	2	2	51	200		-1	2	-1	0					
H¾c CÈm	2	2	21	200		-3	-3	-3	2					
Chøc cÈm	2	2	22	200		-3	-3	-3	2					
Háa Ho¸n CÈm	2	2	23	200		-2	-2	-2	2					
Méc Miªn CÈm	2	2	24	200		-1	-1	-1	2					
V©n CÈm	2	2	25	200		0	-1	-1	2					
Thiªn T«n CÈm	2	2	26	200		0	-1	-1	2					
Liªn Hoµnh Phæ	2	2	27	200		-2	2	-2	-2					
Tu La Phæ	2	2	57	200		-2	2	-2	-2					
ThÇn Binh Phæ	2	2	58	200		-1	2	-1	-1					
H¾c Kim PhÊn	2	2	59	200		-1	-1	-1	-1					
H¾c Kim nhá	2	2	60	200		-1	-1	-1	-1					
H¾c Kim lín	2	2	61	200		-1	-1	-1	-1					
ChØ t¬	2	2	62	200		-1	-1	-1	-1					
CÈm tuyÕn	2	2	63	200		-1	-1	-1	-1					
Sîi t¬	2	2	64	200		-1	-1	-1	-1					
Linh Phï ChØ	2	2	65	200		-1	-1	-1	-1					
D­îc V­¬ng ThÇn biªn	2	2	28	200		-1	-1	-1	-1					
§én Gi¸p Th­	2	2	29	200		-1	-1	-1	-1					
Chu sa	2	2	30	200		2	-2	-2	-2					
§¬n T©m sa	2	2	31	200		2	-2	-2	-2					
BÝch HuyÕt Sa	2	2	32	200		2	-1	-1	-1					
H¾c KhuyÓn Linh HuyÕt	2	2	33	200		-2	-2	2	-2					
Thanh ¤ Linh HuyÕt	2	2	34	200		-2	-2	2	-2					
HuyÒn H¹c Linh HuyÕt	2	2	35	200		-1	-1	2	-1					
Da hæ tr¾ng	2	2	19	1000	200	-1,1	-1,1	-1,1	-1,1					
§u«i thá	2	1	2	200		1	-1	-1	-1					
R¨ng sãi	2	1	3	200		-1	1	-1	-1					
Thè Nhi Qu¶	2	1	4	200		-1	-1	1	-1					
L«ng sãi	2	1	5	200		-1	-1	-1	1					
No·n trïng	2	1	6	200		1	-1	-1	-1					
Nanh heo rõng	2	1	7	200		-1	1	-1	-1					
L«ng sãi th­îng ®¼ng	2	1	8	1000	200	-1,1	-1,1	-1,1	-1,1					
VÊn Lé th¹ch	2	1	9	200		-1	-1	1	-1					
ThiÕt Ban ChØ	2	1	10	200		-1	-1	-1	1					
Tó hoa hµi	2	1	11	200		1	-1	-1	-1					
Thiªu töu	2	1	12	200		-1	1	-1	-1					
Tæ ong	2	1	13	200		-1	-1	1	-1					
Nanh heo th­îng h¹ng	2	1	14	1000	200	-1,1	-1,1	-1,1	-1,1					
GÊm lam	2	1	15	200		-1	-1	-1	1					
HÇu Nhi Qu¶	2	1	16	200		1	-1	-1	-1					
Thanh Kim	2	1	17	200		-1	1	-1	-1					
C¸nh d¬i	2	1	18	200		-1	-1	1	-1					
Hæ vÜ	2	1	19	200		-1	-1	-1	1					
ThiÕt Th­¬ng §Çu	2	1	20	200		1	-1	-1	-1					
Bao ®ao	2	1	21	200		-1	1	-1	-1					
TuyÕt Tinh	2	1	22	200		-1	-1	1	-1					
Thèi Cèt	2	1	23	200		-1	-1	-1	1					
S­u ThÇn Ký	2	1	24	200		1	-1	-1	-1					
Gi¸p Méc Bµi	2	1	25	200		-1	1	-1	-1					
¸m Yªn	2	1	26	200		-1	-1	1	-1					
¢m Ph¸ch	2	1	27	200		-1	-1	-1	1					
Trøng chim	2	1	28	400		2	-2	-2	-2					
B¶o B×nh	2	1	29	400		-2	2	-2	-2					
§ång kiÕm	2	1	30	400		-2	-2	2	-2					
Méc Thñ	2	1	31	400		-2	-2	-2	2					
Hång Tinh	2	1	32	400		2	-2	-2	-2					
Êt Méc Bµi	2	1	33	400		-2	2	-2	-2					
Quan phôc	2	1	34	400		-2	-2	2	-2					
B¸nh n­íng	2	1	35	400		-2	-2	-2	2					
Gia Ph¸p bæng	2	1	36	400		2	-2	-2	-2					
Lang Hån	2	1	37	400		-2	2	-2	-2					
Hµng hãa	2	1	38	400		-2	-2	2	-2					
D¹ Minh Ch©u	2	1	39	400		-2	-2	-2	2					
Th­¬ng g·y	2	1	40	400		2	-2	-2	-2					
Kim Thoa	2	1	41	400		-2	2	-2	-2					
MiÕng ®ång	2	1	42	400		-2	-2	2	-2					
Th¶o hµi	2	1	43	400		-2	-2	-2	2					
Töu B«i	2	1	44	400		2	-2	-2	-2					
TuyÕt Ph¸ch	2	1	45	400		-2	2	-2	-2					
BÝnh Méc Bµi	2	1	46	400		-2	-2	2	-2					
ThiÕt Xoa	2	1	47	400		-2	-2	-2	2					
§u«i Hæ vµng	2	1	48	1000	200	-1,1	-1,1	-1,1	-1,1					
ThÇn Ma chÝ	2	1	49	500		2	-2	-1	-2					
Thñ Cèt	2	1	50	500		-2	2	-2	-1					
U Hån	2	1	51	500		-1	-2	2	-2					
Tr·m Töu	2	1	52	500		-2	-1	-2	2					
Di T¾c Chung	2	1	53	500		2	-2	-1	-2					
GÊm vµng	2	1	54	500		-2	2	-2	-1					
B×nh trµ	2	1	55	500		-1	-2	2	-2					
C«ng V¨n	2	1	56	500		-2	-1	-2	2					
Hép trang søc	2	1	57	500		2	-2	-1	-2					
C¸nh d¬i	2	1	58	500		-2	2	-2	-1					
§inh Méc Bµi	2	1	59	500		-1	-2	2	-2					
BÇu r­îu da dª	2	1	60	500		-2	-1	-2	2					
D©y xÝch	2	1	61	600		2	-1	-2	-1					
Lôc Ph¸ch	2	1	62	600		-1	2	-1	-2					
Mãc C©u	2	1	63	600		-2	-1	2	-1					
MËu Méc Bµi	2	1	64	600		-1	-2	-1	2					
BÇu r­îu da dª	2	1	65	600		2	-1	-2	-1					
DÜ Méc Bµi	2	1	66	600		-1	2	-1	-2					
§¹i Tèng ®Þa chÝ	2	1	67	600		-2	-1	2	-1					
Ch©m cøu ®ång nh©n	2	1	68	600		-1	-2	-1	2					
Hoµng Kim Ban ChØ	2	1	69	600		2	-1	-2	-1					
Canh Méc Bµi	2	1	70	600		-1	2	-1	-2					
ThiÕt B¸t Qu¸i	2	1	71	600		-2	-1	2	-1					
Ên Th¹ch	2	1	72	1000	200	-1,1	-1,1	-1,1	-1,1					
§inh Ba	2	1	73	600		-1	-2	-1	2					
Bao tay Da h­¬u	2	1	74	1000	200	-1,1	-1,1	-1,1	-1,1					
Môc L«i V¨n §ao	2	1	75	600		2	-1	-2	-1					
MÉu §¬n	2	1	76	600		-1	2	-1	-2					
T©n Méc Bµi	2	1	77	600		-2	-1	2	-1					
Hïng V¨n	2	1	78	600		-1	-2	-1	2					
Kim Xøng Xµ	2	1	79	1000	200	-1,1	-1,1	-1,1	-1,1					
KiÕm Hån	2	1	80	600		2	-1	-2	-1					
B¹ch V©n b«i	2	1	81	600		-1	2	-1	-2					
Quy Hoa KÝnh	2	1	82	1000	200	-1,1	-1,1	-1,1	-1,1					
Nh©m Méc Bµi	2	1	83	600		-2	-1	2	-1					
Hæ Ph¸ch	2	1	84	600		-1	-2	-1	2					
Quý Méc Bµi	2	1	85	700		2	-1	-1	-1					
Kim Cang	2	1	86	1000	200	-1,1	-1,1	-1,1	-1,1					
Ngäc Nh­ ý	2	1	87	700		-1	2	-1	-1					
B×nh Ngäc	2	1	88	700		-1	-1	2	-1					
Tª Ng­u Cung	2	1	89	700		-1	-1	-1	2					
NhÉn Hé PhËt	2	1	90	1000	200	-1,1	-1,1	-1,1	-1,1					
Lôc Trô	2	1	91	700		2	-1	-1	-1					
Quû Hån	2	1	92	700		-1	2	-1	-1					
Vßng B¹ch Ngäc	2	1	93	700		-1	-1	2	-1					
Tµ PhËt Ban ChØ	2	1	94	700		-1	-1	-1	2					
TuyÕt Hoa Giíi C¬	2	1	95	1000	200	-1,1	-1,1	-1,1	-1,1					
ChØ Nam Ng­	2	1	96	700		2	-1	-1	-1					
Th­¬ng Hµn luËn	2	1	97	700		-1	2	-1	-1					
Khª S¬n chÝ	2	1	98	700		-1	-1	2	-1					
HuyÔn Quang	2	1	99	700		0	-1	2	-1					
§«ng L¨ng	2	1	100	800		-1	2	-1	0					
MÆt n¹ Thiªn V­¬ng	2	1	101	1000	200	-1,1	-1,1	-1,1	-1,1					
Nh©n §å Phñ	2	1	102	1000	200	-1,1	-1,1	-1,1	-1,1					
B×nh ¤n dÞch	2	1	103	1000	200	-1,1	-1,1	-1,1	-1,1					
Hæ phï	2	1	104	1000	200	-1,1	-1,1	-1,1	-1,1					
Vâ Kinh Tæng YÕu	2	1	105	1000	200	-1,1	-1,1	-1,1	-1,1					
V¶y Kú L©n	2	1	106	800		2	-1	0	-1					
Hoµng §Õ Néi Kinh	2	1	107	1000	200	-2,2	-2,2	-2,2	-2,2					
Hoµng Kim b¶o r­¬ng	2	1	108	2000	200	0	1	0	0					
X¸ Lîi TruyÒn C«ng	2	1	109	2000	200	0	0	1	0					
M¶nh b¶n ®å SHXT	2	1	110	2000	200	0	0	0	1					
Hoa hång	2	1	111	2000	200	1	0	0	0					
Ch©n thá	2	1	112	2000	200	0	0	1	0					
Nanh sãi	2	1	113	2000	200	3	3	3	3					
T¬ kh¸ng Thñy	2	1	114	2000	200	1	0	0	0					
Ph¸ Thiªn Cung	2	1	115	2000	200	0	1	0	0					
X­¬ng rång	2	1	116	2000	200	0	1	0	0					
Tóy Tiªn Cóc	2	1	117	2000	200	0	0	1	0					
Thi V­¬ng LÆc Cèt	2	1	118	2000	200	0	0	0	1					
Thi KhÝ B×nh	2	1	119	2000	200	1	0	0	0					
Qu¶n Tö	2	1	120	2000	200	0	0	1	0					
Tói Phi Ng­	2	1	121	2000	200	1	0	0	0					
B×nh Song Tinh	2	1	122	2000	200	0	0	0	1					
Thó V­¬ng T©m	2	1	123	2000	200	3	3	3	3					
X­¬ng sä	2	1	124	2000	200	0	1	0	0					
Tô Hån ®Ønh	2	1	125	2000	200	0	0	0	1					
L¹p Hoµn	2	1	126	2000	200	0	1	0	0					
D¬i ®éc	2	1	127	2000	200	1	0	0	0					
Quan m·o	2	1	128	2000	200	0	0	0	1					
MËt S¸t LÖnh	2	1	129	2000	200	0	0	0	1					
ChÊn Thiªn TuyÕt	2	1	130	2000	200	0	1	0	0					
Tµng B¶o §å	2	1	131	2000	200	0	0	1	0					
DiÒu	2	1	132	2000	200	1	0	0	0					
Con rèi	2	1	133	2000	200	0	0	1	0					
Tµo Ng©n	2	1	134	2000	200	0	0	1	0					
Hoa Th¹ch C­¬ng	2	1	135	2000	200	0	0	0	1					
DÇu ®en	2	1	136	2000	200	1	0	0	0					
Tr­êng Thµnh KÝnh	2	1	137	2000	200	0	0	1	0					
B¶n ch÷ TÊt Th¨ng	2	1	138	2000	200	0	1	0	0					
Nh©n §Çu NiÖm Ch©u	2	1	139	2000	200	3	3	3	3					
Khª S¬n chÝ	2	1	140	2000	200	1	0	0	0					
Yªu V­¬ng chiÕn kú	2	1	141	2000	200	3	3	3	3					
Hoµng TriÒu Ngäc Tû	2	1	142	2000	200	1	1	1	1					
Thiªn C­¬ng Ngò L«i §¹i Ph¸p	2	1	143	2000	200	3	3	3	3					
L«i Viªm Kim Sa	2	1	146	2000	200	3	3	3	3					
Thiªn Y V« Phong 	2	1	147	2000	200	3	3	3	3					
M¶nh B¨ng th¹ch	2	1	148	2000	100	-2,2	-2,2	-2,2	-2,2					
B¨ng th¹ch	2	1	149	2000	100	-2,3	-2,3	-2,3	-2,3					
Bå §Ò	2	1	151	2000	200	3	3	3	3					
BÝ Ng©n	2	1	152	2000	200	1	1	1	1					
PhÈm mµu	2	1	153	2000	200	1	1	1	1					
Tinh ThiÕt Ch©m	2	11	1	100		-1	-1	-1	-1					
Xuyªn Cèt Ch©m	2	11	2	100		-1	-1	-1	-1					
L«i Háa Ch©m	2	11	3	100		-1	-1	-1	-1					
LiÖt NhËn Ch©m	2	11	4	100		-1	-1	-1	-1					
TrÊn Ma Ch©m	2	11	5	100		-1	-1	-1	-1					
Ph¸ Gi¸p Ch©m	2	11	6	100		-1	-1	-1	-1					
B¸ V­¬ng Ch©m	2	11	7	100		-1	-1	-1	-1					
Minh NguyÖt Ch©m	2	11	8	100		-1	-1	-1	-1					
§o¹n Long Ch©m	2	11	9	100		-1	-1	-1	-1					
L«ng c¸o	2	1	155	200		1	-1	-1	-1					
Trøng B¹ch §iªu	2	1	156	200		-1	1	-1	-1					
Cung	2	1	157	200		-1	-1	1	-1					
M¶nh b¶n ®å Thiªn ¢m gi¸o	2	1	158	200		-1	-1	-1	1					
Thiªn ¢m MËt TÝn	2	1	159	200		1	-1	-1	-1					
Qu¸i dÞ th¹ch	2	1	160	200		-1	1	-1	-1					
Ng¹c vÜ cèt	2	1	161	200		-1	-1	1	-1					
D·i cãc	2	1	162	200		-1	-1	-1	1					
H¹t Ch©m	2	1	163	200		-1	1	-1	-1					
DÞ Téc Qu¶i Liªn	2	1	164	400		2	-2	-2	-2					
DÞ Téc b× ngoa	2	1	165	400		-2	2	-2	-2					
da Th­¬ng Viªn	2	1	166	400		-2	-2	2	-2					
Ng©n Hå ®¬n	2	1	167	400		-2	-2	-2	2					
Ng©n th­¬ng háng	2	1	168	600		2	-1	-2	-1					
Xi Háa c«n	2	1	169	600		-1	2	-1	-2					
B¹ch Ng­ L©n	2	1	170	600		-2	-1	2	-1					
Hång ng­ l©n	2	1	171	600		-1	-2	-1	2					
D¹ §ao	2	1	172	700		2	-1	-1	-1					
Vâ sÜ ®ao	2	1	173	700		2	-1	-1	-1					
Vâ sÜ yªu ®¸i	2	1	174	700		-1	2	-1	-1					
MÆt n¹ Vâ sÜ	2	1	175	700		-1	-1	2	-1					
§éc Phong thÝch	2	1	176	700		-1	-1	-1	2					
Gi¸p x¸c phiÕn	2	1	177	800		2	-1	0	-1					
Háa ¶nh ThÇn ®ao	2	1	178	800		-1	2	-1	0					
Quû §Çu Tr­îng	2	1	179	800		0	-1	2	-1					
Ng¹c Ng­ Nh·n CÇu	2	1	180	800		-1	0	-1	2					
ThÇn bÝ phñ	2	1	181	2000	200	3	3	3	3					
KiÕm thÇn bÝ	2	1	182	2000	200	3	3	3	3					
Linh Tiªu	2	1	183	1000		3	-1	-1	-1					
Linh Qu¶	2	1	184	1000		-1	3	-1	-1					
Linh T¶n	2	1	185	1000		-1	-1	3	-1					
Linh CÇm	2	1	186	1000		-1	-1	-1	3					
Linh §Þch	2	1	187	1000		-1,1	-1,1	-1,1	-1,1					
Tªn	2	15	10	100		-1	-1	-1	-1					
Th¸i B¹ch Kim §¬n	2	1	202	100		-1	-1	-1	-1					
Sñi c¶o b¾p c¶i	2	1	243	3000										
Sñi c¶o cµ rèt	2	1	244	3000										
Sñi c¶o rau cÇn	2	1	245	3000										
Sñi c¶o kim chi	2	1	246	3000										
Sñi c¶o rau hÑ	2	1	247	3000										
Tam Tiªn sñi c¶o	2	1	251	3000	1000	2	2	2	2					
Sñi c¶o may m¾n	2	1	252	4000	2000	5	5	5	5					
Sñi c¶o Thñy Tinh	2	1	253	5000	5000	10	10	10	10					
Bét m×	2	1	255	1000										
ThËp Tam H­¬ng	2	1	256	1000										
ThÞt heo	2	1	257	1000										
ThÞt bß	2	1	258	1000										
T«m	2	1	259	1000										
Cñ c¶i	2	1	260	1000										
C¶i chua	2	1	261	1000										
C¶i tr¾ng	2	1	262	1000										
Rau cÇn	2	1	263	1000										
Rau hÑ	2	1	264	1000										
B¸nh tæ h¹t sen	2	1	266	10000										
B¸nh tæ nh©n thÞt	2	1	267	10000										
B¸nh tæ nh©n t¸o	2	1	268	10000										
B¸nh tæ thËp cÈm	2	1	269	10000										
Näc ong ®éc	2	1	271	200		1	-1	-1	-1					
X¸c gi¸p trïng	2	1	272	200		-1	1	-1	-1					
Ch©n rÕt	2	1	273	200		-1	-1	1	-1					
C¸nh muçi	2	1	274	200		-1	-1	-1	1					
DÞch nhÖn ®éc	2	1	275	400		2	-2	-2	-2					
MÇm Thùc nh©n th¶o	2	1	276	400		-2	2	-2	-2					
§u«i §éc tÝch	2	1	277	600		2	-1	-2	-1					
D©y tua	2	1	281	600		-1	2	-1	-2					
Xi Háa MËt TÝn	2	1	282	600		-2	-1	2	-1					
Hé Ph¸p LÖnh Bµi	2	1	284	600		-1	-2	-1	2					
HuyÕt Nha vò	2	1	285	600		2	-1	-2	-1					
HuyÕt bao	2	1	286	400		-2	-2	2	-2					
Mao Ng­u b×	2	1	287	400		-2	-2	-2	2					
Tr­êng ®ao	2	1	288	600		-1	2	-1	-2					
Kh¨n tay	2	1	289	600		-2	-1	2	-1					
Tranh ch÷	2	1	290	600		-1	-2	-1	2					
Vò nhung	2	1	291	700		2	-1	-1	-1					
Da hæ	2	1	292	700		-1	2	-1	-1					
To¸i cèt	2	1	293	700		-1	-1	2	-1					
¢m d­¬ng kÝnh	2	1	294	700		-1	-1	-1	2					
§¹i Cang ®ao	2	1	295	700		2	-1	-1	-1					
R¨ng Tinh Tinh	2	1	296	700		-1	2	-1	-1					
Da voi	2	1	297	700		-1	-1	2	-1					
Thuèc næ	2	1	298	700		-1	-1	-1	2					
Tµn kiÕm	2	1	299	800		2	-1	0	-1					
Tö ®µn	2	1	300	800		-1	2	-1	0					
Tµn th­¬ng	2	1	301	800		0	-1	2	-1					
Phï Ên	2	1	302	800		-1	0	-1	2					
G¨ng tay	2	1	303	800		-1	2	-1	0					
PhËt Kinh	2	1	304	800		0	-1	2	-1					
§µ La tr­îng	2	1	305	800		-1	0	-1	2					
Hép trang ®iÓm	2	1	306	100		-1	-1	-1	-1					
HuyÕt L©n	2	1	307	100		-1	-1	-1	-1					
Hñ Cèt	2	1	308	100		-1	-1	-1	-1					
TiÓu §éc Nang	2	1	309	100		-1	-1	-1	-1					
Hoa Ban Hå §iÖp	2	1	310	100		-1	-1	-1	-1					
Minh Háa Phï	2	1	311	100		-1	-1	-1	-1					
§¹i ThiÕt Ba	2	1	312	100		-1	-1	-1	-1					
Xi Háa Ên	2	1	313	100		-1	-1	-1	-1					
B¹ch L©n	2	1	314	100		-1	-1	-1	-1					
L­¬ng kh«	2	1	315	100		-1	-1	-1	-1					
To¸i th¹ch	2	1	316	100		-1	-1	-1	-1					
Th« bè Tr­êng Bµo	2	1	317	100		-1	-1	-1	-1					
Cån	2	1	318	100		-1	-1	-1	-1					
C¸nh Phông Hoµng	2	1	319	100		-1	-1	-1	-1					
Xi Háa Tr­êng Ên	2	1	320	100		-1	-1	-1	-1					
Xi Háa Th¸nh Ên	2	1	321	100		-1	-1	-1	-1					
C¸nh A Tu La	2	1	322	100		-1	-1	-1	-1					
§Çu l©u Ma H« La Ca	2	1	323	100		-1	-1	-1	-1					
§oµn Thõa ¢n thñ th­	2	1	324	100		-1	-1	-1	-1					
NhÊt D­¬ng ChØ Tµn ch­¬ng 1	2	1	325	100		-1	-1	-1	-1					
BÝch Ngäc giíi chØ	2	1	326	100		-1	-1	-1	-1					
D©y thÐp	2	1	327	100		-1	-1	-1	-1					
Trµng h¹t	2	1	328	100		-1	-1	-1	-1					
§Çu l©u KhÈn Na La	2	1	329	100		-1	-1	-1	-1					
§¹i Tu Viªn KÝnh	2	1	330	100		-1	-1	-1	-1					
NhÊt D­¬ng ChØ Tµn ch­¬ng 2	2	1	331	100		-1	-1	-1	-1					
Chi Ma H­¬ng	2	1	332	10000										
ThiÕu HiÖp C©n	0	103	1	400		1	-2	-2	-2					
Phong Vò C©n	0	103	2	400		1	-2	-2	-2					
Anh Hïng C©n	0	103	3	600		1	-2	-1	-2					
CÈm Bè c©n	0	103	4	600		1	-2	-1	-2					
M·n NguyÖt L¹p	0	103	5	800		2	-2	-1	-2					
Kim Phong Qu¸n	0	103	6	800		2	-2	-1	-2					
M«ng DiÖn C©n	0	103	7	1000		2	-1	-2	-1					
Hoa D­¬ng c©n	0	103	8	1000		2	-1	-2	-1					
ThiÕt TuyÕn L¹p	0	103	9	1200		3	-2	-1	-2					
DËt Èn Qu¸n	0	103	10	1200		3	-2	-1	-2					
Hång L¨ng C©n	0	103	11	1400		3	-1	-2	-1					
Hµng V©n Thóc ®¸i	0	103	12	1400		3	-1	-2	-1					
Thanh Sa Nh·n Tr¸o	0	103	13	1600		4	-2	-1	-2					
XÝch Tinh Nh·n Tr¸o	0	103	14	1600		4	-2	-1	-2					
Phi V©n L¹p	0	103	15	1800		4	-1	-2	-1					
TuyÖt B¶o Qu¸n	0	103	16	1800		4	-1	-2	-1					
S¬n Quû DiÖn	0	103	17	2000		5	-2	0	-2					
MËt ThÇn qu¸n	0	103	18	2000		5	-2	0	-2					
HiÖp ThiÕu bè c©n	0	103	19	400		1	-2	-2	-2					
H¾c CÈm bè c©n	0	103	20	400		1	-2	-2	-2					
Ng­u B× ®Çu c©n	0	103	21	600		1	-2	-1	-2					
Kim §iÒu c©n	0	103	22	600		1	-2	-1	-2					
Vò Th¾ng Sa M·o	0	103	23	800		2	-2	-1	-2					
Hoµng Trï Thóc c©n	0	103	24	800		2	-2	-1	-2					
ThÇn Méc c©n	0	103	25	1000		2	-1	-2	-1					
Nh­îc Thñy L¹p	0	103	26	1000		2	-1	-2	-1					
Chu T­íc Thóc c©n	0	103	27	1200		3	-2	-1	-2					
H¶i ThÇn kÕt	0	103	28	1200		3	-2	-1	-2					
§Þnh Quèc Tö C©n	0	103	29	1400		3	-1	-2	-1					
MËt NhÉn DiÖn tr¸o	0	103	30	1400		3	-1	-2	-1					
ThÇn S¸ch Kim Kh«i	0	103	31	1600		4	-2	-1	-2					
Ngò Quû c©n	0	103	32	1600		4	-2	-1	-2					
Tinh Cang ChiÕn Kh«i	0	103	33	1800		4	-1	-2	-1					
L«i Tr× diÖn	0	103	34	1800		4	-1	-2	-1					
Chung Quú diÖn	0	103	35	2000		5	-2	-2	0					
DÞ ThÇn c©n	0	103	36	2000		5	-2	-2	0					
§µo Méc Tr©m	0	103	37	400		1	-2	-2	-2					
Th¸i Méc Tr©m	0	103	38	400		1	-2	-2	-2					
Phßng Phong L¹p	0	103	39	600		1	-2	-1	-2					
TÞ Thñy L¹p	0	103	40	600		1	-2	-1	-2					
Thanh §ång kÕt	0	103	41	800		2	-2	-1	-2					
San H« tr©m	0	103	42	800		2	-2	-1	-2					
Bµn Th¹ch kÕt	0	103	43	1000		2	-1	-2	-1					
Khæng T­íc Tr©m	0	103	44	1000		2	-1	-2	-1					
Chu T­íc Ph¸t KÕt	0	103	45	1200		3	-2	-1	-2					
