G	D	P	ITEM_COLOR	ITEM_EFFECT
2	95	4226	Green2	3
2	95	4227	Blue1	4
2	95	4228	Purple	5
2	95	4229	Gold	6
2	95	4230	Fire	7
2	95	4231	White	2
2	95	4232	Green2	3
2	95	4233	Blue1	4
2	95	4234	Purple	5
2	95	4235	Gold	6
2	95	4236	Fire	7
2	95	4237	White	2
2	95	4238	Green2	3
2	95	4239	Blue1	4
2	95	4240	Purple	5
2	95	4241	Gold	6
2	95	4242	Fire	7
2	95	4243	White	2
2	95	4244	Green2	3
2	95	4245	Blue1	4
2	95	4246	Purple	5
2	95	4247	Gold	6
2	95	4248	Fire	7
2	95	4249	White	2
2	95	4250	Green2	3
2	95	4251	Blue1	4
2	95	4252	Purple	5
2	95	4253	Gold	6
2	95	4254	Fire	7
2	95	4255	White	2
2	95	4256	Green2	3
2	95	4257	Blue1	4
2	95	4258	Purple	5
2	95	4259	Gold	6
2	95	4260	Fire	7
2	95	4261	White	2
2	95	4262	Green2	3
2	95	4263	Blue1	4
2	95	4264	Purple	5
2	95	4265	Gold	6
2	95	4266	Fire	7
2	95	4267	White	2
2	95	4268	Green2	3
2	95	4269	Blue1	4
2	95	4270	Purple	5
2	95	4271	Gold	6
2	95	4272	Fire	7
2	95	4273	White	2
2	95	4274	Green2	3
2	95	4275	Blue1	4
2	95	4276	Purple	5
2	95	4277	Gold	6
2	95	4278	Fire	7
2	95	4279	White	2
2	95	4280	Green2	3
2	95	4281	Blue1	4
2	95	4282	Purple	5
2	95	4283	Gold	6
2	95	4284	Fire	7
2	95	4285	White	2
2	95	4286	Green2	3
2	95	4287	Blue1	4
2	95	4288	Purple	5
2	95	4289	Gold	6
2	95	4290	Fire	7
2	95	4291	White	2
2	95	4292	Green2	3
2	95	4293	Blue1	4
2	95	4294	Purple	5
2	95	4295	Gold	6
2	95	4296	Fire	7
2	95	4297	White	2
2	95	4298	Green2	3
2	95	4299	Blue1	4
2	95	4300	Purple	5
2	95	4301	Gold	6
2	95	4302	Fire	7
2	95	4303	White	2
2	95	4304	Green2	3
2	95	4305	Blue1	4
2	95	4306	Purple	5
2	95	4307	Gold	6
2	95	4308	Fire	7
0	130	1	White	8
0	130	2	White	8
0	130	3	White	8
0	130	4	White	8
0	130	5	White	8
0	130	6	White	8
0	130	7	White	8
0	130	8	White	8
0	130	9	White	8
0	130	10	White	8
0	130	11	White	8
0	130	12	White	8
0	130	13	White	8
0	130	14	White	8
0	130	15	White	8
0	130	16	White	8
0	130	17	White	8
0	130	18	White	8
0	130	19	White	8
0	130	20	White	8
0	130	21	White	8
0	130	22	White	8
0	130	23	White	8
0	130	24	White	8
0	130	25	White	8
0	130	26	White	8
0	130	27	White	8
0	130	28	White	8
0	130	29	White	8
0	130	30	White	8
0	130	31	White	8
0	130	32	White	8
0	130	33	White	8
0	130	34	White	8
0	130	35	White	8
0	130	36	White	8
0	130	37	White	8
0	130	38	White	8
0	130	39	White	8
0	130	40	White	8
0	130	41	White	8
0	130	42	White	8
0	130	43	White	8
0	130	44	White	8
0	130	45	White	8
0	131	1	White	9
0	131	2	White	9
0	131	3	White	9
0	131	4	White	9
0	131	5	White	9
0	131	6	White	9
0	131	7	White	9
0	131	8	White	9
0	131	9	White	9
0	131	10	White	9
0	131	11	White	9
0	131	12	White	9
0	131	13	White	9
0	131	14	White	9
0	131	15	White	9
0	131	16	White	9
0	131	17	White	9
0	131	18	White	9
0	131	19	White	9
0	131	20	White	9
0	131	21	White	9
0	131	22	White	9
0	131	23	White	9
0	131	24	White	9
0	131	25	White	9
0	131	26	White	9
0	131	27	White	9
0	131	28	White	9
0	131	29	White	9
0	131	30	White	9
0	131	31	White	9
0	131	32	White	9
0	131	33	White	9
0	131	34	White	9
0	131	35	White	9
0	131	36	White	9
0	131	37	White	9
0	131	38	White	9
0	131	39	White	9
0	131	40	White	9
0	131	41	White	9
0	131	42	White	9
0	131	43	White	9
0	131	44	White	9
0	131	45	White	9
0	132	1	White	10
0	132	2	White	10
0	132	3	White	10
0	132	4	White	10
0	132	5	White	10
0	132	6	White	10
0	132	7	White	10
0	132	8	White	10
0	132	9	White	10
0	132	10	White	10
0	132	11	White	10
0	132	12	White	10
0	132	13	White	10
0	132	14	White	10
0	132	15	White	10
0	132	16	White	10
0	132	17	White	10
0	132	18	White	10
0	132	19	White	10
0	132	20	White	10
0	132	21	White	10
0	132	22	White	10
0	132	23	White	10
0	132	24	White	10
0	132	25	White	10
0	132	26	White	10
0	132	27	White	10
0	132	28	White	10
0	132	29	White	10
0	132	30	White	10
0	132	31	White	10
0	132	32	White	10
0	132	33	White	10
0	132	34	White	10
0	132	35	White	10
0	132	36	White	10
0	132	37	White	10
0	132	38	White	10
0	132	39	White	10
0	132	40	White	10
0	132	41	White	10
0	132	42	White	10
0	132	43	White	10
0	132	44	White	10
0	132	45	White	10
0	133	1	White	11
0	133	2	White	11
0	133	3	White	11
0	133	4	White	11
0	133	5	White	11
0	133	6	White	11
0	133	7	White	11
0	133	8	White	11
0	133	9	White	11
0	133	10	White	11
0	133	11	White	11
0	133	12	White	11
0	133	13	White	11
0	133	14	White	11
0	133	15	White	11
0	133	16	White	11
0	133	17	White	11
0	133	18	White	11
0	133	19	White	11
0	133	20	White	11
0	133	21	White	11
0	133	22	White	11
0	133	23	White	11
0	133	24	White	11
0	133	25	White	11
0	133	26	White	11
0	133	27	White	11
0	133	28	White	11
0	133	29	White	11
0	133	30	White	11
0	133	31	White	11
0	133	32	White	11
0	133	33	White	11
0	133	34	White	11
0	133	35	White	11
0	133	36	White	11
0	133	37	White	11
0	133	38	White	11
0	133	39	White	11
0	133	40	White	11
0	133	41	White	11
0	133	42	White	11
0	133	43	White	11
0	133	44	White	11
0	133	45	White	11
0	134	1	White	12
0	134	2	White	12
0	134	3	White	12
0	134	4	White	12
0	134	5	White	12
0	134	6	White	12
0	134	7	White	12
0	134	8	White	12
0	134	9	White	12
0	134	10	White	12
0	134	11	White	12
0	134	12	White	12
0	134	13	White	12
0	134	14	White	12
0	134	15	White	12
0	134	16	White	12
0	134	17	White	12
0	134	18	White	12
0	134	19	White	12
0	134	20	White	12
0	134	21	White	12
0	134	22	White	12
0	134	23	White	12
0	134	24	White	12
0	134	25	White	12
0	134	26	White	12
0	134	27	White	12
0	134	28	White	12
0	134	29	White	12
0	134	30	White	12
0	134	31	White	12
0	134	32	White	12
0	134	33	White	12
0	134	34	White	12
0	134	35	White	12
0	134	36	White	12
0	134	37	White	12
0	134	38	White	12
0	134	39	White	12
0	134	40	White	12
0	134	41	White	12
0	134	42	White	12
0	134	43	White	12
0	134	44	White	12
0	134	45	White	12
0	130	46	White	8
0	130	47	White	8
0	130	48	White	8
0	130	49	White	8
0	130	50	White	8
0	130	51	White	8
0	130	52	White	8
0	130	53	White	8
0	130	54	White	8
0	130	55	White	8
0	130	56	White	8
0	130	57	White	8
0	130	58	White	8
0	130	59	White	8
0	131	46	White	9
0	131	47	White	9
0	131	48	White	9
0	131	49	White	9
0	131	50	White	9
0	131	51	White	9
0	131	52	White	9
0	131	53	White	9
0	131	54	White	9
0	131	55	White	9
0	131	56	White	9
0	131	57	White	9
0	131	58	White	9
0	131	59	White	9
0	132	46	White	10
0	132	47	White	10
0	132	48	White	10
0	132	49	White	10
0	132	50	White	10
0	132	51	White	10
0	132	52	White	10
0	132	53	White	10
0	132	54	White	10
0	132	55	White	10
0	132	56	White	10
0	132	57	White	10
0	132	58	White	10
0	132	59	White	10
0	133	46	White	11
0	133	47	White	11
0	133	48	White	11
0	133	49	White	11
0	133	50	White	11
0	133	51	White	11
0	133	52	White	11
0	133	53	White	11
0	133	54	White	11
0	133	55	White	11
0	133	56	White	11
0	133	57	White	11
0	133	58	White	11
0	133	59	White	11
0	134	46	White	12
0	134	47	White	12
0	134	48	White	12
0	134	49	White	12
0	134	50	White	12
0	134	51	White	12
0	134	52	White	12
0	134	53	White	12
0	134	54	White	12
0	134	55	White	12
0	134	56	White	12
0	134	57	White	12
0	134	58	White	12
0	134	59	White	12
