EnhanceID	SuccessRate	_type	Item_Count	Item_GDP	NeedMoney	Stuff_1_Need	Stuff_1_Count	Stuff_1_GDP	SampleItem_1	StuffName_1	Stuff_2_Need	Stuff_2_Count	Stuff_2_GDP	SampleItem_2	StuffName_2	Stuff_3_Need	Stuff_3_Count	Stuff_3_GDP	SampleItem_3	StuffName_3	Stuff_4_Need	Stuff_4_Count	Stuff_4_GDP	SampleItem_4	StuffName_4
35	100	jiuzhou	1	0;6;8942	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
36	100	jiuzhou	1	0;4;8943	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
37	100	jiuzhou	1	0;7;8944	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
38	100	jiuzhou	1	0;11;8945	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
39	100	jiuzhou	1	0;102;3135	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
40	100	jiuzhou	1	0;102;3136	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
41	100	jiuzhou	1	0;102;3137	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
42	100	jiuzhou	1	0;102;3138	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
43	100	jiuzhou	1	0;102;3139	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
44	100	jiuzhou	1	0;102;3140	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
45	100	jiuzhou	1	0;102;3141	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
46	100	jiuzhou	1	0;102;3142	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
47	100	jiuzhou	1	0;102;3143	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
48	100	jiuzhou	1	0;102;3144	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
49	100	jiuzhou	1	0;102;3145	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
50	100	jiuzhou	1	0;102;3146	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
51	100	jiuzhou	1	0;102;3147	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
52	100	jiuzhou	1	0;102;3148	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
53	100	jiuzhou	1	0;102;3149	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
54	100	jiuzhou	1	0;102;3150	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
55	100	jiuzhou	1	0;102;3151	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
56	100	jiuzhou	1	0;102;3152	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
57	100	jiuzhou	1	0;102;3153	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
58	100	jiuzhou	1	0;102;3154	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
59	100	jiuzhou	1	0;102;3155	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
60	100	jiuzhou	1	0;102;3156	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
61	100	jiuzhou	1	0;102;3157	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
62	100	jiuzhou	1	0;102;3158	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
63	100	jiuzhou	1	0;102;3159	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
64	100	jiuzhou	1	0;102;3160	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
65	100	jiuzhou	1	0;102;3161	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
66	100	jiuzhou	1	0;102;3162	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
67	100	haoyue	1	0;103;3064	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
68	100	haoyue	1	0;103;3065	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
69	100	haoyue	1	0;103;3066	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
70	100	haoyue	1	0;103;3067	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
71	100	haoyue	1	0;103;3068	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
72	100	haoyue	1	0;103;3069	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
73	100	haoyue	1	0;103;3070	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
74	100	haoyue	1	0;103;3071	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
75	100	haoyue	1	0;103;3072	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
76	100	haoyue	1	0;103;3073	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
77	100	haoyue	1	0;103;3074	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
78	100	haoyue	1	0;103;3075	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
79	100	haoyue	1	0;103;3076	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
80	100	haoyue	1	0;103;3077	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
81	100	haoyue	1	0;103;3078	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
82	100	haoyue	1	0;103;3079	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
83	100	haoyue	1	0;103;3080	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
84	100	haoyue	1	0;103;3081	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
85	100	haoyue	1	0;103;3082	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
86	100	haoyue	1	0;103;3083	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
87	100	haoyue	1	0;103;3084	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
88	100	haoyue	1	0;103;3085	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
89	100	haoyue	1	0;103;3086	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
90	100	haoyue	1	0;103;3087	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
91	100	haoyue	1	0;103;3088	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
92	100	haoyue	1	0;103;3089	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
93	100	haoyue	1	0;103;3090	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
94	100	haoyue	1	0;103;3091	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
95	100	haoyue	1	0;103;3092	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
96	100	haoyue	1	0;103;3093	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
97	100	haoyue	1	0;103;3094	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
98	100	haoyue	1	0;103;3095	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
99	100	haoyue	1	0;103;3096	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
100	100	haoyue	1	0;103;3097	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
101	100	haoyue	1	0;103;3098	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
102	100	haoyue	1	0;103;3099	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
103	100	haoyue	1	0;103;3100	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
104	100	haoyue	1	0;103;3101	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
105	100	haoyue	1	0;103;3102	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
106	100	haoyue	1	0;103;3103	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
107	100	haoyue	1	0;103;3104	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
108	100	haoyue	1	0;103;3105	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
109	100	haoyue	1	0;103;3106	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
110	100	haoyue	1	0;103;3107	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
111	100	haoyue	1	0;103;3108	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
112	100	haoyue	1	0;103;3109	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
113	100	haoyue	1	0;100;3064	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
114	100	haoyue	1	0;100;3065	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
115	100	haoyue	1	0;100;3066	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
116	100	haoyue	1	0;100;3067	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
117	100	haoyue	1	0;100;3068	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
118	100	haoyue	1	0;100;3069	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
119	100	haoyue	1	0;100;3070	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
120	100	haoyue	1	0;100;3071	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
121	100	haoyue	1	0;100;3072	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
122	100	haoyue	1	0;100;3073	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
123	100	haoyue	1	0;100;3074	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
124	100	haoyue	1	0;100;3075	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
125	100	haoyue	1	0;100;3076	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
126	100	haoyue	1	0;100;3077	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
127	100	haoyue	1	0;100;3078	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
128	100	haoyue	1	0;100;3079	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
129	100	haoyue	1	0;100;3080	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
130	100	haoyue	1	0;100;3081	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
131	100	haoyue	1	0;100;3082	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
132	100	haoyue	1	0;100;3083	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
133	100	haoyue	1	0;100;3084	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
134	100	haoyue	1	0;100;3085	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
135	100	haoyue	1	0;100;3086	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
136	100	haoyue	1	0;100;3087	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
137	100	haoyue	1	0;100;3088	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
138	100	haoyue	1	0;100;3089	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
139	100	haoyue	1	0;100;3090	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
140	100	haoyue	1	0;100;3091	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
141	100	haoyue	1	0;100;3092	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
142	100	haoyue	1	0;100;3093	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
143	100	haoyue	1	0;100;3094	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
144	100	haoyue	1	0;100;3095	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
145	100	haoyue	1	0;100;3096	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
146	100	haoyue	1	0;100;3097	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
147	100	haoyue	1	0;100;3098	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
148	100	haoyue	1	0;100;3099	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
149	100	haoyue	1	0;100;3100	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
150	100	haoyue	1	0;100;3101	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
151	100	haoyue	1	0;100;3102	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
152	100	haoyue	1	0;100;3103	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
153	100	haoyue	1	0;100;3104	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
154	100	haoyue	1	0;100;3105	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
155	100	haoyue	1	0;100;3106	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
156	100	haoyue	1	0;100;3107	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
157	100	haoyue	1	0;100;3108	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
158	100	haoyue	1	0;100;3109	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
159	100	haoyue	1	0;101;3064	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
160	100	haoyue	1	0;101;3065	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
161	100	haoyue	1	0;101;3066	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
162	100	haoyue	1	0;101;3067	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
163	100	haoyue	1	0;101;3068	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
164	100	haoyue	1	0;101;3069	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
165	100	haoyue	1	0;101;3070	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
166	100	haoyue	1	0;101;3071	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
167	100	haoyue	1	0;101;3072	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
168	100	haoyue	1	0;101;3073	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
169	100	haoyue	1	0;101;3074	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
170	100	haoyue	1	0;101;3075	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
171	100	haoyue	1	0;101;3076	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
172	100	haoyue	1	0;101;3077	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
173	100	haoyue	1	0;101;3078	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
174	100	haoyue	1	0;101;3079	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
175	100	haoyue	1	0;101;3080	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
176	100	haoyue	1	0;101;3081	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
177	100	haoyue	1	0;101;3082	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
178	100	haoyue	1	0;101;3083	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
179	100	haoyue	1	0;101;3084	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
180	100	haoyue	1	0;101;3085	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
181	100	haoyue	1	0;101;3086	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
182	100	haoyue	1	0;101;3087	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
183	100	haoyue	1	0;101;3088	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
184	100	haoyue	1	0;101;3089	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
185	100	haoyue	1	0;101;3090	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
186	100	haoyue	1	0;101;3091	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
187	100	haoyue	1	0;101;3092	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
188	100	haoyue	1	0;101;3093	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
189	100	haoyue	1	0;101;3094	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
190	100	haoyue	1	0;101;3095	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
191	100	haoyue	1	0;101;3096	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
192	100	haoyue	1	0;101;3097	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
193	100	haoyue	1	0;101;3098	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
194	100	haoyue	1	0;101;3099	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
195	100	haoyue	1	0;101;3100	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
196	100	haoyue	1	0;101;3101	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
197	100	haoyue	1	0;101;3102	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
198	100	haoyue	1	0;101;3103	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
199	100	haoyue	1	0;101;3104	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
200	100	haoyue	1	0;101;3105	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
201	100	haoyue	1	0;101;3106	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
202	100	haoyue	1	0;101;3107	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
203	100	haoyue	1	0;101;3108	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
204	100	haoyue	1	0;101;3109	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
205	100	haoyue	1	0;3;8972	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
206	100	haoyue	1	0;0;8973	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
207	100	haoyue	1	0;8;8974	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
208	100	haoyue	1	0;1;8975	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
209	100	haoyue	1	0;2;8976	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
210	100	haoyue	1	0;10;8977	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
211	100	haoyue	1	0;0;8978	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
212	100	haoyue	1	0;5;8979	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
213	100	haoyue	1	0;2;8980	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
214	100	haoyue	1	0;9;8981	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
215	100	haoyue	1	0;6;8982	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
216	100	haoyue	1	0;4;8983	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
217	100	haoyue	1	0;7;8984	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
218	100	haoyue	1	0;11;8985	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
219	100	haoyue	1	0;102;3175	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
220	100	haoyue	1	0;102;3177	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
221	100	haoyue	1	0;102;3179	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
222	100	haoyue	1	0;102;3181	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
223	100	haoyue	1	0;102;3183	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
224	100	shimen5	1	0;3;241	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
225	100	shimen5	1	0;3;242	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
226	100	shimen5	1	0;5;241	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
227	100	shimen5	1	0;5;242	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
228	100	shimen5	1	0;8;341	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
229	100	shimen5	1	0;8;342	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
230	100	shimen5	1	0;0;441	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
231	100	shimen5	1	0;0;442	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
232	100	shimen5	1	0;1;641	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
233	100	shimen5	1	0;1;642	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
234	100	shimen5	1	0;1;643	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
235	100	shimen5	1	0;1;644	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
236	100	shimen5	1	0;2;841	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
237	100	shimen5	1	0;2;842	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
238	100	shimen5	1	0;10;941	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
239	100	shimen5	1	0;10;942	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
240	100	shimen5	1	0;0;1141	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
241	100	shimen5	1	0;0;1142	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
242	100	shimen5	1	0;0;1143	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
243	100	shimen5	1	0;0;1144	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
244	100	shimen5	1	0;5;1241	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
245	100	shimen5	1	0;5;1242	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
246	100	shimen5	1	0;5;1243	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
247	100	shimen5	1	0;5;1244	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
248	100	shimen5	1	0;2;1441	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
249	100	shimen5	1	0;2;1442	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
250	100	shimen5	1	0;2;1443	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
251	100	shimen5	1	0;2;1444	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
252	100	shimen5	1	0;9;1541	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
253	100	shimen5	1	0;9;1542	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
254	100	shimen5	1	0;9;1543	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
255	100	shimen5	1	0;9;1544	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
256	100	shimen5	1	0;6;1741	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
257	100	shimen5	1	0;6;1742	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
258	100	shimen5	1	0;6;1743	0	1	1	2;1;30470	2;1;30470	V¹n N¨ng Phï															
