ID	Title	AwrdItem	NeedSex	NeedBody	NeedRoute	AwardTimes	GlobalMsg	ExchangeMode	TimeLimitHours	StatKey	
65	Thiªn Long B¸t Bé Kh¶i Gi¸p	0;100;231;1	1	1	2			30000;30029;30034;30196			
66	Thiªn Long B¸t Bé Kh¶i Gi¸p	0;100;232;1	1	2	2			30000;30029;30034;30196			
67	V« L­îng Ph¸p T«n ThiÒn §Þnh Bµo	0;100;331;1	1	1	3			30000;30029;30034;30196			
68	V« L­îng Ph¸p T«n ThiÒn §Þnh Bµo	0;100;332;1	1	2	3			30000;30029;30034;30196			
69	B¸t B¶o La H¸n §¹i Thõa Kh¶i Gi¸p 	0;100;431;1	1	1	4			30000;30029;30034;30196			
70	B¸t B¶o La H¸n §¹i Thõa Kh¶i Gi¸p 	0;100;432;1	1	2	4			30000;30029;30034;30196			
71	Thiªn C¬ Sø Gi¶ ThÇn TriÖu C©n	0;100;631;1	1	1	6			30000;30029;30034;30196			
72	Thiªn C¬ Sø Gi¶ ThÇn TriÖu C©n	0;100;632;1	1	2	6			30000;30029;30034;30196			
73	Thiªn C¬ Sø Gi¶ ThÇn TriÖu C©n	0;100;633;1	2	3	6			30000;30029;30034;30196			
74	Thiªn C¬ Sø Gi¶ ThÇn TriÖu C©n	0;100;634;1	2	4	6			30000;30029;30034;30196			
75	B¹ch Liªn Tiªn Tö B¶o Èn Y	0;100;831;1	2	3	8			30000;30029;30034;30196			
76	B¹ch Liªn Tiªn Tö B¶o Èn Y	0;100;832;1	2	4	8			30000;30029;30034;30196			
77	Ngäc VËn Tiªn Tö HuyÒn Hån Y	0;100;931;1	2	3	9			30000;30029;30034;30196			
78	Ngäc VËn Tiªn Tö HuyÒn Hån Y	0;100;932;1	2	4	9			30000;30029;30034;30196			
79	Long §Çu ThÇn C¸i §»ng V©n Y	0;100;1131;1	1	1	11			30000;30029;30034;30196			
80	Long §Çu ThÇn C¸i §»ng V©n Y	0;100;1132;1	1	2	11			30000;30029;30034;30196			
81	Long §Çu ThÇn C¸i §»ng V©n Y	0;100;1133;1	2	3	11			30000;30029;30034;30196			
82	Long §Çu ThÇn C¸i §»ng V©n Y	0;100;1134;1	2	4	11			30000;30029;30034;30196			
83	KhÊt Thiªn ThÇn C¸i V©n Du Y	0;100;1231;1	1	1	12			30000;30029;30034;30196			
84	KhÊt Thiªn ThÇn C¸i V©n Du Y	0;100;1232;1	1	2	12			30000;30029;30034;30196			
85	KhÊt Thiªn ThÇn C¸i V©n Du Y	0;100;1233;1	2	3	12			30000;30029;30034;30196			
86	KhÊt Thiªn ThÇn C¸i V©n Du Y	0;100;1234;1	2	4	12			30000;30029;30034;30196			
87	Ch­ëng Kinh Thanh Quang Bµo	0;100;1431;1	1	1	14			30000;30029;30034;30196			
88	Ch­ëng Kinh Thanh Quang Bµo	0;100;1432;1	1	2	14			30000;30029;30034;30196			
89	Ch­ëng Kinh Thanh Quang Bµo	0;100;1433;1	2	3	14			30000;30029;30034;30196			
90	Ch­ëng Kinh Thanh Quang Bµo	0;100;1434;1	2	4	14			30000;30029;30034;30196			
91	Th¸i Êt T¶n Nh©n H¹o Nhiªn Phôc	0;100;1531;1	1	1	15			30000;30029;30034;30196			
92	Th¸i Êt T¶n Nh©n H¹o Nhiªn Phôc	0;100;1532;1	1	2	15			30000;30029;30034;30196			
93	Th¸i Êt T¶n Nh©n H¹o Nhiªn Phôc	0;100;1533;1	2	3	15			30000;30029;30034;30196			
94	Th¸i Êt T¶n Nh©n H¹o Nhiªn Phôc	0;100;1534;1	2	4	15			30000;30029;30034;30196			
95	Long T­¬ng Ngao KhÝ ChiÕn kh¶i	0;100;1731;1	1	1	17			30000;30029;30034;30196			
96	Long T­¬ng Ngao KhÝ ChiÕn kh¶i	0;100;1732;1	1	2	17			30000;30029;30034;30196			
97	Long T­¬ng Ngao KhÝ ChiÕn kh¶i	0;100;1733;1	2	3	17			30000;30029;30034;30196			
98	Long T­¬ng Ngao KhÝ ChiÕn kh¶i	0;100;1734;1	2	4	17			30000;30029;30034;30196			
99	Hæ Dùc M·nh Sü ChiÕn kh¶i	0;100;1831;1	1	1	18			30000;30029;30034;30196			
100	Hæ Dùc M·nh Sü ChiÕn kh¶i	0;100;1832;1	1	2	18			30000;30029;30034;30196			
101	Hæ Dùc M·nh Sü ChiÕn kh¶i	0;100;1833;1	2	3	18			30000;30029;30034;30196			
102	Hæ Dùc M·nh Sü ChiÕn kh¶i	0;100;1834;1	2	4	18			30000;30029;30034;30196			
103	U Minh Quû S¸t Tu La HuyÕt Y	0;100;2031;1	1	1	20			30000;30029;30034;30196			
104	U Minh Quû S¸t Tu La HuyÕt Y	0;100;2032;1	1	2	20			30000;30029;30034;30196			
105	U Minh Quû S¸t Tu La HuyÕt Y	0;100;2033;1	2	3	20			30000;30029;30034;30196			
106	U Minh Quû S¸t Tu La HuyÕt Y	0;100;2034;1	2	4	20			30000;30029;30034;30196			
107	V« §æng La S¸t TrÊm HuyÕt Y	0;100;2131;1	1	1	21			30000;30029;30034;30196			
108	V« §æng La S¸t TrÊm HuyÕt Y	0;100;2132;1	1	2	21			30000;30029;30034;30196			
109	V« §æng La S¸t TrÊm HuyÕt Y	0;100;2133;1	2	3	21			30000;30029;30034;30196			
110	V« §æng La S¸t TrÊm HuyÕt Y	0;100;2134;1	2	4	21			30000;30029;30034;30196			
111	Tö Vi §¹o Nh©n - Thiªn Phong §¹o Bµo	0;100;23131;1	1	1	23			30000;30029;30034;30196			
112	Tö Vi §¹o Nh©n - Thiªn Phong §¹o Bµo	0;100;23132;1	1	2	23			30000;30029;30034;30196			
113	Tiªu Dao ThÇn Sø - K×nh Phong Tr­êng Bµo	0;100;25131;1	1	1	25			30000;30029;30034;30196			
114	Tiªu Dao ThÇn Sø - K×nh Phong Tr­êng Bµo	0;100;25132;1	1	2	25			30000;30029;30034;30196			
115	Tiªu Dao ThÇn Sø - K×nh Phong Tr­êng Bµo	0;100;25133;1	2	3	25			30000;30029;30034;30196			
116	Tiªu Dao ThÇn Sø - K×nh Phong Tr­êng Bµo	0;100;25134;1	2	4	25			30000;30029;30034;30196			
117	Thiªn Cuång §¹i T­íng - Th¸nh Háa B¶o Y	0;100;26131;1	1	1	26			30000;30029;30034;30196			
118	Thiªn Cuång §¹i T­íng - Th¸nh Háa B¶o Y	0;100;26132;1	1	2	26			30000;30029;30034;30196			
119	Thiªn Cuång §¹i T­íng - Th¸nh Háa B¶o Y	0;100;26133;1	2	3	26			30000;30029;30034;30196			
120	Thiªn Cuång §¹i T­íng - Th¸nh Háa B¶o Y	0;100;26134;1	2	4	26			30000;30029;30034;30196			
121	NguyÖt ¶nh Ma T«n - Cæ Mé Tr­êng Bµo	0;100;27131;1	1	1	27			30000;30029;30034;30196			
122	NguyÖt ¶nh Ma T«n - Cæ Mé Tr­êng Bµo	0;100;27132;1	1	2	27			30000;30029;30034;30196			
123	NguyÖt ¶nh Ma T«n - Cæ Mé Tr­êng Bµo	0;100;27133;1	2	3	27			30000;30029;30034;30196			
124	NguyÖt ¶nh Ma T«n - Cæ Mé Tr­êng Bµo	0;100;27134;1	2	4	27			30000;30029;30034;30196			
125	Cöu Thiªn Th¸i Ph­îng - Loan Ph­îng Vò Y	0;100;29131;1	2	3	29			30000;30029;30034;30196			
126	Cöu Thiªn Th¸i Ph­îng - Loan Ph­îng Vò Y	0;100;29132;1	2	4	29			30000;30029;30034;30196			
127	B¨ng T©m Ngäc N÷ - ThÊt X¶o Vò Th­êng	0;100;30131;1	2	3	30			30000;30029;30034;30196			
128	B¨ng T©m Ngäc N÷ - ThÊt X¶o Vò Th­êng	0;100;30132;1	2	4	30			30000;30029;30034;30196			
129	B¸t Bé Thiªn Long Trang	0;101;231;1	1	1	2			30000;30030;30035;30196			
130	B¸t Bé Thiªn Long Trang	0;101;232;1	1	2	2			30000;30030;30035;30196			
131	V« L­îng Ph¸p T«n Trang	0;101;331;1	1	1	3			30000;30030;30035;30196			
132	V« L­îng Ph¸p T«n Trang	0;101;332;1	1	2	3			30000;30030;30035;30196			
133	B¸t B¶o La H¸n §¹i Thõa Trang	0;101;431;1	1	1	4			30000;30030;30035;30196			
134	B¸t B¶o La H¸n §¹i Thõa Trang	0;101;432;1	1	2	4			30000;30030;30035;30196			
135	Thiªn C¬ Sø Gi¶ ThÇn TriÖu Trang	0;101;631;1	1	1	6			30000;30030;30035;30196			
136	Thiªn C¬ Sø Gi¶ ThÇn TriÖu Trang	0;101;632;1	1	2	6			30000;30030;30035;30196			
137	Thiªn C¬ Sø Gi¶ ThÇn TriÖu Trang	0;101;633;1	2	3	6			30000;30030;30035;30196			
138	Thiªn C¬ Sø Gi¶ ThÇn TriÖu Trang	0;101;634;1	2	4	6			30000;30030;30035;30196			
139	B¹ch Liªn Tiªn Tö B¶o UÈn Trang	0;101;831;1	2	3	8			30000;30030;30035;30196			
140	B¹ch Liªn Tiªn Tö B¶o UÈn Trang	0;101;832;1	2	4	8			30000;30030;30035;30196			
141	Ngäc VËn Tiªn Tö HuyÒn Hån Trang	0;101;931;1	2	3	9			30000;30030;30035;30196			
142	Ngäc VËn Tiªn Tö HuyÒn Hån Trang	0;101;932;1	2	4	9			30000;30030;30035;30196			
143	Long §Çu ThÇn C¸i §»ng V©n Trang	0;101;1131;1	1	1	11			30000;30030;30035;30196			
144	Long §Çu ThÇn C¸i §»ng V©n Trang	0;101;1132;1	1	2	11			30000;30030;30035;30196			
145	Long §Çu ThÇn C¸i §»ng V©n Trang	0;101;1133;1	2	3	11			30000;30030;30035;30196			
146	Long §Çu ThÇn C¸i §»ng V©n Trang	0;101;1134;1	2	4	11			30000;30030;30035;30196			
147	KhÊt Thiªn ThÇn C¸i V©n Du Trang	0;101;1231;1	1	1	12			30000;30030;30035;30196			
148	KhÊt Thiªn ThÇn C¸i V©n Du Trang	0;101;1232;1	1	2	12			30000;30030;30035;30196			
149	KhÊt Thiªn ThÇn C¸i V©n Du Trang	0;101;1233;1	2	3	12			30000;30030;30035;30196			
150	KhÊt Thiªn ThÇn C¸i V©n Du Trang	0;101;1234;1	2	4	12			30000;30030;30035;30196			
151	Ch­ëng Kinh Thanh Quang Trang	0;101;1431;1	1	1	14			30000;30030;30035;30196			
152	Ch­ëng Kinh Thanh Quang Trang	0;101;1432;1	1	2	14			30000;30030;30035;30196			
153	Ch­ëng Kinh Thanh Quang Trang	0;101;1433;1	2	3	14			30000;30030;30035;30196			
154	Ch­ëng Kinh Thanh Quang Trang	0;101;1434;1	2	4	14			30000;30030;30035;30196			
155	Th¸i Êt T¶n Nh©n H¹o Nhiªn Trang	0;101;1531;1	1	1	15			30000;30030;30035;30196			
156	Th¸i Êt T¶n Nh©n H¹o Nhiªn Trang	0;101;1532;1	1	2	15			30000;30030;30035;30196			
157	Th¸i Êt T¶n Nh©n H¹o Nhiªn Trang	0;101;1533;1	2	3	15			30000;30030;30035;30196			
158	Th¸i Êt T¶n Nh©n H¹o Nhiªn Trang	0;101;1534;1	2	4	15			30000;30030;30035;30196			
159	Long T­¬ng T­íng Qu©n Trang	0;101;1731;1	1	1	17			30000;30030;30035;30196			
160	Long T­¬ng T­íng Qu©n Trang	0;101;1732;1	1	2	17			30000;30030;30035;30196			
161	Long T­¬ng T­íng Qu©n Trang	0;101;1733;1	2	3	17			30000;30030;30035;30196			
162	Long T­¬ng T­íng Qu©n Trang	0;101;1734;1	2	4	17			30000;30030;30035;30196			
163	Hæ Dùc T­íng Qu©n Trang	0;101;1831;1	1	1	18			30000;30030;30035;30196			
164	Hæ Dùc T­íng Qu©n Trang	0;101;1832;1	1	2	18			30000;30030;30035;30196			
165	Hæ Dùc T­íng Qu©n Trang	0;101;1833;1	2	3	18			30000;30030;30035;30196			
166	Hæ Dùc T­íng Qu©n Trang	0;101;1834;1	2	4	18			30000;30030;30035;30196			
167	U Minh Quû S¸t Tu La HuyÕt Trang	0;101;2031;1	1	1	20			30000;30030;30035;30196			
168	U Minh Quû S¸t Tu La HuyÕt Trang	0;101;2032;1	1	2	20			30000;30030;30035;30196			
169	U Minh Quû S¸t Tu La HuyÕt Trang	0;101;2033;1	2	3	20			30000;30030;30035;30196			
170	U Minh Quû S¸t Tu La HuyÕt Trang	0;101;2034;1	2	4	20			30000;30030;30035;30196			
171	V« §éng La S¸t TrÈm HuyÕt Trang	0;101;2131;1	1	1	21			30000;30030;30035;30196			
172	V« §éng La S¸t TrÈm HuyÕt Trang	0;101;2132;1	1	2	21			30000;30030;30035;30196			
173	V« §éng La S¸t TrÈm HuyÕt Trang	0;101;2133;1	2	3	21			30000;30030;30035;30196			
174	V« §éng La S¸t TrÈm HuyÕt Trang	0;101;2134;1	2	4	21			30000;30030;30035;30196			
175	Tõ Vi §¹o Nh©n - Thiªn V©n Bè Trang	0;101;23131;1	1	1	23			30000;30030;30035;30196			
176	Tõ Vi §¹o Nh©n - Thiªn V©n Bè Trang	0;101;23132;1	1	2	23			30000;30030;30035;30196			
177	Tiªu Dao ThÇn Sø - K×nh Phong Trang	0;101;25131;1	1	1	25			30000;30030;30035;30196			
178	Tiªu Dao ThÇn Sø - K×nh Phong Trang	0;101;25132;1	1	2	25			30000;30030;30035;30196			
179	Tiªu Dao ThÇn Sø - K×nh Phong Trang	0;101;25133;1	2	3	25			30000;30030;30035;30196			
180	Tiªu Dao ThÇn Sø - K×nh Phong Trang	0;101;25134;1	2	4	25			30000;30030;30035;30196			
181	Thiªn Cuång §¹i T­íng - Th¸nh Háa B¶o Trang	0;101;26131;1	1	1	26			30000;30030;30035;30196			
182	Thiªn Cuång §¹i T­íng - Th¸nh Háa B¶o Trang	0;101;26132;1	1	2	26			30000;30030;30035;30196			
183	Thiªn Cuång §¹i T­íng - Th¸nh Háa B¶o Trang	0;101;26133;1	2	3	26			30000;30030;30035;30196			
184	Thiªn Cuång §¹i T­íng - Th¸nh Háa B¶o Trang	0;101;26134;1	2	4	26			30000;30030;30035;30196			
185	NguyÖt ¶nh Ma T«n - Cæ Mé Bè Trang	0;101;27131;1	1	1	27			30000;30030;30035;30196			
186	NguyÖt ¶nh Ma T«n - Cæ Mé Bè Trang	0;101;27132;1	1	2	27			30000;30030;30035;30196			
187	NguyÖt ¶nh Ma T«n - Cæ Mé Bè Trang	0;101;27133;1	2	3	27			30000;30030;30035;30196			
188	NguyÖt ¶nh Ma T«n - Cæ Mé Bè Trang	0;101;27134;1	2	4	27			30000;30030;30035;30196			
189	Cöu Thiªn Th¸i Ph­îng - Kim Ph­îng Tó QuÇn	0;101;29131;1	2	3	29			30000;30030;30035;30196			
190	Cöu Thiªn Th¸i Ph­îng - Kim Ph­îng Tó QuÇn	0;101;29132;1	2	4	29			30000;30030;30035;30196			
191	B¨ng T©m Ngäc N÷ - ThÊt B¶o Tó QuÇn	0;101;30131;1	2	3	30			30000;30030;30035;30196			
192	B¨ng T©m Ngäc N÷ - ThÊt B¶o Tó QuÇn	0;101;30132;1	2	4	30			30000;30030;30035;30196			
193	B¸t Bé Thiªn Long Ban ChØ	0;102;231;1	1	1	2			30000;30031;30036;30196			
194	B¸t Bé Thiªn Long Ban ChØ	0;102;232;1	1	2	2			30000;30031;30036;30196			
195	B¸t Bé Thiªn Long Ngäc Giíi	0;102;235;1	1	1	2			30000;30031;30036;30196			
196	B¸t Bé Thiªn Long Ngäc Giíi	0;102;236;1	1	2	2			30000;30031;30036;30196			
197	V« L­îng Ph¸p T«n  Ban ChØ	0;102;331;1	1	1	3			30000;30031;30036;30196			
198	V« L­îng Ph¸p T«n  Ban ChØ	0;102;332;1	1	2	3			30000;30031;30036;30196			
199	V« L­îng Ph¸p T«n  Ngäc Giíi	0;102;335;1	1	1	3			30000;30031;30036;30196			
200	V« L­îng Ph¸p T«n  Ngäc Giíi	0;102;336;1	1	2	3			30000;30031;30036;30196			
201	B¸t B¶o La H¸n §¹i Thõa Ban ChØ	0;102;431;1	1	1	4			30000;30031;30036;30196			
202	B¸t B¶o La H¸n §¹i Thõa Ban ChØ	0;102;432;1	1	2	4			30000;30031;30036;30196			
203	B¸t B¶o La H¸n §¹i Thõa Ngäc Giíi	0;102;435;1	1	1	4			30000;30031;30036;30196			
204	B¸t B¶o La H¸n §¹i Thõa Ngäc Giíi	0;102;436;1	1	2	4			30000;30031;30036;30196			
205	Thiªn C¬ Sø Gi¶ ThÇn TriÖu Béi	0;102;631;1	1	1	6			30000;30031;30036;30196			
206	Thiªn C¬ Sø Gi¶ ThÇn TriÖu Béi	0;102;632;1	1	2	6			30000;30031;30036;30196			
207	Thiªn C¬ Sø Gi¶ ThÇn TriÖu Béi	0;102;633;1	2	3	6			30000;30031;30036;30196			
208	Thiªn C¬ Sø Gi¶ ThÇn TriÖu Béi	0;102;634;1	2	4	6			30000;30031;30036;30196			
209	Thiªn C¬ Sø Gi¶ ThÇn TriÖu Hoµn	0;102;635;1	1	1	6			30000;30031;30036;30196			
210	Thiªn C¬ Sø Gi¶ ThÇn TriÖu Hoµn	0;102;636;1	1	2	6			30000;30031;30036;30196			
211	Thiªn C¬ Sø Gi¶ ThÇn TriÖu Hoµn	0;102;637;1	2	3	6			30000;30031;30036;30196			
212	Thiªn C¬ Sø Gi¶ ThÇn TriÖu Hoµn	0;102;638;1	2	4	6			30000;30031;30036;30196			
213	B¹ch Liªn Tiªn Tö Ngäc Giíi	0;102;831;1	2	3	8			30000;30031;30036;30196			
214	B¹ch Liªn Tiªn Tö Ngäc Giíi	0;102;832;1	2	4	8			30000;30031;30036;30196			
215	B¹ch Liªn Tiªn Tö Giíi ChØ	0;102;835;1	2	3	8			30000;30031;30036;30196			
216	B¹ch Liªn Tiªn Tö Giíi ChØ	0;102;836;1	2	4	8			30000;30031;30036;30196			
217	Ngäc VËn Tiªn Tö Ngäc Giíi	0;102;931;1	2	3	9			30000;30031;30036;30196			
218	Ngäc VËn Tiªn Tö Ngäc Giíi	0;102;932;1	2	4	9			30000;30031;30036;30196			
219	Ngäc VËn Tiªn Tö Giíi ChØ	0;102;935;1	2	3	9			30000;30031;30036;30196			
220	Ngäc VËn Tiªn Tö Giíi ChØ	0;102;936;1	2	4	9			30000;30031;30036;30196			
221	Long §Çu ThÇn C¸i §»ng V©n Béi	0;102;1131;1	1	1	11			30000;30031;30036;30196			
222	Long §Çu ThÇn C¸i §»ng V©n Béi	0;102;1132;1	1	2	11			30000;30031;30036;30196			
223	Long §Çu ThÇn C¸i §»ng V©n Béi	0;102;1133;1	2	3	11			30000;30031;30036;30196			
224	Long §Çu ThÇn C¸i §»ng V©n Béi	0;102;1134;1	2	4	11			30000;30031;30036;30196			
225	Long §Çu ThÇn C¸i §»ng V©n Giíi	0;102;1135;1	1	1	11			30000;30031;30036;30196			
226	Long §Çu ThÇn C¸i §»ng V©n Giíi	0;102;1136;1	1	2	11			30000;30031;30036;30196			
227	Long §Çu ThÇn C¸i §»ng V©n Giíi	0;102;1137;1	2	3	11			30000;30031;30036;30196			
228	Long §Çu ThÇn C¸i §»ng V©n Giíi	0;102;1138;1	2	4	11			30000;30031;30036;30196			
229	KhÊt Thiªn ThÇn C¸i V©n Du Béi	0;102;1231;1	1	1	12			30000;30031;30036;30196			
230	KhÊt Thiªn ThÇn C¸i V©n Du Béi	0;102;1232;1	1	2	12			30000;30031;30036;30196			
231	KhÊt Thiªn ThÇn C¸i V©n Du Béi	0;102;1233;1	2	3	12			30000;30031;30036;30196			
232	KhÊt Thiªn ThÇn C¸i V©n Du Béi	0;102;1234;1	2	4	12			30000;30031;30036;30196			
233	KhÊt Thiªn ThÇn C¸i V©n Du Giíi	0;102;1235;1	1	1	12			30000;30031;30036;30196			
234	KhÊt Thiªn ThÇn C¸i V©n Du Giíi	0;102;1236;1	1	2	12			30000;30031;30036;30196			
235	KhÊt Thiªn ThÇn C¸i V©n Du Giíi	0;102;1237;1	2	3	12			30000;30031;30036;30196			
236	KhÊt Thiªn ThÇn C¸i V©n Du Giíi	0;102;1238;1	2	4	12			30000;30031;30036;30196			
237	Ch­ëng Kinh Thanh Quang Giíi	0;102;1431;1	1	1	14			30000;30031;30036;30196			
