蕴灵名称	大类型	副类型	详细类别	重量	价格	五行	蕴灵消耗 (金)	防御力(外，内)	附加属性1	附加属性1数值	附加属性2	附加属性2数值	套装编号	要求等级	要求性别	要求体型	要求门派	在界面上显示的小图	在界面上显示的大图	说明文字	装备在身上的时候，使用的显示类型名字	丢落在地面的时候，使用哪一个物件资源	脚本文件	等级	是否能交易(0能1不能2只能卖店3只能卖玩家)	是否能丢弃(0能1不能)	是否可维修（0是/1否）		
目冥（下装）等级2	2	144	12	0	0	0	1											\image\item\other\祥瑞卷轴a1.spr	\image\item\other\祥瑞卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：目冥（下装）等级2，效果：提高内力上限10%。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
目冥（下装）等级3	2	144	13	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：目冥（下装）等级3，效果：提高内力上限15%。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
裂岩（头部）等级1	2	144	14	0	0	0	1											\image\item\other\流星卷轴a1.spr	\image\item\other\流星卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：裂岩（头部）等级1，效果：提高力量15点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
裂岩（头部）等级2	2	144	15	0	0	0	1											\image\item\other\祥瑞卷轴a1.spr	\image\item\other\祥瑞卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：裂岩（头部）等级2，效果：提高力量30点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
裂岩（头部）等级3	2	144	16	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：裂岩（头部）等级3，效果：提高力量50点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
裂岩（衣服）等级1	2	144	17	0	0	0	1											\image\item\other\流星卷轴a1.spr	\image\item\other\流星卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：裂岩（衣服）等级1，效果：提高力量15点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
裂岩（衣服）等级2	2	144	18	0	0	0	1											\image\item\other\祥瑞卷轴a1.spr	\image\item\other\祥瑞卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：裂岩（衣服）等级2，效果：提高力量30点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
裂岩（衣服）等级3	2	144	19	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：裂岩（衣服）等级3，效果：提高力量50点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
裂岩（下装）等级1	2	144	20	0	0	0	1											\image\item\other\流星卷轴a1.spr	\image\item\other\流星卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：裂岩（下装）等级1，效果：提高力量15点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
裂岩（下装）等级2	2	144	21	0	0	0	1											\image\item\other\祥瑞卷轴a1.spr	\image\item\other\祥瑞卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：裂岩（下装）等级2，效果：提高力量30点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
裂岩（下装）等级3	2	144	22	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：裂岩（下装）等级3，效果：提高力量50点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
破空（头部）等级1	2	144	23	0	0	0	1											\image\item\other\流星卷轴a1.spr	\image\item\other\流星卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：破空（头部）等级1，效果：提高内功15点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
破空（头部）等级2	2	144	24	0	0	0	1											\image\item\other\祥瑞卷轴a1.spr	\image\item\other\祥瑞卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：破空（头部）等级2，效果：提高内功30点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
破空（头部）等级3	2	144	25	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：破空（头部）等级3，效果：提高内功50点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
破空（衣服）等级1	2	144	26	0	0	0	1											\image\item\other\流星卷轴a1.spr	\image\item\other\流星卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：破空（衣服）等级1，效果：提高内功15点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
破空（衣服）等级2	2	144	27	0	0	0	1											\image\item\other\祥瑞卷轴a1.spr	\image\item\other\祥瑞卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：破空（衣服）等级2，效果：提高内功30点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
破空（衣服）等级3	2	144	28	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：破空（衣服）等级3，效果：提高内功50点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
破空（下装）等级1	2	144	29	0	0	0	1											\image\item\other\流星卷轴a1.spr	\image\item\other\流星卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：破空（下装）等级1，效果：提高内功15点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
破空（下装）等级2	2	144	30	0	0	0	1											\image\item\other\祥瑞卷轴a1.spr	\image\item\other\祥瑞卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：破空（下装）等级2，效果：提高内功30点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
破空（下装）等级3	2	144	31	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：破空（下装）等级3，效果：提高内功50点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
醉剑（头部）等级1	2	144	32	0	0	0	1											\image\item\other\流星卷轴a1.spr	\image\item\other\流星卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：醉剑（头部）等级1，效果：提高根骨15点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
醉剑（头部）等级2	2	144	33	0	0	0	1											\image\item\other\祥瑞卷轴a1.spr	\image\item\other\祥瑞卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：醉剑（头部）等级2，效果：提高根骨30点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
醉剑（头部）等级3	2	144	34	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：醉剑（头部）等级3，效果：提高根骨50点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
醉剑（衣服）等级1	2	144	35	0	0	0	1											\image\item\other\流星卷轴a1.spr	\image\item\other\流星卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：醉剑（衣服）等级1，效果：提高根骨15点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
醉剑（衣服）等级2	2	144	36	0	0	0	1											\image\item\other\祥瑞卷轴a1.spr	\image\item\other\祥瑞卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：醉剑（衣服）等级2，效果：提高根骨30点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
醉剑（衣服）等级3	2	144	37	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：醉剑（衣服）等级3，效果：提高根骨50点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
醉剑（下装）等级1	2	144	38	0	0	0	1											\image\item\other\流星卷轴a1.spr	\image\item\other\流星卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：醉剑（下装）等级1，效果：提高根骨15点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
醉剑（下装）等级2	2	144	39	0	0	0	1											\image\item\other\祥瑞卷轴a1.spr	\image\item\other\祥瑞卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：醉剑（下装）等级2，效果：提高根骨30点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
醉剑（下装）等级3	2	144	40	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：醉剑（下装）等级3，效果：提高根骨50点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
疾风（头部）等级1	2	144	41	0	0	0	1											\image\item\other\流星卷轴a1.spr	\image\item\other\流星卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：疾风（头部）等级1，效果：提高身法15点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
疾风（头部）等级2	2	144	42	0	0	0	1											\image\item\other\祥瑞卷轴a1.spr	\image\item\other\祥瑞卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：疾风（头部）等级2，效果：提高身法30点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
疾风（头部）等级3	2	144	43	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：疾风（头部）等级3，效果：提高身法50点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
疾风（衣服）等级1	2	144	44	0	0	0	1											\image\item\other\流星卷轴a1.spr	\image\item\other\流星卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：疾风（衣服）等级1，效果：提高身法15点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
疾风（衣服）等级2	2	144	45	0	0	0	1											\image\item\other\祥瑞卷轴a1.spr	\image\item\other\祥瑞卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：疾风（衣服）等级2，效果：提高身法30点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
疾风（衣服）等级3	2	144	46	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：疾风（衣服）等级3，效果：提高身法50点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
疾风（下装）等级1	2	144	47	0	0	0	1											\image\item\other\流星卷轴a1.spr	\image\item\other\流星卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：疾风（下装）等级1，效果：提高身法15点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
疾风（下装）等级2	2	144	48	0	0	0	1											\image\item\other\祥瑞卷轴a1.spr	\image\item\other\祥瑞卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：疾风（下装）等级2，效果：提高身法30点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
疾风（下装）等级3	2	144	49	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：疾风（下装）等级3，效果：提高身法50点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
迅舞（头部）等级1	2	144	50	0	0	0	1											\image\item\other\流星卷轴a1.spr	\image\item\other\流星卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：迅舞（头部）等级1，效果：提高洞察15点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
迅舞（头部）等级2	2	144	51	0	0	0	1											\image\item\other\祥瑞卷轴a1.spr	\image\item\other\祥瑞卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：迅舞（头部）等级2，效果：提高洞察30点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
迅舞（头部）等级3	2	144	52	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：迅舞（头部）等级3，效果：提高洞察50点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
迅舞（衣服）等级1	2	144	53	0	0	0	1											\image\item\other\流星卷轴a1.spr	\image\item\other\流星卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：迅舞（衣服）等级1，效果：提高洞察15点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
迅舞（衣服）等级2	2	144	54	0	0	0	1											\image\item\other\祥瑞卷轴a1.spr	\image\item\other\祥瑞卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：迅舞（衣服）等级2，效果：提高洞察30点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
迅舞（衣服）等级3	2	144	55	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：迅舞（衣服）等级3，效果：提高洞察50点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
迅舞（下装）等级1	2	144	56	0	0	0	1											\image\item\other\流星卷轴a1.spr	\image\item\other\流星卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：迅舞（下装）等级1，效果：提高洞察15点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
迅舞（下装）等级2	2	144	57	0	0	0	1											\image\item\other\祥瑞卷轴a1.spr	\image\item\other\祥瑞卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：迅舞（下装）等级2，效果：提高洞察30点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
迅舞（下装）等级3	2	144	58	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：迅舞（下装）等级3，效果：提高洞察50点		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
气御（头部）等级1	2	144	59	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：气御（头部），效果：全属性增加25点。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
气御（衣服）等级2	2	144	60	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：气御（衣服），效果：全属性增加25点。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
气御（下装）等级3	2	144	61	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：气御（下装），效果：全属性增加25点。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
灵心（头部）等级1	2	144	62	0	0	0	1											\image\item\other\流星卷轴a1.spr	\image\item\other\流星卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：灵心（头部）等级1，效果：闪避值增加30点。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
灵心（头部）等级2	2	144	63	0	0	0	1											\image\item\other\祥瑞卷轴a1.spr	\image\item\other\祥瑞卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：灵心（头部）等级2，效果：闪避值增加70点。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
灵心（头部）等级3	2	144	64	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：灵心（头部）等级3，效果：闪避值增加100点。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
穿云（衣服）等级1	2	144	65	0	0	0	1											\image\item\other\流星卷轴a1.spr	\image\item\other\流星卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：穿云（衣服）等级1，效果：攻击时可能伤害提高50点。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
穿云（衣服）等级2	2	144	66	0	0	0	1											\image\item\other\祥瑞卷轴a1.spr	\image\item\other\祥瑞卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：穿云（衣服）等级2，效果：攻击时可能伤害提高100点。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
穿云（衣服）等级3	2	144	67	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：穿云（衣服）等级3，效果：攻击时可能伤害提高180点。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
落日（衣服）等级1	2	144	68	0	0	0	1											\image\item\other\流星卷轴a1.spr	\image\item\other\流星卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：落日（衣服）等级1，效果：攻击时可能内外攻提高6%。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
落日（衣服）等级2	2	144	69	0	0	0	1											\image\item\other\祥瑞卷轴a1.spr	\image\item\other\祥瑞卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：落日（衣服）等级2，效果：攻击时可能内外攻提高12%。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
落日（衣服）等级3	2	144	70	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：落日（衣服）等级3，效果：攻击时可能内外攻提高20%。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
狼啸（头部）等级1	2	144	71	0	0	0	1											\image\item\other\流星卷轴a1.spr	\image\item\other\流星卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：狼啸（头部）等级1，效果：攻击时可能施展速度提高6%。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
狼啸（头部）等级2	2	144	72	0	0	0	1											\image\item\other\祥瑞卷轴a1.spr	\image\item\other\祥瑞卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：狼啸（头部）等级2，效果：攻击时可能施展速度提高12%。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
狼啸（头部）等级3	2	144	73	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：狼啸（头部）等级3，效果：攻击时可能施展速度提高20%。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
止战（下装）等级1	2	144	74	0	0	0	1											\image\item\other\流星卷轴a1.spr	\image\item\other\流星卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：止战（下装）等级1，效果：被攻击时，可能使攻击者的移动速度降低10%。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
止战（下装）等级2	2	144	75	0	0	0	1											\image\item\other\祥瑞卷轴a1.spr	\image\item\other\祥瑞卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：止战（下装）等级2，效果：被攻击时，可能使攻击者的移动速度降低20%。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
止战（下装）等级3	2	144	76	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：止战（下装）等级3，效果：被攻击时，可能使攻击者的移动速度降低30%。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
神力（头部）等级1	2	144	77	0	0	0	1											\image\item\other\流星卷轴a1.spr	\image\item\other\流星卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：神力（头部）等级1，效果：力量增加10点，根骨增加10点。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
神力（头部）等级2	2	144	78	0	0	0	1											\image\item\other\祥瑞卷轴a1.spr	\image\item\other\祥瑞卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：神力（头部）等级2，效果：力量增加18点，根骨增加18点。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
神力（头部）等级3	2	144	79	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：神力（头部）等级3，效果：力量增加30点，根骨增加30点。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
神力（衣服）等级1	2	144	80	0	0	0	1											\image\item\other\流星卷轴a1.spr	\image\item\other\流星卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：神力（衣服）等级1，效果：力量增加10点，根骨增加10点。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
神力（衣服）等级2	2	144	81	0	0	0	1											\image\item\other\祥瑞卷轴a1.spr	\image\item\other\祥瑞卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：神力（衣服）等级2，效果：力量增加18点，根骨增加18点。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
神力（衣服）等级3	2	144	82	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：神力（衣服）等级3，效果：力量增加30点，根骨增加30点。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
神力（下装）等级1	2	144	83	0	0	0	1											\image\item\other\流星卷轴a1.spr	\image\item\other\流星卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：神力（下装）等级1，效果：力量增加10点，根骨增加10点。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
神力（下装）等级2	2	144	84	0	0	0	1											\image\item\other\祥瑞卷轴a1.spr	\image\item\other\祥瑞卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：神力（下装）等级2，效果：力量增加18点，根骨增加18点。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
神力（下装）等级3	2	144	85	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：神力（下装）等级3，效果：力量增加30点，根骨增加30点。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
凝神（头部）等级1	2	144	86	0	0	0	1											\image\item\other\流星卷轴a1.spr	\image\item\other\流星卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：凝神（头部）等级1，效果：内功增加10点，根骨增加10点。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
凝神（头部）等级2	2	144	87	0	0	0	1											\image\item\other\祥瑞卷轴a1.spr	\image\item\other\祥瑞卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：凝神（头部）等级2，效果：内功增加18点，根骨增加18点。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
凝神（头部）等级3	2	144	88	0	0	0	1											\image\item\other\紫气卷轴a1.spr	\image\item\other\紫气卷轴a0.spr	使用为你的御萱千变盒永久添加外装蕴灵：凝神（头部）等级3，效果：内功增加30点，根骨增加30点。		蕴灵卷轴	\script\weaponeffect\item\yunling_reel.lua	1	0	2			999
