CollectionIndex	GroupName	ItemGDP	ItemName	ItemLevel	Part	AttributeIndex	AttributeLevel	EnchantLevel	PopCostVMoney	PopCostItem_0	PopCostItem_1	PopCostItem_2	
137		0;150;32	T-Linh Viªn-Lv2	2	0;0;1	707	4	1					
138		0;150;49	T-Linh Viªn-Lv3	3	0;0;1	706	6	1					
139	H¶i vËn: t¨ng néi c«ng, t¨ng th©n ph¸p	0;148;16	H-H¶i VËn-Lv1	1	1;0;0	708	2	1					
140		0;148;33	H-H¶i VËn-Lv2	2	1;0;0	709	4	1					
141		0;148;50	H-H¶i VËn-Lv3	3	1;0;0	708	6	1					
142		0;149;16	C-H¶i VËn-Lv1	1	0;1;0	708	2	1					
143		0;149;33	C-H¶i VËn-Lv2	2	0;1;0	709	4	1					
144		0;149;50	C-H¶i VËn-Lv3	3	0;1;0	708	6	1					
145		0;150;16	T-H¶i VËn-Lv1	1	0;0;1	708	2	1					
146		0;150;33	T-H¶i VËn-Lv2	2	0;0;1	709	4	1					
147		0;150;50	T-H¶i VËn-Lv3	3	0;0;1	708	6	1					
148	H¶i t©m: t¨ng néi c«ng#t¨ng linh ho¹t	0;148;17	H-H¶i T©m-Lv1	1	1;0;0	710	2	1					
149		0;148;34	H-H¶i T©m-Lv2	2	1;0;0	711	4	1					
150		0;148;51	H-H¶i T©m-Lv3	3	1;0;0	710	6	1					
151		0;149;17	C-H¶i T©m-Lv1	1	0;1;0	710	2	1					
152		0;149;34	C-H¶i T©m-LV2	2	0;1;0	711	4	1					
153		0;149;51	C-H¶i T©m-Lv3	3	0;1;0	710	6	1					
154		0;150;17	T-H¶i T©m-Lv1	1	0;0;1	710	2	1					
155		0;150;34	T-H¶i T©m-Lv2	2	0;0;1	711	4	1					
156		0;150;51	T-H¶i T©m-Lv3	3	0;0;1	710	6	1					
157	LiÖt nham: t¨ng søc m¹nh	0;148;53	H-LiÖt Nham-Lv4	4	1;0;0	717	6	1		2;1;30499;3	2;1;30666;3		
158		0;148;69	H-LiÖt Nham-Lv5	5	1;0;0	13548	1	1		2;1;30499;30	2;1;30667;6		
159		0;148;85	H-LiÖt Nham-Lv6	6	1;0;0	13548	2	1		2;1;30499;200	2;1;30668;9		
160		0;149;53	C-LiÖt Nham-Lv4	4	0;1;0	717	6	1		2;1;30499;3	2;1;30666;3		
161		0;149;70	C-LiÖt Nham-Lv5	5	0;1;0	13548	1	1		2;1;30499;30	2;1;30667;6		
162		0;149;87	C-LiÖt Nham-Lv6	6	0;1;0	13548	2	1		2;1;30499;200	2;1;30668;9		
163		0;150;53	T-LiÖt Nham-Lv4	4	0;0;1	717	6	1		2;1;30499;3	2;1;30666;3		
164		0;150;69	T-LiÖt Nham-Lv5	5	0;0;1	13548	1	1		2;1;30499;30	2;1;30667;6		
165		0;150;85	T-LiÖt Nham-Lv6	6	0;0;1	13548	2	1		2;1;30499;200	2;1;30668;9		
166	Ph¸ kh«ng: t¨ng néi lùc	0;148;54	H-Ph¸ Kh«ng-Lv4	4	1;0;0	719	6	1		2;1;30499;3	2;1;30666;3		
167		0;148;70	H-Ph¸ Kh«ng-Lv5	5	1;0;0	13549	1	1		2;1;30499;30	2;1;30667;6		
168		0;148;86	H-Ph¸ Kh«ng-Lv6	6	1;0;0	13549	2	1		2;1;30499;200	2;1;30668;9		
169		0;149;54	C-Ph¸ Kh«ng-Lv4	4	0;1;0	719	6	1		2;1;30499;3	2;1;30666;3		
170		0;149;71	C-Ph¸ Kh«ng-Lv5	5	0;1;0	13549	1	1		2;1;30499;30	2;1;30667;6		
171		0;149;88	C-Ph¸ Kh«ng-Lv6	6	0;1;0	13549	2	1		2;1;30499;200	2;1;30668;9		
172		0;150;54	T-Ph¸ Kh«ng-Lv4	4	0;0;1	719	6	1		2;1;30499;3	2;1;30666;3		
173		0;150;70	T-Ph¸ Kh«ng-Lv5	5	0;0;1	13549	1	1		2;1;30499;30	2;1;30667;6		
174		0;150;86	T-Ph¸ Kh«ng-Lv6	6	0;0;1	13549	2	1		2;1;30499;200	2;1;30668;9		
175	To¸i kiÕm: t¨ng g©n cèt	0;148;55	H-Tóy KiÕm-Lv4	4	1;0;0	721	6	1		2;1;30499;3	2;1;30666;3		
176		0;148;71	H-Tóy KiÕm-Lv5	5	1;0;0	13550	1	1		2;1;30499;30	2;1;30667;6		
177		0;148;87	H-Tóy KiÕm-Lv6	6	1;0;0	13550	2	1		2;1;30499;200	2;1;30668;9		
178		0;149;55	C-Tóy KiÕm-Lv4	4	0;1;0	721	6	1		2;1;30499;3	2;1;30666;3		
179		0;149;72	C-Tóy KiÕm-Lv5	5	0;1;0	13550	1	1		2;1;30499;30	2;1;30667;6		
180		0;149;89	C-Tóy KiÕm-Lv6	6	0;1;0	13550	2	1		2;1;30499;200	2;1;30668;9		
181		0;150;55	T-Tóy KiÕm-Lv4	4	0;0;1	721	6	1		2;1;30499;3	2;1;30666;3		
182		0;150;71	T-Tóy KiÕm-Lv5	5	0;0;1	13550	1	1		2;1;30499;30	2;1;30667;6		
183		0;150;87	T-Tóy KiÕm-Lv6	6	0;0;1	13550	2	1		2;1;30499;200	2;1;30668;9		
184	TËt phong: t¨ng th©n ph¸p	0;148;56	H-TËt Phong-Lv4	4	1;0;0	723	6	1		2;1;30499;3	2;1;30666;3		
185		0;148;72	H-TËt Phong-Lv5	5	1;0;0	13551	1	1		2;1;30499;30	2;1;30667;6		
186		0;148;88	H-TËt Phong-Lv6	6	1;0;0	13551	2	1		2;1;30499;200	2;1;30668;9		
187		0;149;56	C-TËt Phong-Lv4	4	0;1;0	723	6	1		2;1;30499;3	2;1;30666;3		
188		0;149;73	C-TËt Phong-Lv5	5	0;1;0	13551	1	1		2;1;30499;30	2;1;30667;6		
189		0;149;90	C-TËt Phong-Lv6	6	0;1;0	13551	2	1		2;1;30499;200	2;1;30668;9		
190		0;150;56	T-TËt Phong-Lv4	4	0;0;1	723	6	1		2;1;30499;3	2;1;30666;3		
191		0;150;72	T-TËt Phong-Lv5	5	0;0;1	13551	1	1		2;1;30499;30	2;1;30667;6		
192		0;150;88	T-TËt Phong-Lv6	6	0;0;1	13551	2	1		2;1;30499;200	2;1;30668;9		
193	TÊn vò: t¨ng linh ho¹t	0;148;57	H-TÊn Vò-Lv4	4	1;0;0	725	6	1		2;1;30499;3	2;1;30666;3		
194		0;148;73	H-TÊn Vò-Lv5	5	1;0;0	13552	1	1		2;1;30499;30	2;1;30667;6		
195		0;148;89	H-TÊn Vò-Lv6	6	1;0;0	13552	2	1		2;1;30499;200	2;1;30668;9		
196		0;149;57	C-TÊn Vò-Lv4	4	0;1;0	725	6	1		2;1;30499;3	2;1;30666;3		
197		0;149;74	C-TÊn Vò-Lv5	5	0;1;0	13552	1	1		2;1;30499;30	2;1;30667;6		
198		0;149;91	C-TÊn Vò-Lv6	6	0;1;0	13552	2	1		2;1;30499;200	2;1;30668;9		
199		0;150;57	T-TÊn Vò-Lv4	4	0;0;1	725	6	1		2;1;30499;3	2;1;30666;3		
200		0;150;73	T-TÊn Vò-Lv5	5	0;0;1	13552	1	1		2;1;30499;30	2;1;30667;6		
201		0;150;89	T-TÊn Vò-Lv6	6	0;0;1	13552	2	1		2;1;30499;200	2;1;30668;9		
202	Qu¸n Th¹ch: T¨ng ngo¹i c«ng	0;149;58	C-Qu¸n Th¹ch-Lv4	4	0;1;0	13555	1	1		2;1;30499;3	2;1;30666;3		
203		0;149;75	C-Qu¸n Th¹ch-Lv5	5	0;1;0	13556	1	1		2;1;30499;30	2;1;30667;6		
204		0;149;92	C-Qu¸n Th¹ch-Lv6	6	0;1;0	13556	2	1		2;1;30499;200	2;1;30668;9		
205	Né Ng©m: T¨ng néi kÝch	0;149;59	C-Né Ng©m-Lv4	4	0;1;0	13557	1	1		2;1;30499;3	2;1;30666;3		
206		0;149;76	C-Né Ng©m-Lv5	5	0;1;0	13558	1	1		2;1;30499;30	2;1;30667;6		
207		0;149;93	C-Né Ng©m-Lv6	6	0;1;0	13558	2	1		2;1;30499;200	2;1;30668;9		
208	V« l­îng: t¨ng giíi h¹n sinh lùc	0;150;58	T-V« L­îng-Lv4	4	0;0;1	13559	1	1		2;1;30499;3	2;1;30666;3		
209		0;150;74	T-V« L­îng-Lv5	5	0;0;1	13559	4	1		2;1;30499;30	2;1;30667;6		
210		0;150;90	T-V« L­îng-Lv6	6	0;0;1	13561	1	1		2;1;30499;200	2;1;30668;9		
211	øng tËp: t¨ng chÝnh x¸c	0;148;58	H-¦ng TËp-Lv4	4	1;0;0	307	6	1		2;1;30499;3	2;1;30666;3		
212		0;148;74	H-¦ng TËp-Lv5	5	1;0;0	13538	1	1		2;1;30499;30	2;1;30667;6		
213		0;148;90	H-¦ng TËp-Lv6	6	1;0;0	13538	2	1		2;1;30499;200	2;1;30668;9		
214	Xuyªn v©n: cã tû lÖ t¨ng s¸t th­¬ng khi c«ng kÝch	0;149;60	C-Xuyªn V©n-Lv4	4	0;1;0	13197	6	1		2;1;30499;3	2;1;30666;3		
215		0;149;77	C-Xuyªn V©n-Lv5	5	0;1;0	13352	2	1		2;1;30499;30	2;1;30667;6		
216		0;149;94	C-Xuyªn V©n-Lv6	6	0;1;0	563	5	1		2;1;30499;200	2;1;30668;9		
217	Môc minh: t¨ng giíi h¹n néi lùc	0;150;59	T-Môc Minh-Lv4	4	0;0;1	13560	1	1		2;1;30499;3	2;1;30666;3		
218		0;150;75	T-Môc Minh-Lv5	5	0;0;1	13560	4	1		2;1;30499;30	2;1;30667;6		
219		0;150;91	T-Môc Minh-Lv6	6	0;0;1	13562	1	1		2;1;30499;200	2;1;30668;9		
220	Linh t©m: t¨ng nÐ tr¸nh	0;148;59	H-Linh T©m-Lv4	4	1;0;0	13537	1	1		2;1;30499;3	2;1;30666;3		
221		0;148;75	H-Linh T©m-Lv5	5	1;0;0	13537	2	1		2;1;30499;30	2;1;30667;6		
222		0;148;91	H-Linh T©m-Lv6	6	1;0;0	13537	3	1		2;1;30499;200	2;1;30668;9		
223	ThÇn lùc: t¨ng søc m¹nh, t¨ng g©n cèt	0;148;60	H-ThÇn Lùc-Lv4	4	1;0;0	13539	1	1		2;1;30499;3	2;1;30666;3		
224		0;148;76	H-ThÇn Lùc-Lv5	5	1;0;0	13539	2	1		2;1;30499;30	2;1;30667;6		
225		0;148;92	H-ThÇn Lùc-Lv6	6	1;0;0	13539	3	1		2;1;30499;200	2;1;30668;9		
226		0;149;61	C-ThÇn Lùc-Lv4	4	0;1;0	13539	1	1		2;1;30499;3	2;1;30666;3		
227		0;149;78	C-ThÇn Lùc-Lv5	5	0;1;0	13539	2	1		2;1;30499;30	2;1;30667;6		
228		0;149;95	C-ThÇn Lùc-Lv6	6	0;1;0	13539	3	1		2;1;30499;200	2;1;30668;9		
229		0;150;60	T-ThÇn Lùc-Lv4	4	0;0;1	13539	1	1		2;1;30499;3	2;1;30666;3		
230		0;150;76	T-ThÇn Lùc-Lv5	5	0;0;1	13539	2	1		2;1;30499;30	2;1;30667;6		
231		0;150;92	T-ThÇn Lùc-Lv6	6	0;0;1	13539	3	1		2;1;30499;200	2;1;30668;9		
232	Ng­ng thÇn: t¨ng néi lùc, t¨ng g©n cèt	0;148;61	H-Ng­ng ThÇn-Lv4	4	1;0;0	13540	1	1		2;1;30499;3	2;1;30666;3		
233		0;148;77	H-Ng­ng ThÇn-Lv5	5	1;0;0	13540	2	1		2;1;30499;30	2;1;30667;6		
234		0;148;93	H-Ng­ng ThÇn-Lv6	6	1;0;0	13540	3	1		2;1;30499;200	2;1;30668;9		
235		0;149;62	C-Ng­ng ThÇn-Lv4	4	0;1;0	13540	1	1		2;1;30499;3	2;1;30666;3		
236		0;149;79	C-Ng­ng ThÇn-Lv5	5	0;1;0	13540	2	1		2;1;30499;30	2;1;30667;6		
237		0;149;96	C-Ng­ng ThÇn-Lv6	6	0;1;0	13540	3	1		2;1;30499;200	2;1;30668;9		
238		0;150;61	T-Ng­ng ThÇn-Lv4	4	0;0;1	13540	1	1		2;1;30499;3	2;1;30666;3		
239		0;150;77	T-Ng­ng ThÇn-Lv5	5	0;0;1	13540	2	1		2;1;30499;30	2;1;30667;6		
240		0;150;93	T-Ng­ng ThÇn-Lv6	6	0;0;1	13540	3	1		2;1;30499;200	2;1;30668;9		
241	V« gian: t¨ng th©n ph¸p, t¨ng g©n cèt	0;148;62	H-V« Gian-Lv4	4	1;0;0	13541	1	1		2;1;30499;3	2;1;30666;3		
242		0;148;78	H-V« Gian-Lv5	5	1;0;0	13541	2	1		2;1;30499;30	2;1;30667;6		
243		0;148;94	H-V« Gian-Lv6	6	1;0;0	13541	3	1		2;1;30499;200	2;1;30668;9		
244		0;149;63	C-V« Gian-Lv4	4	0;1;0	13541	1	1		2;1;30499;3	2;1;30666;3		
245		0;149;80	C-V« Gian-Lv5	5	0;1;0	13541	2	1		2;1;30499;30	2;1;30667;6		
246		0;149;97	C-V« Gian-Lv6	6	0;1;0	13541	3	1		2;1;30499;200	2;1;30668;9		
247		0;150;62	T-V« Gian-Lv4	4	0;0;1	13541	1	1		2;1;30499;3	2;1;30666;3		
248		0;150;78	T-V« Gian-Lv5	5	0;0;1	13541	2	1		2;1;30499;30	2;1;30667;6		
249		0;150;94	T-V« Gian-Lv6	6	0;0;1	13541	3	1		2;1;30499;200	2;1;30668;9		
250	V« cùc: t¨ng linh ho¹t, t¨ng g©n cèt	0;148;63	H-V« Cùc-Lv4	4	1;0;0	13542	1	1		2;1;30499;3	2;1;30666;3		
251		0;148;79	H-V« Cùc-Lv5	5	1;0;0	13542	2	1		2;1;30499;30	2;1;30667;6		
252		0;148;95	H-V« Cùc-Lv6	6	1;0;0	13542	3	1		2;1;30499;200	2;1;30668;9		
253		0;149;64	C-V« Cùc-Lv4	4	0;1;0	13542	1	1		2;1;30499;3	2;1;30666;3		
254		0;149;81	C-V« Cùc-Lv5	5	0;1;0	13542	2	1		2;1;30499;30	2;1;30667;6		
255		0;149;98	C-V« Cùc-Lv6	6	0;1;0	13542	3	1		2;1;30499;200	2;1;30668;9		
256		0;150;63	T-V« Cùc-Lv4	4	0;0;1	13542	1	1		2;1;30499;3	2;1;30666;3		
257		0;150;79	T-V« Cùc-Lv5	5	0;0;1	13542	2	1		2;1;30499;30	2;1;30667;6		
258		0;150;95	T-V« Cùc-Lv6	6	0;0;1	13542	3	1		2;1;30499;200	2;1;30668;9		
259	Cuång nhËn: t¨ng søc m¹nh, t¨ng th©n ph¸p	0;148;64	H-Cuång NhÉn-Lv4	4	1;0;0	13543	1	1		2;1;30499;3	2;1;30666;3		
260		0;148;80	H-Cuång NhÉn-Lv5	5	1;0;0	13543	2	1		2;1;30499;30	2;1;30667;6		
261		0;148;96	H-Cuång NhÉn-Lv6	6	1;0;0	13543	3	1		2;1;30499;200	2;1;30668;9		
262		0;149;65	C-Cuång NhÉn-Lv4	4	0;1;0	13543	1	1		2;1;30499;3	2;1;30666;3		
263		0;149;82	C-Cuång NhÉn-Lv5	5	0;1;0	13543	2	1		2;1;30499;30	2;1;30667;6		
264		0;149;99	C-Cuång NhÉn-Lv6	6	0;1;0	13543	3	1		2;1;30499;200	2;1;30668;9		
265		0;150;64	T-Cuång NhÉn-Lv4	4	0;0;1	13543	1	1		2;1;30499;3	2;1;30666;3		
266		0;150;80	T-Cuång NhÉn-Lv5	5	0;0;1	13543	2	1		2;1;30499;30	2;1;30667;6		
267		0;150;96	T-Cuång NhÉn-Lv6	6	0;0;1	13543	3	1		2;1;30499;200	2;1;30668;9		
