ID	G	D	P	tG	tD	tP	CostPiece
144	0	105	241	0	105	30243	1000
145	0	105	242	0	105	30244	1000
146	0	105	243	0	105	30245	1000
147	0	105	244	0	105	30246	1000
148	0	105	245	0	105	30247	1000
149	0	105	247	0	105	30248	1000
150	0	105	248	0	105	30249	1000
151	0	105	249	0	105	30250	1000
152	0	105	253	0	105	30251	1000
153	0	105	254	0	105	30252	1000
