ItemIndex	BodyType	GroupName	GDP	SellType	SellPrices	PopPrice	GiftPrice	Not4Sale	Sort	Scale	Charm
52	0	Phong Háa Liªn Thµnh	0;120;122	7	1418;6075;9000	50			21	1	1500
53	0	Phong Háa Liªn Thµnh	0;121;86	7	1418;6075;9000	50			21	1	400
54	0	Phong Háa Liªn Thµnh	0;119;98	7	1418;6075;9000	50			21	1	600
55	1	Trang Søc Vò Th­êng	0;119;17	7	1418;6075;9000	50			22	1	600
55	2	Trang Søc Vò Th­êng	0;119;18	7	1418;6075;9000	50			22	1	600
55	3	Trang Søc Vò Th­êng	0;119;19	7	1418;6075;9000	50			22	1	600
55	4	Trang Søc Vò Th­êng	0;119;20	7	1418;6075;9000	50			22	1	600
56	1	Trang Søc Vò Th­êng	0;121;17	7	1418;6075;9000	50			22	1	400
56	2	Trang Søc Vò Th­êng	0;121;18	7	1418;6075;9000	50			22	1	400
56	3	Trang Søc Vò Th­êng	0;121;19	7	1418;6075;9000	50			22	1	400
56	4	Trang Søc Vò Th­êng	0;121;20	7	1418;6075;9000	50			22	1	400
57	1	Trang Søc Vò Th­êng	0;120;17	7	1418;6075;9000	50			22	1	1500
57	2	Trang Søc Vò Th­êng	0;120;18	7	1418;6075;9000	50			22	1	1500
57	3	Trang Søc Vò Th­êng	0;120;19	7	1418;6075;9000	50			22	1	1500
57	4	Trang Søc Vò Th­êng	0;120;20	7	1418;6075;9000	50			22	1	1500
58	1	Trang Søc L­u Tinh	0;119;21	7	1418;6075;9000	50			23	1	600
58	2	Trang Søc L­u Tinh	0;119;22	7	1418;6075;9000	50			23	1	600
58	3	Trang Søc L­u Tinh	0;119;23	7	1418;6075;9000	50			23	1	600
58	4	Trang Søc L­u Tinh	0;119;24	7	1418;6075;9000	50			23	1	600
59	1	Trang Søc L­u Tinh	0;121;21	7	1418;6075;9000	50			23	1	1500
59	2	Trang Søc L­u Tinh	0;121;22	7	1418;6075;9000	50			23	1	1500
59	3	Trang Søc L­u Tinh	0;121;23	7	1418;6075;9000	50			23	1	1500
59	4	Trang Søc L­u Tinh	0;121;24	7	1418;6075;9000	50			23	1	1500
60	1	Trang Søc L­u Tinh	0;120;21	7	1418;6075;9000	50			23	1	400
60	2	Trang Søc L­u Tinh	0;120;22	7	1418;6075;9000	50			23	1	400
60	3	Trang Søc L­u Tinh	0;120;23	7	1418;6075;9000	50			23	1	400
60	4	Trang Søc L­u Tinh	0;120;24	7	1418;6075;9000	50			23	1	400
61	1	Lª Hoa Nh­ TuyÕt	0;120;235	7	1418;6075;9000	50			24	1	1800
61	2	Lª Hoa Nh­ TuyÕt	0;120;236	7	1418;6075;9000	50			24	1	1800
61	3	Lª Hoa Nh­ TuyÕt	0;120;237	7	1418;6075;9000	50			24	1	1800
61	4	Lª Hoa Nh­ TuyÕt	0;120;238	7	1418;6075;9000	50			24	1	1800
62	1	Lª Hoa Nh­ TuyÕt	0;119;235	7	1418;6075;9000	50			24	1	720
62	2	Lª Hoa Nh­ TuyÕt	0;119;236	7	1418;6075;9000	50			24	1	720
62	3	Lª Hoa Nh­ TuyÕt	0;119;237	7	1418;6075;9000	50			24	1	720
62	4	Lª Hoa Nh­ TuyÕt	0;119;238	7	1418;6075;9000	50			24	1	720
63	1	Lª Hoa Nh­ TuyÕt	0;121;235	7	1418;6075;9000	50			24	1	480
63	2	Lª Hoa Nh­ TuyÕt	0;121;236	7	1418;6075;9000	50			24	1	480
63	3	Lª Hoa Nh­ TuyÕt	0;121;237	7	1418;6075;9000	50			24	1	480
63	4	Lª Hoa Nh­ TuyÕt	0;121;238	7	1418;6075;9000	50			24	1	480
64	1	Trang Søc L­u Háa	0;119;13	7	1418;6075;9000	50			25	1	600
64	2	Trang Søc L­u Háa	0;119;14	7	1418;6075;9000	50			25	1	600
64	3	Trang Søc L­u Háa	0;119;15	7	1418;6075;9000	50			25	1	600
64	4	Trang Søc L­u Háa	0;119;16	7	1418;6075;9000	50			25	1	600
65	1	Trang Søc L­u Háa	0;121;13	7	1418;6075;9000	50			25	1	400
65	2	Trang Søc L­u Háa	0;121;14	7	1418;6075;9000	50			25	1	400
65	3	Trang Søc L­u Háa	0;121;15	7	1418;6075;9000	50			25	1	400
65	4	Trang Søc L­u Háa	0;121;16	7	1418;6075;9000	50			25	1	400
66	1	Trang Søc L­u Háa	0;120;13	7	1418;6075;9000	50			25	1	1500
66	2	Trang Søc L­u Háa	0;120;14	7	1418;6075;9000	50			25	1	1500
66	3	Trang Søc L­u Háa	0;120;15	7	1418;6075;9000	50			25	1	1500
66	4	Trang Søc L­u Háa	0;120;16	7	1418;6075;9000	50			25	1	1500
67	0	HuyÒn Hoµng Song KiÕm-Hång Phong	0;120;124	7	1418;6075;9000	50			26	1	1800
68	0	HuyÒn Hoµng Song KiÕm-Hång Phong	0;121;88	7	1418;6075;9000	50			26	1	480
69	0	HuyÒn Hoµng Song KiÕm-Hång Phong	0;119;100	7	1418;6075;9000	50			26	1	720
70	1	Bóp Bª H¹nh Phóc	0;120;170	7	1418;6075;9000	10			27	1	150
70	2	Bóp Bª H¹nh Phóc	0;120;171	7	1418;6075;9000	10			27	1	150
70	3	Bóp Bª H¹nh Phóc	0;120;172	7	1418;6075;9000	10			27	1	150
70	4	Bóp Bª H¹nh Phóc	0;120;173	7	1418;6075;9000	10			27	1	150
71	1	Bóp Bª H¹nh Phóc	0;120;174	7	1418;6075;9000	10			27	1	150
71	2	Bóp Bª H¹nh Phóc	0;120;175	7	1418;6075;9000	10			27	1	150
71	3	Bóp Bª H¹nh Phóc	0;120;176	7	1418;6075;9000	10			27	1	150
71	4	Bóp Bª H¹nh Phóc	0;120;177	7	1418;6075;9000	10			27	1	150
72	1	Tú Bµ	0;120;178	7	1418;6075;9000	10			28	1	200
72	2	Tú Bµ	0;120;179	7	1418;6075;9000	10			28	1	200
72	3	Tú Bµ	0;120;180	7	1418;6075;9000	10			28	1	200
72	4	Tú Bµ	0;120;181	7	1418;6075;9000	10			28	1	200
73	1	TuyÖt ThÕ Khuynh Quèc	0;120;150	7	1418;6075;9000	10			29	1	200
73	2	TuyÖt ThÕ Khuynh Quèc	0;120;151	7	1418;6075;9000	10			29	1	200
73	3	TuyÖt ThÕ Khuynh Quèc	0;120;152	7	1418;6075;9000	10			29	1	200
73	4	TuyÖt ThÕ Khuynh Quèc	0;120;153	7	1418;6075;9000	10			29	1	200
74	1	Chim B¨ng	0;120;255	7	1418;6075;9000	10			30	1	800
74	2	Chim B¨ng	0;120;256	7	1418;6075;9000	10			30	1	800
74	3	Chim B¨ng	0;120;257	7	1418;6075;9000	10			30	1	800
74	4	Chim B¨ng	0;120;258	7	1418;6075;9000	10			30	1	800
75	1	Gi¸ng Sinh H¹nh Phóc	0;120;25	7	1418;6075;9000	10			31	1	300
75	2	Gi¸ng Sinh H¹nh Phóc	0;120;26	7	1418;6075;9000	10			31	1	300
75	3	Gi¸ng Sinh H¹nh Phóc	0;120;27	7	1418;6075;9000	10			31	1	300
75	4	Gi¸ng Sinh H¹nh Phóc	0;120;28	7	1418;6075;9000	10			31	1	300
76	1	Gi¸ng Sinh H¹nh Phóc	0;120;29	7	1418;6075;9000	10			31	1	300
76	2	Gi¸ng Sinh H¹nh Phóc	0;120;30	7	1418;6075;9000	10			31	1	300
76	3	Gi¸ng Sinh H¹nh Phóc	0;120;31	7	1418;6075;9000	10			31	1	300
76	4	Gi¸ng Sinh H¹nh Phóc	0;120;32	7	1418;6075;9000	10			31	1	300
77	1	Gi¸ng Sinh H¹nh Phóc	0;120;33	7	1418;6075;9000	10			31	1	300
77	2	Gi¸ng Sinh H¹nh Phóc	0;120;34	7	1418;6075;9000	10			31	1	300
77	3	Gi¸ng Sinh H¹nh Phóc	0;120;35	7	1418;6075;9000	10			31	1	300
77	4	Gi¸ng Sinh H¹nh Phóc	0;120;36	7	1418;6075;9000	10			31	1	300
78	0	Gi¸ng Sinh H¹nh Phóc	0;120;39	7	1418;6075;9000	10			31	1	400
79	0	Gi¸ng Sinh H¹nh Phóc	0;120;40	7	1418;6075;9000	10			31	1	300
80	0	Gi¸ng Sinh H¹nh Phóc	0;120;41	7	1418;6075;9000	10			31	1	200
81	1	Chim B¨ng	0;120;259	7	1418;6075;9000	10			30	1	800
82	2	Chim B¨ng	0;120;260	7	1418;6075;9000	10			30	1	800
83	3	Chim B¨ng	0;120;261	7	1418;6075;9000	10			30	1	800
84	4	Chim B¨ng	0;120;262	7	1418;6075;9000	10			30	1	800
85	1	Thiªn Thu TuÕ	0;119;251	7	1418;6075;9000	50			31	1	720
85	2	Thiªn Thu TuÕ	0;119;252	7	1418;6075;9000	50			31	1	720
85	3	Thiªn Thu TuÕ	0;119;253	7	1418;6075;9000	50			31	1	720
85	4	Thiªn Thu TuÕ	0;119;254	7	1418;6075;9000	50			31	1	720
86	1	Thiªn Thu TuÕ	0;120;251	7	1418;6075;9000	50			31	1	1800
86	2	Thiªn Thu TuÕ	0;120;252	7	1418;6075;9000	50			31	1	1800
86	3	Thiªn Thu TuÕ	0;120;253	7	1418;6075;9000	50			31	1	1800
86	4	Thiªn Thu TuÕ	0;120;254	7	1418;6075;9000	50			31	1	1800
87	1	Thiªn Thu TuÕ	0;121;251	7	1418;6075;9000	50			31	1	480
87	2	Thiªn Thu TuÕ	0;121;252	7	1418;6075;9000	50			31	1	480
87	3	Thiªn Thu TuÕ	0;121;253	7	1418;6075;9000	50			31	1	480
87	4	Thiªn Thu TuÕ	0;121;254	7	1418;6075;9000	50			31	1	480
88	1	Mai Tiªu TuyÕt	0;120;219	7	1418;6075;9000	50			32	1	1000
88	2	Mai Tiªu TuyÕt	0;120;220	7	1418;6075;9000	50			32	1	1000
88	3	Mai Tiªu TuyÕt	0;120;221	7	1418;6075;9000	50			32	1	1000
88	4	Mai Tiªu TuyÕt	0;120;222	7	1418;6075;9000	50			32	1	1000
89	1	Mai Tiªu TuyÕt	0;119;215	7	1418;6075;9000	50			32	1	600
89	2	Mai Tiªu TuyÕt	0;119;216	7	1418;6075;9000	50			32	1	600
89	3	Mai Tiªu TuyÕt	0;119;217	7	1418;6075;9000	50			32	1	600
89	4	Mai Tiªu TuyÕt	0;119;218	7	1418;6075;9000	50			32	1	600
90	1	Mai Tiªu TuyÕt	0;121;215	7	1418;6075;9000	50			32	1	400
90	2	Mai Tiªu TuyÕt	0;121;216	7	1418;6075;9000	50			32	1	400
90	3	Mai Tiªu TuyÕt	0;121;217	7	1418;6075;9000	50			32	1	400
90	4	Mai Tiªu TuyÕt	0;121;218	7	1418;6075;9000	50			32	1	400
91	1	Gi¸ng Sinh H¹nh Phóc	0;120;37	7	1418;6075;9000	10			31	1	800
91	2	Gi¸ng Sinh H¹nh Phóc	0;120;37	7	1418;6075;9000	10			31	1	800
91	3	Gi¸ng Sinh H¹nh Phóc	0;120;37	7	1418;6075;9000	10			31	1	800
91	4	Gi¸ng Sinh H¹nh Phóc	0;120;37	7	1418;6075;9000	10			31	1	800
92	1	Hµn §­êng Nh¹n	0;119;299	7	1418;6075;9000	50			33	1	2160
92	2	Hµn §­êng Nh¹n	0;119;300	7	1418;6075;9000	50			33	1	2160
92	3	Hµn §­êng Nh¹n	0;119;301	7	1418;6075;9000	50			33	1	2160
92	4	Hµn §­êng Nh¹n	0;119;302	7	1418;6075;9000	50			33	1	2160
93	1	Hµn §­êng Nh¹n	0;120;299	7	1418;6075;9000	50			33	1	5400
93	2	Hµn §­êng Nh¹n	0;120;300	7	1418;6075;9000	50			33	1	5400
93	3	Hµn §­êng Nh¹n	0;120;301	7	1418;6075;9000	50			33	1	5400
93	4	Hµn §­êng Nh¹n	0;120;302	7	1418;6075;9000	50			33	1	5400
94	1	Hµn §­êng Nh¹n	0;121;299	7	1418;6075;9000	50			33	1	1440
94	2	Hµn §­êng Nh¹n	0;121;300	7	1418;6075;9000	50			33	1	1440
94	3	Hµn §­êng Nh¹n	0;121;301	7	1418;6075;9000	50			33	1	1440
94	4	Hµn §­êng Nh¹n	0;121;302	7	1418;6075;9000	50			33	1	1440
95	1	§¹p Sa Hµnh	0;119;275	7	1418;6075;9000	50			34	1	720
95	2	§¹p Sa Hµnh	0;119;276	7	1418;6075;9000	50			34	1	720
95	3	§¹p Sa Hµnh	0;119;277	7	1418;6075;9000	50			34	1	720
95	4	§¹p Sa Hµnh	0;119;278	7	1418;6075;9000	50			34	1	720
96	1	§¹p Sa Hµnh	0;120;275	7	1418;6075;9000	50			34	1	1800
96	2	§¹p Sa Hµnh	0;120;276	7	1418;6075;9000	50			34	1	1800
96	3	§¹p Sa Hµnh	0;120;277	7	1418;6075;9000	50			34	1	1800
96	4	§¹p Sa Hµnh	0;120;278	7	1418;6075;9000	50			34	1	1800
97	1	§¹p Sa Hµnh	0;121;275	7	1418;6075;9000	50			34	1	480
97	2	§¹p Sa Hµnh	0;121;276	7	1418;6075;9000	50			34	1	480
97	3	§¹p Sa Hµnh	0;121;277	7	1418;6075;9000	50			34	1	480
97	4	§¹p Sa Hµnh	0;121;278	7	1418;6075;9000	50			34	1	480
98	1	Xóc X¾c	0;120;112	7	1418;6075;9000	10			35	1	500
98	2	Xóc X¾c	0;120;113	7	1418;6075;9000	10			35	1	500
98	3	Xóc X¾c	0;120;114	7	1418;6075;9000	10			35	1	500
98	4	Xóc X¾c	0;120;115	7	1418;6075;9000	10			35	1	500
99	1	Xóc X¾c	0;120;116	7	1418;6075;9000	10			35	1	500
99	2	Xóc X¾c	0;120;117	7	1418;6075;9000	10			35	1	500
99	3	Xóc X¾c	0;120;118	7	1418;6075;9000	10			35	1	500
99	4	Xóc X¾c	0;120;119	7	1418;6075;9000	10			35	1	500
100	1	KhØ Trém Chuèi	0;120;279	7	1418;6075;9000	10			36	1	500
100	2	KhØ Trém Chuèi	0;120;280	7	1418;6075;9000	10			36	1	500
100	3	KhØ Trém Chuèi	0;120;281	7	1418;6075;9000	10			36	1	500
100	4	KhØ Trém Chuèi	0;120;282	7	1418;6075;9000	10			36	1	500
101	1	Ng­ Gia Ng¹o	0;119;323	7	1418;6075;9000	50			37	1	500
101	2	Ng­ Gia Ng¹o	0;119;324	7	1418;6075;9000	50			37	1	500
101	3	Ng­ Gia Ng¹o	0;119;325	7	1418;6075;9000	50			37	1	500
101	4	Ng­ Gia Ng¹o	0;119;326	7	1418;6075;9000	50			37	1	500
102	1	Ng­ Gia Ng¹o	0;120;323	7	1418;6075;9000	50			37	1	500
102	2	Ng­ Gia Ng¹o	0;120;324	7	1418;6075;9000	50			37	1	500
102	3	Ng­ Gia Ng¹o	0;120;325	7	1418;6075;9000	50			37	1	500
102	4	Ng­ Gia Ng¹o	0;120;326	7	1418;6075;9000	50			37	1	500
103	1	Ng­ Gia Ng¹o	0;121;323	7	1418;6075;9000	50			37	1	500
103	2	Ng­ Gia Ng¹o	0;121;324	7	1418;6075;9000	50			37	1	500
103	3	Ng­ Gia Ng¹o	0;121;325	7	1418;6075;9000	50			37	1	500
103	4	Ng­ Gia Ng¹o	0;121;326	7	1418;6075;9000	50			37	1	500
104	1	Thanh B×nh Nh¹c	0;119;307	7	1418;6075;9000	50			38	1	500
104	2	Thanh B×nh Nh¹c	0;119;308	7	1418;6075;9000	50			38	1	500
104	3	Thanh B×nh Nh¹c	0;119;309	7	1418;6075;9000	50			38	1	500
104	4	Thanh B×nh Nh¹c	0;119;310	7	1418;6075;9000	50			38	1	500
105	1	Thanh B×nh Nh¹c	0;120;311	7	1418;6075;9000	50			38	1	500
105	2	Thanh B×nh Nh¹c	0;120;312	7	1418;6075;9000	50			38	1	500
105	3	Thanh B×nh Nh¹c	0;120;313	7	1418;6075;9000	50			38	1	500
105	4	Thanh B×nh Nh¹c	0;120;314	7	1418;6075;9000	50			38	1	500
106	1	Thanh B×nh Nh¹c	0;121;307	7	1418;6075;9000	50			38	1	500
106	2	Thanh B×nh Nh¹c	0;121;308	7	1418;6075;9000	50			38	1	500
106	3	Thanh B×nh Nh¹c	0;121;309	7	1418;6075;9000	50			38	1	500
106	4	Thanh B×nh Nh¹c	0;121;310	7	1418;6075;9000	50			38	1	500
107	1	Tinh H¶i Linh (§á)	0;121;9	7	1418;6075;9000	50			39	1	400
107	2	Tinh H¶i Linh (§á)	0;121;10	7	1418;6075;9000	50			39	1	400
107	3	Tinh H¶i Linh (§á)	0;121;11	7	1418;6075;9000	50			39	1	400
107	4	Tinh H¶i Linh (§á)	0;121;12	7	1418;6075;9000	50			39	1	400
108	1	Tinh H¶i Linh (§á)	0;119;9	7	1418;6075;9000	50			39	1	600
108	2	Tinh H¶i Linh (§á)	0;119;10	7	1418;6075;9000	50			39	1	600
108	3	Tinh H¶i Linh (§á)	0;119;11	7	1418;6075;9000	50			39	1	600
108	4	Tinh H¶i Linh (§á)	0;119;12	7	1418;6075;9000	50			39	1	600
109	1	Tinh H¶i Linh (§á)	0;120;9	7	1418;6075;9000	50			39	1	1500
109	2	Tinh H¶i Linh (§á)	0;120;10	7	1418;6075;9000	50			39	1	1500
109	3	Tinh H¶i Linh (§á)	0;120;11	7	1418;6075;9000	50			39	1	1500
109	4	Tinh H¶i Linh (§á)	0;120;12	7	1418;6075;9000	50			39	1	1500
110	1	Tø Thêi Xu©n	0;119;375	7	1418;6075;9000	10			40	1	720
110	2	Tø Thêi Xu©n	0;119;376	7	1418;6075;9000	10			40	1	720
110	3	Tø Thêi Xu©n	0;119;377	7	1418;6075;9000	10			40	1	720
110	4	Tø Thêi Xu©n	0;119;378	7	1418;6075;9000	10			40	1	720
111	1	Tø Thêi Xu©n	0;120;375	7	1418;6075;9000	10			40	1	1800
111	2	Tø Thêi Xu©n	0;120;376	7	1418;6075;9000	10			40	1	1800
111	3	Tø Thêi Xu©n	0;120;377	7	1418;6075;9000	10			40	1	1800
111	4	Tø Thêi Xu©n	0;120;378	7	1418;6075;9000	10			40	1	1800
112	1	Tø Thêi Xu©n	0;121;375	7	1418;6075;9000	10			40	1	480
112	2	Tø Thêi Xu©n	0;121;376	7	1418;6075;9000	10			40	1	480
112	3	Tø Thêi Xu©n	0;121;377	7	1418;6075;9000	10			40	1	480
112	4	Tø Thêi Xu©n	0;121;378	7	1418;6075;9000	10			40	1	480
113	1	§iÖp LuyÕn Hoa	0;119;199	7	1418;6075;9000	50			41	1	720
113	2	§iÖp LuyÕn Hoa	0;119;200	7	1418;6075;9000	50			41	1	720
113	3	§iÖp LuyÕn Hoa	0;119;201	7	1418;6075;9000	50			41	1	720
113	4	§iÖp LuyÕn Hoa	0;119;202	7	1418;6075;9000	50			41	1	720
114	1	§iÖp LuyÕn Hoa	0;120;199	7	1418;6075;9000	50			41	1	1800
114	2	§iÖp LuyÕn Hoa	0;120;200	7	1418;6075;9000	50			41	1	1800
114	3	§iÖp LuyÕn Hoa	0;120;201	7	1418;6075;9000	50			41	1	1800
114	4	§iÖp LuyÕn Hoa	0;120;202	7	1418;6075;9000	50			41	1	1800
115	1	§iÖp LuyÕn Hoa	0;121;199	7	1418;6075;9000	50			41	1	480
115	2	§iÖp LuyÕn Hoa	0;121;200	7	1418;6075;9000	50			41	1	480
115	3	§iÖp LuyÕn Hoa	0;121;201	7	1418;6075;9000	50			41	1	480
115	4	§iÖp LuyÕn Hoa	0;121;202	7	1418;6075;9000	50			41	1	480
116	1	Hoa Quy T¸ng	0;119;203	7	1418;6075;9000	50			42	1	1000
116	2	Hoa Quy T¸ng	0;119;204	7	1418;6075;9000	50			42	1	1000
116	3	Hoa Quy T¸ng	0;119;205	7	1418;6075;9000	50			42	1	1000
116	4	Hoa Quy T¸ng	0;119;206	7	1418;6075;9000	50			42	1	1000
117	1	Hoa Quy T¸ng	0;120;203	7	1418;6075;9000	50			42	1	600
117	2	Hoa Quy T¸ng	0;120;204	7	1418;6075;9000	50			42	1	600
117	3	Hoa Quy T¸ng	0;120;205	7	1418;6075;9000	50			42	1	600
117	4	Hoa Quy T¸ng	0;120;206	7	1418;6075;9000	50			42	1	600
118	1	Hoa Quy T¸ng	0;121;203	7	1418;6075;9000	50			42	1	400
118	2	Hoa Quy T¸ng	0;121;204	7	1418;6075;9000	50			42	1	400
118	3	Hoa Quy T¸ng	0;121;205	7	1418;6075;9000	50			42	1	400
118	4	Hoa Quy T¸ng	0;121;206	7	1418;6075;9000	50			42	1	400
119	1	Tóy Khuynh Thµnh	0;119;207	7	1418;6075;9000	50			43	1	720
119	2	Tóy Khuynh Thµnh	0;119;208	7	1418;6075;9000	50			43	1	720
