WeaponEffectId	WeaponId	WeaponEffectFile_left	fx_left	fy_left	fz_left	WeaponEffectFile_right	fx_right	fy_right	fz_right
1	59					image\effect\sfx\其他\棍a_光球_蓝.3e	1.4	1	1
1	60					image\effect\sfx\其他\棍a_光球_蓝.3e	1.4	1	1
1	61					image\effect\sfx\其他\棍a_光球_蓝.3e	1.4	1	1
1	62					image\effect\sfx\其他\棍a_光球_蓝.3e	1.4	1	1
1	63					image\effect\sfx\其他\棍b_光球_蓝.3e	1	1	1
1	64					image\effect\sfx\其他\棍b_光球_蓝.3e	1.1	1	1
1	65					image\effect\sfx\其他\棍a_光球_蓝.3e	1.4	1	1
1	66					image\effect\sfx\其他\棍a_光球_蓝.3e	1.4	1	1
1	67					image\effect\sfx\其他\棍a_光球_蓝.3e	1.4	1	1
1	70					image\effect\sfx\其他\杖a_光球_蓝.3e	1.2	0.6	0.6
1	71					image\effect\sfx\其他\杖a_光球_蓝.3e	1.2	0.6	0.6
1	72					image\effect\sfx\其他\杖a_光球_蓝.3e	1.2	0.6	0.6
1	73					image\effect\sfx\其他\杖a_光球_蓝.3e	1.2	0.6	0.6
1	74					image\effect\sfx\其他\杖a_光球_蓝.3e	1.2	0.6	0.6
1	75					image\effect\sfx\其他\杖a_光球_蓝.3e	1.2	0.6	0.6
1	76					image\effect\sfx\其他\杖a_光球_蓝.3e	1.2	0.6	0.6
1	77					image\effect\sfx\其他\杖a_光球_蓝.3e	1.2	0.6	0.6
1	78					image\effect\sfx\其他\杖a_光球_蓝.3e	1.2	0.6	0.6
1	79					image\effect\sfx\其他\杖a_光球_蓝.3e	1.2	0.6	0.6
1	80					image\effect\sfx\其他\杖a_光球_蓝.3e	1.2	0.6	0.6
1	81					image\effect\sfx\其他\杖a_光球_蓝.3e	1.2	0.6	0.6
1	82					image\effect\sfx\其他\杖a_光球_蓝.3e	1.2	0.6	0.6
1	83					image\effect\sfx\其他\杖a_光球_蓝.3e	1.2	0.6	0.6
1	86	image\effect\sfx\其他\琴a_光球_蓝.3e	0.8	1	1				
1	87	image\effect\sfx\其他\琴a_光球_蓝.3e	1	1	1				
1	88	image\effect\sfx\其他\琴a_光球_蓝.3e	1	1	1				
1	89	image\effect\sfx\其他\琴a_光球_蓝.3e	0.8	1	1				
1	90	image\effect\sfx\其他\琴a_光球_蓝.3e	0.8	1	1				
1	91	image\effect\sfx\其他\琴a_光球_蓝.3e	1	1	1				
1	92	image\effect\sfx\其他\琴a_光球_蓝.3e	1	1	1				
1	93	image\effect\sfx\其他\琴a_光球_蓝.3e	1	1	1				
1	94	image\effect\sfx\其他\琴a_光球_蓝.3e	1	1	1				
1	95	image\effect\sfx\其他\琴a_光球_蓝.3e	1	1	1				
1	96	image\effect\sfx\其他\琴a_光球_蓝.3e	1	1	1				
1	97	image\effect\sfx\其他\琴a_光球_蓝.3e	1	1	1				
1	98	image\effect\sfx\其他\琴a_光球_蓝.3e	1	1	1				
1	99	image\effect\sfx\其他\琴a_光球_蓝.3e	1	1	1				
1	102					image\effect\sfx\其他\枪a_光球_蓝.3e	1.1	1	1
1	103					image\effect\sfx\其他\枪a_光球_蓝.3e	1.1	1	1
1	104					image\effect\sfx\其他\枪a_光球_蓝.3e	1.1	1	1
1	105					image\effect\sfx\其他\枪a_光球_蓝.3e	1.1	1	1
1	106					image\effect\sfx\其他\枪a_光球_蓝.3e	1.1	1	1
1	107					image\effect\sfx\其他\枪a_光球_蓝.3e	1.2	1	1
1	108					image\effect\sfx\其他\枪a_光球_蓝.3e	1.2	1	1
1	109					image\effect\sfx\其他\枪a_光球_蓝.3e	1.3	1	1
1	110					image\effect\sfx\其他\枪a_光球_蓝.3e	1.3	1	1
1	111					image\effect\sfx\其他\枪a_光球_蓝.3e	1.3	1	1
1	112					image\effect\sfx\其他\枪a_光球_蓝.3e	1.4	1	1
1	113					image\effect\sfx\其他\枪b_光球_蓝.3e	1.2	1	1
1	114					image\effect\sfx\其他\枪a_光球_蓝.3e	1.2	1	1
1	115					image\effect\sfx\其他\枪a_光球_蓝.3e	1.4	1	1
1	118	image\effect\sfx\其他\弓a_光球_蓝.3e	1	1	1				
1	119	image\effect\sfx\其他\弓a_光球_蓝.3e	1.2	1	1				
1	120	image\effect\sfx\其他\弓a_光球_蓝.3e	1.2	1	1				
1	121	image\effect\sfx\其他\弓a_光球_蓝.3e	1.2	1	1.2				
1	122	image\effect\sfx\其他\弓a_光球_蓝.3e	1.2	1	1.2				
1	123	image\effect\sfx\其他\弓b_光球_蓝.3e	0.7	1	1.3				
1	124	image\effect\sfx\其他\弓b_光球_蓝.3e	0.8	1	1.3				
1	125	image\effect\sfx\其他\弓b_光球_蓝.3e	0.6	1	1.3				
1	126	image\effect\sfx\其他\弓b_光球_蓝.3e	0.7	1	1.3				
1	127	image\effect\sfx\其他\弓b_光球_蓝.3e	0.7	1	1.3				
1	128	image\effect\sfx\其他\弓b_光球_蓝.3e	0.8	1	1.2				
1	129	image\effect\sfx\其他\弓b_光球_蓝.3e	0.8	1	1.2				
1	130	image\effect\sfx\其他\弓b_光球_蓝.3e	1	1	1.2				
1	131	image\effect\sfx\其他\弓b_光球_蓝.3e	1	1	1.2				
1	134	image\effect\sfx\其他\双刀a_光球_蓝.3e	1.4	1	1	image\effect\sfx\其他\双刀a_光球_蓝.3e	1.4	1	1
1	135	image\effect\sfx\其他\双刀a_光球_蓝.3e	1.6	1	1	image\effect\sfx\其他\双刀a_光球_蓝.3e	1.6	1	1
1	136	image\effect\sfx\其他\双刀d_光球_蓝.3e	1.6	1	1	image\effect\sfx\其他\双刀d_光球_蓝.3e	1.6	1	1
1	137	image\effect\sfx\其他\双刀d_光球_蓝.3e	1.7	1	1	image\effect\sfx\其他\双刀d_光球_蓝.3e	1.7	1	1
1	138	image\effect\sfx\其他\双刀b_光球_蓝.3e	1.6	1	1	image\effect\sfx\其他\双刀b_光球_蓝.3e	1.6	1	1
1	139	image\effect\sfx\其他\双刀b_光球_蓝.3e	2	1	1.5	image\effect\sfx\其他\双刀b_光球_蓝.3e	2	1	1.5
1	140	image\effect\sfx\其他\双刀c_光球_蓝.3e	2	1.5	1.5	image\effect\sfx\其他\双刀c_光球_蓝.3e	2	1.5	1.5
1	141	image\effect\sfx\其他\双刀c_光球_蓝.3e	2	1.5	1.5	image\effect\sfx\其他\双刀c_光球_蓝.3e	2	1.5	1.5
1	142	image\effect\sfx\其他\双刀a_光球_蓝.3e	2	1	1	image\effect\sfx\其他\双刀a_光球_蓝.3e	3	1	1
1	143	image\effect\sfx\其他\双刀a_光球_蓝.3e	2	1	1	image\effect\sfx\其他\双刀a_光球_蓝.3e	3	1	1
1	144	image\effect\sfx\其他\双刀a_光球_蓝.3e	2	1	1	image\effect\sfx\其他\双刀a_光球_蓝.3e	2	1	1
1	145	image\effect\sfx\其他\双刀e_光球_蓝.3e	2	0.5	0.5	image\effect\sfx\其他\双刀e_光球_蓝.3e	2	0.5	0.5
1	146	image\effect\sfx\其他\双刀e_光球_蓝.3e	2.3	1	1	image\effect\sfx\其他\双刀e_光球_蓝.3e	2.3	1	1
1	147	image\effect\sfx\其他\双刀e_光球_蓝.3e	2	2	2	image\effect\sfx\其他\双刀e_光球_蓝.3e	2	2	2
1	150	image\effect\sfx\其他\爪a_光球_蓝.3e	1	1	1	image\effect\sfx\其他\爪a_光球_蓝.3e	1	1	1
1	151	image\effect\sfx\其他\爪a_光球_蓝.3e	1	1	1	image\effect\sfx\其他\爪a_光球_蓝.3e	1	1	1
1	152	image\effect\sfx\其他\爪a_光球_蓝.3e	1	1	1	image\effect\sfx\其他\爪a_光球_蓝.3e	1	1	1
1	153	image\effect\sfx\其他\爪a_光球_蓝.3e	1	1	1	image\effect\sfx\其他\爪a_光球_蓝.3e	1	1	1
1	154	image\effect\sfx\其他\爪a_光球_蓝.3e	1	1	1	image\effect\sfx\其他\爪a_光球_蓝.3e	1	1	1
1	155	image\effect\sfx\其他\爪a_光球_蓝.3e	1	1	1	image\effect\sfx\其他\爪a_光球_蓝.3e	1	1	1
1	156	image\effect\sfx\其他\爪a_光球_蓝.3e	1	1	1	image\effect\sfx\其他\爪a_光球_蓝.3e	1	1	1
1	157	image\effect\sfx\其他\爪a_光球_蓝.3e	1	1	1	image\effect\sfx\其他\爪a_光球_蓝.3e	1	1	1
1	158	image\effect\sfx\其他\爪a_光球_蓝.3e	1	1	1	image\effect\sfx\其他\爪a_光球_蓝.3e	1	1	1
1	159	image\effect\sfx\其他\爪a_光球_蓝.3e	1	1	1	image\effect\sfx\其他\爪a_光球_蓝.3e	1	1	1
1	160	image\effect\sfx\其他\爪a_光球_蓝.3e	1	1	1	image\effect\sfx\其他\爪a_光球_蓝.3e	1	1	1
1	161	image\effect\sfx\其他\爪a_光球_蓝.3e	1	1	1	image\effect\sfx\其他\爪a_光球_蓝.3e	1	1	1
1	162	image\effect\sfx\其他\爪a_光球_蓝.3e	1	1	1	image\effect\sfx\其他\爪a_光球_蓝.3e	1	1	1
1	163	image\effect\sfx\其他\爪a_光球_蓝.3e	1	1	1	image\effect\sfx\其他\爪a_光球_蓝.3e	1	1	1
1	165					image\effect\sfx\其他\笛a_光球_蓝.3e	1	1	1
1	166					image\effect\sfx\其他\笛a_光球_蓝.3e	1	1	1
1	167					image\effect\sfx\其他\笛a_光球_蓝.3e	1	1	1
1	168					image\effect\sfx\其他\笛a_光球_蓝.3e	1	1	1
1	169					image\effect\sfx\其他\笛a_光球_蓝.3e	1	1	1
1	170					image\effect\sfx\其他\笛a_光球_蓝.3e	1	1	1
1	171					image\effect\sfx\其他\笛a_光球_蓝.3e	1	1	1
1	172					image\effect\sfx\其他\笛a_光球_蓝.3e	1	1	1
1	173					image\effect\sfx\其他\笛a_光球_蓝.3e	1	1	1
1	174					image\effect\sfx\其他\笛a_光球_蓝.3e	1	1	1
1	175					image\effect\sfx\其他\笛a_光球_蓝.3e	1	1	1
1	176					image\effect\sfx\其他\笛a_光球_蓝.3e	1	1	1
1	177					image\effect\sfx\其他\笛a_光球_蓝.3e	1	1	1
1	178					image\effect\sfx\其他\笛a_光球_蓝.3e	1	1	1
1	179					image\effect\sfx\其他\灵枝a_光球_蓝.3e	1	1	1
1	180					image\effect\sfx\其他\灵枝a_光球_蓝.3e	1	1	1
1	181					image\effect\sfx\其他\灵枝a_光球_蓝.3e	1	1	1
1	182					image\effect\sfx\其他\灵枝a_光球_蓝.3e	1	1	1
1	183					image\effect\sfx\其他\灵枝a_光球_蓝.3e	1	1	1
1	184					image\effect\sfx\其他\灵枝a_光球_蓝.3e	1	1	1
1	185					image\effect\sfx\其他\灵枝a_光球_蓝.3e	1	1	1
1	186					image\effect\sfx\其他\灵枝a_光球_蓝.3e	1	1	1
1	187					image\effect\sfx\其他\灵枝a_光球_蓝.3e	1	1	1
1	188					image\effect\sfx\其他\灵枝a_光球_蓝.3e	1	1	1
1	190					image\effect\sfx\其他\灵枝a_光球_蓝.3e	1	1	1
1	189					image\effect\sfx\其他\灵枝a_光球_蓝.3e	1	1	1
1	191					image\effect\sfx\其他\灵枝a_光球_蓝.3e	1	1	1
1	192					image\effect\sfx\其他\灵枝a_光球_蓝.3e	1	1	1
2	0	image\effect\sfx\其他\空手a_雾气_红.3e	1	1	1	image\effect\sfx\其他\空手a_雾气_红.3e	1	1	1
2	1	image\effect\sfx\其他\空手a_雾气_红.3e	1	1	1	image\effect\sfx\其他\空手a_雾气_红.3e	1	1	1
2	4					image\effect\sfx\其他\刀a_火.3e	0.9	0.1	1
2	5					image\effect\sfx\其他\刀a_火.3e	1.1	0.1	1.5
2	6					image\effect\sfx\其他\刀a_火.3e	1.2	0.1	1.5
2	7					image\effect\sfx\其他\刀a_火.3e	1.2	0.1	1.5
2	8					image\effect\sfx\其他\刀a_火.3e	1.2	0.1	1.5
2	9					image\effect\sfx\其他\刀a_火.3e	1	0.1	1
2	10					image\effect\sfx\其他\刀b_火.3e	0.95	0.6	0.7
2	11					image\effect\sfx\其他\刀b_火.3e	1.05	0.6	1
2	12					image\effect\sfx\其他\刀b_火.3e	0.9	0.5	0.9
2	13					image\effect\sfx\其他\刀b_火.3e	1	0.6	0.9
2	14					image\effect\sfx\其他\刀c_火.3e	1.1	1	1
2	15					image\effect\sfx\其他\刀c_火.3e	1.1	1	1
2	16					image\effect\sfx\其他\刀c_火.3e	1	1	1
2	17					image\effect\sfx\其他\刀d_雾气_红.3e	0.9	1	1
2	19					image\effect\sfx\其他\剑a_火.3e	1	0.2	0.6
2	20					image\effect\sfx\其他\剑a_火.3e	1	0.3	1
2	21					image\effect\sfx\其他\剑a_火.3e	1.1	0.3	1
2	22					image\effect\sfx\其他\剑a_火.3e	0.95	0.4	1.2
2	23					image\effect\sfx\其他\剑a_火.3e	1	0.3	1
2	24					image\effect\sfx\其他\剑a_火.3e	0.9	0.3	1
2	25					image\effect\sfx\其他\剑b_火.3e	0.75	0.4	1
2	26					image\effect\sfx\其他\剑b_火.3e	1.1	0.6	1.2
2	27					image\effect\sfx\其他\剑b_火.3e	1.1	0.4	1.2
2	28					image\effect\sfx\其他\剑b_火.3e	1.1	0.5	1.1
2	29					image\effect\sfx\其他\剑c_火.3e	0.9	0.3	1
2	30					image\effect\sfx\其他\剑c_火.3e	0.9	0.3	0.8
2	31					image\effect\sfx\其他\剑c_火.3e	0.9	0.3	1.2
2	32					image\effect\sfx\其他\剑c_火.3e	0.85	0.4	1
2	33					image\effect\sfx\其他\剑c_火.3e	0.9	0.3	0.9
2	34					image\effect\sfx\其他\剑c_火.3e	0.9	0.3	0.9
2	37					image\effect\sfx\其他\笔b_火.3e	1.6	1.6	1.6
2	38					image\effect\sfx\其他\笔b_火.3e	1.6	1.6	1.6
2	39					image\effect\sfx\其他\笔b_火.3e	1.2	1.5	1.5
2	40					image\effect\sfx\其他\笔a_火.3e	1.55	1.6	1.6
2	41					image\effect\sfx\其他\笔a_火.3e	1.55	1.6	1.6
2	42					image\effect\sfx\其他\笔b_火.3e	1.5	2	2
2	43					image\effect\sfx\其他\笔b_火.3e	1.25	1.6	2
2	44					image\effect\sfx\其他\笔b_火.3e	0.9	1.5	1.5
2	45					image\effect\sfx\其他\笔b_火.3e	1.1	1.5	1.5
2	46					image\effect\sfx\其他\笔b_火.3e	1.4	1.5	1.5
2	47					image\effect\sfx\其他\笔b_火.3e	1.3	1.5	1.5
2	48					image\effect\sfx\其他\笔b_火.3e	1.3	2	2
2	49					image\effect\sfx\其他\笔b_火.3e	1.7	3	2
2	50					image\effect\sfx\其他\笔b_火.3e	1.4	3	2
2	52					image\effect\sfx\其他\棍a_火.3e	2	3	3
2	53					image\effect\sfx\其他\棍a_火.3e	1.2	2	2
2	54					image\effect\sfx\其他\棍a_火.3e	1.2	2.5	2.5
2	55					image\effect\sfx\其他\棍a_火.3e	1.2	2.5	2.5
2	56					image\effect\sfx\其他\棍a_火.3e	1.2	3	3
2	57					image\effect\sfx\其他\棍a_火.3e	1.4	3	3
2	58					image\effect\sfx\其他\棍a_火.3e	1.4	3	3
2	59					image\effect\sfx\其他\棍a_火.3e	1.3	3	3
2	60					image\effect\sfx\其他\棍a_火.3e	1.3	3	3
2	61					image\effect\sfx\其他\棍a_火.3e	1.4	3	3
2	62					image\effect\sfx\其他\棍a_火.3e	1.4	3	3
2	63					image\effect\sfx\其他\棍b_火.3e	1.4	3	3
2	64					image\effect\sfx\其他\棍b_火.3e	1.4	3	3
2	65					image\effect\sfx\其他\棍a_火.3e	1.4	3	3
2	66					image\effect\sfx\其他\棍a_火.3e	1.6	3	3
2	67					image\effect\sfx\其他\棍a_火.3e	1.6	3	3
2	70					image\effect\sfx\其他\杖a_火.3e	1	1	1
2	71					image\effect\sfx\其他\杖a_火.3e	1	1	1
2	72					image\effect\sfx\其他\杖a_火.3e	1.1	1	1
2	73					image\effect\sfx\其他\杖a_火.3e	1	1	1
2	74					image\effect\sfx\其他\杖a_火.3e	1	1	1
2	75					image\effect\sfx\其他\杖a_火.3e	1	1	1
2	76					image\effect\sfx\其他\杖a_火.3e	1.05	1	1
2	77					image\effect\sfx\其他\杖a_火.3e	1.15	1	1
2	78					image\effect\sfx\其他\杖a_火.3e	1	1	1
2	79					image\effect\sfx\其他\杖a_火.3e	1.1	1	1
2	80					image\effect\sfx\其他\杖a_火.3e	1.2	1	1
2	81					image\effect\sfx\其他\杖a_火.3e	1.2	1	1
2	82					image\effect\sfx\其他\杖a_火.3e	1.2	1	1
2	83					image\effect\sfx\其他\杖a_火.3e	1.2	1	1
2	86	image\effect\sfx\其他\琴a_火.3e	0.6	0.3	0.35				
2	87	image\effect\sfx\其他\琴a_火.3e	0.65	0.4	0.55				
2	88	image\effect\sfx\其他\琴a_火.3e	0.65	0.4	0.55				
2	89	image\effect\sfx\其他\琴a_火.3e	0.5	0.3	0.55				
2	90	image\effect\sfx\其他\琴a_火.3e	0.5	0.3	0.55				
2	91	image\effect\sfx\其他\琴a_火.3e	0.65	0.3	0.55				
2	92	image\effect\sfx\其他\琴a_火.3e	0.65	0.3	0.35				
2	93	image\effect\sfx\其他\琴a_火.3e	0.7	0.3	0.55				
2	94	image\effect\sfx\其他\琴a_火.3e	0.7	0.3	0.55				
2	95	image\effect\sfx\其他\琴a_火.3e	0.7	0.35	0.35				
2	96	image\effect\sfx\其他\琴a_火.3e	0.65	0.5	0.65				
2	97	image\effect\sfx\其他\琴a_火.3e	0.7	0.3	0.5				
2	98	image\effect\sfx\其他\琴a_火.3e	0.65	0.5	0.55				
2	99	image\effect\sfx\其他\琴a_火.3e	0.8	0.7	0.7				
2	102					image\effect\sfx\其他\枪a_雾气_红.3e	1.1	1	1
2	103					image\effect\sfx\其他\枪a_雾气_红.3e	1.1	1	1
2	104					image\effect\sfx\其他\枪a_雾气_红.3e	1.1	1	1
2	105					image\effect\sfx\其他\枪a_雾气_红.3e	1.1	1	1
2	106					image\effect\sfx\其他\枪a_雾气_红.3e	1.1	1	1
2	107					image\effect\sfx\其他\枪a_雾气_红.3e	1.2	1	1
2	108					image\effect\sfx\其他\枪a_雾气_红.3e	1.2	1	1
2	109					image\effect\sfx\其他\枪a_雾气_红.3e	1.3	1	1
2	110					image\effect\sfx\其他\枪a_雾气_红.3e	1.3	1	1
2	111					image\effect\sfx\其他\枪a_雾气_红.3e	1.3	1	1
2	112					image\effect\sfx\其他\枪a_雾气_红.3e	1.4	1	1
2	113					image\effect\sfx\其他\枪b_雾气_红.3e	1.2	1	1
2	114					image\effect\sfx\其他\枪a_雾气_红.3e	1.2	1	1
2	115					image\effect\sfx\其他\枪a_雾气_红.3e	1.4	1	1
2	118	image\effect\sfx\其他\弓a_雾气_红.3e	1	1	1				
2	119	image\effect\sfx\其他\弓a_雾气_红.3e	1.2	1	1				
2	120	image\effect\sfx\其他\弓a_雾气_红.3e	1.2	1	1				
2	121	image\effect\sfx\其他\弓a_雾气_红.3e	1.2	1	1.2				
2	122	image\effect\sfx\其他\弓a_雾气_红.3e	1.2	1	1.2				
2	123	image\effect\sfx\其他\弓b_雾气_红.3e	0.7	1	1.3				
2	124	image\effect\sfx\其他\弓b_雾气_红.3e	0.8	1	1.3				
2	125	image\effect\sfx\其他\弓b_雾气_红.3e	0.6	1	1.3				
2	126	image\effect\sfx\其他\弓b_雾气_红.3e	0.7	1	1.3				
2	127	image\effect\sfx\其他\弓b_雾气_红.3e	0.7	1	1.3				
2	128	image\effect\sfx\其他\弓b_雾气_红.3e	0.8	1	1.2				
2	129	image\effect\sfx\其他\弓b_雾气_红.3e	0.8	1	1.2				
2	130	image\effect\sfx\其他\弓b_雾气_红.3e	1	1	1.2				
2	131	image\effect\sfx\其他\弓b_雾气_红.3e	1	1	1.2				
2	134	image\effect\sfx\其他\双刀a_雾气_红.3e	1.4	1	1	image\effect\sfx\其他\双刀a_雾气_红.3e	1.4	1	1
2	135	image\effect\sfx\其他\双刀a_雾气_红.3e	1.6	1	1	image\effect\sfx\其他\双刀a_雾气_红.3e	1.6	1	1
2	136	image\effect\sfx\其他\双刀d_雾气_红.3e	1.6	1	1	image\effect\sfx\其他\双刀d_雾气_红.3e	1.6	1	1
2	137	image\effect\sfx\其他\双刀d_雾气_红.3e	1.7	1	1	image\effect\sfx\其他\双刀d_雾气_红.3e	1.7	1	1
2	138	image\effect\sfx\其他\双刀b_雾气_红.3e	1.6	1	1	image\effect\sfx\其他\双刀b_雾气_红.3e	1.6	1	1
2	139	image\effect\sfx\其他\双刀b_雾气_红.3e	2	1	1.5	image\effect\sfx\其他\双刀b_雾气_红.3e	2	1	1.5
2	140	image\effect\sfx\其他\双刀c_雾气_红.3e	2	1.5	1.5	image\effect\sfx\其他\双刀c_雾气_红.3e	2	1.5	1.5
2	141	image\effect\sfx\其他\双刀c_雾气_红.3e	2	1.5	1.5	image\effect\sfx\其他\双刀c_雾气_红.3e	2	1.5	1.5
2	142	image\effect\sfx\其他\双刀a_雾气_红.3e	2	1	1	image\effect\sfx\其他\双刀a_雾气_红.3e	3	1	1
2	143	image\effect\sfx\其他\双刀a_雾气_红.3e	2	1	1	image\effect\sfx\其他\双刀a_雾气_红.3e	3	1	1
2	144	image\effect\sfx\其他\双刀a_雾气_红.3e	2	1	1	image\effect\sfx\其他\双刀a_雾气_红.3e	2	1	1
2	145	image\effect\sfx\其他\双刀e_雾气_红.3e	2	0.5	0.5	image\effect\sfx\其他\双刀e_雾气_红.3e	2	0.5	0.5
2	146	image\effect\sfx\其他\双刀e_雾气_红.3e	2.3	1	1	image\effect\sfx\其他\双刀e_雾气_红.3e	2.3	1	1
2	147	image\effect\sfx\其他\双刀e_雾气_红.3e	2	2	2	image\effect\sfx\其他\双刀e_雾气_红.3e	2	2	2
2	150	image\effect\sfx\其他\爪a_雾气_红.3e	1	1	1	image\effect\sfx\其他\爪a_雾气_红.3e	1	1	1
2	151	image\effect\sfx\其他\爪a_雾气_红.3e	1	1	1	image\effect\sfx\其他\爪a_雾气_红.3e	1	1	1
2	152	image\effect\sfx\其他\爪a_雾气_红.3e	1	1	1	image\effect\sfx\其他\爪a_雾气_红.3e	1	1	1
2	153	image\effect\sfx\其他\爪a_雾气_红.3e	1	1	1	image\effect\sfx\其他\爪a_雾气_红.3e	1	1	1
2	154	image\effect\sfx\其他\爪a_雾气_红.3e	1	1	1	image\effect\sfx\其他\爪a_雾气_红.3e	1	1	1
2	155	image\effect\sfx\其他\爪a_雾气_红.3e	1	1	1	image\effect\sfx\其他\爪a_雾气_红.3e	1	1	1
2	156	image\effect\sfx\其他\爪a_雾气_红.3e	1	1	1	image\effect\sfx\其他\爪a_雾气_红.3e	1	1	1
2	157	image\effect\sfx\其他\爪a_雾气_红.3e	1	1	1	image\effect\sfx\其他\爪a_雾气_红.3e	1	1	1
2	158	image\effect\sfx\其他\爪a_雾气_红.3e	1	1	1	image\effect\sfx\其他\爪a_雾气_红.3e	1	1	1
2	159	image\effect\sfx\其他\爪a_雾气_红.3e	1	1	1	image\effect\sfx\其他\爪a_雾气_红.3e	1	1	1
2	160	image\effect\sfx\其他\爪a_雾气_红.3e	1	1	1	image\effect\sfx\其他\爪a_雾气_红.3e	1	1	1
2	161	image\effect\sfx\其他\爪a_雾气_红.3e	1	1	1	image\effect\sfx\其他\爪a_雾气_红.3e	1	1	1
2	162	image\effect\sfx\其他\爪a_雾气_红.3e	1	1	1	image\effect\sfx\其他\爪a_雾气_红.3e	1	1	1
2	163	image\effect\sfx\其他\爪a_雾气_红.3e	1	1	1	image\effect\sfx\其他\爪a_雾气_红.3e	1	1	1
2	165					image\effect\sfx\其他\笛a_雾气_红.3e	1	1	1
