Level	Name	Category	G	D	P	Weight
4	Vô-Tè TrÇn	10	0	122	259	500
4	Vô-Thanh Huy	10	0	122	260	500
4	Vô-Ngù K×nh	10	0	122	261	7000
5	Vô-Thñy V©n	10	0	122	262	2000
5	Vô-Tè TrÇn	10	0	122	263	500
5	Vô-Thanh Huy	10	0	122	264	500
5	Vô-Ngù K×nh	10	0	122	265	7000
6	Vô-Thñy V©n	10	0	122	266	2000
6	Vô-Tè TrÇn	10	0	122	267	500
6	Vô-Thanh Huy	10	0	122	268	500
6	Vô-Ngù K×nh	10	0	122	269	7000
7	Vô-Thñy V©n	10	0	122	270	2000
7	Vô-Tè TrÇn	10	0	122	271	500
7	Vô-Thanh Huy	10	0	122	272	500
7	Vô-Ngù K×nh	10	0	122	273	7000
1	Xu©n-Thanh D­¬ng	11	0	122	274	3000
1	Xu©n-D­¬ng Trung	11	0	122	275	3000
1	Xu©n-Ngù K×nh	11	0	122	276	4000
2	Xu©n-Thanh D­¬ng	11	0	122	277	3000
2	Xu©n-D­¬ng Trung	11	0	122	278	3000
2	Xu©n-Ngù K×nh	11	0	122	279	4000
3	Xu©n-Thanh D­¬ng	11	0	122	280	3000
3	Xu©n-D­¬ng Trung	11	0	122	281	3000
3	Xu©n-Ngù K×nh	11	0	122	282	4000
4	Xu©n-Thanh D­¬ng	11	0	122	283	3000
4	Xu©n-D­¬ng Trung	11	0	122	284	3000
4	Xu©n-Ngù K×nh	11	0	122	285	4000
5	Xu©n-Thanh D­¬ng	11	0	122	286	3000
5	Xu©n-D­¬ng Trung	11	0	122	287	3000
5	Xu©n-Ngù K×nh	11	0	122	288	4000
6	Xu©n-Thanh D­¬ng	11	0	122	289	3000
6	Xu©n-D­¬ng Trung	11	0	122	290	3000
6	Xu©n-Ngù K×nh	11	0	122	291	4000
7	Xu©n-Thanh D­¬ng	11	0	122	292	3000
7	Xu©n-D­¬ng Trung	11	0	122	293	3000
7	Xu©n-Ngù K×nh	11	0	122	294	4000
1	H¹-Chu Minh	12	0	122	295	3000
1	H¹-Cöu Thö	12	0	122	296	3000
1	H¹-Ngù K×nh	12	0	122	297	4000
2	H¹-Chu Minh	12	0	122	298	3000
2	H¹-Cöu Thö	12	0	122	299	3000
2	H¹-Ngù K×nh	12	0	122	300	4000
3	H¹-Chu Minh	12	0	122	301	3000
3	H¹-Cöu Thö	12	0	122	302	3000
3	H¹-Ngù K×nh	12	0	122	303	4000
4	H¹-Chu Minh	12	0	122	304	3000
4	H¹-Cöu Thö	12	0	122	305	3000
4	H¹-Ngù K×nh	12	0	122	306	4000
5	H¹-Chu Minh	12	0	122	307	3000
5	H¹-Cöu Thö	12	0	122	308	3000
5	H¹-Ngù K×nh	12	0	122	309	4000
6	H¹-Chu Minh	12	0	122	310	3000
6	H¹-Cöu Thö	12	0	122	311	3000
6	H¹-Ngù K×nh	12	0	122	312	4000
7	H¹-Chu Minh	12	0	122	313	3000
7	H¹-Cöu Thö	12	0	122	314	3000
7	H¹-Ngù K×nh	12	0	122	315	4000
1	Thu-B¹ch Tµng	13	0	122	316	500
1	Thu-Tè TiÕt	13	0	122	317	500
1	Thu-Ngù K×nh	13	0	122	318	9000
2	Thu-B¹ch Tµng	13	0	122	319	500
2	Thu-Tè TiÕt	13	0	122	320	500
2	Thu-Ngù K×nh	13	0	122	321	9000
3	Thu-B¹ch Tµng	13	0	122	322	500
3	Thu-Tè TiÕt	13	0	122	323	500
3	Thu-Ngù K×nh	13	0	122	324	9000
4	Thu-B¹ch Tµng	13	0	122	325	500
4	Thu-Tè TiÕt	13	0	122	326	500
4	Thu-Ngù K×nh	13	0	122	327	9000
5	Thu-B¹ch Tµng	13	0	122	328	500
5	Thu-Tè TiÕt	13	0	122	329	500
5	Thu-Ngù K×nh	13	0	122	330	9000
6	Thu-B¹ch Tµng	13	0	122	331	500
6	Thu-Tè TiÕt	13	0	122	332	500
6	Thu-Ngù K×nh	13	0	122	333	9000
7	Thu-B¹ch Tµng	13	0	122	334	500
7	Thu-Tè TiÕt	13	0	122	335	500
7	Thu-Ngù K×nh	13	0	122	336	9000
1	§«ng-Nguyªn Tù	14	0	122	337	1500
1	§«ng-Hµn ThÇn	14	0	122	338	1500
1	§«ng-TuÕ D­	14	0	122	339	3000
1	§«ng-Ngù K×nh	14	0	122	340	4000
2	§«ng-Nguyªn Tù	14	0	122	341	1500
2	§«ng-Hµn ThÇn	14	0	122	342	1500
2	§«ng-TuÕ D­	14	0	122	343	3000
2	§«ng-Ngù K×nh	14	0	122	344	4000
3	§«ng-Nguyªn Tù	14	0	122	345	1500
3	§«ng-Hµn ThÇn	14	0	122	346	1500
3	§«ng-TuÕ D­	14	0	122	347	3000
3	§«ng-Ngù K×nh	14	0	122	348	4000
4	§«ng-Nguyªn Tù	14	0	122	349	1500
4	§«ng-Hµn ThÇn	14	0	122	350	1500
4	§«ng-TuÕ D­	14	0	122	351	3000
4	§«ng-Ngù K×nh	14	0	122	352	4000
5	§«ng-Nguyªn Tù	14	0	122	353	1500
5	§«ng-Hµn ThÇn	14	0	122	354	1500
5	§«ng-TuÕ D­	14	0	122	355	3000
5	§«ng-Ngù K×nh	14	0	122	356	4000
6	§«ng-Nguyªn Tù	14	0	122	357	1500
6	§«ng-Hµn ThÇn	14	0	122	358	1500
6	§«ng-TuÕ D­	14	0	122	359	3000
6	§«ng-Ngù K×nh	14	0	122	360	4000
7	§«ng-Nguyªn Tù	14	0	122	361	1500
7	§«ng-Hµn ThÇn	14	0	122	362	1500
7	§«ng-TuÕ D­	14	0	122	363	3000
7	§«ng-Ngù K×nh	14	0	122	364	4000
1	Thñy-Thanh Dao	15	0	122	365	1000
1	Thñy-Nguyªn Töu	15	0	122	366	200
1	Thñy-Kinh Hång	15	0	122	367	500
1	Thñy-Ngù K×nh	15	0	122	368	8300
2	Thñy-Thanh Dao	15	0	122	369	1000
2	Thñy-Nguyªn Töu	15	0	122	370	200
2	Thñy-Kinh Hång	15	0	122	371	500
2	Thñy-Ngù K×nh	15	0	122	372	8300
3	Thñy-Thanh Dao	15	0	122	373	1000
3	Thñy-Nguyªn Töu	15	0	122	374	200
3	Thñy-Kinh Hång	15	0	122	375	500
3	Thñy-Ngù K×nh	15	0	122	376	8300
4	Thñy-Thanh Dao	15	0	122	377	1000
4	Thñy-Nguyªn Töu	15	0	122	378	200
4	Thñy-Kinh Hång	15	0	122	379	500
4	Thñy-Ngù K×nh	15	0	122	380	8300
5	Thñy-Thanh Dao	15	0	122	381	1000
5	Thñy-Nguyªn Töu	15	0	122	382	200
5	Thñy-Kinh Hång	15	0	122	383	500
5	Thñy-Ngù K×nh	15	0	122	384	8300
6	Thñy-Thanh Dao	15	0	122	385	1000
6	Thñy-Nguyªn Töu	15	0	122	386	500
6	Thñy-Kinh Hång	15	0	122	387	500
6	Thñy-Ngù K×nh	15	0	122	388	8000
7	Thñy-Thanh Dao	15	0	122	389	1000
7	Thñy-Nguyªn Töu	15	0	122	390	500
7	Thñy-Kinh Hång	15	0	122	391	500
7	Thñy-Ngù K×nh	15	0	122	392	8000
1	Th¹ch-S¬n Cèt	16	0	122	393	1400
1	Th¹ch-V©n C¨n	16	0	122	394	1400
1	Th¹ch-Tinh ChÊt	16	0	122	395	1400
1	Th¹ch-Huúnh HoÆc	16	0	122	396	1400
1	Th¹ch-LiÖt B¹ch	16	0	122	397	1400
1	Th¹ch-Ngù K×nh	16	0	122	398	3000
2	Th¹ch-S¬n Cèt	16	0	122	399	1400
2	Th¹ch-V©n C¨n	16	0	122	400	1400
2	Th¹ch-Tinh ChÊt	16	0	122	401	1400
2	Th¹ch-Huúnh HoÆc	16	0	122	402	1400
2	Th¹ch-LiÖt B¹ch	16	0	122	403	1400
2	Th¹ch-Ngù K×nh	16	0	122	404	3000
3	Th¹ch-S¬n Cèt	16	0	122	405	1400
3	Th¹ch-V©n C¨n	16	0	122	406	1400
3	Th¹ch-Tinh ChÊt	16	0	122	407	1400
3	Th¹ch-Huúnh HoÆc	16	0	122	408	1400
3	Th¹ch-LiÖt B¹ch	16	0	122	409	1400
3	Th¹ch-Ngù K×nh	16	0	122	410	3000
4	Th¹ch-S¬n Cèt	16	0	122	411	1400
4	Th¹ch-V©n C¨n	16	0	122	412	1400
4	Th¹ch-Tinh ChÊt	16	0	122	413	1400
4	Th¹ch-Huúnh HoÆc	16	0	122	414	1400
4	Th¹ch-LiÖt B¹ch	16	0	122	415	1400
4	Th¹ch-Ngù K×nh	16	0	122	416	3000
5	Th¹ch-S¬n Cèt	16	0	122	417	1400
5	Th¹ch-V©n C¨n	16	0	122	418	1400
5	Th¹ch-Tinh ChÊt	16	0	122	419	1400
5	Th¹ch-Huúnh HoÆc	16	0	122	420	1400
5	Th¹ch-LiÖt B¹ch	16	0	122	421	1400
5	Th¹ch-Ngù K×nh	16	0	122	422	3000
6	Th¹ch-S¬n Cèt	16	0	122	423	1400
6	Th¹ch-V©n C¨n	16	0	122	424	1400
6	Th¹ch-Tinh ChÊt	16	0	122	425	1400
6	Th¹ch-Huúnh HoÆc	16	0	122	426	1400
6	Th¹ch-LiÖt B¹ch	16	0	122	427	1400
6	Th¹ch-Ngù K×nh	16	0	122	428	3000
7	Th¹ch-S¬n Cèt	16	0	122	429	1400
7	Th¹ch-V©n C¨n	16	0	122	430	1400
7	Th¹ch-Tinh ChÊt	16	0	122	431	1400
7	Th¹ch-Huúnh HoÆc	16	0	122	432	1400
7	Th¹ch-LiÖt B¹ch	16	0	122	433	1400
7	Th¹ch-Ngù K×nh	16	0	122	434	3000
1	V©n-Thôy DiÖp	17	0	122	435	1400
1	V©n-V©n Ú	17	0	122	436	1400
1	V©n-Thanh TÕ	17	0	122	437	1400
1	V©n-Quý Thu	17	0	122	438	1400
1	V©n-Ng©n Tróc	17	0	122	439	1400
1	V©n-Ngù K×nh	17	0	122	440	3000
2	V©n-Thôy DiÖp	17	0	122	441	1400
2	V©n-V©n Ú	17	0	122	442	1400
2	V©n-Thanh TÕ	17	0	122	443	1400
2	V©n-Quý Thu	17	0	122	444	1400
2	V©n-Ng©n Tróc	17	0	122	445	1400
2	V©n-Ngù K×nh	17	0	122	446	3000
3	V©n-Thôy DiÖp	17	0	122	447	1400
3	V©n-V©n Ú	17	0	122	448	1400
3	V©n-Thanh TÕ	17	0	122	449	1400
3	V©n-Quý Thu	17	0	122	450	1400
3	V©n-Ng©n Tróc	17	0	122	451	1400
3	V©n-Ngù K×nh	17	0	122	452	3000
4	V©n-Thôy DiÖp	17	0	122	453	1400
4	V©n-V©n Ú	17	0	122	454	1400
4	V©n-Thanh TÕ	17	0	122	455	1400
4	V©n-Quý Thu	17	0	122	456	1400
4	V©n-Ng©n Tróc	17	0	122	457	1400
4	V©n-Ngù K×nh	17	0	122	458	3000
5	V©n-Thôy DiÖp	17	0	122	459	1400
5	V©n-V©n Ú	17	0	122	460	1400
5	V©n-Thanh TÕ	17	0	122	461	1400
5	V©n-Quý Thu	17	0	122	462	1400
5	V©n-Ng©n Tróc	17	0	122	463	1400
5	V©n-Ngù K×nh	17	0	122	464	3000
6	V©n-Thôy DiÖp	17	0	122	465	1400
6	V©n-V©n Ú	17	0	122	466	1400
6	V©n-Thanh TÕ	17	0	122	467	1400
6	V©n-Quý Thu	17	0	122	468	1400
6	V©n-Ng©n Tróc	17	0	122	469	1400
6	V©n-Ngù K×nh	17	0	122	470	3000
7	V©n-Thôy DiÖp	17	0	122	471	1400
7	V©n-V©n Ú	17	0	122	472	1400
7	V©n-Thanh TÕ	17	0	122	473	1400
7	V©n-Quý Thu	17	0	122	474	1400
7	V©n-Ng©n Tróc	17	0	122	475	1400
7	V©n-Ngù K×nh	17	0	122	476	3000
1	Vò-Long NhuËn	18	0	122	477	1000
1	Vò-Linh Tr¹ch	18	0	122	478	1000
1	Vò-M¹ch L©m	18	0	122	479	3000
1	Vò-Ngù K×nh	18	0	122	480	5000
2	Vò-Long NhuËn	18	0	122	481	1000
2	Vò-Linh Tr¹ch	18	0	122	482	1000
2	Vò-M¹ch L©m	18	0	122	483	3000
2	Vò-Ngù K×nh	18	0	122	484	5000
3	Vò-Long NhuËn	18	0	122	485	1000
3	Vò-Linh Tr¹ch	18	0	122	486	1000
3	Vò-M¹ch L©m	18	0	122	487	3000
3	Vò-Ngù K×nh	18	0	122	488	5000
4	Vò-Long NhuËn	18	0	122	489	1000
4	Vò-Linh Tr¹ch	18	0	122	490	1000
4	Vò-M¹ch L©m	18	0	122	491	3000
4	Vò-Ngù K×nh	18	0	122	492	5000
5	Vò-Long NhuËn	18	0	122	493	1000
5	Vò-Linh Tr¹ch	18	0	122	494	1000
5	Vò-M¹ch L©m	18	0	122	495	3000
5	Vò-Ngù K×nh	18	0	122	496	5000
6	Vò-Long NhuËn	18	0	122	497	1000
6	Vò-Linh Tr¹ch	18	0	122	498	1000
6	Vò-M¹ch L©m	18	0	122	499	3000
6	Vò-Ngù K×nh	18	0	122	500	5000
7	Vò-Long NhuËn	18	0	122	501	1000
7	Vò-Linh Tr¹ch	18	0	122	502	1000
7	Vò-M¹ch L©m	18	0	122	503	3000
7	Vò-Ngù K×nh	18	0	122	504	5000
1	TuyÕt-Hµn T«	19	0	122	505	2500
1	TuyÕt-Ng­ng Vò	19	0	122	506	2500
1	TuyÕt-To¸i Ngäc	19	0	122	507	1000
1	TuyÕt-Ngù K×nh	19	0	122	508	4000
2	TuyÕt-Hµn T«	19	0	122	509	2500
2	TuyÕt-Ng­ng Vò	19	0	122	510	2500
2	TuyÕt-To¸i Ngäc	19	0	122	511	1000
2	TuyÕt-Ngù K×nh	19	0	122	512	4000
