GroupID	AttrID	AppearProbability	QuenchProbabiliy
29	91	1000	75
29	69	1000	125
29	70	1000	100
29	65	1000	100
29	66	1900	170
30	76	500	125
30	88	1500	100
30	89	1500	100
30	90	1000	100
30	91	1000	100
30	69	1500	125
30	70	1000	150
30	65	1000	100
30	66	1000	100
31	69	600	120
31	80	500	120
31	63	500	100
31	70	2400	100
31	65	1000	120
31	66	3000	120
31	60	500	100
31	61	500	100
31	93	1000	120
32	64	2875	75
32	73	1500	100
32	94	2875	75
32	95	500	100
32	96	250	100
32	97	250	100
32	98	1000	100
32	99	250	100
32	100	250	100
32	102	250	100
33	98	50	150
33	99	50	50
33	100	50	50
33	102	50	50
33	88	2250	125
33	89	2250	125
33	90	800	100
33	91	500	100
33	69	1000	150
33	70	3000	100
34	78	0	5
34	77	0	5
34	60	510	120
34	61	510	120
34	72	500	125
34	71	500	125
34	91	1280	100
34	69	1500	100
34	80	1500	100
34	68	1700	100
34	93	2000	100
35	98	200	150
35	99	100	100
35	100	100	100
35	102	100	100
35	88	2950	75
35	89	2950	75
35	90	1200	100
35	91	200	100
35	69	200	100
35	70	2000	100
36	101	500	150
36	82	1000	100
36	83	1000	100
36	84	1000	100
36	85	1000	100
36	86	1000	100
36	88	1500	100
36	89	1500	100
36	93	1500	150
37	64	3000	100
37	73	600	100
37	94	1500	100
37	95	500	150
37	88	2000	100
37	89	2000	100
37	98	200	150
37	99	100	100
37	100	100	100
38	64	2000	100
38	73	1000	75
38	94	1500	75
38	95	750	150
38	88	1000	125
38	89	1000	125
38	77	500	100
38	78	500	100
38	93	1750	150
39	87	600	100
39	82	1000	100
39	83	1000	100
39	84	1000	100
39	85	1000	100
39	86	1000	100
39	69	650	100
39	70	1500	100
39	65	750	100
39	66	1500	100
40	73	1000	100
40	74	1700	150
40	94	1500	100
40	87	200	100
40	76	200	100
40	95	200	100
40	69	1500	150
40	70	1500	100
40	67	2000	100
41	74	1000	100
41	75	1000	100
41	62	800	80
41	63	1000	100
41	64	800	80
41	65	1500	100
41	66	800	80
41	67	1300	80
41	68	1300	80
41	60	250	100
41	61	250	100
42	65	1000	150
42	69	500	150
42	70	2000	125
42	66	2300	125
42	71	100	100
42	72	100	100
42	73	1000	125
42	74	1500	125
42	75	1500	125
43	76	100	50
43	77	500	100
43	78	500	100
43	79	1000	130
43	80	1500	80
43	69	900	150
43	70	2000	100
43	65	1000	190
43	66	2500	100
44	81	100	75
44	82	500	100
44	83	500	100
44	84	500	100
44	85	800	100
44	86	1000	100
44	69	100	100
44	70	3000	150
44	65	1000	75
44	66	2500	150
45	87	100	50
45	88	1500	150
45	89	1500	150
45	90	1500	100
45	91	500	150
45	69	1400	100
45	70	1000	100
45	65	1000	100
45	66	1500	100
46	82	1000	140
46	83	1000	140
46	84	1000	140
46	85	1000	140
46	86	2000	140
46	89	2000	150
46	88	2000	150
47	60	100	100
47	61	100	100
47	62	3000	200
47	63	1000	200
47	64	1000	100
47	65	2800	200
47	66	2000	100
48	87	100	50
48	88	1500	150
48	89	1500	150
48	90	1500	100
48	91	500	100
48	69	1000	100
48	70	1500	100
48	65	1400	150
48	66	1000	100
49	92	100	80
49	88	1500	125
49	89	1500	125
49	90	1000	100
49	91	1000	75
49	69	1000	125
49	70	1000	100
49	65	1000	100
49	66	1900	170
50	76	100	50
50	88	1500	125
50	89	1500	125
50	90	1000	100
50	91	1000	100
50	69	1900	150
50	70	1000	150
50	65	1000	100
50	66	1000	100
51	69	1000	170
51	80	500	120
51	63	900	170
51	70	2400	100
51	65	1000	120
51	66	3000	120
51	60	100	50
51	61	100	50
51	93	1000	120
52	64	2975	105
52	73	2300	90
52	94	2975	105
52	95	500	90
52	96	50	90
52	97	50	90
52	98	1000	90
52	99	50	90
52	100	50	100
52	102	50	100
53	98	50	150
53	99	50	50
53	100	50	50
53	102	50	50
53	88	2250	125
53	89	2250	125
53	90	800	100
53	91	500	100
53	69	1000	150
53	70	3000	100
54	78	0	5
54	77	0	5
54	60	250	75
54	61	250	75
54	72	250	75
54	71	250	75
54	91	1500	100
54	69	2000	150
54	80	1500	150
54	68	2000	145
54	93	2000	145
55	98	200	150
55	99	100	100
55	100	100	100
55	102	100	100
55	88	2950	75
55	89	2950	75
55	90	1200	100
55	91	200	100
55	69	200	100
55	70	2000	100
56	101	100	100
56	82	1000	100
56	83	1000	100
56	84	1000	100
56	85	1000	100
56	86	1000	100
56	88	1700	100
56	89	1700	100
56	93	1500	200
57	64	3000	150
57	73	900	150
57	94	1500	100
57	95	200	100
57	88	2000	100
57	89	2000	100
57	98	200	100
57	99	100	100
57	100	100	100
58	64	2000	100
58	73	1000	100
58	94	1500	125
58	95	250	75
58	88	1000	125
58	89	1000	125
58	77	750	100
58	78	750	100
58	93	1750	150
59	87	300	100
59	82	1000	100
59	83	1000	100
59	84	1000	100
59	85	1000	100
59	86	1000	100
59	69	950	100
59	70	1500	100
59	65	750	100
59	66	1500	100
60	73	1000	100
60	74	1700	150
60	94	1500	100
60	87	200	100
60	76	200	100
60	95	200	100
60	69	1500	150
60	70	1500	100
60	67	2000	100
61	74	1000	100
61	75	1000	100
61	62	1300	80
61	63	500	100
61	64	800	80
61	65	1000	100
61	66	800	80
61	67	1700	130
61	68	1700	130
61	60	100	50
61	61	100	50
62	65	1000	150
62	69	500	150
62	70	2000	175
62	66	2400	175
62	71	50	50
62	72	50	50
62	73	1000	100
62	74	1500	75
62	75	1500	75
63	76	200	90
63	77	500	100
63	78	500	100
63	79	1000	130
63	80	1500	80
63	69	500	150
63	70	2300	100
63	65	1000	150
63	66	2500	100
64	81	100	75
64	82	500	100
64	83	500	100
64	84	500	100
64	85	800	100
64	86	1000	100
64	69	100	100
64	70	3000	150
64	65	1000	75
64	66	2500	150
65	87	200	100
65	88	1500	125
65	89	1800	125
65	90	1500	100
65	91	500	150
65	69	1000	100
65	70	1000	100
65	65	1000	100
65	66	1500	100
66	87	200	50
66	91	500	100
66	82	1000	120
66	83	1000	120
66	84	1000	120
66	85	1000	120
66	86	2000	120
66	89	1650	125
66	88	1650	125
67	60	100	100
67	61	100	100
67	62	3000	100
67	63	1000	200
67	64	1800	200
67	65	2000	200
67	66	2000	100
68	87	500	100
68	88	1500	125
68	89	1500	125
68	90	1500	100
68	91	500	100
68	69	1000	100
68	70	1500	100
68	65	1000	150
68	66	1000	100
69	92	100	80
69	88	1500	125
69	89	1500	125
69	90	1000	100
69	91	1000	75
69	69	1000	125
69	70	1000	100
69	65	1000	100
69	66	1900	170
70	76	100	50
70	88	1700	125
70	89	1700	125
70	90	1000	100
70	91	1000	100
70	69	1500	125
70	70	1000	175
70	65	1000	100
70	66	1000	100
71	69	600	120
71	80	500	120
71	63	500	100
71	70	2400	100
71	65	1000	120
71	66	3400	220
71	60	100	50
71	61	100	50
71	93	1000	120
72	64	3450	200
72	73	1500	100
72	94	3000	100
72	95	100	100
72	96	100	50
72	97	100	50
72	98	1000	100
72	99	250	100
72	100	250	100
72	102	250	100
73	98	50	150
73	99	50	50
73	100	50	50
73	102	50	50
73	88	2250	125
73	89	2250	125
73	90	800	100
73	91	500	100
73	69	1000	125
73	70	3000	125
74	60	100	50
74	61	100	50
74	72	100	75
74	71	100	75
74	91	1300	100
74	69	1500	100
74	80	1500	100
74	68	2000	300
74	93	2300	150
75	98	200	150
75	99	100	100
75	100	100	100
75	102	100	100
75	88	2950	75
75	89	2950	75
75	90	1200	100
75	91	200	100
75	69	200	100
75	70	2000	100
76	101	100	50
76	82	1000	100
76	83	1000	100
76	84	1000	100
76	85	1000	100
76	86	1000	100
76	88	1750	100
76	89	1750	100
76	93	1400	250
77	64	3000	100
77	73	600	100
77	94	1500	100
77	95	500	150
77	88	2000	100
77	89	2000	100
77	98	200	150
77	99	100	100
77	100	100	100
78	64	2000	100
78	73	1000	75
78	94	1500	75
78	95	750	150
78	88	1000	125
78	89	1000	125
78	77	500	100
78	78	500	100
78	93	1750	150
79	87	100	50
79	82	1000	100
79	83	1000	100
79	84	1000	100
79	85	1000	100
79	86	1000	100
79	69	650	100
79	70	2000	150
79	65	750	100
79	66	1500	100
80	73	1000	100
80	74	1700	150
80	94	1500	100
80	87	100	50
80	76	100	50
80	95	200	50
80	69	1500	150
80	70	1700	200
80	67	2200	150
