AttrID	Attribute	EventType	Description	Value1	Probability1	Time1	Value2	Probability2	Time2	Value3	Probability3	Time3	Value4	Probability4	Time4	Value5	Probability5	Time5	Value6	Probability6	Time6	Value7	Probability7	Time7	Value8	Probability8	Time8
29	state_burst_enhance_rate	0	Tèc ®é thi triÓn vâ c«ng t¨ng /v1%	20			30			40			50			60			70			80			90		
30	state_critical_point_increase	0	§iÓm B¹o KÝch t¨ng /v1	10			20			30			40			60			80			100			120		
31	state_attack_buff_time	0	Hç trî tÊn c«ng kÐo dµi /v1%	50			100			150			200			250			300			350			400		
32	state_defence_buff_time	0	Hç trî phßng thñ kÐo dµi /v1%	50			100			150			200			250			300			350			400		
33	state_cast_technique_rate	0	Tû lÖ xuÊt chiªu t¨ng /v1%	10			20			30			40			50			60			70			80		
34	state_critical_hit_rate	0	§¸nh chÝ m¹ng t¨ng /v1%	10			20			30			40			50			60			70			80		
35	state_destiny_armor_point_add	0	§iÓm V« Cô /v1	100			200			300			400			600			800			1000			1200		
36	state_destiny_attack_point_add	0	§iÓm Ph¸ §Þch /v1	100			200			300			400			600			800			1000			1200		
37	state_life_max_point_add	0	Sinh lùc tèi ®a t¨ng /v1	50000			80000			120000			150000			200000			250000			300000			360000		
38	state_neili_max_point_add	0	Néi lùc tèi ®a t¨ng /v1	2000			4000			6000			8000			10000			12000			15000			18000		
39	state_stamina_max_point_add	0	ThÓ lùc + /v1	100			150			200			250			300			350			400			450		
40	state_max_damage	0	X¸c suÊt g©y tÊn c«ng tèi ®a /v1%	20			30			40			50			60			70			80			90		
41	state_add_book_attribute_value	0	MËt TÞch céng thªm /v1%	10			10			10			20			20			30			40			50		
42	state_fast_recovery	0	Gi¶m thêi gian tróng th­¬ng /v1%	30			60			100			150			200			250			300			350		
43	state_element_water_attack_point_add	0	TÊn c«ng ngò hµnh Thñy t¨ng /v1	20			40			60			80			100			120			140			160		
44	state_element_wood_attack_point_add	0	TÊn c«ng ngò hµnh Méc t¨ng /v1	20			40			60			80			100			120			140			160		
45	state_element_metal_attack_point_add	0	TÊn c«ng ngò hµnh Kim t¨ng /v1	20			40			60			80			100			120			140			160		
46	state_element_fire_attack_point_add	0	TÊn c«ng ngò hµnh Háa t¨ng /v1	20			40			60			80			100			120			140			160		
47	state_element_earth_attack_point_add	0	TÊn c«ng ngò hµnh Thæ t¨ng /v1	20			40			60			80			100			120			140			160		
48	state_element_water_defend_point_add	0	Phßng thñ ngò hµnh Thñy t¨ng /v1	120			180			240			300			360			420			480			570		
49	state_element_wood_defend_point_add	0	Phßng thñ ngò hµnh Méc t¨ng /v1	120			180			240			300			360			420			480			570		
50	state_element_metal_defend_point_add	0	Phßng thñ ngò hµnh Kim t¨ng /v1	120			180			240			300			360			420			480			570		
51	state_element_fire_defend_point_add	0	Phßng thñ ngò hµnh Háa t¨ng /v1	120			180			240			300			360			420			480			570		
52	state_element_earth_defend_point_add	0	Phßng thñ ngò hµnh Thæ t¨ng /v1	120			180			240			300			360			420			480			570		
53	state_critical_damage_increase	0	B¹o kÝch céng thªm /v1	100			200			300			400			500			600			700			800		
54	state_move_speed_percent_add	0	Tèc ®é ch¹y t¨ng /v1%	20			30			40			50			60			70			80			90		
55	state_i_defence_point_add	0	Phßng thñ néi c«ng t¨ng /v1	200			400			600			800			1000			1200			1400			1680		
56	state_o_defence_point_add	0	Phßng thñ ngo¹i c«ng t¨ng /v1	200			400			600			800			1000			1200			1400			1680		
57	state_armor_dec	5	TÊn c«ng xuyªn gi¸p /v1	100	5000	180	200	5000	180	400	5000	180	600	5000	180	800	5000	180	1000	5000	180	1200	5000	180	1400	5000	180
58	state_ignore_enemy_half_damage	0	Bá qua gi¶m thä th­¬ng /v1%	20			30			60			80			100			120			140			160		
59	state_ignore_ignore_defence	0	X¸c suÊt miÔn dÞch ph¸ phßng /v1%	30			50			70			90			110			130			150			150		
60	state_physical_parmor_per_dec	5	TÊn c«ng lµm ngo¹i phßng ®Þch gi¶m /v1%	10;10	2000	180	10;10	2000	180	10;10	2000	180	10;10	2000	180	10;10	2000	180	10;10	2000	180	10;10	2000	180	10;10;210	2000	180
61	state_magic_parmor_per_dec	5	TÊn c«ng lµm néi phßng ®Þch gi¶m /v1%	10;10	2000	180	10;10	2000	180	10;10	2000	180	10;10	2000	180	10;10	2000	180	10;10	2000	180	10;10	2000	180	10;10;210	2000	180
62	state_attack_speed_add	0	Tèc ®é ®¸nh t¨ng /v1%	10;10			10;10			10;10			10;10			10;10			10;10			10;10			10;10		
63	state_max_damage	0	X¸c suÊt g©y tÊn c«ng tèi ®a /v1%	10;10			10;10			10;10			10;10			10;10			10;10			10;10			10;10		
64	state_spatter	0	X¸c suÊt tÊn c«ng ph¹m vi /v1%	10;10			10;10			10;10			10;10			10;10			10;10			10;10			10;10		
65	state_life_max_point_add	0	Sinh lùc tèi ®a t¨ng /v1	50000;20000			50000;20000			50000;20000			50000;20000			50000;20000			50000;20000			50000;20000			50000;20000		
66	state_neili_max_point_add	0	Néi lùc tèi ®a t¨ng /v1	1000;500			1000;500			1000;500			1000;500			1000;500			1000;500			1000;500			1000;500		
67	state_ignore_poison_damage	0	Kh¸ng ®éc /v1%	10;10			10;10			10;10			10;10			10;10			10;10			10;10			10;10		
68	state_poison_damage	5	TÊn c«ng kÌm ®éc s¸t /v1	1000;300	10000	18	1000;300	10000	18	1000;300	10000	18	1000;300	10000	18	1000;300	10000	18	1000;300	10000	18	1000;300	10000	18	1000;300	10000	18
69	state_life_max_percent_add	0	Sinh lùc tèi ®a t¨ng /v1%	50;10			50;10			50;10			50;10			50;10			50;10			50;10			50;10		
70	state_neili_max_percent_add	0	Néi lùc + /v1%	50;10			50;10			50;10			50;10			50;10			50;10			50;10			50;10		
71	state_p_attack_percent_add	0	Ngo¹i c«ng + /v1%	20;10			20;10			20;10			20;10			20;10			20;10			20;10			20;10		
72	state_m_attack_percent_add	0	Néi c«ng t¨ng /v1%	20;10			20;10			20;10			20;10			20;10			20;10			20;10			20;10		
73	state_medicine_time_increase	0	HiÖu qu¶ th­¬ng d­îc t¨ng /v1%	20;10			20;10			20;10			20;10			20;10			20;10			20;10			20;10		
74	state_mana_cost_reduce	0	Tiªu hao néi lùc gi¶m /v1%	10;10			10;10			10;10			10;10			10;10			10;10			10;10			10;10;210		
75	state_cast_technique_rate	0	Tû lÖ xuÊt chiªu t¨ng /v1%	10;5			10;5			10;5			10;5			10;5			10;5			10;5			10;5;110		
76	state_destiny_attack_point_add	0	§iÓm Ph¸ §Þch /v1	100;40			100;40			100;40			100;40			100;40			100;40			100;40			100;40		
77	state_physical_def_point_dec	5	TÊn c«ng lµm ngo¹i phßng ®Þch gi¶m /v1	100;30	2000	180	100;30	2000	180	100;30	2000	180	100;30	2000	180	100;30	2000	180	100;30	2000	180	100;30	2000	180	100;30	2000	180
78	state_neili_defence_point_dec	5	TÊn c«ng lµm néi phßng ®Þch gi¶m /v1	100;30	2000	180	100;30	2000	180	100;30	2000	180	100;30	2000	180	100;30	2000	180	100;30	2000	180	100;30	2000	180	100;30	2000	180
79	state_critical_hit_rate	0	§¸nh chÝ m¹ng t¨ng /v1%	20;10			20;10			20;10			20;10			20;10			20;10			20;10			20;10		
80	state_accuracy_point_increase	0	ChÝnh x¸c t¨ng /v1	1000;300			1000;300			1000;300			1000;300			1000;300			1000;300			1000;300			1000;300		
81	state_def_critical_point_increase	0	Phßng thñ b¹o kÝch /v1	50;20			50;20			50;20			50;20			50;20			50;20			50;20			50;20		
82	state_add_strength	0	Søc m¹nh t¨ng /v1	100;20			100;20			100;20			100;20			100;20			100;20			100;20			100;20		
83	state_add_energy	0	Néi c«ng t¨ng /v1	100;20			100;20			100;20			100;20			100;20			100;20			100;20			100;20		
84	state_add_vitality	0	G©n cèt t¨ng /v1	100;20			100;20			100;20			100;20			100;20			100;20			100;20			100;20		
85	state_add_dexterity	0	Th©n ph¸p t¨ng /v1	100;20			100;20			100;20			100;20			100;20			100;20			100;20			100;20		
86	state_add_observe	0	Linh ho¹t t¨ng /v1	100;20			100;20			100;20			100;20			100;20			100;20			100;20			100;20		
87	state_destiny_armor_point_add	0	§iÓm V« Cô /v1	100;40			100;40			100;40			100;40			100;40			100;40			100;40			100;40		
88	state_o_defence_point_add	0	Phßng thñ ngo¹i c«ng t¨ng /v1	400;50			400;50			400;50			400;50			400;50			400;50			400;50			400;50		
89	state_i_defence_point_add	0	Phßng thñ néi c«ng t¨ng /v1	400;50			400;50			400;50			400;50			400;50			400;50			400;50			400;50		
90	state_ignore_ignore_defence	0	X¸c suÊt miÔn dÞch ph¸ phßng /v1%	10;5			10;5			10;5			10;5			10;5			10;5			10;5			10;5		
91	state_dodge_point_increase	0	NÐ tr¸nh t¨ng /v1	1000;300			1000;300			1000;300			1000;300			1000;300			1000;300			1000;300			1000;300		
92	state_burst_enhance_rate	0	Tèc ®é thi triÓn vâ c«ng t¨ng /v1%	10;10			10;10			10;10			10;10			10;10			10;10			10;10			10;10;210		
93	state_damage_point	0	S¸t th­¬ng t¨ng /v1	500;500			500;500			500;500			500;500			500;500			500;500			500;500			500;500		
94	state_move_speed_percent_add	0	Tèc ®é ch¹y t¨ng /v1%	10;10			10;10			10;10			10;10			10;10			10;10			10;10			10;10;210		
95	state_receive_half_damage	0	Gi¶m thä th­¬ng t¨ng /v1%	10;10			10;10			10;10			10;10			10;10			10;10			10;10			10;10		
96	state_element_all_attack_point_add	0	C«ng Ngò Hµnh t¨ng /v1	50;20			50;20			50;20			50;20			50;20			50;20			50;20			50;20		
97	state_element_all_defend_point_add	0	Thñ Ngò Hµnh t¨ng /v1	100;20			100;20			100;20			100;20			100;20			100;20			100;20			100;20		
98	state_add_allability	0	Kh¸ng tÊt c¶ t¨ng /v1	100;20			100;20			100;20			100;20			100;20			100;20			100;20			100;20		
99	state_stamina_max_point_add	0	ThÓ lùc + /v1	200;20			200;20			200;20			200;20			200;20			200;20			200;20			200;20		
100	state_critical_damage_increase	0	B¹o kÝch céng thªm /v1	100;40			100;40			100;40			100;40			100;40			100;40			100;40			100;40		
101	state_ignore_enemy_half_damage	0	Bá qua gi¶m thä th­¬ng /v1%	20;10			20;10			20;10			20;10			20;10			20;10			20;10			20;10		
102	state_def_critical_damage_increase	0	Gi¶m s¸t th­¬ng b¹o kÝch +/v1	100;40			100;40			100;40			100;40			100;40			100;40			100;40			100;40		
