ID	Name	EquipWorth	AttrGroup1	GrowStep1	GrowLvUp1	AttrGroup2	GrowStep2	GrowLvUp2	AttrGroup3	GrowStep3	GrowLvUp3
66	TÝn vËt bang héi cÊp 12	6000	170	0	0	171	0	0	172	0	0
67	TÝn vËt bang héi cÊp 13	6000	173	0	0	174	0	0	175	0	0
68	TÝn vËt bang héi cÊp 14	6000	176	0	0	177	0	0	178	0	0
69	TÝn vËt bang héi cÊp 15	6000	179	0	0	180	0	0	181	0	0
70	Èm HuyÕt §Çu	3000	182	0	0	183	0	0	184	0	0
71	Èm HuyÕt y	3000	188	0	0	189	0	0	190	0	0
72	Èm HuyÕt Trang	3000	194	0	0	195	0	0	196	0	0
73	Èm HuyÕt Giíi	2000	200	0	0	201	0	0	202	0	0
74	Èm HuyÕt Béi	2000	206	0	0	207	0	0	208	0	0
75	Vò KhÝ Èm  HuyÕt (Néi c«ng, néi kÝch )	3000	212	0	0	213	0	0	214	0	0
76	Vò KhÝ Èm  HuyÕt (Søc m¹nh, ngo¹i c«ng)	3000	215	0	0	216	0	0	217	0	0
77	Vò KhÝ Èm  HuyÕt (Th©n ph¸p, néi c«ng ®µn)	3000	221	0	0	222	0	0	223	0	0
78	Vò KhÝ Èm  HuyÕt (S¸t th­¬ng linh ho¹t)	3000	224	0	0	225	0	0	226	0	0
79	Vò KhÝ Èm  HuyÕt (S¸t th­¬ng th©n ph¸p)	3000	242	0	0	243	0	0	244	0	0
80	Vò KhÝ Èm  HuyÕt (S¸t th­¬ng søc m¹nh)	3000	218	0	0	219	0	0	220	0	0
81	V« Song ChiÕn ThÇn Kh«i	3000	233	0	0	236	0	0	237	0	0
82	V« Song ChiÕn ThÇn Gi¸p	3000	234	0	0	236	0	0	237	0	0
83	V« Song ChiÕn ThÇn Trang	3000	235	0	0	236	0	0	237	0	0
84	Hoan L¨ng Phi Phong	6000	248	1	1	249	1	1	250	1	1
85	§»ng Giao Phi Phong	6000	256	1	1	257	1	1	258	1	1
86	Khëi Ph­îng Phi Phong	6000	263	1	1	264	1	1	265	1	1
87	Hoan L¨ng Ch­¬ng	6000	248	1	1	249	1	1	250	1	1
88	§»ng Giao Ch­¬ng	6000	256	1	1	257	1	1	258	1	1
89	Khëi Ph­îng Ch­¬ng	6000	263	1	1	264	1	1	265	1	1
90	Hoan L¨ng Ngoa	6000	248	1	1	249	1	1	250	1	1
91	§»ng Giao Ngoa	6000	256	1	1	257	1	1	258	1	1
92	Khëi Ph­îng Ngoa	6000	263	1	1	264	1	1	265	1	1
93	TÝn VËt Bang Héi Lv16	6000	270	0	0	271	0	0	272	0	0
94	TÝn VËt Bang Héi Lv17	6000	273	0	0	274	0	0	275	0	0
95	TÝn VËt Bang Héi Lv18	6000	276	0	0	277	0	0	278	0	0
96	TÝn VËt Bang Héi Lv19	6000	279	0	0	280	0	0	281	0	0
97	TÝn VËt Bang Héi Lv20	6000	282	0	0	283	0	0	284	0	0
98	§Çu S¸t Tinh	6000	285	0	0						
99	¸o S¸t Tinh	6000	286	0	0						
100	QuÇn S¸t Tinh	6000	287	0	0						
101	Vò KhÝ S¸t Tinh (S¸t th­¬ng)	6000	316	0	0	317	0	0			
102	Vò KhÝ S¸t Tinh (CÇm)	6000	314	0	0	317	0	0			
103	Vò KhÝ S¸t Tinh (Néi c«ng )	6000	313	0	0	317	0	0			
104	Vò KhÝ S¸t Tinh (Ngo¹i c«ng)	6000	315	0	0	317	0	0			
105	Trang Søc S¸t Tinh	6000	309	0	0						
110	Th«ng Thiªn Qu¸n	3000	340	0	0	341	0	0	342	0	0
111	Th«ng Thiªn Bµo	3000	346	0	0	347	0	0	348	0	0
112	Th«ng Thiªn Trang	3000	352	0	0	353	0	0	354	0	0
113	Th«ng Thiªn Giíi	2000	358	0	0	359	0	0	360	0	0
114	Th«ng Thiªn Béi	2000	364	0	0	365	0	0	366	0	0
115	Vò KhÝ Th«ng Thiªn (Néi c«ng, néi kÝch )	3000	370	0	0	371	0	0	372	0	0
116	Vò KhÝ Th«ng Thiªn (Søc m¹nh, ngo¹i c«ng)	3000	373	0	0	374	0	0	375	0	0
117	Vò KhÝ Th«ng Thiªn (Th©n ph¸p, néi c«ng ®µn)	3000	379	0	0	380	0	0	381	0	0
118	Vò KhÝ Th«ng Thiªn (S¸t th­¬ng linh ho¹t)	3000	382	0	0	383	0	0	384	0	0
119	Vò KhÝ Th«ng Thiªn (S¸t th­¬ng th©n ph¸p)	3000	388	0	0	389	0	0	390	0	0
120	Vò KhÝ Th«ng Thiªn (S¸t th­¬ng søc m¹nh)	3000	376	0	0	377	0	0	378	0	0
121	H¾c B¹ch V« Song Kh«i	3000	394	0	0	397	0	0	398	0	0
122	H¾c B¹ch V« Song Gi¸p	3000	395	0	0	397	0	0	398	0	0
123	H¾c B¹ch V« Song Trang	3000	396	0	0	397	0	0	398	0	0
