LineId	Name	GroupID	AttrId	AttrLv	Rate	AttrWorth	ConflictGroupID		Mở khóa:  đặc trưng=8:2		D:C:B=4:3:3
178	Sát thương tăng /1	2	13136	1	36	600	16				
179	Sát thương độc	2	13137	1	36	600	17				
180	Độc sát tăng /1	2	13138	1	36	600	18				
181	Ngoại công tăng: /1% 	2	13139	1	36	600	19				
182	Nội công tăng /1% 	2	13140	1	36	600	20				
183	Sức mạnh B	3	13099	1	10000	600	1				
184	Thân pháp B	4	13100	1	10000	600	2				
185	Nội lực B	5	13101	1	10000	600	3				
186	Linh hoạt B	6	13102	1	10000	600	4				
187	Gân cốt B	7	13103	1	10000	600	5				
188	Sinh mệnh % B	8	13107	1	10000	600	9				
189	Mở khóa D-C										
190	Nhóm mở khóa D	9	0	0							
191	Hao mòn vũ khí giảm: /1% 	9	13180	1	120	200	34				
192	Sức lực+/1	9	13181	1	120	200	35				
193	Tăng giới hạn trọng lượng/1%	9	13182	1	120	200	36				
194	Thể lực	9	13183	1	120	200	37				
195	Thể lực 1%	9	13184	1	120	200	38				
196	Điểm kinh nghiệm nhận được tăng: /1% 	9	13185	1	120	200	39				
197	Tọa thiền mỗi 10 giây hồi phục sinh lực/1	9	13186	1	120	200	40				
198	Tọa thiền mỗi 10 giây hồi phục nội lực/1	9	13187	1	120	200	41				
199	Tọa thiền mỗi 10 giây hồi phục thể lực/1	9	13188	1	120	200	42				
200	Hiệu quả dược phẩm hồi nội/1%	9	13189	1	120	200	43				
201	yêu cầu đẳng cấp giảm /1	9	13190	1	120	200	44				
202	Nội công nhỏ nhất trên vũ khí tăng /1	9	13191	1	120	200	45				
203	Nội công lớn nhất trên vũ khí tăng /1	9	13192	1	120	200	46				
204	Ngoại công nhỏ nhất trên vũ khí tăng /1	9	13193	1	120	200	47				
205	Ngọai công lớn nhất trên vũ khí tăng 1	9	13194	1	120	200	48				
206	Tăng điểm số nội công	9	13195	1	120	200	49				
207	Tăng điểm số ngoại công	9	13196	1	120	200	50				
208	Sát thương tăng /1	9	13197	1	120	200	51				
209	Tăng sát thương độc	9	13198	1	120	200	52				
210	Độc sát tăng /1	9	13199	1	120	200	53				
211	Sức mạnh	9	13200	1	120	200	54				
212	Thân pháp	9	13201	1	120	200	55				
213	Nội công 	9	13202	1	120	200	56				
214	Linh hoạt	9	13203	1	120	200	57				
215	Gân cốt	9	13204	1	120	200	58				
216	Điểm số triệt tiêu sát thương ngoại công	9	13205	1	120	200	59				
217	Điểm số triệt tiêu sát thương nội công	9	13206	1	120	200	60				
218	Giảm độc sát /1	9	13207	1	120	200	61				
219	Thời gian hỗ trợ tấn công tăng: /1% 	9	13208	1	120	200	62				
220	Thời gian hỗ trợ phòng thủ tăng: /1% 	9	13209	1	120	200	63				
221	Dược hiệu kéo dài	9	13210	1	120	200	64				
222	Tiêu diệt địch nhân khôi phục sinh lực	9	13211	1	120	200	65				
223	Tiêu diệt địch nhân khôi phục nội lực	9	13212	1	120	200	66				
224	Ngoại công tăng: /1% 	9	13213	1	120	200	67				
225	Nội công tăng /1% 	9	13214	1	120	200	68				
226	Tỷ lệ sát thương tuyệt đối /1%	9	13215	1	120	200	69				
227	Nội lực 	9	13216	1	120	200	70				
228	Nội lực %	9	13217	1	120	200	71				
229	Điểm sinh lực	9	13218	1	120	200	72				
230	Điểm số phản đòn sát thương ngoại công	9	13219	1	120	200	73				
231	Điểm số phản đòn sát thương nội công	9	13220	1	120	200	74				
232	Sinh mệnh %	9	13221	1	120	200	75				
233	Hoàn toàn bỏ qua tỷ lệ tiêu hao kỹ năng/1%	9	13222	1	0	200	76				
234	Tốc độ đánh tăng: /1% 	9	13223	1	240	200	77				
235	Xác suất tấn công trong phạm vi: /1% 	9	13224	1	120	200	78				
236	Xác suất tần công chí mạng: /1% 	9	13225	1	120	200	79				
237	Dùng kỹ năng không tính tỷ lệ giản cách/1%	9	13226	1	120	200	80				
238	Phản đòn sát thương độc	9	13227	1	120	200	81				
239	Tỉ lệ phản đòn sát thương ngoại thương	9	13228	1	120	200	82				
240	Tỉ lệ phản đòn sát thương nội thương	9	13229	1	120	200	83				
241	Nhóm mở khóa C	9									
242	Hao mòn vũ khí giảm: /1% 	9	13180	2	80	400	34				
243	Sức lực+/1	9	13181	2	80	400	35				
244	Tăng giới hạn trọng lượng/1%	9	13182	2	80	400	36				
245	Thể lực	9	13183	2	80	400	37				
246	Thể lực 1%	9	13184	2	80	400	38				
247	Điểm kinh nghiệm nhận được tăng: /1% 	9	13185	2	80	400	39				
248	Tọa thiền mỗi 10 giây hồi phục sinh lực/1	9	13186	2	80	400	40				
249	Tọa thiền mỗi 10 giây hồi phục nội lực/1	9	13187	2	80	400	41				
250	Tọa thiền mỗi 10 giây hồi phục thể lực/1	9	13188	2	80	400	42				
251	Hiệu quả dược phẩm hồi nội/1%	9	13189	2	80	400	43				
252	yêu cầu đẳng cấp giảm /1	9	13190	2	80	400	44				
253	Nội công nhỏ nhất trên vũ khí tăng /1	9	13191	2	80	400	45				
254	Nội công lớn nhất trên vũ khí tăng /1	9	13192	2	80	400	46				
255	Ngoại công nhỏ nhất trên vũ khí tăng /1	9	13193	2	80	400	47				
256	Ngọai công lớn nhất trên vũ khí tăng 1	9	13194	2	80	400	48				
257	Tăng điểm số nội công	9	13195	2	80	400	49				
258	Tăng điểm số ngoại công	9	13196	2	80	400	50				
259	Sát thương tăng /1	9	13197	2	80	400	51				
260	Tăng sát thương độc	9	13198	2	80	400	52				
261	Độc sát tăng /1	9	13199	2	80	400	53				
262	Sức mạnh	9	13200	2	80	400	54				
263	Thân pháp	9	13201	2	80	400	55				
264	Nội công 	9	13202	2	80	400	56				
265	Linh hoạt	9	13203	2	80	400	57				
266	Gân cốt	9	13204	2	80	400	58				
267	Điểm số triệt tiêu sát thương ngoại công	9	13205	2	80	400	59				
268	Điểm số triệt tiêu sát thương nội công	9	13206	2	80	400	60				
269	Giảm độc sát /1	9	13207	2	80	400	61				
270	Thời gian hỗ trợ tấn công tăng: /1% 	9	13208	2	80	400	62				
271	Thời gian hỗ trợ phòng thủ tăng: /1% 	9	13209	2	80	400	63				
272	Dược hiệu kéo dài	9	13210	2	80	400	64				
273	Tiêu diệt địch nhân khôi phục sinh lực	9	13211	2	80	400	65				
274	Tiêu diệt địch nhân khôi phục nội lực	9	13212	2	80	400	66				
275	Ngoại công tăng: /1% 	9	13213	2	80	400	67				
276	Nội công tăng /1% 	9	13214	2	80	400	68				
277	Tỷ lệ sát thương tuyệt đối /1%	9	13215	2	80	400	69				
278	Nội lực 	9	13216	2	80	400	70				
279	Nội lực %	9	13217	2	80	400	71				
280	Điểm sinh lực	9	13218	2	80	400	72				
281	Điểm số phản đòn sát thương ngoại công	9	13219	2	80	400	73				
282	Điểm số phản đòn sát thương nội công	9	13220	2	80	400	74				
283	Sinh mệnh %	9	13221	2	80	400	75				
284	Hoàn toàn bỏ qua tỷ lệ tiêu hao kỹ năng/1%	9	13222	2	0	400	76				
285	Tốc độ đánh tăng: /1% 	9	13223	2	160	400	77				
286	Xác suất tấn công trong phạm vi: /1% 	9	13224	2	80	400	78				
287	Xác suất tần công chí mạng: /1% 	9	13225	2	80	400	79				
288	Dùng kỹ năng không tính tỷ lệ giản cách/1%	9	13226	2	80	400	80				
289	Phản đòn sát thương độc	9	13227	2	80	400	81				
290	Tỉ lệ phản đòn sát thương ngoại thương	9	13228	2	80	400	82				
291	Tỉ lệ phản đòn sát thương nội thương	9	13229	2	80	400	83				
292	Mở khóa D-B	0									
293	Nhóm mở khóa D	10									
294	Hao mòn vũ khí giảm: /1% 	10	13180	1	80	200	34				
295	Sức lực+/1	10	13181	1	80	200	35				
296	Tăng giới hạn trọng lượng/1%	10	13182	1	80	200	36				
297	Thể lực	10	13183	1	80	200	37				
298	Thể lực 1%	10	13184	1	80	200	38				
299	Điểm kinh nghiệm nhận được tăng: /1% 	10	13185	1	80	200	39				
300	Tọa thiền mỗi 10 giây hồi phục sinh lực/1	10	13186	1	80	200	40				
301	Tọa thiền mỗi 10 giây hồi phục nội lực/1	10	13187	1	80	200	41				
302	Tọa thiền mỗi 10 giây hồi phục thể lực/1	10	13188	1	80	200	42				
303	Hiệu quả dược phẩm hồi nội/1%	10	13189	1	80	200	43				
304	yêu cầu đẳng cấp giảm /1	10	13190	1	80	200	44				
305	Nội công nhỏ nhất trên vũ khí tăng /1	10	13191	1	80	200	45				
306	Nội công lớn nhất trên vũ khí tăng /1	10	13192	1	80	200	46				
307	Ngoại công nhỏ nhất trên vũ khí tăng /1	10	13193	1	80	200	47				
308	Ngọai công lớn nhất trên vũ khí tăng 1	10	13194	1	80	200	48				
309	Tăng điểm số nội công	10	13195	1	80	200	49				
310	Tăng điểm số ngoại công	10	13196	1	80	200	50				
311	Sát thương tăng /1	10	13197	1	80	200	51				
312	Tăng sát thương độc	10	13198	1	80	200	52				
313	Độc sát tăng /1	10	13199	1	80	200	53				
314	Sức mạnh	10	13200	1	80	200	54				
315	Thân pháp	10	13201	1	80	200	55				
316	Nội công 	10	13202	1	80	200	56				
317	Linh hoạt	10	13203	1	80	200	57				
318	Gân cốt	10	13204	1	80	200	58				
319	Điểm số triệt tiêu sát thương ngoại công	10	13205	1	80	200	59				
320	Điểm số triệt tiêu sát thương nội công	10	13206	1	80	200	60				
321	Giảm độc sát /1	10	13207	1	80	200	61				
322	Thời gian hỗ trợ tấn công tăng: /1% 	10	13208	1	80	200	62				
323	Thời gian hỗ trợ phòng thủ tăng: /1% 	10	13209	1	80	200	63				
324	Dược hiệu kéo dài	10	13210	1	80	200	64				
325	Tiêu diệt địch nhân khôi phục sinh lực	10	13211	1	80	200	65				
326	Tiêu diệt địch nhân khôi phục nội lực	10	13212	1	80	200	66				
327	Ngoại công tăng: /1% 	10	13213	1	80	200	67				
328	Nội công tăng /1% 	10	13214	1	80	200	68				
329	Tỷ lệ sát thương tuyệt đối /1%	10	13215	1	80	200	69				
330	Nội lực 	10	13216	1	80	200	70				
331	Nội lực %	10	13217	1	80	200	71				
332	Điểm sinh lực	10	13218	1	80	200	72				
333	Điểm số phản đòn sát thương ngoại công	10	13219	1	80	200	73				
334	Điểm số phản đòn sát thương nội công	10	13220	1	80	200	74				
335	Sinh mệnh %	10	13221	1	80	200	75				
336	Hoàn toàn bỏ qua tỷ lệ tiêu hao kỹ năng/1%	10	13222	1	0	200	76				
337	Tốc độ đánh tăng: /1% 	10	13223	1	160	200	77				
338	Xác suất tấn công trong phạm vi: /1% 	10	13224	1	80	200	78				
339	Xác suất tần công chí mạng: /1% 	10	13225	1	80	200	79				
340	Dùng kỹ năng không tính tỷ lệ giản cách/1%	10	13226	1	80	200	80				
341	Phản đòn sát thương độc	10	13227	1	80	200	81				
342	Tỉ lệ phản đòn sát thương ngoại thương	10	13228	1	80	200	82				
343	Tỉ lệ phản đòn sát thương nội thương	10	13229	1	80	200	83				
344	Nhóm mở khóa C	10									
345	Hao mòn vũ khí giảm: /1% 	10	13180	2	60	400	34				
346	Sức lực+/1	10	13181	2	60	400	35				
347	Tăng giới hạn trọng lượng/1%	10	13182	2	60	400	36				
348	Thể lực	10	13183	2	60	400	37				
349	Thể lực 1%	10	13184	2	60	400	38				
350	Điểm kinh nghiệm nhận được tăng: /1% 	10	13185	2	60	400	39				
351	Tọa thiền mỗi 10 giây hồi phục sinh lực/1	10	13186	2	60	400	40				
352	Tọa thiền mỗi 10 giây hồi phục nội lực/1	10	13187	2	60	400	41				
353	Tọa thiền mỗi 10 giây hồi phục thể lực/1	10	13188	2	60	400	42				
354	Hiệu quả dược phẩm hồi nội/1%	10	13189	2	60	400	43				
355	yêu cầu đẳng cấp giảm /1	10	13190	2	60	400	44				
356	Nội công nhỏ nhất trên vũ khí tăng /1	10	13191	2	60	400	45				
357	Nội công lớn nhất trên vũ khí tăng /1	10	13192	2	60	400	46				
358	Ngoại công nhỏ nhất trên vũ khí tăng /1	10	13193	2	60	400	47				
359	Ngọai công lớn nhất trên vũ khí tăng 1	10	13194	2	60	400	48				
360	Tăng điểm số nội công	10	13195	2	60	400	49				
361	Tăng điểm số ngoại công	10	13196	2	60	400	50				
362	Sát thương tăng /1	10	13197	2	60	400	51				
363	Tăng sát thương độc	10	13198	2	60	400	52				
364	Độc sát tăng /1	10	13199	2	60	400	53				
365	Sức mạnh	10	13200	2	60	400	54				
366	Thân pháp	10	13201	2	60	400	55				
367	Nội công 	10	13202	2	60	400	56				
368	Linh hoạt	10	13203	2	60	400	57				
369	Gân cốt	10	13204	2	60	400	58				
370	Điểm số triệt tiêu sát thương ngoại công	10	13205	2	60	400	59				
371	Điểm số triệt tiêu sát thương nội công	10	13206	2	60	400	60				
372	Giảm độc sát /1	10	13207	2	60	400	61				
373	Thời gian hỗ trợ tấn công tăng: /1% 	10	13208	2	60	400	62				
374	Thời gian hỗ trợ phòng thủ tăng: /1% 	10	13209	2	60	400	63				
375	Dược hiệu kéo dài	10	13210	2	60	400	64				
376	Tiêu diệt địch nhân khôi phục sinh lực	10	13211	2	60	400	65				
377	Tiêu diệt địch nhân khôi phục nội lực	10	13212	2	60	400	66				
378	Ngoại công tăng: /1% 	10	13213	2	60	400	67				
379	Nội công tăng /1% 	10	13214	2	60	400	68				
380	Tỷ lệ sát thương tuyệt đối /1%	10	13215	2	60	400	69				
381	Nội lực 	10	13216	2	60	400	70				
382	Nội lực %	10	13217	2	60	400	71				
383	Điểm sinh lực	10	13218	2	60	400	72				
384	Điểm số phản đòn sát thương ngoại công	10	13219	2	60	400	73				
385	Điểm số phản đòn sát thương nội công	10	13220	2	60	400	74				
386	Sinh mệnh %	10	13221	2	60	400	75				
387	Hoàn toàn bỏ qua tỷ lệ tiêu hao kỹ năng/1%	10	13222	2	0	400	76				
388	Tốc độ đánh tăng: /1% 	10	13223	2	120	400	77				
389	Xác suất tấn công trong phạm vi: /1% 	10	13224	2	60	400	78				
390	Xác suất tần công chí mạng: /1% 	10	13225	2	60	400	79				
391	Dùng kỹ năng không tính tỷ lệ giản cách/1%	10	13226	2	60	400	80				
392	Phản đòn sát thương độc	10	13227	2	60	400	81				
393	Tỉ lệ phản đòn sát thương ngoại thương	10	13228	2	60	400	82				
394	Tỉ lệ phản đòn sát thương nội thương	10	13229	2	60	400	83				
395	Nhóm mở khóa B	10									
396	Hao mòn vũ khí giảm: /1% 	10	13180	3	60	600	34				
397	Sức lực+/1	10	13181	3	60	600	35				
398	Tăng giới hạn trọng lượng/1%	10	13182	3	60	600	36				
399	Thể lực	10	13183	3	60	600	37				
400	Thể lực 1%	10	13184	3	60	600	38				
401	Điểm kinh nghiệm nhận được tăng: /1% 	10	13185	3	60	600	39				
402	Tọa thiền mỗi 10 giây hồi phục sinh lực/1	10	13186	3	60	600	40				
403	Tọa thiền mỗi 10 giây hồi phục nội lực/1	10	13187	3	60	600	41				
404	Tọa thiền mỗi 10 giây hồi phục thể lực/1	10	13188	3	60	600	42				
405	Hiệu quả dược phẩm hồi nội/1%	10	13189	3	60	600	43				
406	yêu cầu đẳng cấp giảm /1	10	13190	3	60	600	44				
407	Nội công nhỏ nhất trên vũ khí tăng /1	10	13191	3	60	600	45				
408	Nội công lớn nhất trên vũ khí tăng /1	10	13192	3	60	600	46				
409	Ngoại công nhỏ nhất trên vũ khí tăng /1	10	13193	3	60	600	47				
410	Ngọai công lớn nhất trên vũ khí tăng 1	10	13194	3	60	600	48				
411	Tăng điểm số nội công	10	13195	3	60	600	49				
412	Tăng điểm số ngoại công	10	13196	3	60	600	50				
413	Sát thương tăng /1	10	13197	3	60	600	51				
414	Tăng sát thương độc	10	13198	3	60	600	52				
415	Độc sát tăng /1	10	13199	3	60	600	53				
416	Sức mạnh	10	13200	3	60	600	54				
417	Thân pháp	10	13201	3	60	600	55				
418	Nội công 	10	13202	3	60	600	56				
419	Linh hoạt	10	13203	3	60	600	57				
420	Gân cốt	10	13204	3	60	600	58				
421	Điểm số triệt tiêu sát thương ngoại công	10	13205	3	60	600	59				
422	Điểm số triệt tiêu sát thương nội công	10	13206	3	60	600	60				
423	Giảm độc sát /1	10	13207	3	60	600	61				
424	Thời gian hỗ trợ tấn công tăng: /1% 	10	13208	3	60	600	62				
425	Thời gian hỗ trợ phòng thủ tăng: /1% 	10	13209	3	60	600	63				
426	Dược hiệu kéo dài	10	13210	3	60	600	64				
427	Tiêu diệt địch nhân khôi phục sinh lực	10	13211	3	60	600	65				
428	Tiêu diệt địch nhân khôi phục nội lực	10	13212	3	60	600	66				
