ID	Name	Belong	ProduceGenre	ProduceSub	ProduceDetail	SecProduceGenre	SecProduceSub	SecProduceDetail	SecProduceRate	Stuff1Genre	Stuff1Sub	Stuff1Detail	Stuff1Num	Stuff2Genre	Stuff2Sub	Stuff2Detail	Stuff2Num	Stuff3Genre	Stuff3Sub	Stuff3Detail	Stuff3Num	Stuff4Genre	Stuff4Sub	Stuff4Detail	Stuff4Num	ToolGenre	ToolSub	ToolDetail	ToolNum	NeedMore	Level	StaminaCost	ExpGain	RecipeDetail	MakeTime	EquipType	Identify
33	护心丹	2	1	0	41					1	2	4	2	1	2	5	2	1	2	3	1	2	131	82	1					0	70	5	20	104	36	0	1
34	行气散	2	1	0	44					1	2	4	2	1	2	5	2	1	2	3	1	2	131	82	1					0	70	5	20	104	36	0	1
35	护体丹	2	1	0	54					1	2	4	2	1	2	5	2	1	2	3	1	2	131	82	1					0	70	5	20	104	36	0	1
36	护神丹	2	1	0	55					1	2	4	2	1	2	5	2	1	2	3	1	2	131	82	1					0	70	5	20	104	36	0	1
37	黑玉断续膏	2	1	0	6					1	0	5	1	2	131	82	1													0	90	5	25	105	36	0	1
38	万物归元丹	2	1	0	11					1	0	10	1	2	131	82	1													0	90	5	25	105	36	0	1
39	生生造化散	2	1	0	16					1	0	15	1	2	131	82	1													0	90	5	25	105	36	0	1
40	奔星却月丹	2	1	0	21					1	2	11	4	1	2	10	4	1	3	13	4	2	131	82	1					0	90	5	25	105	36	0	1
41	大日炎阳散	2	1	0	26					1	2	11	4	1	2	10	4	1	3	13	4	2	131	82	1					0	90	5	25	105	36	0	1
42	黄金玉露	2	1	0	276					2	130	24	4	2	130	25	4	1	0	26	10	2	131	82	1					0	90	5	25	105	36	0	1
43	五华聚元散（力量）	2	1	0	261					2	130	24	4	2	130	25	4	1	0	41	12	2	95	1508	1					0	90	5	25	105	36	0	1
44	五华聚元散（内功）	2	1	0	262					2	130	25	4	2	130	26	4	1	0	44	12	2	95	1508	1					0	90	5	25	105	36	0	1
45	五华聚元散（身法）	2	1	0	264					2	130	26	4	2	130	24	4	1	0	54	12	2	95	1508	1					0	90	5	25	105	36	0	1
46	五华聚元散（洞察）	2	1	0	265					2	130	26	4	2	130	24	4	1	0	55	12	2	95	1508	1					0	90	5	25	105	36	0	1
47	九转逍遥丹（力根）甲	2	1	0	277					1	0	261	6	1	0	263	6	2	95	1508	3									0	90	5	25	105	36	0	1
48	九转逍遥丹（力身）甲	2	1	0	278					1	0	261	6	1	0	264	6	2	95	1508	3									0	90	5	25	105	36	0	1
49	九转逍遥丹（力洞）甲	2	1	0	279					1	0	261	6	1	0	265	6	2	95	1508	3									0	90	5	25	105	36	0	1
50	九转逍遥丹（力内）甲	2	1	0	280					1	0	261	6	1	0	262	6	2	95	1508	3									0	90	5	25	105	36	0	1
51	九转逍遥丹（内根）甲	2	1	0	281					1	0	262	6	1	0	263	6	2	95	1508	3									0	90	5	25	105	36	0	1
52	九转逍遥丹（内身）甲	2	1	0	282					1	0	262	6	1	0	264	6	2	95	1508	3									0	90	5	25	105	36	0	1
53	九转逍遥丹（内洞）甲	2	1	0	283					1	0	262	6	1	0	265	6	2	95	1508	3									0	90	5	25	105	36	0	1
54	九转逍遥丹（身根）甲	2	1	0	284					1	0	264	6	1	0	263	6	2	95	1508	3									0	90	5	25	105	36	0	1
55	九转逍遥丹（身洞）甲	2	1	0	285					1	0	264	6	1	0	265	6	2	95	1508	3									0	90	5	25	105	36	0	1
56	九转逍遥丹（洞根）甲	2	1	0	286					1	0	265	6	1	0	263	6	2	95	1508	3									0	90	5	25	105	36	0	1
57	养性修身丸	2	2	111	116					2	95	223	1	2	111	117	1													0	90	5	5	102	36	0	1
58	九转逍遥丹（力根）乙	2	1	0	277					1	0	266	3	2	95	1508	3													0	90	5	25	105	36	0	1
59	九转逍遥丹（力身）乙	2	1	0	278					1	0	267	3	2	95	1508	3													0	90	5	25	105	36	0	1
60	九转逍遥丹（力洞）乙	2	1	0	279					1	0	268	3	2	95	1508	3													0	90	5	25	105	36	0	1
61	九转逍遥丹（力内）乙	2	1	0	280					1	0	269	3	2	95	1508	3													0	90	5	25	105	36	0	1
62	九转逍遥丹（内根）乙	2	1	0	281					1	0	270	3	2	95	1508	3													0	90	5	25	105	36	0	1
63	九转逍遥丹（内身）乙	2	1	0	282					1	0	271	3	2	95	1508	3													0	90	5	25	105	36	0	1
64	九转逍遥丹（内洞）乙	2	1	0	283					1	0	272	3	2	95	1508	3													0	90	5	25	105	36	0	1
65	九转逍遥丹（身根）乙	2	1	0	284					1	0	273	3	2	95	1508	3													0	90	5	25	105	36	0	1
66	九转逍遥丹（身洞）乙	2	1	0	285					1	0	274	3	2	95	1508	3													0	90	5	25	105	36	0	1
67	九转逍遥丹（洞根）乙	2	1	0	286					1	0	275	3	2	95	1508	3													0	90	5	25	105	36	0	1
201	窝头	1	1	1	1																									0	1	1	0	201	36	0	1
202	军用物资	1	2	97	1					2	0	307	15																	0	1	0	0	201	36	0	1
209	黑钨精石	1	2	2	66					2	2	37	20	2	8	7	5													0	1	0	0	201	36	0	1
210	铁线精木	1	2	2	67					2	2	11	20	2	10	2	5													0	1	0	0	201	36	0	1
211	山狮精皮	1	2	2	68					2	2	47	20	2	9	7	5													0	1	0	0	201	36	0	1
212	赤钨灵符	1	2	2	69					2	1	912	5	2	2	14	5													0	1	0	0	201	36	0	1
213	饭团	1	1	1	2					1	3	9	2	2	130	1	4	1	3	8	2									0	20	2	2	202	36	0	1
214	馒头	1	1	1	3					1	3	10	2	1	3	20	2	2	130	2	2	1	3	8	2					0	20	2	2	202	36	0	1
215	素炒竹肉	1	1	1	6					1	3	9	2	1	3	19	2	1	3	8	2									0	20	2	2	202	36	0	1
216	家常四季豆	1	1	1	7					1	3	11	2	1	3	21	2	1	3	8	2									0	20	2	2	202	36	0	1
217	烧刀子	1	1	1	10					1	3	5	2	1	3	19	2	1	3	8	2									0	20	2	2	202	36	0	1
218	女儿红	1	1	1	11					1	3	5	2	1	3	20	2	1	3	19	2	1	3	8	2					0	20	2	2	202	36	0	1
219	花卷	1	1	1	4					1	3	12	2	1	3	22	2	1	3	11	1	1	3	8	2					0	50	3	10	203	36	0	1
220	肉包	1	1	1	5	1	0	411	20	1	3	14	2	1	3	2	2	1	3	3	1	1	3	8	2					0	50	3	10	203	36	0	1
221	炒豌豆角	1	1	1	8					1	3	13	2	1	3	12	4	1	3	8	2									0	50	3	10	203	36	0	1
222	蒜茸生菜	1	1	1	9					1	3	15	2	1	3	14	2	1	3	13	1	1	3	24	2					0	50	3	10	203	36	0	1
223	稻花香	1	1	1	12					1	3	12	2	1	3	22	2	1	3	21	1	1	3	7	2					0	50	3	10	203	36	0	1
224	醉生梦死	1	1	1	13					1	3	14	2	1	3	13	2	1	3	22	1	1	3	7	2					0	50	3	10	203	36	0	1
225	鱼露	1	2	131	9					2	130	4	2	2	130	5	2	2	130	6	1	1	3	8	2					0	50	3	10	203	36	0	1
226	蛋炒饭	1	1	1	14					1	3	16	2	1	3	15	2	1	3	14	1	2	131	81	2					0	70	5	20	204	36	0	1
227	黄金糕	1	1	1	15					2	130	8	2	1	3	16	2	1	3	13	1	2	131	81	2					0	70	5	20	204	36	0	1
228	玉笛谁家听落梅	1	1	1	16					1	3	15	2	1	3	14	2	1	3	4	1	2	131	81	2					0	70	5	20	204	36	0	1
229	二十四桥明月夜	1	1	1	17					1	3	17	2	2	130	11	2	1	3	15	1	2	131	81	2					0	70	5	20	204	36	0	1
230	木兰春	1	1	1	18					1	3	17	2	1	3	16	2	1	2	5	1	1	3	7	2					0	70	5	20	204	36	0	1
231	西北望	1	1	1	19					1	3	17	2	1	3	16	2	1	2	5	1	1	3	7	2					0	70	5	20	204	36	0	1
232	虾酱	1	2	131	10					2	130	10	2	2	130	9	2	2	131	9	1	2	131	81	2					0	70	5	20	204	36	0	1
233	饴糖	1	2	131	11	2	131	12	20	1	3	13	2	1	3	16	2	2	130	19	1	1	3	7	2					0	70	5	20	204	36	0	1
234	红烧鱼丸	1	1	1	20					1	1	14	12	2	95	1507	1													0	90	5	25	205	36	0	1
235	什锦豆腐	1	1	1	21					1	1	9	12	2	95	1507	1													0	90	5	25	205	36	0	1
236	陈年杏花村	1	1	1	22					1	1	13	12	2	95	1507	1													0	90	5	25	205	36	0	1
237	黄金烧卖	1	1	1	23					1	1	15	12	2	95	1507	1													0	90	5	25	205	36	0	1
238	熊掌豆腐	1	1	1	24					1	1	16	12	2	95	1507	1													0	90	5	25	205	36	0	1
239	迎宾宴甲	1	1	1	25					1	1	14	60	2	95	1507	5													0	90	5	25	205	36	0	1
240	迎宾宴乙	1	1	1	25					1	1	9	60	2	95	1507	5													0	90	5	25	205	36	0	1
241	迎宾宴丙	1	1	1	25					1	1	13	60	2	95	1507	5													0	90	5	25	205	36	0	1
242	金猪全席	1	1	1	26					1	1	15	10	1	1	16	10	1	1	18	10	2	95	1507	10					0	90	5	25	205	36	0	1
243	孔府佳宴	1	1	1	27					1	1	15	10	1	1	17	10	1	1	19	10	2	95	1507	10					0	90	5	25	205	36	0	1
244	珍品粽子甲	1	1	0	287					1	0	289	10	1	0	291	10	2	95	1509	3									0	90	5	25	205	36	0	1
245	珍品粽子乙	1	1	0	287					1	0	290	5	1	0	291	10	2	95	1509	3									0	90	5	25	205	36	0	1
246	珍品粽子丙	1	1	0	287					1	0	291	15	2	95	1509	3													0	90	5	25	205	36	0	1
247	百花什锦月	1	1	0	292					2	130	21	5	2	131	13	1	2	130	20	5	2	95	1509	10					0	90	5	25	205	36	0	1
248	珍品月饼	1	1	0	293					1	0	292	3	2	95	1509	3													0	90	5	25	205	36	0	1
249	鹿鸣宴	1	1	0	401					1	1	22	1	2	130	20	4	2	131	11	1	2	131	49	1					0	90	10	30	205	36	0	1
250	杏园宴	1	1	0	402					1	1	22	1	2	130	22	4	2	131	12	1	2	131	50	1					0	90	10	35	205	36	0	1
251	荣恩宴	1	1	0	403					1	1	22	1	2	131	12	3	2	131	9	4	2	131	51	1					0	90	10	40	205	36	0	1
252	琼林宴	1	1	0	404					1	1	21	1	2	130	21	4	2	131	11	1	2	131	49	1					0	90	10	30	205	36	0	1
253	曲江宴	1	1	0	405					1	1	21	1	2	131	12	1	2	130	20	4	2	131	50	1					0	90	10	35	205	36	0	1
254	闻喜宴	1	1	0	406					1	1	24	1	2	131	9	4	2	131	12	3	2	131	51	1					0	90	10	40	205	36	0	1
255	鹰扬宴	1	1	0	407					1	1	20	1	2	130	20	4	2	131	11	1	2	131	49	1					0	90	10	30	205	36	0	1
256	会武宴	1	1	0	408					1	1	20	1	2	131	12	1	2	130	21	4	2	131	50	1					0	90	10	35	205	36	0	1
257	烧尾宴	1	1	0	409					1	1	23	1	2	131	9	4	2	131	12	3	2	131	51	1					0	90	10	40	205	36	0	1
258	绝品粽子甲	1	1	0	300					1	0	301	10	1	0	303	10	2	95	1509	1									0	90	10	25	205	36	0	1
259	绝品粽子乙	1	1	0	300					1	0	302	5	1	0	303	10	2	95	1509	1									0	90	10	25	205	36	0	1
260	绝品粽子丙	1	1	0	300					1	0	303	15	2	95	1509	1													0	90	10	25	205	36	0	1
267	珍品月饼	1	1	0	293					1	0	292	3	2	95	1509	3													0	90	5	25	205	36	0	1
401	窝头	3	1	1	1																									0	1	1	0	301	36	0	1
402	军用物资	3	2	97	1					2	0	307	15																	0	1	0	0	301	36	0	1
409	黑钨精石	3	2	2	66					2	2	37	20	2	8	7	5													0	1	0	0	301	36	0	1
410	铁线精木	3	2	2	67					2	2	11	20	2	10	2	5													0	1	0	0	301	36	0	1
411	山狮精皮	3	2	2	68					2	2	47	20	2	9	7	5													0	1	0	0	301	36	0	1
412	赤钨灵符	3	2	2	69					2	1	912	5	2	2	14	5													0	1	0	0	301	36	0	1
413	钢锭	3	2	131	62					2	8	5	2	2	2	2	2	2	2	1	2	2	2	59	1					0	20	3	3	302	36	0	1
414	精铁锭	3	2	131	14					2	2	2	4	2	2	42	4	2	131	62	2	2	2	59	10					1	20	5	5	302	180	0	1
415	紫金锭	3	2	131	15					2	2	3	4	2	2	43	4	2	131	62	2	2	2	59	10					1	20	5	5	302	180	0	1
416	寒碧铁	3	2	131	77					2	2	4	2	2	2	5	1	2	2	6	1	2	2	60	2					0	50	3	10	303	36	0	1
417	茅山玉佩	3	2	131	16	2	131	17	20	2	2	36	4	2	131	77	4	2	2	32	4	2	2	60	10					1	50	12	40	303	360	0	1
418	连衡谱	3	2	2	27	2	2	57	25	2	2	10	2	2	2	45	2	2	2	31	1	2	2	60	2					0	50	3	10	303	36	0	1
419	精钢锭	3	2	131	63					2	2	38	2	2	2	37	2	2	2	27	1	2	2	61	2					0	70	5	20	304	36	0	1
420	天宝馨宜指环	3	2	131	19	2	131	20	20	2	2	39	4	2	2	12	4	2	2	57	1	2	2	61	10					1	70	20	80	304	180	0	1
421	玉钢	3	2	131	22					2	8	7	2	2	131	63	2	2	2	58	1	2	2	61	2					0	70	10	40	304	36	0	1
422	精炼黑金	3	2	2	468					2	2	37	1	2	2	59	10	2	2	60	4	2	2	61	4					0	70	5	20	304	36	0	1
423	千锤	3	2	114	76					2	130	16	4	2	131	22	4	2	7	3	4	2	2	468	10					1	90	20	40	305	180	0	1
424	百炼	3	2	114	55					2	2	40	4	2	130	16	4	2	131	22	4	2	2	468	10					1	90	20	40	305	180	0	1
601	窝头	4	1	1	1																									0	1	1	0	401	36	0	1
602	军用物资	4	2	97	1					2	0	307	15																	0	1	0	0	401	36	0	1
609	黑钨精石	4	2	2	66					2	2	37	20	2	8	7	5													0	1	0	0	401	36	0	1
610	铁线精木	4	2	2	67					2	2	11	20	2	10	2	5													0	1	0	0	401	36	0	1
611	山狮精皮	4	2	2	68					2	2	47	20	2	9	7	5													0	1	0	0	401	36	0	1
612	赤钨灵符	4	2	2	69					2	1	912	5	2	2	14	5													0	1	0	0	401	36	0	1
613	普通皮革	4	2	131	78					2	2	16	2	2	2	15	2	2	9	1	2	2	2	63	2					0	20	1	1	402	36	0	1
614	麻布	4	2	131	23					1	3	9	2	2	9	2	2	2	9	3	2	2	2	63	2					1	20	5	5	402	180	0	1
615	精致皮革	4	2	131	79					2	131	78	1	2	2	46	2	2	2	17	2	2	2	62	2					0	50	6	20	403	36	0	1
616	帛绢	4	2	131	80					2	10	7	2	2	2	53	2	2	2	55	1	2	2	62	2					0	50	6	20	403	36	0	1
617	绢素	4	2	131	24	2	131	25	20	2	2	52	2	2	2	54	2	2	131	80	1	2	2	62	2					0	50	6	20	403	36	0	1
618	手绢	4	2	131	27	2	131	28	20	2	2	53	4	2	2	55	4	2	131	24	1	2	2	62	2					1	50	12	40	403	180	0	1
619	彻侯巾	4	2	131	74					2	9	5	4	2	2	56	4	2	2	49	4	2	2	64	10					0	70	50	200	404	90	0	1
620	彻侯衣	4	2	131	75					2	10	2	4	2	9	6	4	2	2	50	4	2	2	64	10					0	70	50	200	404	90	0	1
621	彻侯袍	4	2	131	76					2	2	47	4	2	9	7	4	2	2	100	4	2	2	64	10					0	70	50	200	404	90	0	1
622	绢素锦囊	4	2	131	30					2	2	49	4	2	9	6	4	2	131	25	1	2	2	64	10					1	70	5	20	404	180	0	1
623	绿荷锦囊	4	2	131	31					2	2	50	6	2	9	7	4	2	131	26	1	2	2	64	10					1	70	10	40	404	180	0	1
624	流苏	4	2	131	32	2	131	33	20	2	2	49	4	2	2	100	4	2	131	79	1	2	2	64	2					0	70	5	20	404	36	0	1
625	绣球	4	2	131	59					2	10	3	1	2	2	109	1	2	131	32	1	2	2	64	5					1	90	20	40	405	180	0	1
626	翡翠锦囊	4	2	131	60					2	2	48	2	2	2	109	2	2	131	33	2	2	2	64	5					1	90	20	40	405	180	0	1
801	窝头	5	1	1	1																									0	1	1	0	501	36	0	1
802	军用物资	5	2	97	1					2	0	307	15																	0	1	0	0	501	36	0	1
809	黑钨精石	5	2	2	66					2	2	37	20	2	8	7	5													0	1	0	0	501	36	0	1
810	铁线精木	5	2	2	67					2	2	11	20	2	10	2	5													0	1	0	0	501	36	0	1
811	山狮精皮	5	2	2	68					2	2	47	20	2	9	7	5													0	1	0	0	501	36	0	1
812	赤钨灵符	5	2	2	69					2	1	912	5	2	2	14	5													0	1	0	0	501	36	0	1
813	灵符纸	5	2	2	65					2	2	42	2	2	2	30	2	2	2	29	2									0	20	1	1	502	36	0	1
814	武当土地符	5	1	5	8					2	2	65	4	2	1	908	2													0	20	5	5	502	36	0	1
815	丐帮土地符	5	1	5	9					2	2	65	4	2	1	909	2													0	20	5	5	502	36	0	1
816	少林土地符	5	1	5	10					2	2	65	4	2	1	910	2													0	20	5	5	502	36	0	1
817	峨嵋土地符	5	1	5	11					2	2	65	4	2	1	911	2													0	20	5	5	502	36	0	1
818	昆仑土地符	5	1	5	112					2	2	65	4	2	131	69	2													0	20	5	5	502	36	0	1
819	翠烟土地符	5	1	5	114					2	2	65	4	2	131	70	2													0	20	5	5	502	36	0	1
820	明教土地符	5	1	5	113					2	2	65	4	2	131	71	2													0	20	5	5	502	36	0	1
821	唐门土地符	5	1	5	12					2	2	65	4	2	1	913	2													0	20	5	5	502	36	0	1
822	五毒土地符	5	1	5	13					2	2	65	4	2	1	914	2													0	20	5	5	502	36	0	1
823	天波杨府土地符	5	1	5	14					2	2	65	4	2	1	915	2													0	20	5	5	502	36	0	1
824	聚灵符纸	5	2	1	912					2	2	42	1	2	2	44	1	2	2	29	2									0	20	1	1	502	36	0	1
825	松木板	5	2	131	35					2	2	41	4	2	2	29	2													0	20	1	1	502	36	0	1
826	杉木板	5	2	131	36					2	2	43	4	2	2	29	2													0	20	1	1	502	36	0	1
827	砂纸	5	2	131	37	2	131	38	20	2	131	36	2	2	131	35	2	2	2	29	2									0	50	6	20	503	36	0	1
828	汴京土地符	5	1	5	1					2	2	31	1	2	1	912	1	2	1	901	2									0	50	6	20	503	36	0	1
829	成都土地符	5	1	5	2					2	2	31	1	2	1	912	1	2	1	902	2									0	50	6	20	503	36	0	1
830	泉州土地符	5	1	5	3					2	2	31	1	2	1	912	1	2	1	903	2									0	50	6	20	503	36	0	1
831	襄阳土地符	5	1	5	4					2	2	32	1	2	1	912	1	2	1	904	2									0	50	6	20	503	36	0	1
832	凤翔土地符	5	1	5	5					2	2	32	1	2	1	912	1	2	1	905	2									0	50	6	20	503	36	0	1
833	大理土地符	5	1	5	6					2	2	32	1	2	1	912	1	2	1	906	2									0	50	6	20	503	36	0	1
834	扬州土地符	5	1	5	7					2	2	32	1	2	1	912	1	2	1	907	2									0	50	6	20	503	36	0	1
835	灵血墨	5	2	131	40					2	2	33	2	2	2	34	2	2	2	35	2	2	2	107	2					0	70	5	20	504	36	0	1
836	木箱	5	2	131	41					2	2	13	4	2	131	35	2	2	131	61	10									0	70	10	40	504	36	0	1
837	旗子	5	2	131	42					2	2	104	4	2	131	36	4	2	131	61	10									0	70	10	40	504	36	0	1
838	驺吾符纸	5	2	131	43					2	2	14	2	2	2	105	2	2	2	106	1	2	131	61	2					0	70	5	20	504	36	0	1
839	铁质关节	5	2	131	44					2	2	12	2	2	2	38	2	2	131	61	2									0	70	5	20	504	36	0	1
840	木质部件	5	2	131	45					2	131	67	2	2	8	7	2	2	131	61	2									0	70	5	20	504	36	0	1
841	榫卯	5	2	131	46	2	131	47	20	2	2	14	2	2	2	13	2	2	131	61	2									0	70	5	20	504	36	0	1
842	木桌	5	2	131	49					2	7	3	4	2	7	6	4	2	131	46	4	2	131	73	1					0	90	5	5	505	36	0	1
843	燕几	5	2	131	50					2	7	6	8	2	7	7	8	2	131	47	4	2	131	73	1					0	90	5	5	505	36	0	1
844	八仙桌	5	2	131	51					2	7	7	12	2	131	45	12	2	131	48	4	2	131	73	1					0	90	5	5	505	36	0	1
845	传送符	5	2	131	52					2	131	40	4	2	131	43	4	2	7	3	4	2	131	73	1					0	90	10	5	505	36	0	1
846	小木人	5	2	131	53					2	131	45	1	2	131	46	1	2	130	18	5	2	131	73	50					1	90	100	50	505	180	0	1
847	木头人	5	2	131	54					2	131	45	1	2	131	47	1	2	130	18	10	2	131	73	100					1	90	100	55	505	180	0	1
848	大木人	5	2	131	55					2	131	45	1	2	131	48	1	2	130	18	15	2	131	73	200					1	90	100	60	505	180	0	1
849	小铜人	5	2	131	56					2	131	44	1	2	131	46	1	2	130	18	5	2	131	73	50					1	90	100	50	505	180	0	1
850	机关铜人	5	2	131	57					2	131	44	1	2	131	47	1	2	130	18	10	2	131	73	100					1	90	100	55	505	180	0	1
851	大铜人	5	2	131	58					2	131	44	1	2	131	48	1	2	130	18	15	2	131	73	200					1	90	100	60	505	180	0	1
852	铁木板	5	2	131	67					2	2	11	4	2	131	61	1													0	70	5	20	504	36	0	1
853	五级鉴定符	5	2	5	5					2	1	912	2	2	131	43	1	2	5	2	1	2	131	73	1					0	90	10	5	505	36	0	1
854	六级鉴定符	5	2	5	6					2	1	912	4	2	131	43	1	2	5	3	1	2	131	73	1					0	90	10	5	505	36	0	1
855	七级鉴定符	5	2	5	7					2	131	40	1	2	131	43	1	2	5	4	1	2	131	73	1					0	90	10	5	505	36	0	1
1001	窝头	6	1	1	1																									0	1	1	0	601	36	0	1
1002	军用物资	6	2	97	1					2	0	307	15																	0	1	0	0	601	36	0	1
1009	黑钨精石	6	2	2	66					2	2	37	20	2	8	7	5													0	1	0	0	601	36	0	1
1010	铁线精木	6	2	2	67					2	2	11	20	2	10	2	5													0	1	0	0	601	36	0	1
1011	山狮精皮	6	2	2	68					2	2	47	20	2	9	7	5													0	1	0	0	601	36	0	1
1012	赤钨灵符	6	2	2	69					2	1	912	5	2	2	14	5													0	1	0	0	601	36	0	1
1013	蓝色玫瑰吊坠[天]	6	0	120	80					2	9	2	6	2	130	3	6	2	2	21	20									0	20	25	25	602	36	0	1
1014	蓝色玫瑰吊坠[天]	6	0	120	81					2	9	2	6	2	130	3	6	2	2	21	20									0	20	25	25	602	36	0	1
1015	蓝色玫瑰吊坠[天]	6	0	120	82					2	9	2	6	2	130	3	6	2	2	21	20									0	20	25	25	602	36	0	1
1016	蓝色玫瑰吊坠[天]	6	0	120	83					2	9	2	6	2	130	3	6	2	2	21	20									0	20	25	25	602	36	0	1
1017	蓝色玫瑰肩饰[天]	6	0	119	80					2	9	2	6	2	130	3	6	2	2	21	20									0	20	25	25	602	36	0	1
1018	蓝色玫瑰肩饰[天]	6	0	119	81					2	9	2	6	2	130	3	6	2	2	21	20									0	20	25	25	602	36	0	1
1019	蓝色玫瑰肩饰[天]	6	0	119	82					2	9	2	6	2	130	3	6	2	2	21	20									0	20	25	25	602	36	0	1
1020	蓝色玫瑰肩饰[天]	6	0	119	83					2	9	2	6	2	130	3	6	2	2	21	20									0	20	25	25	602	36	0	1
1021	金丝线	6	2	131	1					2	9	2	4	2	9	3	4	2	2	25	2									0	20	5	1	602	36	0	1
1022	珍珠扣	6	2	131	2					2	130	3	4	2	9	3	4	2	2	25	2									0	20	5	1	602	36	0	1
1023	蜀江锦	6	2	131	3					2	130	3	6	2	9	3	6	2	9	2	6	2	2	25	10					0	20	10	10	602	36	0	1
1024	蓝色玫瑰吊坠[周]	6	0	120	80					2	130	7	6	2	131	1	3	2	131	2	1	2	2	22	10					0	50	30	100	603	36	0	1
1025	蓝色玫瑰吊坠[周]	6	0	120	81					2	130	7	6	2	131	1	3	2	131	2	1	2	2	22	10					0	50	30	100	603	36	0	1
1026	蓝色玫瑰吊坠[周]	6	0	120	82					2	130	7	6	2	131	1	3	2	131	2	1	2	2	22	10					0	50	30	100	603	36	0	1
1027	蓝色玫瑰吊坠[周]	6	0	120	83					2	130	7	6	2	131	1	3	2	131	2	1	2	2	22	10					0	50	30	100	603	36	0	1
1028	粉色玫瑰吊坠[周]	6	0	120	76					2	130	7	6	2	2	53	4	2	131	2	1	2	2	22	10					0	50	30	100	603	36	0	1
1029	粉色玫瑰吊坠[周]	6	0	120	77					2	130	7	6	2	2	53	4	2	131	2	1	2	2	22	10					0	50	30	100	603	36	0	1
1030	粉色玫瑰吊坠[周]	6	0	120	78					2	130	7	6	2	2	53	4	2	131	2	1	2	2	22	10					0	50	30	100	603	36	0	1
1031	粉色玫瑰吊坠[周]	6	0	120	79					2	130	7	6	2	2	53	4	2	131	2	1	2	2	22	10					0	50	30	100	603	36	0	1
