C p	Kinh nghi÷m th®ng c p nh©n vÀt ch≠a chuy”n sinh	ExpAdd0	ßi”m ti“m n®ng lÛc ch≠a trÔng sinh	CustomConsumeName	Kinh nghi÷m th®ng c p cÒa nh©n vÀt chuy”n sinh l«n 1	ExpAdd1	ßi”m ti“m n®ng cÒa chuy”n sinh l«n 1	CustomConsumeName1	Kinh nghi÷m th®ng c p cÒa trÔng sinh l«n 2	ExpAdd2	ßi”m ti“m n®ng cÒa trÔng sinh l«n 2	CustomConsumeName2	EXP th®ng c p_PhÙc sinh 3	ExpAdd3	ßi”m ti“m n®ng_PhÙc sinh 3	CustomConsumeName3	Kinh nghi÷m t®ng c p nh©n vÀt phÙc sinh 4	ExpAdd4	ßi”m ti“m n®ng phÙc sinh 4	CustomConsumeName4	Kinh nghi÷m t®ng c p nh©n vÀt Chuy”n Sinh 5	ExpAdd5	Ti“m n®ng Chuy”n Sinh 5	CustomConsumeName5
53	794567		8		1589134		8		2383701		8		2383701		8		2383701		8		2383701		8	
54	925671		8		1851342		8		2777013		8		2777013		8		2777013		8		2777013		8	
55	1078406		8		2156812		8		3235218		8		3235218		8		3235218		8		3235218		8	
56	1256343		8		2512686		8		3769029		8		3769029		8		3769029		8		3769029		8	
57	1463640		8		2927280		8		4390920		8		4390920		8		4390920		8		4390920		8	
58	1705140		8		3410280		8		5115420		8		5115420		8		5115420		8		5115420		8	
59	1986489		8		3972978		8		5959467		8		5959467		8		5959467		8		5959467		8	
60	2314259		9		4628518		9		6942777		9		6942777		9		6942777		9		6942777		9	
61	2672969		9		5345938		9		8018907		9		8018907		9		8018907		9		8018907		9	
62	3087280		9		6174560		9		9261840		9		9261840		9		9261840		9		9261840		9	
63	3565808		9		7131616		9		10697424		9		10697424		9		10697424		9		10697424		9	
64	4118508		9		8237016		9		12355524		9		12355524		9		12355524		9		12355524		9	
65	4756877		9		9513754		9		14270631		9		14270631		9		14270631		9		14270631		9	
66	5494193		9		10988386		9		16482579		9		16482579		9		16482579		9		16482579		9	
67	6345793		9		12691586		9		19037379		9		19037379		9		19037379		9		19037379		9	
68	7329390		9		14658780		9		21988170		9		21988170		9		21988170		9		21988170		9	
69	8465446		9		16930892		9		25396338		9		25396338		10		25396338		10		25396338		10	
70	9777590		10		19555180		10		29777590		10		42710867		10		42710867		10		42710867		10	
71	12710867		10		25421734		10		42710867		10		66524127		10		66524127		10		66524127		10	
72	16524127		10		33048254		10		66524127		10		100000000		10		100000000		10		100000000		10	
73	21481365		10		80000000		10		100000000		10		150000000		10		150000000		10		150000000		10	
74	27925775		10		100000000		12		150000000		12		200000000		12		300000000		14		900000000		18	
75	37699796		10		120000000		12		200000000		12		250000000		12		400000000		14		1200000000		18	
76	50894725		10		140000000		12		250000000		14		350000000		14		500000000		16		1500000000		20	
77	68707878		10		160000000		12		350000000		14		500000000		14		600000000		16		1800000000		20	
78	92755636		10		180000000		12		500000000		14		650000000		14		800000000		16		400000000	1	20	
79	125220108		10		200000000		12		650000000		14		800000000		14		1000000000		16		1000000000	1	20	
80	169047146		11		300000000		12		800000000		14		1000000000		14		1200000000		16	csm_fusheng4_80	1600000000	1	20	csm_fusheng5_80
81	196094689		11		400000000		12		1000000000		16		1500000000		16		1700000000		16	csm_fusheng4_81	1100000000	2	20	csm_fusheng5_81
82	227469839		11		500000000		12		1500000000		16		500000000	1	16		700000000	1	18	csm_fusheng4_82	100000000	4	22	csm_fusheng5_82
83	263865014		11		600000000		12		2000000000		16		1000000000	1	16		1700000000	1	18	csm_fusheng4_83	1100000000		22	csm_fusheng5_83
84	306083416		11		700000000		12		500000000	1	16		1500000000	1	16		700000000	2	18	csm_fusheng4_84	100000000	2	22	csm_fusheng5_84
85	355056762		11		800000000		14		1000000000	1	16		0	2	16		1700000000	2	18	csm_fusheng4_85	1100000000	3	22	csm_fusheng5_85
86	411865844		11		900000000		14		1500000000	1	16		1000000000	2	16		700000000	3	18	csm_fusheng4_86	100000000		22	csm_fusheng5_86
87	477764379		11		1000000000		14		0	2	16		0	3	16		1700000000	3	18	csm_fusheng4_87	1100000000	1	22	csm_fusheng5_87
88	554206680		11		1100000000		14		1000000000	2	18		1000000000	3	18		700000000	4	20	csm_fusheng4_88	100000000	3	24	csm_fusheng5_88
89	642879749		11		1200000000		14		0	3	18		1000000000	3	18	csm_fusheng3_89	1700000000	4	20	csm_fusheng4_89	1100000000	4	24	csm_fusheng5_89
90	745740509		12		1400000000		15		1000000000	3	18		0	4	18	csm_fusheng3_90	1000000000	5	20	csm_fusheng4_90	1000000000		24	csm_fusheng5_90
91	857601585		12		1600000000		15		0	4	18		1000000000	4	18	csm_fusheng3_91	1000000000	6	20	csm_fusheng4_91	0	2	24	csm_fusheng5_91
92	986241823		12		1800000000		16		1000000000	4	20		1000000000	5	20	csm_fusheng3_92	1000000000	7	20	csm_fusheng4_92	1000000000	2	24	csm_fusheng5_92
93	1134178096		12		2000000000		16		1000000000	5	20		1000000000	6	20	csm_fusheng3_93	1000000000	8	20	csm_fusheng4_93	1000000000	2	24	csm_fusheng5_93
94	1304304811		12		1000000000	1	16		1000000000	6	24		0	8	29	csm_fusheng3_94	0	10	33	csm_fusheng4_94	0	5	36	csm_fusheng5_94
95	1499950532		12		1000000000	2	17		0	8	26		0	10	36	csm_fusheng3_95	0	35	45	csm_fusheng4_95	0	5	48	csm_fusheng5_95
96	1724943112		12		1000000000	5	20		0	10	28		0	18	43	csm_fusheng3_96	0	60	57	csm_fusheng4_96	0	5	60	csm_fusheng5_96
97	1950000000		12		1000000000	7	23		0	18	32		0	23	52	csm_fusheng3_97	0	75	69	csm_fusheng4_97	0	5	70	csm_fusheng5_97
98	1950000000		12		0	11	30		0	23	40		0	50	65	csm_fusheng3_98	0	90	75	csm_fusheng4_98	0	5	84	csm_fusheng5_98
99	1950000000		12		0	25	40		0	50	62		0	50	87	csm_fusheng3_99	0	100	99	csm_fusheng4_99	0	5	100	csm_fusheng5_99
100	2000000000		0		0	30	0		0	50	0		0	50	0		0	100	0	0	0	500	0	0
