 	ID1	ID2	ID3	ID4	ID5	ID6
D­¬ng Gia ChiÕn §Þnh QuyÕt	725	750				
Tµm cæ	363					
§éc cæ	354	388	389	390		
HuyÔn Cæ	362					
Linh cæ	436	1015	1452			
Ma cæ						
Thi cæ	358	394	395	396		
H­¬ng cæ	357					
T©m cæ	360	397	398	399		
HuyÕt cæ	356	391	392	393		
Yªu cæ	359					
Ba S¬n D¹ Vò	867					
L«i TÕ	1018					
Phong TÕ	1019					
Cang Phong QuyÕt	1026	1041				
Kinh Phong ThuÊn L«i QuyÕt	1034	1047	1293	1294	1454	
V¹n L«i To¸i Tinh Phï	1030	1045	1050			
HuyÒn Phong TriÒn ý QuyÕt	1031	1046	1052			
Tiªn Phong L­u T¸n QuyÕt	1028	1043				
D­¬ng Sa QuyÕt						
Ngù Phong QuyÕt	1022	1037				
Kim L« Hé ThÓ	1055	1068				
Thiªn KiÕp PhÇn	1058	1072				
Ng­ng Háa BÝch	1059	1073				
KhÝ Hãa Du Long						
B¹o S¸t K×nh	1065	1079				
Cµn Kh«n §¹i Na Di	1066					
Håi Phong LiÖt DiÖm	1202	1205	1296	1297	1456	
Quang Minh Bót Ph¸p	1084	1097				
Kim Táa TrËn	1098	1113	1119	1124		
HuyÒn Thñy TrËn	1101	1114	1120	1125		
Phong Binh LÖnh	1088	1102				
Bµn Méc TrËn	1103	1115	1121	1126		
TÊn ¶nh LÖnh	1090	1104				
Cµn Kh«n NghÞch ChuyÓn	1091	1105				
NghiÖp Háa TrËn	1106	1116	1122	1127		
Thæ Lao TrËn	1107	1117	1123	1128		
Ngò Linh Quy Nguyªn	1095	1110				
Quang Minh Ngò Hµnh TrËn	1096					
§o¹n Cèt Tr¶o						
Hñ Th­¬ng Ên	1133	1146				
B¨ng HuyÕt Ên	1135	1148				
HÊp HuyÕt Ên						
Hµn HuyÕt Ên	1137	1150				
ThÝch Cèt Ên						
Truy Hån Ên	1139	1152				
ThÝ C¶nh Tr¶o						
Hµn B¨ng HuyÕt Ch­íng	1141	1154				
Hãa HuyÕt Ên						
VÉn Th­¬ng Ên	1143	1156				
Hµn B¨ng Miªn Ch­ëng	1213					
Hµn B¨ng Ng­ng HuyÕt Ên	1204	1207	1302	1303	1460	
Khëi Vò						
Linh Miªu VËn	1167	1177	1184			
MÞ Hoa	1169	1178	1185			
§o¹n V©n QuyÕt 						
Thu NguyÖt Phó	1171	1179	1187			
§iÖp O¸n	1173	1180	1188			
Thiªn Háa DiÔm D­¬ng	1174	1181	1189	1190		
Méng Xµ	1176	1182	1192	1193		
Loan Phông Cöu Thiªn	1196					
Tóy Méng Ng©m	1194	1195	1305	1306	1462	
L¹c Hoa QuyÕt	1232	1233				
§µo hoa ch­¬ng	1234	1235				
Táa T©m QuyÕt	1236	1237				
Linh §éng QuyÕt						
Mª X¶o QuyÕt						
Tiªn L­ H­¬ng	1226	1271				
§iÖp LuyÕn Hoa						
Cöu Vü Hoa Tiªn QuyÕt						
Phån Hoa MËu	1253	1254	1308	1309	1464	
T¨ng søc m¹nh	1316	1385				
T¨ng th©n ph¸p	1317	1386				
T¨ng néi c«ng	1318	1387				
T¨ng linh ho¹t	1319	1388				
T¨ng g©n cèt	1320	1389				
S¸t ý	1875					
Hçn §én §Êu Ph¸ch	1879					
LuyÖn KiÕm-SÝ Hµn	1888	1839				
LuyÖn KiÕm-Thiªn Minh	1889	1841				
LuyÖn KiÕm-Phong CËn	1890	1843				
KiÕm Thñ Kh«ng Minh-ChÝnh	1860	1896				
KiÕm Thñ Kh«ng Minh-Phô	1861					
Thiªn Phong Trôy	1898	1903	1904			
KiÕm ý Ph¶n X¹	1895					
Phån Hoa-H­ Nh­îc	1909					
¸p chÕ						
CÊm vËt						
Sö dông ThÕ Th©n Phï						
Bång Lai Tiªn Thñy						
Bång Lai Tiªn Lé						
Bång Lai Tiªn §¬n						
Bång Lai Lé Thñy						
§iÖp LuyÕn					
Quú Hoa B¶o §iÓn	2200	2201
HÊp Tinh §¹i Ph¸p	2202	2203
V« Väng ThÇn C«ng	2204	2205
HuyÕt §ao Kinh	2206	2207
Hçn Nguyªn C«ng	2208	2209
Tö Hµ C«ng	2210	2211
§éc ThiÒm C«ng	2212	2213
NghÞch Thiªn Tµ C«ng	2214	2215
B¨ng T©m QuyÕt	2216	2217
