NpcTemplateName	RevivalName	CorpseType	AIType	AIInterval	Level	Life	WalkSpeed	AttackSeries	DefenceSeries	AttackRate	DodgeRate	AttackSpeed	PhysicalAttackMin	PhysicalAttackMax	PhysicalDefencePercent	PhysicalDefence	MagicAttackMin	MagicAttackMax	MagicDefencePercent	MagicDefence	SkillID_1	SkillLevel_1	SkillRate_1	SkillID_2	SkillLevel_2	SkillRate_2	SkillID_3	SkillLevel_3	SkillRate_3	SkillID_4	SkillLevel_4	SkillRate_4	PctCriticalPoint	PctCriticalDamage	PctDefCriticalPoint	PctDefCriticalDamage
TuyÕt Qu¸i1	TuyÕt Qu¸i	0	1	6	1	192000	10	0	0	160	40	24	0	0	15	100	22	45	15	100	703	2	100	719	4	0	719	6	0	777	3		100	100	100	100
TuyÕt Qu¸i3	B¨ng Qu¸i	0	1	6	1	192000	10	0	0	160	40	24	0	0	15	100	22	45	15	100	703	2	100	719	4	0	719	6	0	777	3		100	100	100	100
TiÓu D· tr­	Heo rõng	0	1	6	1	320000	10	0	0	160	24	22	30	60	45	25	0	0	45	25	701	2	100	719	4	0	719	6	0	777	3		100	100	100	100
H¾c Tinh Tinh	H¾c Tinh Tinh	0	1	6	1	320000	10	0	0	200	40	20	0	0	50	10	30	60	50	10	703	2	100	719	4	0	719	6	0	777	3		100	100	100	100
D· Mao T­îng	D· Mao T­îng	0	1	6	1	384000	10	0	0	140	0	24	0	0	65	10	34	69	65	10	703	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Mao Ng­u	Mao Ng­u	0	1	6	1	352000	10	0	0	160	8	24	31	63	60	15	0	0	60	15	701	2	100	719	4	0	719	6	0	777	3		100	100	100	100
GÊu x¸m	GÊu x¸m	0	1	6	1	352000	10	0	0	140	8	24	36	72	60	10	0	0	60	10	701	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Nh·n kÝnh xµ	Nh·n KÝnh Xµ	0	1	6	1	96000	12	0	0	300	120	13	40	81	18	20	0	0	18	20	701	2	100	719	4	0	719	6	0	777	3		100	100	100	100
RÕt ®éc	RÕt ®éc	0	1	6	1	96000	11	0	0	260	120	13	0	0	20	20	40	81	20	20	703	2	100	719	4	0	719	6	0	777	3		100	100	100	100
NhÖn	NhÖn	0	1	6	1	96000	12	0	0	280	140	12	0	0	15	20	39	78	15	20	703	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Cãc1	Cãc ®éc	0	1	6	1	96000	10	0	0	300	120	14	0	0	21	30	39	78	21	30	703	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Bß c¹p	Bß c¹p	0	1	6	1	96000	12	0	0	280	120	13	40	81	30	35	0	0	30	35	701	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Tö D¹ Hæ	Tö D¹ Hæ	0	1	6	1	208000	17	0	0	300	80	12	0	0	15	20	40	81	15	20	703	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Hæ	Hæ	0	1	6	1	240000	14	0	0	240	56	15	45	90	21	25	0	0	21	25	701	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Qu¹ §en	Qu¹ §en	0	1	6	1	128000	22	0	0	220	80	15	21	42	21	35	0	0	21	35	701	2	100	719	4	0	719	6	0	777	3		100	100	100	100
¸c lµ	¸c Lµ	0	1	6	1	144000	22	0	0	240	60	18	0	0	15	20	22	45	15	20	703	2	100	719	4	0	719	6	0	777	3		100	100	100	100
D¬i ®éc	D¬i ®éc	0	1	6	1	112000	19	0	0	200	80	16	31	63	15	20	0	0	15	20	701	2	100	719	4	0	719	6	0	777	3		100	100	100	100
D¬i hót m¸u	D¬i hót m¸u	0	1	6	1	112000	20	0	0	200	120	15	0	0	21	30	27	54	21	30	703	2	100	719	4	0	719	6	0	777	3		100	100	100	100
B¹ch §Çu §iªu	B¹ch §Çu §iªu	0	1	6	1	160000	18	0	0	240	60	18	27	54	28	40	0	0	28	40	701	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Trïng Qu¸i1	Trïng Qu¸i	0	1	6	1	192000	19	0	0	220	40	18	0	0	21	35	27	54	27	45	703	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Trïng Qu¸i2	Trïng Qu¸i V­¬ng	0	1	6	1	208000	17	0	0	200	32	22	0	0	21	35	30	60	27	45	703	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Muçi ®éc	Muçi ®éc	0	1	6	1	96000	19	0	0	200	120	12	0	0	15	10	16	33	15	10	703	2	100	719	4	0	719	6	0	777	3		100	100	100	100
§éc Gi¸p Trïng	§éc Gi¸p Trïng	0	1	6	1	104000	19	0	0	200	60	18	0	0	21	30	18	36	21	30	703	2	100	719	4	0	719	6	0	777	3		100	100	100	100
ThiÕt Gi¸p	ThiÕt Gi¸p Trïng	0	1	6	1	112000	19	0	0	200	100	18	13	27	24	35	0	0	24	35	701	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Kim Gi¸p	ThiÕt Gi¸p trïng	0	1	6	1	112000	20	0	0	200	140	15	16	33	21	35	0	0	21	35	701	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Ong vµng	Ngäc phong	0	1	6	1	96000	22	0	0	200	140	12	0	0	10	10	13	27	10	10	703	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Ong vµng	Ong vµng	0	1	6	1	96000	20	0	0	200	160	15	13	27	18	25	0	0	18	25	701	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Ong ®éc	Ong ®éc	0	1	6	1	96000	22	0	0	200	140	18	0	0	15	20	16	33	15	20	703	2	100	719	4	0	719	6	0	777	3		100	100	100	100
C¸ sÊu1	C¸ sÊu	0	1	6	1	256000	10	0	0	160	16	22	31	63	39	50	0	0	39	50	701	2	100	719	4	0	719	6	0	777	3		100	100	100	100
§éc TÝch	Cù §éc TÝch	0	1	6	1	240000	10	0	0	160	24	22	0	0	33	50	36	72	33	50	703	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Thô Qu¸i1	Thô Qu¸i	0	1	6	1	288000	10	0	0	160	0	24	0	0	39	50	27	54	39	50	704	2	100	719	4	0	719	6	0	777	3		100	100	100	100
C¸ sÊu2	C¸ sÊu biÓn	0	1	6	1	288000	10	0	0	160	16	24	34	69	36	50	0	0	36	50	701	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Háa kú l©n1	Háa Kú L©n	0	1	6	1	240000	10	0	0	200	40	18	0	0	30	40	40	81	30	40	634	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Thá ®en	NguyÖt L­îng Thè	0	1	6	1	160000	18	0	0	240	200	9	0	0	20	20	22	45	20	20	703	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Sãi n©u	Êu Lang v­¬ng	0	1	6	1	240000	12	0	0	300	120	12	34	69	45	75	0	0	45	75	701	2	100	719	4	0	719	6	0	777	3		100	100	100	100
TiÓu H¾c tr­	D· Tr­ V­¬ng	0	1	6	1	400000	10	0	0	180	40	20	40	81	50	100	0	0	50	100	701	2	100	719	4	0	719	6	0	777	3		100	100	100	100
Hoµng Hæ V­¬ng	Hoµng Hæ V­¬ng	0	1	6	1	320000	14	0	0	300	96	10	57	114	36	60	0	0	36	60	701	2	100	719	4	0	719	6	0	777	3		100	100	100	100
L­u Manh	L­u Manh	1	1	6	1	156000	10	0	0	200	80	18	30	60	20	20	0	0	20	20	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
C«n ®å	C«n ®å	1	1	6	1	172000	10	0	0	200	72	20	33	66	20	20	0	0	20	20	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
Minh Th©u	Trém vÆt	1	1	6	1	140800	11	0	0	240	96	16	0	0	18	18	27	54	18	18	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
¸m TÆc	Phi tÆc	1	1	6	1	140800	12	0	0	240	88	18	30	60	18	18	0	0	18	18	705	2	100	705	3	0	705	4	0	777	2		100	100	100	100
Lé tÆc	Lé tÆc	1	1	6	1	156000	10	0	0	220	72	18	33	66	20	20	0	0	20	20	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
Th¶o KhÊu	Th¶o KhÊu	1	1	6	1	140800	10	0	0	180	80	15	30	60	20	20	0	0	20	20	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
S¬n tÆc	S¬n tÆc	1	1	6	1	172000	10	0	0	180	72	20	30	60	20	22	0	0	20	22	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
M·ng KhÊu	M·ng KhÊu	1	1	6	1	172000	10	0	0	180	64	20	0	0	24	20	33	66	24	20	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
L­u KhÊu	L­u KhÊu	1	1	6	1	156000	10	0	0	180	72	18	33	66	18	24	0	0	18	24	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
B¸ch NhËt TiÔn	B¸ch NhËt TiÔn	1	1	6	1	124800	10	0	0	400	48	20	21	42	20	20	0	0	20	20	705	2	100	705	3	0	705	4	0	777	2		100	100	100	100
Thiªn ¢m TiÔn Thñ	Thiªn ¢m TiÔn Thñ	1	1	6	1	109600	10	0	0	420	56	15	21	42	16	20	0	0	16	20	705	2	100	705	3	0	705	4	0	777	2		100	100	100	100
Cung LiÖp	Cung LiÖp	1	1	6	1	140800	11	0	0	380	40	20	21	42	20	20	0	0	20	20	705	2	100	705	3	0	705	4	0	777	2		100	100	100	100
Kim tiÔn binh	Liªu tiÔn binh	1	1	6	1	140800	10	0	0	360	40	20	27	54	26	26	0	0	14	14	705	2	100	705	3	0	705	4	0	777	2		100	100	100	100
Tèng nâ binh	Tèng nâ binh	1	1	6	1	140800	10	0	0	360	40	20	27	54	14	14	0	0	26	26	705	2	100	705	3	0	705	4	0	777	2		100	100	100	100
TiÔn thñ dÞ téc	TiÔn thñ dÞ téc	1	1	6	1	156000	10	0	0	420	40	18	24	48	18	18	0	0	18	18	705	2	100	705	3	0	705	4	0	777	2		100	100	100	100
Cung thñ ngo¹i téc	Cung thñ ngo¹i téc	1	1	6	1	140800	10	0	0	420	48	18	24	48	18	18	0	0	18	18	705	2	100	705	3	0	705	4	0	777	2		100	100	100	100
Oa KhÊu3	H¶i TÆc	1	1	6	1	124800	10	0	0	440	56	16	18	36	18	18	0	0	18	18	705	2	100	705	3	0	705	4	0	777	2		100	100	100	100
Th­¬ng Kh¸ch	KiÕm Kh¸ch	1	1	6	1	124800	12	0	0	240	88	15	45	90	10	20	0	0	10	20	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
N÷ kiÕm kh¸ch	N÷ kiÕm kh¸ch	1	1	6	1	109600	11	0	0	260	104	14	45	90	8	20	0	0	8	20	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
N÷ HiÖp Kh¸ch	N÷ HiÖp Kh¸ch	1	1	6	1	109600	12	0	0	240	96	15	0	0	10	20	45	90	10	20	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
N÷ KiÕm hµo	N÷ KiÕm hµo	1	1	6	1	124800	11	0	0	240	80	16	0	0	12	20	48	96	12	20	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
Mé TuyÕt KiÕm Kh¸ch	Mé TuyÕt KiÕm Kh¸ch	1	1	6	1	124800	12	0	0	220	80	16	48	96	12	20	0	0	12	20	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
KiÕm S¸t	KiÕm S¸t	1	1	6	1	140800	11	0	0	240	72	15	48	96	14	20	0	0	8	20	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
KiÕm Cuång	KiÕm Cuång	1	1	6	1	140800	11	0	0	240	72	15	48	96	8	20	0	0	14	20	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
HuyÒn Vâ KiÕm	HuyÒn Vâ KiÕm	1	1	6	1	93600	13	0	0	260	96	18	0	0	8	20	51	102	8	20	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
KiÕm Tµ	KiÕm Tµ	1	1	6	1	109600	13	0	0	200	80	13	0	0	10	20	48	96	10	20	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
Ph¶n Qu©n tuÇn la	Ph¶n Qu©n tuÇn la	1	1	6	1	109600	13	0	0	200	96	13	42	84	8	20	0	0	8	20	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
Ph¶n qu©n vÖ binh	VÖ sÜ ph¶n qu©n	1	1	6	1	124800	11	0	0	240	80	15	45	90	14	20	0	0	14	20	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
Th­¬ng Tµ	H¾c Phong KiÕm Kh¸ch	1	1	6	1	156000	11	0	0	220	64	16	0	0	14	20	45	90	14	20	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
§ao S¸t	§ao HiÖp	1	1	6	1	172000	10	0	0	240	48	22	54	108	20	16	0	0	20	16	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
§ao TuyÖt	§ao TuyÖt	1	1	6	1	156000	10	0	0	240	56	20	54	108	18	16	0	0	18	16	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
KiÕm TuyÖt	§ao V­¬ng	1	1	6	1	187200	10	0	0	220	48	20	0	0	18	16	57	114	18	16	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
§ao Kh¸ch	§ao Kh¸ch	1	1	6	1	156000	10	0	0	240	64	20	51	102	18	16	0	0	18	16	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
HuyÒn Vâ §ao	HuyÒn Vâ §ao	1	1	6	1	140800	11	0	0	260	56	20	0	0	14	16	63	126	14	16	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
Xi Háa §ao Kh¸ch	Xi Háa §ao Kh¸ch	1	1	6	1	156000	10	0	0	220	40	22	0	0	22	16	57	114	22	16	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
Kim ®ao binh	Liªu ®ao binh	1	1	6	1	187200	10	0	0	240	32	24	54	108	30	16	0	0	16	16	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
Tèng ®ao binh	Tèng ®ao binh	1	1	6	1	187200	10	0	0	240	32	24	54	108	16	16	0	0	30	16	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
§·ng §ao Kh¸ch	§·ng §ao Kh¸ch	1	1	6	1	140800	10	0	0	260	64	18	54	108	16	16	0	0	16	16	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
Hoang m¹c ®ao kh¸ch	Hoang m¹c ®ao kh¸ch	1	1	6	1	140800	11	0	0	240	72	18	0	0	16	16	51	102	16	16	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
Miªu LÜnh Thæ ty	Miªu LÜnh Thæ ty	1	1	6	1	156000	11	0	0	220	72	18	0	0	18	16	60	120	18	16	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
Tr× §ao Hé VÖ	Tr× §ao Hé VÖ	1	1	6	1	187200	10	0	0	260	48	20	54	108	24	16	0	0	24	16	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
Oa KhÊu4	Oa Quèc L·ng Nh©n	1	1	6	1	124800	11	0	0	260	48	22	60	120	18	16	0	0	18	16	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
Oa KhÊu1	Oa Quèc §ao kh¸ch	1	1	6	1	156000	10	0	0	240	48	24	57	114	20	16	0	0	20	16	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
Mé TuyÕt Th­¬ng Kh¸ch	Mé TuyÕt Th­¬ng Kh¸ch	1	1	6	1	140800	11	0	0	160	64	10	30	60	16	20	0	0	16	20	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
Th­¬ng kh¸ch trung cÊp	Danh Th­¬ng HiÖp	1	1	6	1	124800	13	0	0	200	72	9	0	0	14	18	27	54	14	18	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
Tèng th­¬ng qu©n	Tèng qu©n tö sÜ	1	1	6	1	172000	10	0	0	140	48	11	36	72	10	20	0	0	26	20	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
Kim th­¬ng qu©n	Liªu th­¬ng qu©n	1	1	6	1	172000	10	0	0	140	48	11	36	72	26	20	0	0	10	20	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
Tr× M©u Hé VÖ	Tr× M©u Hé VÖ	1	1	6	1	187200	10	0	0	160	40	10	0	0	26	20	33	66	26	20	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
Th­¬ng Cuång	Th­¬ng ThÇn	1	1	6	1	156000	11	0	0	180	48	9	0	0	14	18	36	72	14	18	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
Miªu téc thiÕu n÷1	ThiÕu n÷ ¤ M«ng Bé	1	1	6	1	93600	16	0	0	320	128	11	18	36	12	12	0	0	12	12	705	2	100	705	3	0	705	4	0	777	2		100	100	100	100
Phiªn Di Tiªu Thñ	¤ M«ng Téc Nh©n	1	1	6	1	109600	13	0	0	320	112	12	24	48	14	12	0	0	14	12	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
Phiªn Di §ao Kh¸ch	¤ M«ng Dòng SÜ	1	1	6	1	109600	13	0	0	340	104	13	27	54	14	12	0	0	14	12	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
Miªu LÜnh TuÇn Tr¹i	Miªu LÜnh TuÇn Tr¹i	1	1	6	1	124800	16	0	0	260	100	12	18	36	16	20	0	0	16	20	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
Miªu LÜnh Hé Ên	Miªu LÜnh Hé Ên	1	1	6	1	140800	12	0	0	240	80	15	0	0	20	20	21	42	20	20	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
Miªu LÜnh Phu nh©n	Miªu LÜnh Phu nh©n	1	1	6	1	124800	14	0	0	280	120	13	0	0	12	15	24	48	12	15	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
H×nh nh©n	Kh«i Lçi §éc nh©n	1	1	6	1	187200	10	0	0	200	40	18	0	0	25	40	37	75	25	40	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
Vâ §¹i Lang-b×nh th­êng	Ng­êi lïn	1	1	6	1	156000	10	0	0	120	96	9	33	66	20	16	0	0	20	16	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
B¸t Phô Hµ §«ng S­	B¸t Phô Hµ §«ng S­	1	1	6	1	140800	10	0	0	100	88	10	0	0	20	18	36	72	20	18	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
LiÖp Hé	LiÖp Hé	1	1	6	1	187200	12	0	0	240	80	24	21	42	14	26	0	0	14	26	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
Hæ Y Nh©n	Hæ Y Nh©n	1	1	6	1	218400	10	0	0	220	72	24	27	54	14	26	0	0	14	26	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
Quan sø	Quan sø	1	1	6	1	124800	10	0	0	360	88	16	27	54	14	20	0	0	14	20	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
Bé kho¸i	Bé kho¸i	1	1	6	1	140800	10	0	0	340	80	18	30	60	16	20	0	0	16	20	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
MËt th¸m	MËt th¸m	1	1	6	1	124800	10	0	0	400	96	15	0	0	12	18	24	48	12	18	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
Thiªn Lý Tiªu	Thiªn Lý Tiªu	1	1	6	1	109600	18	0	0	220	96	18	36	72	14	16	0	0	14	16	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
ThÝch Kh¸ch2	§Þa S¸t	1	1	6	1	124800	17	0	0	240	104	20	39	78	14	14	0	0	14	14	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
ThÝch Kh¸ch1	Thiªn S¸t	1	1	6	1	93600	19	0	0	240	112	18	0	0	10	14	42	84	10	14	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
Tµ T¨ng	Tµ T¨ng	1	1	6	1	234400	10	0	0	160	32	22	0	0	28	16	45	90	28	16	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
Thiªn TÇm Vâ T¨ng	Thiªn TÇm Vâ T¨ng	1	1	6	1	187200	11	0	0	200	24	15	52	105	20	20	0	0	20	20	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
Thiªn TÇm Ph¸p T¨ng	Thiªn TÇm Ph¸p T¨ng	1	1	6	1	203200	10	0	0	200	40	16	0	0	28	20	48	96	28	20	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
Ma Ni T¨ng	Ma Ni T¨ng	1	1	6	1	218400	10	0	0	200	24	16	0	0	24	20	51	102	24	20	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
§µ La Ni T¨ng	§µ La Ni T¨ng	1	1	6	1	203200	10	0	0	200	32	13	0	0	20	20	49	99	20	20	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
Thiªn ¢m Vâ SÜ	Thiªn ¢m Vâ SÜ	1	1	6	1	218400	10	0	0	140	48	18	42	84	26	16	0	0	26	16	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
Vâ sÜ dÞ téc	Vâ sÜ dÞ téc	1	1	6	1	249600	10	0	0	180	24	24	48	96	30	14	0	0	30	14	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
S¸t thñ ngo¹i téc	S¸t thñ ngo¹i téc	1	1	6	1	265600	10	0	0	140	24	20	48	96	28	14	0	0	28	14	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
Xi Háa gi¸o ®å	Xi Háa gi¸o ®å	1	1	6	1	156000	10	0	0	240	80	15	39	78	24	12	0	0	24	12	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
Xi Háa H¾c gi¸o ®å	Xi Háa H¾c gi¸o ®å	1	1	6	1	172000	11	0	0	200	56	18	42	84	28	12	0	0	28	12	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
Xi Háa B¹ch gi¸o ®å	Xi Háa B¹ch gi¸o ®å	1	1	6	1	140800	12	0	0	260	88	16	0	0	20	12	40	81	20	12	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
Xi Háa XÝch gi¸o ®å	Xi Háa XÝch gi¸o ®å	1	1	6	1	156000	11	0	0	180	48	18	0	0	24	12	46	93	24	12	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
Xi Háa sø gi¶	Xi Háa sø gi¶	1	1	6	1	156000	12	0	0	180	72	18	40	81	20	12	0	0	20	12	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
Xi Háa hé ph¸p	Xi Háa hé ph¸p	1	1	6	1	172000	11	0	0	240	40	20	0	0	24	20	42	84	24	20	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
Xi Háa tr­ëng l·o	Xi Háa tr­ëng l·o	1	1	6	1	187200	10	0	0	200	56	18	0	0	32	12	39	78	32	12	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
Xi Háa ®µn chñ	Xi Háa ®µn chñ	1	1	6	1	172000	10	0	0	200	64	20	0	0	28	20	48	96	28	20	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
Xi Háa cao thñ	Xi Háa cao thñ	1	1	6	1	218400	10	0	0	200	48	22	51	102	24	14	0	0	24	14	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
Méc nh©n	Méc nh©n	1	1	6	1	265600	10	0	0	180	20	18	0	0	43	50	33	66	43	50	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
C¬ quan nh©n1	C¬ quan Méc nh©n	1	1	6	1	234400	10	0	0	200	30	22	40	81	30	50	0	0	30	50	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
§ång nh©n	§ång nh©n	1	1	6	1	280800	10	0	0	180	20	20	0	0	45	50	36	72	45	50	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
C¬ quan nh©n2	C¬ quan §ång nh©n	1	1	6	1	249600	10	0	0	200	30	24	42	84	30	50	0	0	30	50	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
Th¹ch Nh©n1	Th¹ch ®Çu nh©n	1	1	6	1	312000	10	0	0	160	0	36	37	75	50	50	0	0	50	50	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
Tiªn N÷1	B¨ng T©m N÷	1	1	6	1	187200	12	0	0	200	96	16	0	0	18	18	36	72	18	18	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
N÷ Tiªu tiªn	Tiªu Tiªn Tö	1	1	6	1	187200	12	0	0	260	104	16	39	78	18	18	0	0	18	18	701	2	100	701	3	0	701	4	0	777	2		100	100	100	100
N÷ Tú Bµ tiªn	Tú Bµ Tiªn Tö	1	1	6	1	172000	13	0	0	240	112	15	0	0	18	18	33	66	18	18	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
N÷ t¶n tiªn	T¶n Tiªn Tö	1	1	6	1	203200	12	0	0	220	88	18	0	0	22	20	36	72	22	20	703	2	100	703	3	0	703	4	0	777	2		100	100	100	100
