Sè trang bŞ	Tªn trang bŞ	Sè hiÖu thuéc tİnh 1: 	§¼ng cÊp thuéc tİnh 1: 	Sè hiÖu thuéc tİnh 2: 	§¼ng cÊp thuéc tİnh 2: 	Sè hiÖu thuéc tİnh 3: 	§¼ng cÊp thuéc tİnh 3: 	Sè hiÖu thuéc tİnh 4: 	§¼ng cÊp thuéc tİnh 4: 	Sè hiÖu thuéc tİnh 5: 	§¼ng cÊp thuéc tİnh 5: 	M· sè 6 thuéc tİnh 	§»ng cÊp 6 thuéc tİnh	M· sè 7 thuéc tİnh 	§»ng cÊp 7 thuéc tİnh	M· sè 8 thuéc tİnh 	§»ng cÊp 8 thuéc tİnh	Mµu s¾c trang bŞ
850301	Tø T­¬ng	110	4	13	2	24	4	89	5									<color=Green2>
850401	Tø T­¬ng	110	4	13	2	24	4	89	5									<color=Green2>
870301	PhËt Quang	110	6	13	2	24	5	89	5									<color=Green2>
870401	PhËt Quang	110	6	13	2	24	5	89	5									<color=Green2>
950301	HiÖp n÷	110	4	14	2	27	2	86	3									<color=Green2>
950401	HiÖp n÷	110	4	14	2	27	2	86	3									<color=Green2>
970301	Hoa sen	110	6	14	2	27	2	86	4									<color=Green2>
970401	Hoa sen	110	6	14	2	27	2	86	4									<color=Green2>
1150101	CÇm Long	110	4	27	2	63	4	85	3									<color=Green2>
1150201	CÇm Long	110	4	27	2	63	4	85	3									<color=Green2>
1150301	CÇm Long	110	4	27	2	63	4	85	3									<color=Green2>
1150401	CÇm Long	110	4	27	2	63	4	85	3									<color=Green2>
1170101	Gi¸ng Long	110	6	27	2	63	5	85	4									<color=Green2>
1170201	Gi¸ng Long	110	6	27	2	63	5	85	4									<color=Green2>
1170301	Gi¸ng Long	110	6	27	2	63	5	85	4									<color=Green2>
1170401	Gi¸ng Long	110	6	27	2	63	5	85	4									<color=Green2>
1250101	Khu«ng Phï	110	4	77	4	63	4	85	3									<color=Green2>
1250201	Khu«ng Phï	110	4	77	4	63	4	85	3									<color=Green2>
1250301	Khu«ng Phï	110	4	77	4	63	4	85	3									<color=Green2>
1250401	Khu«ng Phï	110	4	77	4	63	4	85	3									<color=Green2>
1270101	TÕ ThÕ	110	6	77	6	63	5	85	4									<color=Green2>
1270201	TÕ ThÕ	110	6	77	6	63	5	85	4									<color=Green2>
1270301	TÕ ThÕ	110	6	77	6	63	5	85	4									<color=Green2>
1270401	TÕ ThÕ	110	6	77	6	63	5	85	4									<color=Green2>
1450101	Tam Thanh	110	4	13	2	24	4	86	3									<color=Green2>
1450201	Tam Thanh	110	4	13	2	24	4	86	3									<color=Green2>
1450301	Tam Thanh	110	4	13	2	24	4	86	3									<color=Green2>
1450401	Tam Thanh	110	4	13	2	24	4	86	3									<color=Green2>
1470101	Ch©n Vò	110	6	13	2	24	5	86	4									<color=Green2>
1470201	Ch©n Vò	110	6	13	2	24	5	86	4									<color=Green2>
1470301	Ch©n Vò	110	6	13	2	24	5	86	4									<color=Green2>
1470401	Ch©n Vò	110	6	13	2	24	5	86	4									<color=Green2>
1550101	L¨ng NhËt	110	4	14	2	77	4	85	3									<color=Green2>
1550201	L¨ng NhËt	110	4	14	2	77	4	85	3									<color=Green2>
1550301	L¨ng NhËt	110	4	14	2	77	4	85	3									<color=Green2>
1550401	L¨ng NhËt	110	4	14	2	77	4	85	3									<color=Green2>
1570101	Hñy NhËt	110	6	14	2	77	6	85	4									<color=Green2>
1570201	Hñy NhËt	110	6	14	2	77	6	85	4									<color=Green2>
1570301	Hñy NhËt	110	6	14	2	77	6	85	4									<color=Green2>
1570401	Hñy NhËt	110	6	14	2	77	6	85	4									<color=Green2>
1750101	Xa Kş	110	4	30	4	63	4	85	3									<color=Green2>
1770101	Xa Kş	110	6	30	5	63	5	85	4									<color=Green2>
1750201	Xa Kş	110	4	30	4	63	4	85	3									<color=Green2>
1770201	Xa Kş	110	6	30	5	63	5	85	4									<color=Green2>
1750301	Xa Kş	110	4	30	4	63	4	85	3									<color=Green2>
1770301	Xa Kş	110	6	30	5	63	5	85	4									<color=Green2>
1750401	Xa Kş	110	4	30	4	63	4	85	3									<color=Green2>
1770401	Xa Kş	110	6	30	5	63	5	85	4									<color=Green2>
1850101	D­¬ng Uy	110	4	107	1	63	4	85	3									<color=Green2>
1870101	D­¬ng Uy	110	6	107	2	63	5	85	4									<color=Green2>
1850201	D­¬ng Uy	110	4	107	1	63	4	85	3									<color=Green2>
1870201	D­¬ng Uy	110	6	107	2	63	5	85	4									<color=Green2>
1850301	D­¬ng Uy	110	4	107	1	63	4	85	3									<color=Green2>
1870301	D­¬ng Uy	110	6	107	2	63	5	85	4									<color=Green2>
1850401	D­¬ng Uy	110	4	107	1	63	4	85	3									<color=Green2>
1870401	D­¬ng Uy	110	6	107	2	63	5	85	4									<color=Green2>
2050101	U Lung	110	4	107	1	24	4	85	3									<color=Green2>
2070101	U Minh	110	6	107	2	24	5	85	4									<color=Green2>
2050201	U Lung	110	4	107	1	24	4	85	3									<color=Green2>
2070201	U Minh	110	6	107	2	24	5	85	4									<color=Green2>
2050301	U Lung	110	4	107	1	24	4	85	3									<color=Green2>
2070301	U Minh	110	6	107	2	24	5	85	4									<color=Green2>
2050401	U Lung	110	4	107	1	24	4	85	3									<color=Green2>
2070401	U Minh	110	6	107	2	24	5	85	4									<color=Green2>
2150101	Miªu M«n	110	4	108	2	24	4	86	3									<color=Green2>
2150201	Miªu M«n	110	4	108	2	24	4	86	3									<color=Green2>
2150301	Miªu M«n	110	4	108	2	24	4	86	3									<color=Green2>
2150401	Miªu M«n	110	4	108	2	24	4	86	3									<color=Green2>
2170101	Miªu M«n	110	6	108	3	24	5	86	4									<color=Green2>
2170201	Miªu M«n	110	6	108	3	24	5	86	4									<color=Green2>
2170301	Miªu M«n	110	6	108	3	24	5	86	4									<color=Green2>
2170401	Miªu M«n	110	6	108	3	24	5	86	4									<color=Green2>
500101	Nh­ ı C¸t T­êng	107	2															<color=Purple>
500102	§«ng Ph­¬ng Long Ch©u																	<color=Gold>
500103	Phi D­¬ng																	<color=Gold>
500104	TŞch Väng																	<color=Gold>
500105	KhuÊt Nguyªn Béi																	<color=Gold>
500106	§¹i Lùc ThÇn H¹ng Liªn																	<color=Gold>
500107	Th¸i H­ HuyÔn Ngäc																	<color=Purple>
500108	Th¸i H­ HuyÔn §¸i 																	<color=Purple>
500109	Th¸i H­ HuyÔn Hoµn																	<color=Purple>
500110	Th¸i H­ HuyÔn Béi																	<color=Purple>
500111	Th¸i H­ HuyÔn Giíi																	<color=Purple>
500112	Th¸i H­ HuyÔn §¹i																	<color=Purple>
500113	Th¸i H­ HuyÔn Th¹ch																	<color=Purple>
500117	Cöu Thiªn HuyÒn Ngäc																	<color=Gold>
500118	Cöu Thiªn HuyÒn §¸i																	<color=Gold>
500119	Cöu Thiªn HuyÒn Hoµn																	<color=Gold>
500120	Cöu Thiªn HuyÒn Béi																	<color=Gold>
500121	Cöu Thiªn HuyÒn Giíi																	<color=Gold>
500122	Cöu Thiªn HuyÒn §¹i																	<color=Gold>
500123	Cöu Thiªn HuyÒn Th¹ch																	<color=Gold>
270102	To¸i Ngäc	9	5	251	2	252	2	85	3									<color=Green2>
270202	To¸i Ngäc	9	5	251	2	252	2	85	3									<color=Green2>
270102	To¸i Ngäc	9	5	251	2	252	2	85	3									<color=Green2>
270202	To¸i Ngäc	9	5	251	2	252	2	85	3									<color=Green2>
370102	To¸i Ngäc	9	5	27	2	252	2	251	2									<color=Green2>
370202	To¸i Ngäc	9	5	27	2	252	2	251	2									<color=Green2>
470102	To¸i Ngäc	9	5	27	2	120	4	251	2									<color=Green2>
470202	To¸i Ngäc	9	5	27	2	120	4	251	2									<color=Green2>
670102	To¸i Ngäc	9	5	27	2	251	2	85	3									<color=Green2>
670202	To¸i Ngäc	9	5	27	2	251	2	85	3									<color=Green2>
670302	To¸i Ngäc	9	5	27	2	251	2	85	3									<color=Green2>
670402	To¸i Ngäc	9	5	27	2	251	2	85	3									<color=Green2>
870302	To¸i Ngäc	9	5	42	5	251	2	250	5									<color=Green2>
870402	To¸i Ngäc	9	5	42	5	251	2	250	5									<color=Green2>
970302	To¸i Ngäc	9	5	93	4	86	3	251	2									<color=Green2>
970402	To¸i Ngäc	9	5	93	4	86	3	251	2									<color=Green2>
1170102	To¸i Ngäc	9	5	252	2	251	2	86	3									<color=Green2>
1170202	To¸i Ngäc	9	5	252	2	251	2	86	3									<color=Green2>
1170302	To¸i Ngäc	9	5	252	2	251	2	86	3									<color=Green2>
1170402	To¸i Ngäc	9	5	252	2	251	2	86	3									<color=Green2>
1270102	To¸i Ngäc	9	5	252	1	251	2	86	3									<color=Green2>
1270202	To¸i Ngäc	9	5	252	1	251	2	86	3									<color=Green2>
1270302	To¸i Ngäc	9	5	252	1	251	2	86	3									<color=Green2>
1270402	To¸i Ngäc	9	5	252	1	251	2	86	3									<color=Green2>
1470102	To¸i Ngäc	9	5	85	3	252	2	251	2									<color=Green2>
1470202	To¸i Ngäc	9	5	85	3	252	2	251	2									<color=Green2>
1470302	To¸i Ngäc	9	5	85	3	252	2	251	2									<color=Green2>
1470402	To¸i Ngäc	9	5	85	3	252	2	251	2									<color=Green2>
1570102	To¸i Ngäc	9	5	252	1	251	2	85	3									<color=Green2>
1570202	To¸i Ngäc	9	5	252	1	251	2	85	3									<color=Green2>
1570302	To¸i Ngäc	9	5	252	1	251	2	85	3									<color=Green2>
1570402	To¸i Ngäc	9	5	252	1	251	2	85	3									<color=Green2>
1770102	To¸i Ngäc	9	5	252	2	251	2	101	1									<color=Green2>
1770202	To¸i Ngäc	9	5	252	2	251	2	101	1									<color=Green2>
1770302	To¸i Ngäc	9	5	252	2	251	2	101	1									<color=Green2>
1770402	To¸i Ngäc	9	5	252	2	251	2	101	1									<color=Green2>
1870102	To¸i Ngäc	9	5	252	1	251	2	86	3									<color=Green2>
1870202	To¸i Ngäc	9	5	252	1	251	2	86	3									<color=Green2>
1870302	To¸i Ngäc	9	5	252	1	251	2	86	3									<color=Green2>
1870402	To¸i Ngäc	9	5	252	1	251	2	86	3									<color=Green2>
2001	Hµnh gi¶	304	1	305	1	279	2											<color=Green2>
2002	Hµnh gi¶	304	1	305	1	279	2											<color=Green2>
2011	Hçn Nguyªn	306	1	308	2	258	3	261	1									<color=Green2>
2012	Hçn Nguyªn	306	1	308	2	258	3	261	1									<color=Green2>
2021	§¹t Ma Kim Cang	304	2	101	1	310	3	309	3	313	1							<color=Purple>
2022	§¹t Ma Kim Cang	304	2	101	1	310	3	309	3	313	1							<color=Purple>
92021	§¹t Ma Kim Cang	304	2	101	1	310	3	309	3	313	1							<color=Purple>
92022	§¹t Ma Kim Cang	304	2	101	1	310	3	309	3	313	1							<color=Purple>
3001	Khæ hµnh	304	1	305	1	280	2											<color=Green2>
3002	Khæ hµnh	304	1	305	1	280	2											<color=Green2>
3011	ThiÒn Tu	250	5	257	3	258	3	262	1									<color=Green2>
3012	ThiÒn Tu	250	5	257	3	258	3	262	1									<color=Green2>
3021	TruyÒn kinh ph¸p s­	304	2	101	1	312	3	311	3	314	1							<color=Purple>
3022	TruyÒn kinh ph¸p s­	304	2	101	1	312	3	311	3	314	1							<color=Purple>
93021	TruyÒn kinh ph¸p s­	304	2	101	1	312	3	311	3	314	1							<color=Purple>
93022	TruyÒn kinh ph¸p s­	304	2	101	1	312	3	311	3	314	1							<color=Purple>
4001	Sa Di	304	1	305	1	279	2											<color=Green2>
4002	Sa Di	304	1	305	1	279	2											<color=Green2>
4011	§Êu T¨ng	306	1	257	3	258	3	262	1									<color=Green2>
4012	§Êu T¨ng	306	1	257	3	258	3	262	1									<color=Green2>
4021	La H¸n Hé Ph¸p	304	2	101	1	312	3	311	3	315	1							<color=Purple>
4022	La H¸n Hé Ph¸p	304	2	101	1	312	3	311	3	315	1							<color=Purple>
94021	La H¸n Hé Ph¸p	304	2	101	1	312	3	311	3	315	1							<color=Purple>
94022	La H¸n Hé Ph¸p	304	2	101	1	312	3	311	3	315	1							<color=Purple>
6001	Trang Kh¸ch	304	1	305	1	280	2											<color=Green2>
6002	Trang Kh¸ch	304	1	305	1	280	2											<color=Green2>
6003	Trang Kh¸ch	304	1	305	1	280	2											<color=Green2>
6004	Trang Kh¸ch	304	1	305	1	280	2											<color=Green2>
6011	Hé VÖ	307	1	257	3	258	3	261	1									<color=Green2>
6012	Hé VÖ	307	1	257	3	258	3	261	1									<color=Green2>
6013	Hé VÖ	307	1	257	3	258	3	261	1									<color=Green2>
6014	Hé VÖ	307	1	257	3	258	3	261	1									<color=Green2>
6021	Bİ ®éc thİch kh¸ch	304	2	101	1	310	3	309	3	316	1							<color=Purple>
6022	Bİ ®éc thİch kh¸ch	304	2	101	1	310	3	309	3	316	1							<color=Purple>
6023	Bİ ®éc thİch kh¸ch	304	2	101	1	310	3	309	3	316	1							<color=Purple>
6024	Bİ ®éc thİch kh¸ch	304	2	101	1	310	3	309	3	316	1							<color=Purple>
96021	Bİ ®éc thİch kh¸ch	304	2	101	1	310	3	309	3	316	1							<color=Purple>
96022	Bİ ®éc thİch kh¸ch	304	2	101	1	310	3	309	3	316	1							<color=Purple>
96023	Bİ ®éc thİch kh¸ch	304	2	101	1	310	3	309	3	316	1							<color=Purple>
96024	Bİ ®éc thİch kh¸ch	304	2	101	1	310	3	309	3	316	1							<color=Purple>
8001	Thanh t©m	304	1	305	1	280	2											<color=Green2>
8002	Thanh t©m	304	1	305	1	280	2											<color=Green2>
8011	ThÓ Vò	250	5	257	3	258	3	262	1									<color=Green2>
8012	ThÓ Vò	250	5	257	3	258	3	262	1									<color=Green2>
8021	Tö Tróc sø	304	2	101	1	312	3	311	3	317	1							<color=Purple>
8022	Tö Tróc sø	304	2	101	1	312	3	311	3	317	1							<color=Purple>
98021	Tö Tróc sø	304	2	101	1	312	3	311	3	317	1							<color=Purple>
98022	Tö Tróc sø	304	2	101	1	312	3	311	3	317	1							<color=Purple>
9001	T­ khóc	304	1	305	1	280	2											<color=Green2>
9002	T­ khóc	304	1	305	1	280	2											<color=Green2>
9011	Ph¹m ©m	250	5	257	3	258	3	262	1									<color=Green2>
9012	Ph¹m ©m	250	5	257	3	258	3	262	1									<color=Green2>
9021	H¶i NguyÖt sø	304	2	101	1	312	3	311	3	318	1							<color=Purple>
9022	H¶i NguyÖt sø	304	2	101	1	312	3	311	3	318	1							<color=Purple>
99021	H¶i NguyÖt sø	304	2	101	1	312	3	311	3	318	1							<color=Purple>
99022	H¶i NguyÖt sø	304	2	101	1	312	3	311	3	318	1							<color=Purple>
11001	ChÊp b¸t	304	1	305	1	280	2											<color=Green2>
11002	ChÊp b¸t	304	1	305	1	280	2											<color=Green2>
11003	ChÊp b¸t	304	1	305	1	280	2											<color=Green2>
11004	ChÊp b¸t	304	1	305	1	280	2											<color=Green2>
11011	Trõ gian	306	1	308	2	258	3	261	1									<color=Green2>
11012	Trõ gian	306	1	308	2	258	3	261	1									<color=Green2>
11013	Trõ gian	306	1	308	2	258	3	261	1									<color=Green2>
11014	Trõ gian	306	1	308	2	258	3	261	1									<color=Green2>
11021	Tø H¶i hiÖp	304	2	101	1	310	3	309	3	319	1							<color=Purple>
11022	Tø H¶i hiÖp	304	2	101	1	310	3	309	3	319	1							<color=Purple>
11023	Tø H¶i hiÖp	304	2	101	1	310	3	309	3	319	1							<color=Purple>
11024	Tø H¶i hiÖp	304	2	101	1	310	3	309	3	319	1							<color=Purple>
911021	Tø H¶i hiÖp	304	2	101	1	310	3	309	3	319	1							<color=Purple>
911022	Tø H¶i hiÖp	304	2	101	1	310	3	309	3	319	1							<color=Purple>
911023	Tø H¶i hiÖp	304	2	101	1	310	3	309	3	319	1							<color=Purple>
911024	Tø H¶i hiÖp	304	2	101	1	310	3	309	3	319	1							<color=Purple>
12001	Hµnh khÊt	304	1	305	1	280	2											<color=Green2>
12002	Hµnh khÊt	304	1	305	1	280	2											<color=Green2>
12003	Hµnh khÊt	304	1	305	1	280	2											<color=Green2>
12004	Hµnh khÊt	304	1	305	1	280	2											<color=Green2>
12011	Trõng ¸c	306	1	257	3	258	3	261	1									<color=Green2>
12012	Trõng ¸c	306	1	257	3	258	3	261	1									<color=Green2>
12013	Trõng ¸c	306	1	257	3	258	3	261	1									<color=Green2>
12014	Trõng ¸c	306	1	257	3	258	3	261	1									<color=Green2>
12021	§Ö tö t¸m tói	304	2	101	1	310	3	309	3	320	1							<color=Purple>
12022	§Ö tö t¸m tói	304	2	101	1	310	3	309	3	320	1							<color=Purple>
12023	§Ö tö t¸m tói	304	2	101	1	310	3	309	3	320	1							<color=Purple>
12024	§Ö tö t¸m tói	304	2	101	1	310	3	309	3	320	1							<color=Purple>
912021	§Ö tö t¸m tói	304	2	101	1	310	3	309	3	320	1							<color=Purple>
912022	§Ö tö t¸m tói	304	2	101	1	310	3	309	3	320	1							<color=Purple>
912023	§Ö tö t¸m tói	304	2	101	1	310	3	309	3	320	1							<color=Purple>
912024	§Ö tö t¸m tói	304	2	101	1	310	3	309	3	320	1							<color=Purple>
14001	Thanh tu	304	1	305	1	280	2											<color=Green2>
14002	Thanh tu	304	1	305	1	280	2											<color=Green2>
14003	Thanh tu	304	1	305	1	280	2											<color=Green2>
14004	Thanh tu	304	1	305	1	280	2											<color=Green2>
14011	NhËp quan	250	5	257	3	258	3	262	1									<color=Green2>
14012	NhËp quan	250	5	257	3	258	3	262	1									<color=Green2>
14013	NhËp quan	250	5	257	3	258	3	262	1									<color=Green2>
14014	NhËp quan	250	5	257	3	258	3	262	1									<color=Green2>
14021	V« ng· ®¹o nh©n	304	2	101	1	312	3	311	3	321	1							<color=Purple>
14022	V« ng· ®¹o nh©n	304	2	101	1	312	3	311	3	321	1							<color=Purple>
14023	V« ng· ®¹o nh©n	304	2	101	1	312	3	311	3	321	1							<color=Purple>
14024	V« ng· ®¹o nh©n	304	2	101	1	312	3	311	3	321	1							<color=Purple>
914021	V« ng· ®¹o nh©n	304	2	101	1	312	3	311	3	321	1							<color=Purple>
914022	V« ng· ®¹o nh©n	304	2	101	1	312	3	311	3	321	1							<color=Purple>
914023	V« ng· ®¹o nh©n	304	2	101	1	312	3	311	3	321	1							<color=Purple>
914024	V« ng· ®¹o nh©n	304	2	101	1	312	3	311	3	321	1							<color=Purple>
15001	Thanh Phong	304	1	305	1	280	2											<color=Green2>
15002	Thanh Phong	304	1	305	1	280	2											<color=Green2>
15003	Thanh Phong	304	1	305	1	280	2											<color=Green2>
15004	Thanh Phong	304	1	305	1	280	2											<color=Green2>
15011	ThiÓu D­¬ng	306	1	257	3	258	3	261	1									<color=Green2>
15012	ThiÓu D­¬ng	306	1	257	3	258	3	261	1									<color=Green2>
15013	ThiÓu D­¬ng	306	1	257	3	258	3	261	1									<color=Green2>
15014	ThiÓu D­¬ng	306	1	257	3	258	3	261	1									<color=Green2>
15021	Nhµn V©n HiÖp §¹o	304	2	101	1	310	3	309	3	322	1							<color=Purple>
15022	Nhµn V©n HiÖp §¹o	304	2	101	1	310	3	309	3	322	1							<color=Purple>
15023	Nhµn V©n HiÖp §¹o	304	2	101	1	310	3	309	3	322	1							<color=Purple>
15024	Nhµn V©n HiÖp §¹o	304	2	101	1	310	3	309	3	322	1							<color=Purple>
915021	Nhµn V©n HiÖp §¹o	304	2	101	1	310	3	309	3	322	1							<color=Purple>
915022	Nhµn V©n HiÖp §¹o	304	2	101	1	310	3	309	3	322	1							<color=Purple>
915023	Nhµn V©n HiÖp §¹o	304	2	101	1	310	3	309	3	322	1							<color=Purple>
915024	Nhµn V©n HiÖp §¹o	304	2	101	1	310	3	309	3	322	1							<color=Purple>
17001	Khinh Kş	304	1	305	1	280	2											<color=Green2>
17002	Khinh Kş	304	1	305	1	280	2											<color=Green2>
17003	Khinh Kş	304	1	305	1	280	2											<color=Green2>
17004	Khinh Kş	304	1	305	1	280	2											<color=Green2>
17011	HiÖu óy	306	1	308	2	258	3	261	1									<color=Green2>
17012	HiÖu óy	306	1	308	2	258	3	261	1									<color=Green2>
17013	HiÖu óy	306	1	308	2	258	3	261	1									<color=Green2>
17014	HiÖu óy	306	1	308	2	258	3	261	1									<color=Green2>
17021	PhÊn vò t­íng qu©n	304	2	324	1	310	3	309	3	323	1							<color=Purple>
17022	PhÊn vò t­íng qu©n	304	2	324	1	310	3	309	3	323	1							<color=Purple>
17023	PhÊn vò t­íng qu©n	304	2	324	1	310	3	309	3	323	1							<color=Purple>
17024	PhÊn vò t­íng qu©n	304	2	324	1	310	3	309	3	323	1							<color=Purple>
917021	PhÊn vò t­íng qu©n	304	2	324	1	310	3	309	3	323	1							<color=Purple>
917022	PhÊn vò t­íng qu©n	304	2	324	1	310	3	309	3	323	1							<color=Purple>
917023	PhÊn vò t­íng qu©n	304	2	324	1	310	3	309	3	323	1							<color=Purple>
917024	PhÊn vò t­íng qu©n	304	2	324	1	310	3	309	3	323	1							<color=Purple>
18001	Nâ thñ	304	1	305	1	280	2											<color=Green2>
18002	Nâ thñ	304	1	305	1	280	2											<color=Green2>
18003	Nâ thñ	304	1	305	1	280	2											<color=Green2>
18004	Nâ thñ	304	1	305	1	280	2											<color=Green2>
18011	§« óy	307	1	257	3	258	3	261	1									<color=Green2>
18012	§« óy	307	1	257	3	258	3	261	1									<color=Green2>
18013	§« óy	307	1	257	3	258	3	261	1									<color=Green2>
18014	§« óy	307	1	257	3	258	3	261	1									<color=Green2>
18021	PhÊn uy t­íng qu©n	304	2	326	1	310	3	309	3	325	1							<color=Purple>
18022	PhÊn uy t­íng qu©n	304	2	326	1	310	3	309	3	325	1							<color=Purple>
18023	PhÊn uy t­íng qu©n	304	2	326	1	310	3	309	3	325	1							<color=Purple>
18024	PhÊn uy t­íng qu©n	304	2	326	1	310	3	309	3	325	1							<color=Purple>
918021	PhÊn uy t­íng qu©n	304	2	326	1	310	3	309	3	325	1							<color=Purple>
918022	PhÊn uy t­íng qu©n	304	2	326	1	310	3	309	3	325	1							<color=Purple>
918023	PhÊn uy t­íng qu©n	304	2	326	1	310	3	309	3	325	1							<color=Purple>
918024	PhÊn uy t­íng qu©n	304	2	326	1	310	3	309	3	325	1							<color=Purple>
20001	§o¹t ph¸ch	304	1	305	1	280	2											<color=Green2>
20002	§o¹t ph¸ch	304	1	305	1	280	2											<color=Green2>
20003	§o¹t ph¸ch	304	1	305	1	280	2											<color=Green2>
20004	§o¹t ph¸ch	304	1	305	1	280	2											<color=Green2>
20011	Th«i mÖnh	307	1	257	3	258	3	261	1									<color=Green2>
20012	Th«i mÖnh	307	1	257	3	258	3	261	1									<color=Green2>
20013	Th«i mÖnh	307	1	257	3	258	3	261	1									<color=Green2>
20014	Th«i mÖnh	307	1	257	3	258	3	261	1									<color=Green2>
20021	H¾c V« Th­êng	304	2	101	1	310	3	309	3	327	1							<color=Purple>
20022	H¾c V« Th­êng	304	2	101	1	310	3	309	3	327	1							<color=Purple>
20023	H¾c V« Th­êng	304	2	101	1	310	3	309	3	327	1							<color=Purple>
20024	H¾c V« Th­êng	304	2	101	1	310	3	309	3	327	1							<color=Purple>
920021	H¾c V« Th­êng	304	2	101	1	310	3	309	3	327	1							<color=Purple>
920022	H¾c V« Th­êng	304	2	101	1	310	3	309	3	327	1							<color=Purple>
920023	H¾c V« Th­êng	304	2	101	1	310	3	309	3	327	1							<color=Purple>
920024	H¾c V« Th­êng	304	2	101	1	310	3	309	3	327	1							<color=Purple>
21001	§éc Tµm	304	1	305	1	280	2											<color=Green2>
21002	§éc Tµm	304	1	305	1	280	2											<color=Green2>
21003	§éc Tµm	304	1	305	1	280	2											<color=Green2>
21004	§éc Tµm	304	1	305	1	280	2											<color=Green2>
21011	Thùc T©m	250	5	257	3	258	3	262	1									<color=Green2>
21012	Thùc T©m	250	5	257	3	258	3	262	1									<color=Green2>
21013	Thùc T©m	250	5	257	3	258	3	262	1									<color=Green2>
21014	Thùc T©m	250	5	257	3	258	3	262	1									<color=Green2>
21021	B¹ch V« Th­êng	304	2	101	1	312	3	311	3	328	1							<color=Purple>
21022	B¹ch V« Th­êng	304	2	101	1	312	3	311	3	328	1							<color=Purple>
21023	B¹ch V« Th­êng	304	2	101	1	312	3	311	3	328	1							<color=Purple>
21024	B¹ch V« Th­êng	304	2	101	1	312	3	311	3	328	1							<color=Purple>
921021	B¹ch V« Th­êng	304	2	101	1	312	3	311	3	328	1							<color=Purple>
921022	B¹ch V« Th­êng	304	2	101	1	312	3	311	3	328	1							<color=Purple>
921023	B¹ch V« Th­êng	304	2	101	1	312	3	311	3	328	1							<color=Purple>
921024	B¹ch V« Th­êng	304	2	101	1	312	3	311	3	328	1							<color=Purple>
511001	Trang Chñ m·o																	<color=Purple>
511002	Trang Chñ m·o																	<color=Purple>
511003	Trang Chñ m·o																	<color=Purple>
511004	Trang Chñ m·o																	<color=Purple>
511005	Tµng KiÕm Tö Kim m·o																	<color=Gold>
511006	Tµng KiÕm Tö Kim m·o																	<color=Gold>
511007	Tµng KiÕm Tö Kim m·o																	<color=Gold>
511008	Tµng KiÕm Tö Kim m·o																	<color=Gold>
521001	Tæng Qu¶n Ngo¹i trang																	<color=Purple>
521002	Tæng Qu¶n Ngo¹i trang																	<color=Purple>
521003	Tæng Qu¶n Ngo¹i trang																	<color=Purple>
521004	Tæng Qu¶n Ngo¹i trang																	<color=Purple>
521005	Kim Lò Th­êng																	<color=Gold>
521006	Kim Lò Th­êng																	<color=Gold>
521007	Kim Lò Th­êng																	<color=Gold>
521008	Kim Lò Th­êng																	<color=Gold>
531001	Tæng Qu¶n khè																	<color=Purple>
531002	Tæng Qu¶n khè																	<color=Purple>
531003	Tæng Qu¶n khè																	<color=Purple>
