Tªn UÈn Linh	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	Kh¶m n¹m tiªu hao (Vµng)	Phßng ngù (Néi, ngo¹i)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi sö dông trang bŞ sÏ hiÓn thŞ tªn lo¹i h×nh	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)
H-Linh Viªn-Lv1	0	148	15	0	8000	0	1											\image\item\wenshi\emb_cap10a1.spr	\image\item\wenshi\emb_cap10a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
H-H¶i VËn-Lv1	0	148	16	0	8000	0	1											\image\item\wenshi\emb_cap4a1.spr	\image\item\wenshi\emb_cap4a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
H-H¶i T©m-Lv1	0	148	17	0	8000	0	1											\image\item\wenshi\emb_cap4a1.spr	\image\item\wenshi\emb_cap4a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
H-LiÖt Nham-Lv2	0	148	18	0	10000	0	9											\image\item\wenshi\emb_cap2a1.spr	\image\item\wenshi\emb_cap2a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
H-Ph¸ Kh«ng-Lv2	0	148	19	0	10000	0	9											\image\item\wenshi\emb_cap5a1.spr	\image\item\wenshi\emb_cap5a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
H-Tóy KiÕm-Lv2	0	148	20	0	10000	0	9											\image\item\wenshi\emb_cap8a1.spr	\image\item\wenshi\emb_cap8a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
H-TËt Phong-Lv2	0	148	21	0	10000	0	9											\image\item\wenshi\emb_cap11a1.spr	\image\item\wenshi\emb_cap11a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
H-TÊn Phong-Lv2	0	148	22	0	10000	0	9											\image\item\wenshi\emb_cap14a1.spr	\image\item\wenshi\emb_cap14a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
H-¦ng TËp-Lv2	0	148	23	0	10000	0	9											\image\item\wenshi\emb_shoe2a1.spr	\image\item\wenshi\emb_shoe2a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
H-Lang KhiÕu-Lv2	0	148	24	0	10000	0	9											\image\item\wenshi\emb_shoe5a1.spr	\image\item\wenshi\emb_shoe5a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
H-Linh T©m-Lv2	0	148	25	0	10000	0	9											\image\item\wenshi\emb_shoe8a1.spr	\image\item\wenshi\emb_shoe8a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
H-ThÇn Lùc-Lv2	0	148	26	0	10000	0	9											\image\item\wenshi\emb_cap2a1.spr	\image\item\wenshi\emb_cap2a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
H-Ng­ng ThÇn-Lv2	0	148	27	0	10000	0	9											\image\item\wenshi\emb_cap5a1.spr	\image\item\wenshi\emb_cap5a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
H-V« Gian-Lv2	0	148	28	0	10000	0	9											\image\item\wenshi\emb_cap11a1.spr	\image\item\wenshi\emb_cap11a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
H-V« Cùc-Lv2	0	148	29	0	10000	0	9											\image\item\wenshi\emb_cap14a1.spr	\image\item\wenshi\emb_cap14a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
H-Cuång NhËn-Lv2	0	148	30	0	10000	0	9											\image\item\wenshi\emb_cap2a1.spr	\image\item\wenshi\emb_cap2a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
H-L¨ng NhuÖ-Lv2	0	148	31	0	10000	0	9											\image\item\wenshi\emb_cap2a1.spr	\image\item\wenshi\emb_cap2a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
H-Linh Viªn-Lv2	0	148	32	0	10000	0	9											\image\item\wenshi\emb_cap11a1.spr	\image\item\wenshi\emb_cap11a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
H-H¶i VËn-Lv2	0	148	33	0	10000	0	9											\image\item\wenshi\emb_cap5a1.spr	\image\item\wenshi\emb_cap5a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
H-H¶i T©m-Lv2	0	148	34	0	10000	0	9											\image\item\wenshi\emb_cap5a1.spr	\image\item\wenshi\emb_cap5a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
H-LiÖt Nham-Lv3	0	148	35	0	12000	0	99											\image\item\wenshi\emb_cap3a1.spr	\image\item\wenshi\emb_cap3a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
H-Ph¸ Kh«ng-Lv3	0	148	36	0	12000	0	99											\image\item\wenshi\emb_cap6a1.spr	\image\item\wenshi\emb_cap6a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
H-Tóy KiÕm-Lv3	0	148	37	0	12000	0	99											\image\item\wenshi\emb_cap9a1.spr	\image\item\wenshi\emb_cap9a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
H-TËt Phong-Lv3	0	148	38	0	12000	0	99											\image\item\wenshi\emb_cap12a1.spr	\image\item\wenshi\emb_cap12a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
H-TÊn Vò-Lv3	0	148	39	0	12000	0	99											\image\item\wenshi\emb_cap15a1.spr	\image\item\wenshi\emb_cap15a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
H-¦ng TËp-Lv3	0	148	40	0	12000	0	99											\image\item\wenshi\emb_ring3a1.spr	\image\item\wenshi\emb_ring3a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
H-Lang KhiÕu-Lv3	0	148	41	0	12000	0	99											\image\item\wenshi\emb_ring6a1.spr	\image\item\wenshi\emb_ring6a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
H-Linh T©m-Lv3	0	148	42	0	12000	0	99											\image\item\wenshi\emb_ring9a1.spr	\image\item\wenshi\emb_ring9a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
H-ThÇn Lùc-Lv3	0	148	43	0	12000	0	99											\image\item\wenshi\emb_cap3a1.spr	\image\item\wenshi\emb_cap3a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
H-Ng­ng ThÇn-Lv3	0	148	44	0	12000	0	99											\image\item\wenshi\emb_cap6a1.spr	\image\item\wenshi\emb_cap6a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
H-V« Gian-Lv3	0	148	45	0	12000	0	99											\image\item\wenshi\emb_cap12a1.spr	\image\item\wenshi\emb_cap12a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
H-V« Cùc-Lv3	0	148	46	0	12000	0	99											\image\item\wenshi\emb_cap15a1.spr	\image\item\wenshi\emb_cap15a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
H-Cuång NhËn-Lv3	0	148	47	0	12000	0	99											\image\item\wenshi\emb_cap3a1.spr	\image\item\wenshi\emb_cap3a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
H-L¨ng NhuÖ-Lv3	0	148	48	0	12000	0	99											\image\item\wenshi\emb_cap3a1.spr	\image\item\wenshi\emb_cap3a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
H-Linh Viªn-Lv3	0	148	49	0	12000	0	99											\image\item\wenshi\emb_cap12a1.spr	\image\item\wenshi\emb_cap12a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
H-H¶i VËn-Lv3	0	148	50	0	12000	0	99											\image\item\wenshi\emb_cap6a1.spr	\image\item\wenshi\emb_cap6a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
H-H¶i T©m-Lv3	0	148	51	0	12000	0	99											\image\item\wenshi\emb_cap6a1.spr	\image\item\wenshi\emb_cap6a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
H-UÈn Linh ®· chØnh söa xong	0	148	52	0	0	0	1											\image\item\wenshi\emb_cap1a1.spr	\image\item\wenshi\emb_cap1a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1

C-LiÖt Nham-Lv1	0	149	1	0	8000	0	1											\image\item\wenshi\emb_cloth1a1.spr	\image\item\wenshi\emb_cloth1a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
C-Ph¸ Kh«ng-Lv1	0	149	2	0	8000	0	1											\image\item\wenshi\emb_cloth4a1.spr	\image\item\wenshi\emb_cloth4a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
C-Tóy KiÕm-Lv1	0	149	3	0	8000	0	1											\image\item\wenshi\emb_cloth7a1.spr	\image\item\wenshi\emb_cloth7a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
C-TËt Phong-Lv1	0	149	4	0	8000	0	1											\image\item\wenshi\emb_cloth10a1.spr	\image\item\wenshi\emb_cloth10a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
C-TÊn Vò-Lv1	0	149	5	0	8000	0	1											\image\item\wenshi\emb_cloth13a1.spr	\image\item\wenshi\emb_cloth13a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
C-Né Ng©m-Lv1	0	149	6	0	8000	0	1											\image\item\wenshi\emb_ring1a1.spr	\image\item\wenshi\emb_ring1a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
C-Xuyªn V©n-Lv1	0	149	7	0	8000	0	1											\image\item\wenshi\emb_ring4a1.spr	\image\item\wenshi\emb_ring4a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
C-L¹c NhËt-Lv1	0	149	8	0	8000	0	1											\image\item\wenshi\emb_ring7a1.spr	\image\item\wenshi\emb_ring7a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
C-ThÇn Lùc-Lv1	0	149	9	0	8000	0	1											\image\item\wenshi\emb_cloth1a1.spr	\image\item\wenshi\emb_cloth1a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
