ID	Tips	nG	nD	nP	CoinType	CoinCost	cG	cD	cP	cNum	gG1	gD1	gP1	gNum1	gBind1	gG2	gD2	gP2	gNum2	gBind2	NeedCfm	EnhanceType
9	Méc Linh Phô ThÓ CÊp 4	2	150	32							2	1	30729	4	0							1
9	Thuû Linh Phô ThÓ CÊp 4	2	150	36							2	1	30729	4	0							1
9	Ho¶ Linh Phô ThÓ CÊp 4	2	150	40							2	1	30729	4	0							1
9	Thæ Linh Phô ThÓ CÊp 4	2	150	44							2	1	30729	4	0							1
9	Ph¸ Kh«ng Tr¶m ¶nh CÊp 4	2	150	48							2	1	30729	4	0							1
9	S¸t th­¬ng gia n©ng cÊp 4	2	150	52							2	1	30729	4	0							1
9	Khinh Linh TÊn TËt  CÊp 4	2	150	56							2	1	30729	4	0							1
9	V« H×nh Chi Cæ CÊp 4	2	150	60							2	1	30729	4	0							1
10	MËt TÞch Th­êng	0	107	204;223							2	114	117	10	0				5		1	1
10	MËt TÞch Cao CÊp	0	107	30001;30017							2	114	117	20	0				5		1	1
10	MËt TÞch Siªu CÊp	0	107	30018;30034							2	114	117	30	0				5		1	1
11	Hoa v¨n	0	113;117	11;20																	1	2
10	MËt TÞch Cao CÊp	0	107	30035;30037							2	114	117	20	0				5		1	1
10	MËt TÞch Siªu CÊp	0	107	30038;30040							2	114	117	30	0				5		1	1
10	MËt TÞch Th­êng	0	107	231							2	114	117	10	0				5		1	1
10	MËt TÞch Th­êng	0	107	235							2	114	117	10	0				5		1	1
10	MËt TÞch Cao CÊp	0	107	30041							2	114	117	20	0				5		1	1
10	MËt TÞch Cao CÊp	0	107	30043							2	114	117	20	0				5		1	1
10	MËt TÞch Siªu CÊp	0	107	30042							2	114	117	30	0				5		1	1
10	MËt TÞch Siªu CÊp	0	107	30044							2	114	117	30	0				5		1	1
