Tên	Loại hình chính	Loại hình phụ	Phân loại chi tiết	Nặng	Giá	Sếp chồng nhiều nhất	Hồi phục thuộc tính1	Trị số phục hồi thuộc tính mỗi nữa giây (1)	Hồi phục thuộc tính2	Trị số phục hồi thuộc tính mỗi nữa giây (2)	Hồi phục thuộc tính3	Trị số phục hồi thuộc tính mỗi nữa giây (3)	Hồi phục thuộc tính4	Trị số phục hồi thuộc tính mỗi nữa giây (4)	Thời gian duy trì hiệu lực (Số chẵn)	Lưu ( Chữ số)	Lưu ( Chữ số)	Hiện hình nhỏ trên giao diện	Hiện hình lớn trên giao diện	Thuyết minh	Lưu (chuỗi ký tự)	Khi vứt ra ngoài sẽ hiển thị tên	File gốc	Cấp	"Có thể giao dịch hay không ( 0 có thể giao dịch, có thể bán; 1 không thể giao dịch không thể bán; 2 có thể bán, không thể giao dịch; 3 không thể bán, có thể giao dịch; 4 có thể bán, sau khi mang vào sẽ bị khóa)"	Có/không thể vứt (0 được; 1 không được)	Bảo lưu 1	Bảo lưu 2	Bảo lưu 3	Tiêu chí phát triển	Biên hiệu phát triển	Biên hiệu mở khóa	Biên hiệu kinh nghiệm
Thái Huyền Chú	2	3	11	2	2	999												\image\item\other\skius_011a1.spr	\image\item\other\skius_011a0.spr	Sử dụng nhanh chóng phục hồi sinh lực.		Tiêu hao		1									
Phá Ma Chú	2	3	12	0	2	999												\image\item\other\ặặẤĐệọa1.spr	\image\item\other\ặặẤĐệọa0.spr	Có thể qua lại giữa 2 thế giới Âm_Dương.		Tiêu hao		1									
Tụ Thiết thạch	2	8	1	0	2	999												\image\item\other\ormeta_001a1.spr	\image\item\other\ormeta_001a0.spr	Có thể chế tạo Tinh Thiết khoáng thạch.		Sinh hoạt											
Tụ Đồng thạch	2	8	2	0	2	999												\image\item\other\ormeta_002a1.spr	\image\item\other\ormeta_002a0.spr	Có thể chế tạo Tinh Đồng khoáng thạch.		Sinh hoạt											
Tụ Tích thạch	2	8	3	0	2	999												\image\item\other\ormeta_003a1.spr	\image\item\other\ormeta_003a0.spr	Có thể chế tạo Bạch Ngân khoáng thạch.		Sinh hoạt											
Tụ Ngân thạch	2	8	4	0	3	999												\image\item\other\ormeta_004a1.spr	\image\item\other\ormeta_004a0.spr	Có thể chế tạo Bạch Ngân khoáng thạch.		Sinh hoạt											
Thái Bạch Tinh Thạch	2	8	6	0	3	999												\image\item\other\ormeta_006a1.spr	\image\item\other\ormeta_006a0.spr	"Một mảnh thiên thạch, đẹp như ngọc có thể phát sáng."		Sinh hoạt											
Huyền Thạch	2	8	7	0	4	999												\image\item\other\ormeta_007a1.spr	\image\item\other\ormeta_007a0.spr	"Một mảnh thiên thạch, đẹp như ngọc có thể phát sáng."		Sinh hoạt		8									
Huyền Mộc	2	7	1	0	2	999												\image\item\other\orwood_001a1.spr	\image\item\other\orwood_001a0.spr	"Dẻo dai, có thể dùng làm giáo thương"		Sinh hoạt											
Chương Mộc	2	7	2	0	2	999												\image\item\other\orwood_002a1.spr	\image\item\other\orwood_002a0.spr	"Bền chắc, người Giang Đông hay dùng để đóng thuyền."		Sinh hoạt											
Ngọc Thụ Can	2	7	3	0	2	999												\image\item\other\orwood_003a1.spr	\image\item\other\orwood_003a0.spr	Thổ dân thường dùng làm nhà.		Sinh hoạt											
Đan Thanh Mộc	2	7	4	0	3	999												\image\item\other\orwood_004a1.spr	\image\item\other\orwood_004a0.spr	"Cực kỳ dẻo dai, thổ dân thường đẻo làm cày."		Sinh hoạt											
Vô Họa Mộc	2	7	5	0	3	999												\image\item\other\orwood_005a1.spr	\image\item\other\orwood_005a0.spr	"Mùi hương dịu nhẹ có thể tránh được tà khí, thường dùng làm vũ khí."		Sinh hoạt											
Ba La Mộc Can	2	7	6	0	3	999												\image\item\other\orwood_006a1.spr	\image\item\other\orwood_006a0.spr	"Hoa giống hoa sen, đi xa trăm bước đã nghe thấy mùi thơm."		Sinh hoạt											
Khúc gỗ Bồ Đề	2	7	7	0	2	999												\image\item\other\orwood_007a1.spr	\image\item\other\orwood_007a0.spr	Loài cây gắn liền với lịch sử phát triển của Phật Giáo.		Sinh hoạt											
Tù Thú bì	2	10	5	0	2	999												\image\item\other\orskin_005a1.spr	\image\item\other\orskin_005a0.spr	"Da của một loài thú hình dạng giống như hổ, 10 năm mới lột xác một lần."		Sinh hoạt											
Thụy ứng bì	2	10	4	0	2	999												\image\item\other\orskin_001a1.spr	\image\item\other\orskin_001a0.spr	"Da của hồ ly chín đuôi, 10 năm mới lột xác một lần."		Sinh hoạt											
Ba xà bì	2	10	3	0	3	999												\image\item\other\orskin_003a1.spr	\image\item\other\orskin_003a0.spr	"Da độc xà, 10 năm mới lột xác một lần."		Sinh hoạt											
Suất Nhiên bì	2	10	2	0	3	999												\image\item\other\orskin_002a1.spr	\image\item\other\orskin_002a0.spr	"Da độc xà, 10 năm mới lột xác một lần."		Sinh hoạt		8									
Cuồng Hùng bì	2	10	1	0	3	999												\image\item\other\orskin_004a1.spr	\image\item\other\orskin_004a0.spr	Có thể may áo giáp chống rét cực tốt.		Sinh hoạt											
Độc Lang Nguyên Bì	2	10	6	0	2	999												\image\item\other\orskin_006a1.spr	\image\item\other\orskin_006a0.spr	Da sói có thể may áo giáp.		Sinh hoạt											
Lông thỏ	2	9	1	0	1	999												\image\item\other\orsilk_001a1.spr	\image\item\other\orsilk_001a0.spr	Có thể may thành trang phục		Sinh hoạt		1									
Tàm tơ	2	9	2	0	2	999												\image\item\other\orsilk_002a1.spr	\image\item\other\orsilk_002a0.spr	Loại tơ nổi tiếng ở vùng Giang Nam được xem là thượng phẩm.		Sinh hoạt		2									
Tơ Ngũ Sắc	2	9	3	0	3	999												\image\item\other\orsilk_003a1.spr	\image\item\other\orsilk_003a0.spr	Đặc sản của vùng Lĩnh Nam.		Sinh hoạt		3									
Lang chu tơ	2	2	52	0	4	999												\image\item\other\orsilk_009a1.spr	\image\item\other\orsilk_009a0.spr	Mịn màng bền chắc		Sinh hoạt		4									
Hồng tơ	2	2	53	0	5	999												\image\item\other\orsilk_012a1.spr	\image\item\other\orsilk_012a0.spr	"Một loại tơ ở Tây Vực, màu sắc đỏ thắm"		Sinh hoạt		5									
Linh Chu tơ	2	2	54	0	6	999												\image\item\other\orsilk_010a1.spr	\image\item\other\orsilk_010a0.spr	Một loại tơ của vùng tây nam có thể kháng độc.		Sinh hoạt		6									
Kim tàm tơ	2	2	55	0	7	999												\image\item\other\orsilk_008a1.spr	\image\item\other\orsilk_008a0.spr	Một loại Tơ tằm ở Thiên Trúc có thể trừ hỏa thanh nhiệt.		Sinh hoạt		7									
Lãnh trùng tơ	2	9	4	0	8	999												\image\item\other\orsilk_004a1.spr	\image\item\other\orsilk_004a0.spr	Có thể dệt thành trang phục		Sinh hoạt		8									
Hỏa chu tơ	2	9	5	0	9	999												\image\item\other\orsilk_005a1.spr	\image\item\other\orsilk_005a0.spr	Loại tơ chỉ có ở vùng Nam Lĩnh		Sinh hoạt		9									
Băng tàm tơ	2	9	6	0	10	999												\image\item\other\orsilk_006a1.spr	\image\item\other\orsilk_006a0.spr	"Tơ của một loại nhện trên núi Thiên Sơn vùng Tây Vực, mềm mại bền chắc."		Sinh hoạt		10									
Ô Tàm  tơ	2	9	7	0	4	999												\image\item\other\orsilk_007a1.spr	\image\item\other\orsilk_007a0.spr	"Loại tằm trên núi Tuyết Sơn, mỗi năm chỉ nhả tơ một lần. Dùng làm dược liệu trị thương cực kỳ hữu dụng."		Sinh hoạt		8									
Thiên Tàm tơ	2	2	56	0	10	999												\image\item\other\orsilk_011a1.spr	\image\item\other\orsilk_011a0.spr	Loại tơ chỉ có ở vùng Nam Lĩnh		Sinh hoạt		9									
Tơ Thái Vân	2	2	100	0	10	999												\image\item\other\̃ấễặậẴa1.spr	\image\item\other\̃ấễặậẴa0.spr	"Sợi tơ Tiên nữ dùng để dệt mây trong truyền thuyết, vật liệu dùng để tạo trang bị cao cấp."		Sinh hoạt		10									
Bổ Thiên Tuyến	2	2	101	0	10	999												\image\item\other\orsilk_011a1.spr	\image\item\other\orsilk_011a0.spr	"Sợi tơ dùng để vá trời trong truyền thuyết, vật liệu may phòng cụ cực kỳ hiếm có."		Sinh hoạt											
Thiên Hạt Châm	2	2	102	0	10	999												\image\item\other\coll_112a1.spr	\image\item\other\coll_112a0.spr	"Loại da trong truyền thuyết, vô cùng cứng cáp, các loại kim thường không thể xuyên thủng."		Sinh hoạt											
Tinh Thiết	2	2	1	0	1	999												\image\item\other\meta_001a1.spr	\image\item\other\meta_001a0.spr	"Được tinh luyện từ khoáng thạch, có thể làm vũ khí."		Sinh hoạt		1									
Bách Luyện Cương	2	2	2	0	2	999												\image\item\other\meta_002a1.spr	\image\item\other\meta_002a0.spr	Nguyên liệu chế tạo vũ khí.		Sinh hoạt		2									
Ô kim thạch	2	8	5	0	3	999												\image\item\other\ormeta_005a1.spr	\image\item\other\ormeta_005a0.spr	Dùng làm nguyên liệu.		Sinh hoạt		3									
Hàn thiết	2	2	4	0	4	999												\image\item\other\meta_004a1.spr	\image\item\other\meta_004a0.spr	Nguyên liệu chế tạo vũ khí.		Sinh hoạt		4									
Thái bạch tinh kim	2	2	5	0	5	999												\image\item\other\meta_005a1.spr	\image\item\other\meta_005a0.spr	Nguyên liệu chế tạo vũ khí cực kỳ quý hiếm.		Sinh hoạt		5									
Huyền thiết	2	2	6	0	6	999												\image\item\other\meta_006a1.spr	\image\item\other\meta_006a0.spr	Nguyên liệu chế tạo vũ khí cực kỳ quý hiếm.		Sinh hoạt		6									
Thiên thanh thạch	2	2	36	0	7	999												\image\item\other\ormeta_011a1.spr	\image\item\other\ormeta_011a0.spr	Nguyên liệu chế tạo cao cấp cực kỳ quý hiếm. .		Sinh hoạt		7									
Hắc ô thạch	2	2	37	0	8	999												\image\item\other\ormeta_010a1.spr	\image\item\other\ormeta_010a0.spr	"Đá nam châm, nguyên liệu cao cấp."		Sinh hoạt		8									
Hắc Ô tinh thạch	2	2	66	0	8	999												\image\item\other\ormeta_010Sa1.spr	\image\item\other\ormeta_010Sa0.spr	Được tinh luyện lại từ đá nam châm.		Sinh hoạt		8									
Xích Ô linh phù	2	2	69	0	1	999												\image\item\other\fu_002Sa1.spr	\image\item\other\fu_002Sa0.spr	Linh phù được làm từ Giám định phù kết hợp với Bồ Đề mộc trải qua quá trình phức tạp chế thành.		Sinh hoạt		8									
Xích thiết	2	2	38	0	9	999												\image\item\other\ormeta_008a1.spr	\image\item\other\ormeta_008a0.spr	Nguyên liệu cao cấp		Sinh hoạt		9									
Vân mẫu	2	2	39	0	10	999												\image\item\other\ormeta_012a1.spr	\image\item\other\ormeta_012a0.spr	"Tinh khoáng thạch, nguyên liệu cao cấp."		Sinh hoạt		10									
Cáo thạch	2	2	40	0	10	999												\image\item\other\ormeta_009a1.spr	\image\item\other\ormeta_009a0.spr	Nguyên liệu cao cấp quý hiếm.		Sinh hoạt											
Tử Kim	2	2	3	0	3	999												\image\item\other\meta_003a1.spr	\image\item\other\meta_003a0.spr	Nguyên liệu cao cấp		Sinh hoạt		3									
Hồn Thạch	2	2	103	0	10	999												\image\item\other\ormeta_006a1.spr	\image\item\other\ormeta_006a0.spr	"Thần binh lợi khí đề có linh hồn, Hồn thạch vẫn là vật không thể thiếu để chế tạo Thần khí."		Sinh hoạt											
Mảnh Thiên thạch	2	2	7	0	4	999												\image\item\other\ễẫèỳậộặơ(x).spr	\image\item\other\ễẫèỳậộặơ(d).spr	"Nguyên liệu để đúc thần khí. (Vật thêm vào, giá trị là 10, giá trị tối đa là 6000)"		Thần bí		1	0	1							
Thiên thạch	2	2	8	0	7	999												\image\item\other\smeta_001a1.spr	\image\item\other\smeta_001a0.spr	"Cuối năm ất Dậu, Xích tinh rơi ở Tây Bắc, Công Thâu Ban dùng liệt hỏa luyện thành tinh thạch, nguyên liệu để đúc thần khí. (Vật thêm vào, giá trị là 40, giá trị tối đa là 7000)"		Thần bí		1	0	1							
Tùng Mộc	2	2	41	0	1	999												\image\item\other\orwood_009a1.spr	\image\item\other\orwood_009a0.spr	Hoa văn tự nhiên có thể dùng làm giấy.		Sinh hoạt		1									
Dương Mộc	2	2	42	0	2	999												\image\item\other\orwood_012a1.spr	\image\item\other\orwood_012a0.spr	Người phương Bắc thường sử dụng.		Sinh hoạt		2									
Sam Mộc	2	2	43	0	3	999												\image\item\other\orwood_008a1.spr	\image\item\other\orwood_008a0.spr	Có thể dùng làm nguyên liệu		Sinh hoạt		3									
Thiết Mộc	2	2	44	0	4	999												\image\item\other\orwood_010a1.spr	\image\item\other\orwood_010a0.spr	Nguyên liệu cực tốt.		Sinh hoạt		4									
Ngô Đồng	2	2	45	0	5	999												\image\item\other\orwood_011a1.spr	\image\item\other\orwood_011a0.spr	Có thể dùng làm nguyên liệu		Sinh hoạt		5									
Trùng Mộc	2	2	9	0	6	999												\image\item\other\wood_001a1.spr	\image\item\other\wood_001a0.spr	Có thể dùng chế tạo vũ khí.		Sinh hoạt		6									
Thiết Chương Mộc	2	2	10	0	7	999												\image\item\other\wood_002a1.spr	\image\item\other\wood_002a0.spr	Có thể dùng làm nguyên liệu		Sinh hoạt		7									
Thiết Tuyến Mộc	2	2	11	0	8	999												\image\item\other\wood_003a1.spr	\image\item\other\wood_003a0.spr	Có thể dùng làm nguyên liệu		Sinh hoạt		8									
Thiết Tuyến tinh mộc	2	2	67	0	8	999												\image\item\other\wood_003Sa1.spr	\image\item\other\wood_003Sa0.spr	Có thể dùng làm nguyên liệu		Sinh hoạt		8									
Ba La Mộc	2	2	12	0	9	999												\image\item\other\wood_004a1.spr	\image\item\other\wood_004a0.spr	Nguyên liệu chế tạo vũ khí.		Sinh hoạt		9									
Đàn Mộc	2	2	13	0	10	999												\image\item\other\wood_005a1.spr	\image\item\other\wood_005a0.spr	Mùi hương có thể trừ được tà ma. Nguyên liệu cực kỳ quý hiếm.		Sinh hoạt		10									
Bồ Đề Mộc	2	2	14	0	6	999												\image\item\other\wood_006a1.spr	\image\item\other\wood_006a0.spr	Nguyên liệu quý hiếm.		Sinh hoạt		8									
Thiết Hoa Mộc	2	2	104	0	10	999												\image\item\other\orwood_010a1.spr	\image\item\other\orwood_010a0.spr	"Thiết Hoa Mộc, cứng hơn thép, dùng để chế tạo vũ khí."		Sinh hoạt		4									
Kiến Mộc	2	2	105	0	10	999												\image\item\other\wood_006a1.spr	\image\item\other\wood_006a0.spr	"Gỗ lấy từ cây cao chọc trời trong truyền thuyết, dùng để chế tạo vũ khí."		Sinh hoạt		8									
Da sói	2	2	15	0	1	999												\image\item\other\skin_001a1.spr	\image\item\other\skin_001a0.spr	"Da sói thông thường, dùng làm nguyên liệu phòng hộ."		Sinh hoạt		1									
Da hổ	2	2	16	0	2	999												\image\item\other\skin_002a1.spr	\image\item\other\skin_002a0.spr	"Dùng làm nguyên liệu phòng hộ, rất hiệu quả khi chiến đấu!"		Sinh hoạt		2									
Da rắn	2	2	18	0	3	999												\image\item\other\skin_003a1.spr	\image\item\other\skin_003a0.spr	Dùng làm nguyên liệu phòng hộ.		Sinh hoạt		3									
Da cáo	2	2	17	0	4	999												\image\item\other\skin_004a1.spr	\image\item\other\skin_004a0.spr	Dùng làm nguyên liệu phòng hộ.		Sinh hoạt		4									
Da hổ trắng	2	2	46	0	5	999												\image\item\other\orskin_011a1.spr	\image\item\other\orskin_011a0.spr	"Da hổ trăm tuổi, cực kỳ quý hiếm."		Sinh hoạt		5									
Da gấu	2	2	20	0	6	999												\image\item\other\skin_006a1.spr	\image\item\other\skin_006a0.spr	Dùng làm nguyên liệu phòng hộ.		Sinh hoạt		6									
Loan điểu vũ	2	10	7	0	7	999												\image\item\other\orskin_007a1.spr	\image\item\other\orskin_007a0.spr	Dùng làm nguyên liệu phòng hộ.		Sinh hoạt		7									
Da Sư tử	2	2	47	0	8	999												\image\item\other\orskin_008a1.spr	\image\item\other\orskin_008a0.spr	"Một trong 4 tứ linh, dùng làm nguyên liệu phòng hộ cực kỳ quý hiếm."		Sinh hoạt		8									
Da Sư tinh	2	2	68	0	1	999												\image\item\other\orskin_008Sa1.spr	\image\item\other\orskin_008Sa0.spr	Da Sư tử qua nhiều công đoạn tinh luyện chế biến thành.		Sinh hoạt		8									
Da Vượn trắng	2	2	48	0	9	999												\image\item\other\orskin_010a1.spr	\image\item\other\orskin_010a0.spr	"Da Vượn trắng của vùng Đông Sơn, có thể trừ độc."		Sinh hoạt											
Chu Tước vũ	2	2	49	0	10	999												\image\item\other\orsilk_013a1.spr	\image\item\other\orsilk_013a0.spr	"Lông chim sẻ ở vùng Giang Nam, lửa thiêu không cháy"		Sinh hoạt		10									
Da Linh ngao	2	2	50	0	10	999												\image\item\other\orskin_009a1.spr	\image\item\other\orskin_009a0.spr	"Võ ngao ở biển Bột Hải, nước không thấm."		Sinh hoạt		9									
Phụng Hoàng Vũ	2	2	51	0	10	999												\image\item\other\orsilk_014a1.spr	\image\item\other\orsilk_014a0.spr	Có thể dùng làm nguyên liệu tinh chế đơn dược Cải tử hồi sinh.		Sinh hoạt											
Hắc Cẩm	2	2	21	0	1	999												\image\item\other\silk_001a1.spr	\image\item\other\silk_001a0.spr	"Loại gấm chỉ có ở vùng Giang Nam, mềm mại quý phái, nguyên liệu may trang phục."		Sinh hoạt		7									
Chức cẩm	2	2	22	0	2	999												\image\item\other\silk_002a1.spr	\image\item\other\silk_002a0.spr	Do Tùng Giang phủ chế tạo từ vải bông và chỉ màu để dệt.		Sinh hoạt		7									
Hỏa Hoán Cẩm	2	2	23	0	3	999												\image\item\other\silk_003a1.spr	\image\item\other\silk_003a0.spr	"Loại gấm do Đại Lý di tộc dệt, màu sắc sặc sỡ, hoa văn tinh xảo."		Sinh hoạt		7									
Mộc Miên Cẩm	2	2	24	0	4	999												\image\item\other\silk_004a1.spr	\image\item\other\silk_004a0.spr	"Loại gấm trứ danh do Đại Lý di tộc dệt, màu sắc rực rỡ."		Sinh hoạt		4									
Vân Cẩm	2	2	25	0	5	999												\image\item\other\silk_005a1.spr	\image\item\other\silk_005a0.spr	"Loại gấm sang trọng, đáng giá ngàn vàng do những người thợ nổi tiếng ở đất Thục dệt thành."		Sinh hoạt		5									
Thiên Tôn Cẩm	2	2	26	0	6	999												\image\item\other\silk_006a1.spr	\image\item\other\silk_006a0.spr	"Do các thiếu nữ ở vùng Tô Châu dệt nên, đẹp đẽ thanh tú, tôn lên nét sang trọng."		Sinh hoạt		6									
Liên Hoành Phổ	2	2	27	0	3	999												\image\item\other\slife_001a1.spr	\image\item\other\slife_001a0.spr	Binh khí phổ do các tiền bối võ lâm đời trước truyền lại.		Sinh hoạt		7									
Tu La Phổ	2	2	57	0	6	999												\image\item\other\slife_001a1.spr	\image\item\other\slife_001a0.spr	"Binh khí phổ thần kỳ của các của các đại sư binh khí nổi tiếng của Tu La giáo năm xưa, dùng đúc tạo những binh khí thượng đẳng."		Sinh hoạt		7									
Thần Binh Phổ	2	2	58	0	9	999												\image\item\other\slife_001a1.spr	\image\item\other\slife_001a0.spr	"Binh khí phổ thần kỳ từ thời thượng cổ truyền lại, chỉ người hữu duyên mới có thể đúc tạo được thần binh lợi khí."		Sinh hoạt		7									
Hắc Kim Phấn	2	2	59	0	3	999												\image\item\other\coll_110a1.spr	\image\item\other\coll_110a0.spr	"Kim loại thần kỳ được người Tây Vực du nhập vào Trung Nguyên từ thời Hán Võ Đế, vật liệu quan trọng để đúc tạo vũ khí."		Sinh hoạt		1									
Hắc Kim nhỏ	2	2	60	0	6	999												\image\item\other\ẲẾẵỖa1.spr	\image\item\other\ẲẾẵỖa0.spr	"Kim loại thần kỳ được người Tây Vực du nhập vào Trung Nguyên từ thời Hán Võ Đế, vật liệu quan trọng để đúc tạo vũ khí."		Sinh hoạt		2									
Hắc Kim lớn	2	2	61	0	9	999												\image\item\other\ẲẾẵỖa1.spr	\image\item\other\ẲẾẵỖa0.spr	"Kim loại thần kỳ được người Tây Vực du nhập vào Trung Nguyên từ thời Hán Võ Đế, vật liệu quan trọng để đúc tạo vũ khí."		Sinh hoạt		3									
Chỉ tơ	2	2	62	0	3	999												\image\item\other\orsilk_002a1.spr	\image\item\other\orsilk_002a0.spr	"Kim tuyến bình dân thường dùng, nguyên liệu cần thiết để may vá"		Sinh hoạt		1									
Cẩm tuyến	2	2	63	0	6	999												\image\item\other\orsilk_003a1.spr	\image\item\other\orsilk_003a0.spr	"Kim tuyến bình dân thường dùng, nguyên liệu cần thiết để may vá"		Sinh hoạt		2									
Sợi tơ	2	2	64	0	9	999												\image\item\other\orsilk_011a1.spr	\image\item\other\orsilk_011a0.spr	"Kim tuyến phú hộ thường dùng, nguyên liệu cần thiết để may vá"		Sinh hoạt		3									
Linh Phù Chỉ	2	2	65	0	9	999												\image\item\cloth\tool_010a1.spr	\image\item\cloth\tool_010a0.spr	Loại giấy chuyên dùng để viết bùa chú.		Sinh hoạt		1									
Dược Vương Thần biên	2	2	28	0	3	999												\image\item\other\slife_001a1.spr	\image\item\other\slife_001a0.spr	Sách ghi chép cách bào chế thuốc của Dược Vương Tôn Tư Mạc để chế tạo thần đơn và các loại thuốc quý.		Sinh hoạt		3									
Độn Giáp Thư	2	2	29	0	3	999												\image\item\other\slife_001a1.spr	\image\item\other\slife_001a0.spr	Sách ghi chép cách chế phù của Trương Thiên Sư ở Long Hổ sơn để chế tạo các loại kỳ phù.		Sinh hoạt		3									
Chu sa	2	2	30	0	1	999												\image\item\other\fulife_001a1.spr	\image\item\other\fulife_001a0.spr	"Loại Chu Sa có ở Đồng huyệt Thục sơn mang linh lực, dùng chế tạo các loại đạo phù."		Sinh hoạt		1									
Đơn Tâm sa	2	2	31	0	2	999												\image\item\other\fulife_002a1.spr	\image\item\other\fulife_002a0.spr	"Loại Chu Sa hấp thu uy linh dũng sĩ mang linh lực mạnh mẽ, dùng chế tạo các loại đạo phù."		Sinh hoạt		2									
Bích Huyết Sa	2	2	32	0	3	999												\image\item\other\fulife_003a1.spr	\image\item\other\fulife_003a0.spr	"Được tạo nên từ Linh Huyết của các tiên nhân mang linh lực vô song, dùng chế tạo các loại đạo phù."		Sinh hoạt		3									
Thiên Linh Sa	2	2	106	0	10	999												\image\item\other\fulife_003a1.spr	\image\item\other\fulife_003a0.spr	"Loại cát hiếm có, dùng để vẽ bùa."		Sinh hoạt		9									
Hắc Khuyển Linh Huyết	2	2	33	0	1	999												\image\item\other\fulife_004a1.spr	\image\item\other\fulife_004a0.spr	"Linh huyết của hắc cẩu mới sinh, có thể trừ tà đuổi yêu, dùng chế tạo đạo phù."		Sinh hoạt		1									
Thanh Ô Linh Huyết	2	2	34	0	2	999												\image\item\other\fulife_005a1.spr	\image\item\other\fulife_005a0.spr	Linh huyết của tam túc thanh ô ở Côn Lôn sơn dùng chế tạo các loại đạo phù uy lực mạnh mẽ.		Sinh hoạt		2									
Huyền Hạc Linh Huyết	2	2	35	0	3	999												\image\item\other\fulife_006a1.spr	\image\item\other\fulife_006a0.spr	"Lấy từ máu tươi của bạch hạc ngàn năm biến hóa thành hắc hạc, dùng chế tạo các loại đạo phù thần kỳ."		Sinh hoạt		3									
Địa Long Huyết	2	2	107	0	10	999												\image\item\other\fulife_006a1.spr	\image\item\other\fulife_006a0.spr	"Thực ra là chất lỏng hội tụ linh khí mà thành, dùng để vẽ bùa."		Sinh hoạt		10									
Thiên Niên Đào Mộc	2	2	108	0	10	999												\image\item\other\orwood_008a1.spr	\image\item\other\orwood_008a0.spr	"Gỗ đào tích tụ linh khí vô cùng hiếm có, dùng để chế thẻ bùa vô cùng linh nghiệm."		Sinh hoạt											
Uẫn Linh Hào	2	2	109	0	10	999												\image\item\other\coll_001a1.spr	\image\item\other\coll_001a0.spr	"Dùng để tạo bút lông, rất nhiều linh khí, nhưng đáng tiếc chỉ dùng một lần là hết linh khí."		Sinh hoạt											
Da hổ trắng	2	2	19	0	5	999												\image\item\other\skin_005a1.spr	\image\item\other\skin_005a0.spr	"Loại Da hổ có sức phòng ngự cực lớn, vật liệu quý hiếm chế tạo dụng cụ phòng vệ."		Sinh hoạt		5									
Đuôi thỏ	2	1	2	1	8	999												\image\item\other\coll_002a1.spr	\image\item\other\coll_002a0.spr	"Đuôi thỏ nhỏ, lông mượt mềm mại như nhung."		Thu thập		1	2	1							
Răng sói	2	1	3	1	8	999												\image\item\other\coll_003a1.spr	\image\item\other\coll_003a0.spr	"Vô cùng sắc nhọn, có thể thay thế vũ khí."		Thu thập		1									
Thố Nhi Quả	2	1	4	1	10	999												\image\item\other\coll_004a1.spr	\image\item\other\coll_004a0.spr	Một loại quả dại thỏ rất thích ăn.		Thu thập		1									
