Loπi lÌn	Loπi phÙ	Loπi h◊nh chi ti’t vÀt ph»m	SË hi÷u thuÈc t›nh 1: 	ßºng c p thuÈc t›nh 1: 	SË hi÷u thuÈc t›nh 2: 	ßºng c p thuÈc t›nh 2: 	SË hi÷u thuÈc t›nh 3: 	ßºng c p thuÈc t›nh 3: 	Mµu sæc trang bﬁ	L≠u ˝
0	101	1252	130	5	39	3	79	2		
0	101	1272	130	7	39	3	79	2		
0	101	1253	130	5	39	3	79	2		
0	101	1273	130	7	39	3	79	2		
0	101	1254	130	5	39	3	79	2		
0	101	1274	130	7	39	3	79	2		
0	101	1451	130	5	39	3	80	2		
0	101	1471	130	7	39	3	80	2		
0	101	1452	130	5	39	3	80	2		
0	101	1472	130	7	39	3	80	2		
0	101	1453	130	5	39	3	80	2		
0	101	1473	130	7	39	3	80	2		
0	101	1454	130	5	39	3	80	2		
0	101	1474	130	7	39	3	80	2		
0	101	1551	130	5	39	3	79	2		
0	101	1571	130	7	39	3	79	2		
0	101	1552	130	5	39	3	79	2		
0	101	1572	130	7	39	3	79	2		
0	101	1553	130	5	39	3	79	2		
0	101	1573	130	7	39	3	79	2		
0	101	1554	130	5	39	3	79	2		
0	101	1574	130	7	39	3	79	2		
0	101	1751	130	5	39	3	79	2		
0	101	1771	130	7	39	3	79	2		
0	101	1752	130	5	39	3	79	2		
0	101	1772	130	7	39	3	79	2		
0	101	1753	130	5	39	3	79	2		
0	101	1773	130	7	39	3	79	2		
0	101	1754	130	5	39	3	79	2		
0	101	1774	130	7	39	3	79	2		
0	101	1851	130	5	39	3	79	2		
0	101	1871	130	7	39	3	79	2		
0	101	1852	130	5	39	3	79	2		
0	101	1872	130	7	39	3	79	2		
0	101	1853	130	5	39	3	79	2		
0	101	1873	130	7	39	3	79	2		
0	101	1854	130	5	39	3	79	2		
0	101	1874	130	7	39	3	79	2		
0	101	2051	130	5	39	3	79	2		
0	101	2071	130	7	39	3	79	2		
0	101	2052	130	5	39	3	79	2		
0	101	2072	130	7	39	3	79	2		
0	101	2053	130	5	39	3	79	2		
0	101	2073	130	7	39	3	79	2		
0	101	2054	130	5	39	3	79	2		
0	101	2074	130	7	39	3	79	2		
0	101	2151	130	5	39	3	80	2		
0	101	2171	130	7	39	3	80	2		
0	101	2152	130	5	39	3	80	2		
0	101	2172	130	7	39	3	80	2		
0	101	2153	130	5	39	3	80	2		
0	101	2173	130	7	39	3	80	2		
0	101	2154	130	5	39	3	80	2		
0	101	2174	130	7	39	3	80	2		
0	102	251	94	4	95	4	111	3		
0	102	271	94	6	95	6	111	3		
0	102	252	94	4	95	4	111	3		
0	102	272	94	6	95	6	111	3		
0	102	351	94	4	98	4	111	2		
0	102	371	94	6	98	6	111	2		
0	102	352	94	4	98	4	111	2		
0	102	372	94	6	98	6	111	2		
0	102	451	94	4	98	4	111	2		
0	102	471	94	6	98	6	111	2		
0	102	452	94	4	98	4	111	2		
0	102	472	94	6	98	6	111	2		
0	102	651	96	4	94	4	111	2		
0	102	671	96	6	94	6	111	2		
0	102	652	96	4	94	4	111	2		
0	102	672	96	6	94	6	111	2		
0	102	653	96	4	94	4	111	2		
0	102	673	96	6	94	6	111	2		
0	102	654	96	4	94	4	111	2		
0	102	674	96	6	94	6	111	2		
0	102	853	94	4	98	4	27	1		
0	102	873	94	6	98	6	27	1		
0	102	854	94	4	98	4	27	1		
0	102	874	94	6	98	6	27	1		
0	102	953	96	4	98	4	111	2		
0	102	973	96	6	98	6	111	2		
0	102	954	96	4	98	4	111	2		
0	102	974	96	6	98	6	111	2		
0	102	1151	94	4	95	4	111	2		
0	102	1171	94	6	95	6	111	2		
0	102	1152	94	4	95	4	111	2		
0	102	1172	94	6	95	6	111	2		
0	102	1153	94	4	95	4	111	2		
0	102	1173	94	6	95	6	111	2		
0	102	1154	94	4	95	4	111	2		
0	102	1174	94	6	95	6	111	2		
0	102	1251	96	4	97	4	111	2		
0	102	1271	96	6	97	6	111	2		
0	102	1252	96	4	97	4	111	2		
0	102	1272	96	6	97	6	111	2		
0	102	1253	96	4	97	4	111	2		
0	102	1273	96	6	97	6	111	2		
0	102	1254	96	4	97	4	111	2		
0	102	1274	96	6	97	6	111	2		
0	102	1451	94	4	98	4	111	2		
0	102	1471	94	6	98	6	111	2		
0	102	1452	94	4	98	4	111	2		
0	102	1472	94	6	98	6	111	2		
0	102	1453	94	4	98	4	111	2		
0	102	1473	94	6	98	6	111	2		
0	102	1454	94	4	98	4	111	2		
0	102	1474	94	6	98	6	111	2		
0	102	1551	96	4	97	4	111	2		
0	102	1571	96	6	97	6	111	2		
0	102	1552	96	4	97	4	111	2		
0	102	1572	96	6	97	6	111	2		
0	102	1553	96	4	97	4	111	2		
0	102	1573	96	6	97	6	111	2		
0	102	1554	96	4	97	4	111	2		
0	102	1574	96	6	97	6	111	2		
0	102	1751	94	4	95	4	111	2		
0	102	1771	94	6	95	6	111	2		
0	102	1752	94	4	95	4	111	2		
0	102	1772	94	6	95	6	111	2		
0	102	1753	94	4	95	4	111	2		
0	102	1773	94	6	95	6	111	2		
0	102	1754	94	4	95	4	111	2		
0	102	1774	94	6	95	6	111	2		
0	102	1851	94	4	96	4	111	2		
0	102	1871	94	6	96	6	111	2		
0	102	1852	94	4	96	4	111	2		
0	102	1872	94	6	96	6	111	2		
0	102	1853	94	4	96	4	111	2		
0	102	1873	94	6	96	6	111	2		
0	102	1854	94	4	96	4	111	2		
0	102	1874	94	6	96	6	111	2		
0	102	2051	95	4	96	4	111	2		
0	102	2071	95	6	96	6	111	2		
0	102	2052	95	4	96	4	111	2		
0	102	2072	95	6	96	6	111	2		
0	102	2053	95	4	96	4	111	2		
0	102	2073	95	6	96	6	111	2		
0	102	2054	95	4	96	4	111	2		
0	102	2074	95	6	96	6	111	2		
0	102	2151	97	4	98	4	111	2		
0	102	2171	97	6	98	6	111	2		
0	102	2152	97	4	98	4	111	2		
0	102	2172	97	6	98	6	111	2		
0	102	2153	97	4	98	4	111	2		
0	102	2173	97	6	98	6	111	2		
0	102	2154	97	4	98	4	111	2		
0	102	2174	97	6	98	6	111	2		
0	3	251	23	3	99	1	65	4		
0	3	271	23	5	99	1	65	6		
0	3	252	23	3	99	1	65	4		
0	3	272	23	5	99	1	65	6		
0	5	251	23	3	99	1	65	4		
0	5	271	23	5	99	1	65	6		
0	5	252	23	3	99	1	65	4		
0	5	272	23	5	99	1	65	6		
0	8	351	27	2	99	1	67	3		
0	8	371	27	2	99	1	67	5		
0	8	352	27	2	99	1	67	3		
0	8	372	27	2	99	1	67	5		
0	0	451	23	3	99	1	67	3		
0	0	471	23	5	99	1	67	5		
0	0	452	23	3	99	1	67	3		
0	0	472	23	5	99	1	67	5		
0	1	651	23	3	99	1	65	4		
0	1	671	23	5	99	1	65	6		
0	1	652	23	3	99	1	65	4		
0	1	672	23	5	99	1	65	6		
0	1	653	23	3	99	1	65	4		
0	1	673	23	5	99	1	65	6		
0	1	654	23	3	99	1	65	4		
0	1	674	23	5	99	1	65	6		
0	2	853	47	2	99	1	67	3		
0	2	873	47	2	99	1	67	5		
0	2	854	47	2	99	1	67	3		
0	2	874	47	2	99	1	67	5		
0	10	953	64	4	99	1	67	3		
0	10	973	64	5	99	1	67	5		
0	10	954	64	4	99	1	67	3		
0	10	974	64	5	99	1	67	5		
0	0	1151	23	3	99	1	65	4		
0	0	1171	23	5	99	1	65	6		
0	0	1152	23	3	99	1	65	4		
0	0	1172	23	5	99	1	65	6		
0	0	1153	23	3	99	1	65	4		
0	0	1173	23	5	99	1	65	6		
0	0	1154	23	3	99	1	65	4		
0	0	1174	23	5	99	1	65	6		
0	5	1251	23	3	99	1	65	4		
0	5	1271	23	5	99	1	65	6		
0	5	1252	23	3	99	1	65	4		
0	5	1272	23	5	99	1	65	6		
0	5	1253	23	3	99	1	65	4		
0	5	1273	23	5	99	1	65	6		
0	5	1254	23	3	99	1	65	4		
0	5	1274	23	5	99	1	65	6		
0	2	1451	20	3	99	1	67	5		
0	2	1471	20	5	99	1	67	4		
0	2	1452	20	3	99	1	67	5		
0	2	1472	20	5	99	1	67	2		
0	2	1453	20	3	99	1	67	1		
0	2	1473	20	5	99	1	67	5		
0	2	1454	20	3	99	1	67	1		
0	2	1474	20	5	99	1	67	5		
0	9	1551	23	3	99	1	65	4		
0	9	1571	23	5	99	1	65	6		
0	9	1552	23	3	99	1	65	4		
0	9	1572	23	5	99	1	65	6		
0	9	1553	23	3	99	1	65	4		
0	9	1573	23	5	99	1	65	6		
0	9	1554	23	3	99	1	65	4		
0	9	1574	23	5	99	1	65	6		
0	6	1751	23	3	99	1	65	4		
0	6	1771	23	5	99	1	65	6		
0	6	1752	23	3	99	1	65	4		
0	6	1772	23	5	99	1	65	6		
0	6	1753	23	3	99	1	65	4		
0	6	1773	23	5	99	1	65	6		
0	6	1754	23	3	99	1	65	4		
0	6	1774	23	5	99	1	65	6		
0	4	1851	23	3	99	1	65	4		
0	4	1871	23	5	99	1	65	6		
0	4	1852	23	3	99	1	65	4		
0	4	1872	23	5	99	1	65	6		
0	4	1853	23	3	99	1	65	4		
0	4	1873	23	5	99	1	65	6		
0	4	1854	23	3	99	1	65	4		
0	4	1874	23	5	99	1	65	6		
0	7	2051	69	3	99	1	65	4		
0	7	2071	69	4	99	1	65	6		
0	7	2052	69	3	99	1	65	4		
0	7	2072	69	4	99	1	65	6		
0	7	2053	69	3	99	1	65	4		
0	7	2073	69	4	99	1	65	6		
0	7	2054	69	3	99	1	65	4		
0	7	2074	69	4	99	1	65	6		
0	11	2151	259	3	99	1	67	5		
0	11	2171	259	4	99	1	67	4		
0	11	2152	259	3	99	1	67	5		
0	11	2172	259	4	99	1	67	2		
0	11	2153	259	3	99	1	67	1		
0	11	2173	259	4	99	1	67	5		
0	11	2154	259	3	99	1	67	1		
0	11	2174	259	4	99	1	67	5		
0	105	1	101	2						
0	105	2	101	2						
0	105	3	101	2						
0	105	4	101	2						
0	105	5	101	4						
0	105	6	101	4						
0	105	7	101	4						
0	105	8	101	4						
0	105	9	101	6						
0	105	11	101	6						
0	105	12	101	6						
0	105	13	101	6						
0	105	22	101	2						
0	105	23	101	3						
0	105	24	101	4						
0	105	33	101	6						
0	105	34	101	3						
0	105	15	403	3						
0	105	16	403	3						
0	105	19	403	3						
0	105	20	403	3						
0	105	35	403	3						
0	105	36	403	3						
0	105	37	101	6						
0	105	38	101	3						
0	105	49	403	5						
0	105	50	403	5						
0	105	51	404	6	577	7	486	1		
0	105	52	404	6	577	7	486	1		
0	105	120	403	3						
0	105	141	403	5						
0	105	148	403	5						
0	105	149	403	5						
0	105	160	403	3						
0	105	164	403	3						
0	105	10107	403	5						
0	105	10108	403	5						
0	105	10109	403	5						
0	105	10110	403	5						
0	105	10111	403	5						
0	105	10120	403	3						
0	105	10112	403	5						
0	105	30000	403	3						
0	102	21	85	2	86	2				
0	102	22	94	5	95	5	98	5		
0	102	23	94	5	96	5	97	5		
0	102	24	115	4	90	3	102	5		
0	102	25	11	7	85	3	86	3		
0	102	26	11	7	85	3	86	3		
0	102	27	138	1	112	5	114	5		
0	102	28	329	2	330	1				
0	102	29	264	4	290	1				
0	102	30	265	4	290	1				
0	102	31	263	4	290	1				
0	102	32	267	4	290	1				
0	102	33	266	4	290	1				
0	102	34	281	1	290	1				
0	102	35	331	1	290	1				
0	3	281	49	5	30	4	255	6		
0	3	282	49	5	30	4	255	6		
0	5	281	49	5	30	4	255	6		
0	5	282	49	5	30	4	255	6		
0	8	381	49	5	30	4	256	6		
0	8	382	49	5	30	4	256	6		
0	0	481	49	5	30	3	256	6		
0	0	482	49	5	30	3	256	6		
0	1	681	49	5	30	3	255	6		
0	1	682	49	5	30	3	255	6		
0	1	683	49	5	30	3	255	6		
0	1	684	49	5	30	3	255	6		
0	2	883	49	5	46	6	41	3		
0	2	884	49	5	46	6	41	3		
0	10	983	49	5	30	3	256	6		
0	10	984	49	5	30	3	256	6		
0	0	1181	49	5	30	5	255	6		
0	0	1182	49	5	30	5	255	6		
0	0	1183	49	5	30	5	255	6		
0	0	1184	49	5	30	5	255	6		
0	5	1281	49	5	30	3	255	6		
0	5	1282	49	5	30	3	255	6		
0	5	1283	49	5	30	3	255	6		
0	5	1284	49	5	30	3	255	6		
0	2	1481	49	5	30	4	256	6		
0	2	1482	49	5	30	4	256	6		
0	2	1483	49	5	30	4	256	6		
0	2	1484	49	5	30	4	256	6		
0	9	1581	49	5	30	3	255	6		
0	9	1582	49	5	30	3	255	6		
0	9	1583	49	5	30	3	255	6		
0	9	1584	49	5	30	3	255	6		
0	6	1781	49	5	30	3	255	6		
0	6	1782	49	5	30	3	255	6		
0	6	1783	49	5	30	3	255	6		
0	6	1784	49	5	30	3	255	6		
0	4	1881	49	5	30	3	255	6		
0	4	1882	49	5	30	3	255	6		
0	4	1883	49	5	30	3	255	6		
0	4	1884	49	5	30	3	255	6		
0	101	281	246	4	245	2	253	2		
0	101	282	246	4	245	2	253	2		
0	101	381	249	4	245	2	254	2		
0	101	382	249	4	245	2	254	2		
0	101	481	249	4	245	2	254	2		
0	101	482	249	4	245	2	254	2		
0	101	681	247	4	245	2	253	2		
0	101	682	247	4	245	2	253	2		
0	101	683	247	4	245	2	253	2		
0	101	684	247	4	245	2	253	2		
0	101	883	249	4	245	2	253	2		
0	101	884	249	4	245	2	253	2		
0	101	983	249	4	245	2	253	2		
0	101	984	249	4	245	2	253	2		
0	101	1181	246	4	245	2	253	2		
0	101	1182	246	4	245	2	253	2		
0	101	1183	246	4	245	2	253	2		
0	101	1184	246	4	245	2	253	2		
0	101	1281	247	4	245	2	253	2		
0	101	1282	247	4	245	2	253	2		
0	101	1283	247	4	245	2	253	2		
0	101	1284	247	4	245	2	253	2		
0	101	1481	249	4	245	2	254	2		
0	101	1482	249	4	245	2	254	2		
0	101	1483	249	4	245	2	254	2		
0	101	1484	249	4	245	2	254	2		
0	101	1581	248	4	245	2	253	2		
0	101	1582	248	4	245	2	253	2		
0	101	1583	248	4	245	2	253	2		
0	101	1584	248	4	245	2	253	2		
0	101	1781	246	4	245	2	253	2		
0	101	1782	246	4	245	2	253	2		
0	101	1783	246	4	245	2	253	2		
0	101	1784	246	4	245	2	253	2		
0	101	1881	247	4	245	2	253	2		
0	101	1882	247	4	245	2	253	2		
0	101	1883	247	4	245	2	253	2		
0	101	1884	247	4	245	2	253	2		
0	102	281	246	4	245	2	111	5		
0	102	282	246	4	245	2	111	5		
0	102	381	249	4	245	2	111	5		
0	102	382	249	4	245	2	111	5		
0	102	481	249	4	245	2	111	5		
0	102	482	249	4	245	2	111	5		
0	102	681	247	4	245	2	248	3		
0	102	682	247	4	245	2	248	3		
0	102	683	247	4	245	2	248	3		
0	102	684	247	4	245	2	248	3		
0	102	883	249	4	245	2	250	4		
0	102	884	249	4	245	2	250	4		
0	102	983	249	4	245	2	247	3		
0	102	984	249	4	245	2	247	3		
0	102	1181	246	4	245	2	111	5		
0	102	1182	246	4	245	2	111	5		
0	102	1183	246	4	245	2	111	5		
0	102	1184	246	4	245	2	111	5		
0	102	1281	247	4	245	2	248	3		
0	102	1282	247	4	245	2	248	3		
0	102	1283	247	4	245	2	248	3		
0	102	1284	247	4	245	2	248	3		
0	102	1481	248	4	245	2	250	4		
0	102	1482	248	4	245	2	250	4		
0	102	1483	248	4	245	2	250	4		
0	102	1484	248	4	245	2	250	4		
0	102	1581	248	4	245	2	247	3		
0	102	1582	248	4	245	2	247	3		
0	102	1583	248	4	245	2	247	3		
0	102	1584	248	4	245	2	247	3		
0	102	1781	246	4	245	2	248	3		
0	102	1782	246	4	245	2	248	3		
0	102	1783	246	4	245	2	248	3		
0	102	1784	246	4	245	2	248	3		
0	102	1881	247	4	245	2	248	3		
0	102	1882	247	4	245	2	248	3		
0	102	1883	247	4	245	2	248	3		
0	102	1884	247	4	245	2	248	3		
0	103	281	246	2	245	2	253	2		
0	103	282	246	2	245	2	253	2		
0	103	381	249	2	245	2	254	2		
0	103	382	249	2	245	2	254	2		
0	103	481	249	2	245	2	254	2		
0	103	482	249	2	245	2	254	2		
0	103	681	247	2	245	2	253	2		
0	103	682	247	2	245	2	253	2		
0	103	683	247	2	245	2	253	2		
0	103	684	247	2	245	2	253	2		
0	103	883	249	2	245	2	253	2		
0	103	884	249	2	245	2	253	2		
0	103	983	249	2	245	2	253	2		
0	103	984	249	2	245	2	253	2		
0	103	1181	246	2	245	2	253	2		
0	103	1182	246	2	245	2	253	2		
0	103	1183	246	2	245	2	253	2		
0	103	1184	246	2	245	2	253	2		
0	103	1281	247	2	245	2	253	2		
0	103	1282	247	2	245	2	253	2		
0	103	1283	247	2	245	2	253	2		
0	103	1284	247	2	245	2	253	2		
0	103	1481	249	2	245	2	254	2		
0	103	1482	249	2	245	2	254	2		
0	103	1483	249	2	245	2	254	2		
0	103	1484	249	2	245	2	254	2		
0	103	1581	248	2	245	2	253	2		
0	103	1582	248	2	245	2	253	2		
0	103	1583	248	2	245	2	253	2		
0	103	1584	248	2	245	2	253	2		
0	103	1781	246	2	245	2	253	2		
0	103	1782	246	2	245	2	253	2		
0	103	1783	246	2	245	2	253	2		
0	103	1784	246	2	245	2	253	2		
0	103	1881	247	2	245	2	253	2		
0	103	1882	247	2	245	2	253	2		
0	103	1883	247	2	245	2	253	2		
0	103	1884	247	2	245	2	253	2		
0	100	281	246	4	245	2	258	3		
0	100	282	246	4	245	2	258	3		
0	100	381	249	4	245	2	257	3		
0	100	382	249	4	245	2	257	3		
0	100	481	249	4	245	2	257	3		
0	100	482	249	4	245	2	257	3		
0	100	681	247	4	245	2	258	3		
0	100	682	247	4	245	2	258	3		
0	100	683	247	4	245	2	258	3		
0	100	684	247	4	245	2	258	3		
0	100	883	249	4	245	2	257	3		
0	100	884	249	4	245	2	257	3		
0	100	983	249	4	245	2	258	3		
0	100	984	249	4	245	2	258	3		
0	100	1181	246	4	245	2	258	3		
0	100	1182	246	4	245	2	258	3		
0	100	1183	246	4	245	2	258	3		
0	100	1184	246	4	245	2	258	3		
0	100	1281	247	4	245	2	258	3		
0	100	1282	247	4	245	2	258	3		
0	100	1283	247	4	245	2	258	3		
0	100	1284	247	4	245	2	258	3		
0	100	1481	248	4	245	2	257	3		
0	100	1482	248	4	245	2	257	3		
0	100	1483	248	4	245	2	257	3		
0	100	1484	248	4	245	2	257	3		
0	100	1581	248	4	245	2	258	3		
0	100	1582	248	4	245	2	258	3		
0	100	1583	248	4	245	2	258	3		
0	100	1584	248	4	245	2	258	3		
0	100	1781	246	4	245	2	258	3		
0	100	1782	246	4	245	2	258	3		
0	100	1783	246	4	245	2	258	3		
0	100	1784	246	4	245	2	258	3		
0	100	1881	247	4	245	2	258	3		
0	100	1882	247	4	245	2	258	3		
