L­u Thñy HiÖu	Tr¹ng th¸i (1 më 0 ®ãng)	Script ban ®Çu cña ho¹t ®éng	Server run function	Gamer login run of function	Ngµy b¾t ®Çu ho¹t ®éng (ho¹t ®éng bao gåm thêi gian nµy)	Ngµy kÕt thóc ho¹t ®éng (ho¹t ®éng kh«ng bao gåm thêi gian nµy)	L­u ý
101	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2013101800	2013111100	Evnet chÝnh th¸ng 10 n¨m 2013
102	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2013101800	2013111800	Event phô th¸ng 10 n¨m 2013
103	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2013111500	2013121600	Event chÝnh th¸ng 11 n¨m 2013
104	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2013111500	2013121600	Event phô th¸ng 11 n¨m 2014
105	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2013122000	2014011300	Event chÝnh th¸ng 12 n¨m 2013
106	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2013122000	2014011300	Event phô th¸ng 12 n¨m 2013
107	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014011700	2014021700	Event chÝnh th¸ng 1 n¨m 2014
108	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014011700	2014021700	Event phô 1 th¸ng 1 n¨m 2014
109	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014012500	2014020900	Event phô 2 th¸ng 1 n¨m 2014
110	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014021300	2014021600	Event phô 3 th¸ng 1 n¨m 2014
111	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014013000	2014020700	Event phô 4 th¸ng 1 n¨m 2014
112	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014022100	2014031700	Ho¹t ®éng th¸ng 2 n¨m 2014
113	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014022100	2014032100	Ho¹t ®éng phô 1 th¸ng 2 n¨m 2014
114	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014022100	2014032100	Event phô 2 th¸ng 2 n¨m 2014
115	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014032100	2014041400	Ho¹t ®éng th¸ng 3 n¨m 2014
116	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014032100	2014041400	event phô th¸ng 3 n¨m 2014
117	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014032100	2014041400	event phô 1 th¸ng 3 n¨m 2014
118	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014032100	2014041400	event phô 2 th¸ng 3 n¨m 2014
119	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014041800	2014050900	ho¹t ®éng th¸ng 4 n¨m 2014
120	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014041800	2014050900	event phô th¸ng 4 n¨m 2014 
121	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014041800	2014050900	event phô th¸ng 4 n¨m 2014 1
122	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014041800	2014050900	event phô 2 th¸ng 4 n¨m 2014
123	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014050900	2014060100	Ho¹t ®éng th¸ng 5 n¨m 2014
124	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014050900	2014060100	Ho¹t ®éng phô event th¸ng 5 n¨m 2014
125	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014050900	2014060100	Ho¹t ®éng phô event th¸ng 5 n¨m 2014
126	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014060600	2014070100	Event th¸ng 6 n¨m 2014
127	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014060600	2014070100	Ho¹t ®éng phô th¸ng 06/2014
128	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014060600	2014070100	Ho¹t ®éng phô th¸ng 06/2014
129	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014070400	2014080100	Ho¹t ®éng 07/2014
130	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014070400	2014080100	Ho¹t ®éng phô 07/2014
131	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014080800	2014090100	Ho¹t ®éng 08/2014
132	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014080800	2014090100	Ho¹t ®éng phô 08/2014
133	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014090500	2014100100	Ho¹t ®éng 09/2014
134	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014090500	2014100100	Ho¹t ®éng phô 09/2014
135	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014100400	2014110100	Ho¹t ®éng th¸ng 10/2014
136	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014100400	2014110100	Ho¹t ®éng phô th¸ng 10/2014
137	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014100500	2014110100	Ho¹t ®éng phô th¸ng 10/2014
138	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014110700	2014120100	Ho¹t ®éng 11/2014
139	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014110700	2014120100	Ho¹t ®éng phô 11/2014
140	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014110700	2014120100	Ho¹t ®éng phô 11/2014
141	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014121700	2015010100	C©y Gi¸ng Sinh Bang Ph¸i 12/2014
142	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014120500	2015010100	Ho¹t ®éng chÝnh 12/2014
143	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2014120500	2015010100	Ho¹t ®éng phô 12/2014
144	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2015010800	2015020100	Ho¹t ®éng th¸ng 1 n¨m 2015
145	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2015010800	2015020100	Ho¹t ®éng phô th¸ng 1 n¨m 2015
146	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2015010800	2015020100	Ho¹t ®éng phô th¸ng 1 n¨m 2015
147	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2015020300	2015030100	Ho¹t ®éng n¨m míi 2015
148	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2015021100	2015030100	Ho¹t ®éng n¨m míi 2015
149	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2015030600	2015040100	Ho¹t ®éng th¸ng 3/2015
150	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2015031100	2015040100	Ho¹t ®éng th¸ng 3/2015
151	0	\script\online_activites\201503\women_day.lua	ServerStartUp	PlayerLogin	2015030800	2015031000	Ho¹t ®éng chµo mõng 8/3 n¨m 2015
152	0	\script\online_activites\201504\kill_npc_daily.lua	KillNpcDailyServerStartUp	KillNpcDailyPlayerLogin	2015040800	2015050100	Ho¹t ®éng thu thËp ph¸o hoa ngµy th­êng 04/2015
153	0	\script\online_activites\201504\kill_npc_weekly.lua	KillNpcWeeklyServerStartUp	KillNpcWeeklyPlayerLogin	2015040800	2015050100	Ho¹t ®éng thu thËp ph¸o hoa ngµy vµng 04/2015
154	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2015030800	2015050100	Ho¹t ®éng thu thËp ph¸o hoa 04/2015
155	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2015050700	2015060100	Ho¹t ®éng Kem D©u T©y 05/2015
156	0	\script\online_activites\201508\kill_npc_daily.lua	KillNpcDailyServerStartUp	KillNpcDailyPlayerLogin	2015080600	2015090100	Ho¹t ®éng ngµy th­êng 08/2015
157	0	\script\online_activites\201508\kill_npc_weekly.lua	KillNpcWeeklyServerStartUp	KillNpcWeeklyPlayerLogin	2015080600	2015090100	Ho¹t ®éng cuèi tuÇn 08/2015
158	0	\script\online_activites\201505feedpet\main.lua	on_server_start	on_player_login	2015051500	2015060100	Ho¹t ®éng LuyÖn Thó §¹i T¸c ChiÕn 05/2015
159	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2015060500	2015070100	Ho¹t ®éng chÝnh 06/2015
160	1	\script\online_activites\201506cn\main.lua	on_server_start	on_player_login	2017021000	2017030100	Ho¹t ®éng §oan Ngä 06/2015
161	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2015070900	2015080100	Ho¹t ®éng chÝnh 07/2015
162	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2015080600	2015090100	Ho¹t ®éng chÝnh 08/2015
163	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2015090300	2015100100	Ho¹t ®éng chÝnh th¸ng 9 n¨m 2015
164	0	\script\online_activites\201509\kill_npc_daily.lua	KillNpcDailyServerStartUp	KillNpcDailyPlayerLogin	2015090300	2015100100	Ngµy th­êng ho¹t ®éng th¸ng 9 n¨m 2015
165	0	\script\online_activites\201509\kill_npc_weekly.lua	KillNpcWeeklyServerStartUp	KillNpcWeeklyPlayerLogin	2015090300	2015100100	Cuèi tuÇn ho¹t ®éng th¸ng 9 n¨m 2015
166	0	\script\online_activites\head\init.lua	ServerStartUp	PlayerLogin	2015100800	2015110100	Ho¹t ®éng chÝnh th¸ng 10/2015
167	0	\script\online_activites\201510\kill_npc_daily.lua	KillNpcDailyServerStartUp	KillNpcDailyPlayerLogin	2015100800	2015110100	Ho¹t ®éng phô th¸ng 10/2015
168	0	\script\online_activites\201510\kill_npc_weekly.lua	KillNpcWeeklyServerStartUp	KillNpcWeeklyPlayerLogin	2015100800	2015110100	Ho¹t ®éng phô th¸ng 10/2015
